	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"1009.YPD 2 h (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6824.Sporulation t0"	"7530.DBY msn2msn4 37C - 20 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"8286.mcm1-1 +pRS-MCM7 vs. wild type + pRS-MCM7"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"13070.Ca/Ca+FK 15min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"21635..24 mM H2O2- 0 minutes"	"21654..24 mM H2O2- 275 minutes"	"21655..24 mM H2O2- 014 minutes"	"21664..24 mM H2O2- 170 minutes/redo"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28837.P2Comp 04 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28839.P2Comp 07 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32250.DBY8778_heat_shock2_0min"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"	"34351.wt_hypo_osmotic_shock_60min"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42192.L2 Comp 05 hr 58 min Leucine Batch vs Chemostat Comparison"
"YDR101C"	-3.098	-3.513	-3.404	-3.0	-3.74	-3.659	-2.724	-2.603	-2.204	-1.77	-4.306	-3.082	-4.145	-4.667	-2.997	-3.385	0.188	-3.177	-3.516	-0.163	-1.121	1.419	1.234	-0.063	-0.628	0.191	-2.077	-1.859	-3.253	0.016	0.144	-0.428	-0.515	-0.904	0.284	-2.079	-1.221	-0.969	-0.852	-2.688	-3.244	-2.428	-1.704	-2.949	-2.26	-2.143	-2.474	-3.315	-2.327	-3.048	0.29	-0.548	-1.833	-2.501	-2.303	-1.281
"YDR165W"	-2.444	-3.154	-2.85	-2.419	-2.874	-2.762	-1.9	-2.006	-1.752	-1.294	-4.096	-2.179	-3.111	-5.309	-2.69	-3.015	0.127	-2.409	-2.23	-0.097	-0.713	0.902	0.918	-0.079	0.761	0.793	-1.795	-1.047	-2.787	0.157	0.023	0.0505	-0.032	0.33	-0.3955	-0.63	0.096	0.7515	-0.348	-2.796	-3.068	-1.809	-1.222	-1.091	-1.656	-1.404	-1.252	-3.533	-1.545	-3.205	0.194	-0.349	-2.535	-2.739	-2.779	-0.985
"YER126C"	-2.129	-3.132	-2.634	-3.488	-4.626	-4.459	-2.724	-2.571	-2.383	-1.734	-4.455	-2.384	-2.608	-5.367	-2.806	-2.355	0.014	-2.584	-2.842	-0.147	-0.664	1.185	0.701	0.007	-0.046	0.105	-1.185	-1.223	-5.253	-0.1075	-0.131	0.149	0.1785	0.0445	0.265	-0.653	-0.267	0.028	-0.314	-3.26	-5.806	-2.916	-0.975	-3.802	1.062	-1.06	-0.5	-3.166	-1.501	-3.761	0.608	-0.361	-2.419	-2.383	-2.346	-1.125
"YGL120C"	-2.058	-3.316	-3.231	-3.301	-3.954	-3.877	-1.855	-2.25	-1.851	-1.325	-4.557	-2.692	-4.088	-5.111	-3.085	-3.171	0.244	-3.888	-4.137	-0.06	-0.962	1.31	0.824	-0.313	-0.79	0.141	-2.989	-2.071	-3.8	-0.312	-0.064	0.059	0.932	0.145	-0.005	0.2485	0.39	-1.1285	-0.499	-2.799	-3.466	-2.416	-1.313	-1.497	-1.847	-1.374	-1.166	-2.286	-1.291	-3.546	0.104	-0.427	-0.568	-0.806	-1.316	-0.966
"YGR173W"	-1.7015	-2.503	-1.71	-1.958	-2.8095	-2.487	-1.968	-1.136	-1.07	-0.65	-3.271	-1.436	-2.218	-3.699	-1.899	-2.709	0.151	-1.996	-2.168	0.031	-0.04	0.442	0.005	0.401	0.233	0.093	-1.497	-0.761	-2.734	0.154	0.1185	-0.1235	0.1085	-0.1525	0.5455	-0.638	0.2315	0.0745	-0.366	-1.48	-1.911	-1.015	-0.057	-0.677	1.177	-0.799	0.377	-0.995	0.261	-2.139	0.271	0.062	-1.088	-1.024	-0.607	-0.616
"YHL011C"	-2.166	-2.744	-2.467	-2.107	-3.0145	-3.024	-1.817	-1.603	-1.5	-0.737	-2.604	-1.225	-2.023	-3.592	-1.461	-2.503	0.22	-1.552	-1.5	0.292	-0.674	1.155	1.124	-0.474	-0.408	0.058	-2.065	-1.707	-3.2715	-0.605	0.275	-0.08	-0.444	-0.552	0.184	-1.12	-0.666	-0.257	-0.304	-2.169	-2.38	-1.532	-0.563	0.154	-0.711	-0.533	-1.086	-2.437	-0.978	-2.086	0.576	-0.485	-1.084	-1.117	-1.384	-0.706
"YHR170W"	-3.765	-5.3995	-4.622	-4.14	-4.723	-3.947	-3.256	-2.518	-2.551	-1.78	-4.51	-2.071	-2.573	-4.858	-2.326	-2.759	0.213	-2.758	-2.443	0.245	-0.95	1.886	1.244	0.436	0.229	0.296	-1.98	-2.142	-5.252	0.157	-0.057	-0.192	1.103	0.279	-1.002	-1.25	-1.367	-0.506	-0.299	-2.606	-3.576	-2.405	-1.181	-1.477	-1.751	-1.893	-1.487	-2.772	-2.333	-3.601	-0.489	-0.782	-2.287	-1.783	-1.833	-2.997
"YJR070C"	-3.0685	-4.6905	-4.824	-3.895	-4.828	-4.332	-3.794	-2.536	-2.577	-1.538	-5.317	-3.514	-3.511	-7.226	-3.689	-3.471	0.391	-2.254	-2.322	-0.414	-1.383	1.238	0.489	-0.339	-1.307	0.133	-1.544	-1.195	-4.7655	0.064	-0.72	-0.08	-1.35	-0.434	-0.399	-1.192	0.188	0.997	-0.248	-2.778	-3.81	-2.429	-1.002	-2.399	-2.832	-1.764	-2.232	-4.096	-1.614	-3.754	0.527	-0.395	-1.64	-2.535	-2.011	-2.131
"YKL009W"	-3.0175	-1.833	-3.58	-3.253	-4.1895	-4.13	-2.745	-2.089	-1.69	-1.644	-5.997	-3.38	-3.082	-6.168	-3.014	-3.144	0.094	-3.318	-2.938	0.037	-0.921	1.597	1.385	0.243	1.114	0.196	-2.608	-1.665	-4.4285	0.082	0.15	0.336	-0.97	0.432	-0.144	-0.517	-0.514	0.72	-0.823	-3.974	-4.247	-2.782	-1.967	-1.573	-2.288	-2.446	-1.535	-3.549	-2.199	-4.823	0.304	-0.77	-3.113	-2.76	-3.422	-2.401
"YKR092C"	-1.767	-2.199	-2.646	-2.78	-3.432	-2.595	-2.278	-1.995	-1.874	-1.308	-3.321	-2.665	-2.016	-2.54	-2.673	-2.076	0.068	-0.639	-0.778	0.064	-0.378	1.029	0.515	0.625	0.465	0.106	-0.727	-0.965	-2.835	-0.124	-0.637	-0.04	-0.838	-0.639	-0.912	-1.6	-0.531	-0.773	-0.872	-3.019	-2.794	-2.286	-1.463	-1.264	-1.935	-1.659	-2.481	-2.743	-1.3	-3.872	0.044	-0.949	-2.287	-2.584	-2.249	-1.722
"YLR129W"	-4.191	-4.096	-3.022	-2.347	-3.676	-3.658	-3.455	-2.548	-1.12	-1.768	-4.83	-3.089	-2.877	-4.914	-3.214	-3.12	-0.062	-2.42	-3.068	-0.185	-0.254	1.167	0.917	0.553	0.455	0.169	-2.144	-1.903	-4.108	-1.153	-0.107	0.514	0.831	0.047	-0.158	-0.248	1.128	-0.333	-1.348	-4.157	-4.374	-2.07	-0.673	-2.079	-2.011	-2.002	-1.786	-3.858	-1.404	-4.119	-0.407	-0.781	-2.048	-2.361	-2.087	-2.086
"YLR196W"	-4.71	-5.425	-5.04	-3.221	-4.896	-4.532	-3.946	-2.562	-2.364	-1.459	-5.083	-3.156	-4.437	-5.836	-2.118	-2.858	0.195	-4.664	-4.392	0.305	-0.815	1.362	1.461	-0.798	-0.569	0.096	-3.524	-2.593	-5.097	-0.424	-0.236	0.773	0.891	-0.25	NaN	-0.734	0.558	-0.217	-0.799	-2.941	-3.697	-2.702	-1.684	-1.603	-1.17	-1.054	-1.086	-2.671	-2.167	-3.658	-0.317	-0.74	-1.579	-1.62	-1.73	-1.532
