	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"513.2.5mM DTT 015 min"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"811.DES459 (mec1) + heat 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"813.MHY1 (dun1) + heat 20 min"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"961.1 mM Menadione (20 min) redo"	"971.1mM Menadione (40 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"11466.yO1 test hyb"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12739.Nitrogen Depletion 30 min."	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"
"YFL059W"	-0.223	0.394	-1.515	0.178	-1.124	-0.027	0.039	0.158	0.644	2.373	1.626	1.68	1.873	0.924	1.272	-0.043	-0.338	0.74	1.103	0.651	-0.404	0.2	1.008	0.782	1.043	0.719	1.546	2.744	3.183	0.849	0.986	1.032	-0.961	0.371	0.261	0.153	0.365	0.507	-0.221	1.335	0.866
"YGL156W"	1.798	3.179	-0.909	1.147	2.125	0.213	1.312	0.469	4.377	4.521	4.625	4.645	5.069	5.027	5.027	2.749	3.372	3.335	3.32	3.359	-0.459	0.468	2.737	4.166	4.322	3.981	4.487	4.716	3.456	0.855	0.946	3.83	-1.522	3.063	3.122	2.52	2.321	2.341	0.825	1.995	0.8565
"YGL191W"	1.214	1.325	0.004	0.872	0.496	0.602	0.498	0.917	2.252	3.271	3.144	2.566	2.571	2.095	3.652	2.011	1.736	2.578	1.952	2.511	0.527	0.507	2.806	2.892	2.225	2.502	3.079	2.957	2.465	2.618	2.781	1.85	0.342	0.987	1.342	1.358	0.917	1.09	0.412	2.721	1.208
"YGR043C"	3.768	2.61	-0.585	2.415	3.252	3.422	2.661	2.615	5.679	4.9	5.707	5.692	6.003	5.571	5.458	4.673	4.765	4.955	3.827	4.843	0.379	1.103	5.014	5.207	5.063	5.593	5.207	6.53	5.288	3.962	3.122	4.615	-1.433	1.446	3.238	3.293	2.744	3.369	1.12	5.837	3.37
"YGR046W"	0.043	0.671	-0.508	-0.216	0.226	0.311	-0.023	0.193	1.736	1.476	1.541	1.423	2.266	1.783	2.451	1.017	1.191	1.392	1.12	0.811	0.405	0.355	2.016	1.666	1.74	1.89	2.246	2.534	1.748	1.126	1.421	1.351	-1.591	0.946	0.953	1.259	1.204	1.406	0.521	2.026	0.178
"YGR088W"	3.332	4.829	-0.598	2.69	4.299	2.547	2.375	4.316	6.03	3.589	5.131	5.593	6.165	5.734	4.754	3.901	3.493	3.678	3.823	4.067	1.433	1.521	4.878	5.242	6.064	6.265	5.206	6.919	6.036	3.937	3.389	4.381	-2.766	4.123	4.536	4.467	3.584	3.827	1.805	5.949	3.814
"YGR183C"	0.223	1.0275	-1.045	0.6555	0.456	0.111	0.204	0.426	2.516	2.937	3.093	2.609	1.742	3.487	3.414	1.924	1.266	1.583	1.511	1.834	-0.33	-0.076	2.594	2.333	1.945	2.742	3.301	3.204	2.341	0.726	0.987	1.505	-0.95	0.537	0.538	0.509	0.294	0.907	0.304	2.973	1.424
"YGR201C"	0.9295	0.887	-0.655	1.4665	0.9	0.66	1.011	0.724	5.046	4.249	4.063	4.377	5.158	4.49	4.974	2.246	3.062	2.97	2.896	3.228	0.165	0.203	2.855	2.842	3.597	2.109	2.914	5.103	3.769	2.296	2.061	3.357	-1.76	0.946	2.825	2.23	1.778	2.563	0.207	2.151	1.489
"YHR097C"	1.997	1.6185	-0.2	1.323	1.782	0.362	0.883	2.088	4.238	3.508	3.454	3.542	3.688	3.543	3.746	4.153	3.655	3.289	3.134	3.365	0.511	-0.154	2.362	2.442	3.179	2.502	4.25	4.791	4.791	1.172	1.061	2.076	0.174	1.282	1.532	1.078	1.284	0.773	1.245	3.252	0.521
"YIL146C"	0.1365	1.177	0.009	-0.2555	0.613	-0.053	0.604	-0.251	2.334	2.196	2.111	2.234	2.539	2.94	3.637	0.723	1.068	0.997	1.658	1.857	-0.076	-0.0025	2.306	1.867	2.177	2.693	3.595	3.491	2.947	0.95	1.522	1.477	-1.496	2.292	2.114	2.336	1.873	2.441	0.966	2.204	0.71
