	"53.Elutriation2:Sample2:Time2.0hrs"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"801.Heat Shock 030inutes"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12744.heat shock 17 to 37, 20 minutes"	"21628..24 mM H2O2- 105 minutes"	"21634..24 mM H2O2- 155 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21641..24 mM H2O2- 112 minutes"	"21643..24 mM H2O2- 140 minutes"	"21648..24 mM H2O2- 030 minutes"	"21650..24 mM H2O2- 040 minutes"	"21659..24 mM H2O2- 077 minutes"	"21663..24 mM H2O2- 063 minutes/redo"	"21665..24 mM H2O2- 020 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"	"40946.H2O2_II_7_min"	"40961.MD_II_0_min"	"40980.H2O2_II_21_min"
"YBR006W"	-0.247	3.271	3.024	2.352	2.678	2.804	2.048	2.262	1.169	3.576	3.416	3.979	1.958	1.1	2.464	2.345	2.034	2.603	0.9455	0.037	2.587	1.788	0.678	1.774	1.961	0.756	0.926	0.089	1.414	1.937	0.701	0.113	2.494	1.282	2.608	0.591	0.351	-0.054
"YBR191W"	0.6015	-2.07	-1.945	-1.586	-2.052	-3.136	-3.824	-1.355	-0.743	-3.54	-3.049	-2.071	-3.167	-5.241	-2.114	-1.619	-3.152	-3.411	-4.5465	-0.238	-3.463	-0.8695	0.733	-2.373	-1.976	-0.8155	-0.311	0.7475	-0.69	-2.439	-0.7685	0.513	-1.497	-1.94	-2.427	0.787	-0.2345	0.0955
"YBR266C"	0.74	-3.764	-3.869	-1.732	-2.532	-1.817	-3.376	-1.311	-1.202	-3.053	-2.021	-1.649	-2.463	-4.633	-2.41	-1.681	-2.698	-1.515	-1.6715	-0.199	-4.774	-1.172	0.026	-0.732	-0.494	-0.344	-0.62	0.312	-1.585	-1.425	-0.179	-0.041	-2.147	-3.097	-3.048	-0.413	-1.419	0.079
"YCR072C"	1.272	-4.048	-3.587	-1.931	-2.626	-3.503	-2.949	-1.563	-1.04	-4.777	-2.433	-2.8	-4.4	-4.875	-2.593	-3.05	-3.092	-2.773	-1.4095	0.197	-4.635	-0.435	-0.156	-1.089	-1.678	-0.973	-1.357	-0.102	-0.467	-1.802	-0.642	0.386	-1.703	-4.551	-3.703	-0.445	-0.118	-0.387
"YDL025C"	0.122	1.987	1.402	1.393	1.543	1.828	1.341	0.935	0.342	1.82	1.552	1.824	2.14	2.274	1.308	1.604	1.703	1.144	NaN	-0.336	2.388	0.582	-0.028	1.347	0.537	-0.584	-0.332	0.939	0.786	1.114	0.069	-0.327	1.885	1.836	2.598	0.593	-0.629	0.679
"YDL031W"	0.581	-2.88	-2.3335	-1.2555	-2.1535	-2.805	-2.451	-1.5165	-0.459	-2.5295	-1.48	-1.4865	-2.9525	-3.3365	-1.2945	-1.2675	-2.234	-1.5645	-2.49	-0.398	-2.6385	-1.12	0.155	-1.285	-1.184	-0.71	-0.549	-0.135	-0.316	-1.597	-0.346	0.005	-2.468	-2.583	-2.16	-0.054	0.204	0.175
"YDL061C"	0.36	-1.314	-2.379	-1.585	-2.198	-2.928	-3.023	-1.377	-0.968	-3.45	-2.323	-2.665	-3.265	-4.279	-2.416	-1.571	-2.985	-2.81	-3.44	-0.151	-2.955	-1.221	0.653	-2.097	-1.915	-0.59	-0.234	-0.65	-1.308	-2.201	-1.044	0.285	-1.245	-1.723	-2.791	0.313	0.049	0.909
"YDL063C"	0.662	-3.209	-3.024	-2.433	-2.945	-2.864	-2.304	-2.329	-2.141	0.085	-3.169	-1.826	-1.564	-3.701	-2.057	-1.508	-0.719	-0.923	-2.168	0.05	-3.467	-0.282	-0.154	-1.06	-1.359	-0.532	-0.103	-0.36	-0.697	-1.898	-0.875	-0.004	-2.266	-3.005	-3.127	-0.707	-0.304	-0.7
"YDL151C"	0.654	-2.551	-2.268	-0.899	-1.124	-2.315	-2.527	-2.275	-0.485	-2.901	-1.333	-1.588	-1.283	-3.108	-0.843	-1.479	-1.829	-1.09	-1.322	0.012	-2.934	-0.737	0.118	-0.252	-0.804	-0.192	-0.022	-0.456	0.008	-0.911	-0.167	0.069	-1.637	-3.143	-0.8635	0.391	-0.143	0.299
"YDR025W"	0.868	-1.598	-2.141	-1.495	-2.0	-3.031	-3.248	-1.334	-0.98	-3.904	-3.252	-2.705	-3.393	-6.697	-2.477	-1.997	-3.357	-3.356	-4.504	-0.1025	-3.042	-0.7465	0.7465	-2.1035	-1.871	-0.5795	-0.161	0.279	-0.853	-2.2965	-1.112	0.7535	-1.189	-2.278	-3.906	0.626	0.487	0.0545
