	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6824.Sporulation t0"	"6826.Sporulation t2hrs"	"6834.Sporulation t5hrs"	"6836.Sporulation t7hrs"	"6839.Sporulation t9hrs"	"6841.Sporulation t11hrs"	"6856.Sporulation t30min"	"7760.Na 45min"	"7761.Na 60min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"13493.Y10 mRNP vs. Poly"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"
"YBL027W"	-1.427	-2.851	-1.613	-1.606	-2.671	-5.577	-3.9845	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	0.25	0.083	-0.52	-0.705	-0.819	-0.217	1.175	-1.345	-0.802	-1.848	-1.6965	0.127	-3.528	-3.012	-3.351	-3.139	-2.319	0.124	0.139
"YBL077W"	-1.3815	-3.41	-1.571	-1.176	-3.136	-5.081	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.038	-1.95	-2.641	-2.436	-1.547	-0.737	-2.413	-1.42	-0.959	-0.997	-1.547	-0.291	-2.847	-2.93	-2.854	-2.752	-2.048	0.243	-0.164
"YBR031W"	-1.2165	-1.692	-2.17	-2.397	-2.879	-6.063	-2.6295	-1.7205	-1.7175	-2.312	-1.803	-1.9345	-2.5745	0.185	0.305	0.185	-0.07	-0.44	-0.281	0.515	-1.148	-1.255	-1.338	-1.716	0.579	-2.753	-2.405	-2.518	-2.852	-2.047	0.272	0.314
"YBR106W"	-1.0405	-2.949	-1.83	-1.986	-3.354	-5.052	-2.3915	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	-0.197	0.022	-0.008	0.302	0.246	0.426	-0.1	-1.87	-1.335	-1.925	-1.924	0.358	-3.114	-2.846	-2.825	-2.779	-2.225	0.357	0.114
"YBR121C"	-1.129	-2.66	-1.543	-2.714	-4.037	-5.791	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.328	0.985	0.777	0.297	0.036	-0.026	0.606	-1.237	-1.177	-1.274	-2.249	-0.186	-2.549	-2.264	-2.22	-1.806	-1.543	0.258	0.329
"YDL191W"	-0.963	-1.985	-2.497	-1.975	-2.737	-5.192	-3.616	-2.354	-1.999	-2.077	-1.362	-1.942	-2.86	-0.026	-0.469	-0.255	-0.92	-0.493	-0.711	0.22	-1.646	-1.405	-1.818	-2.212	0.049	-3.35	-2.399	-3.234	-2.557	-1.83	-0.243	-0.212
"YDR025W"	-1.174	-3.904	-2.573	-2.705	-3.393	-6.697	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.144	-0.113	-0.468	-0.87	-0.788	-0.125	0.165	-1.767	-0.948	-1.463	-1.7675	-0.383	-4.772	-3.127	-3.906	-3.552	-2.869	0.368	0.352
"YEL012W"	1.325	3.329	2.713	3.0	3.657	2.655	3.408	2.354	2.721	2.891	2.976	2.45	2.286	-0.301	-0.149	-0.03	0.043	0.229	0.161	-0.473	2.012	2.003	1.434	1.722	0.057	3.207	3.655	3.596	3.65	3.773	0.133	0.077
"YEL054C"	-1.431	-3.654	-1.871	-2.981	-2.98	-7.056	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	0.171	0.415	-0.062	-0.515	-0.549	-0.534	0.269	-1.975	-1.209	-1.876	-2.202	0.021	-4.422	-2.487	-3.815	-2.936	-2.194	0.376	0.419
"YER117W"	-1.115	-2.982	-1.817	-1.95	-2.832	-5.642	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.308	0.178	-0.277	-0.791	-0.739	0.053	1.028	-1.82	-1.278	-1.863	-1.876	-1.307	-3.319	-2.632	-3.238	-3.345	-2.147	-0.288	-0.232
