	"406.heat shock 37 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"651.alpha factor release sample019"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"813.MHY1 (dun1) + heat 20 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"8204.steady state 29 dec C"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"
"YBR121C"	0.43	0.801	0.003	0.701	0.752	-1.9015	-0.7425	-2.66	-1.84	-1.582	-4.037	-5.791	-2.317	-1.95	0.2285	-3.2385	-1.721	-2.416	-4.1355	-4.173	-4.5985	-0.0135	0.492	0.307	0.012	-0.1215	0.03	0.328	0.316	-0.478	0.147	0.791	-1.448	-1.875	-2.549	-2.264	-2.22	-1.806	-1.543	-2.181	-1.588	-1.042
"YBR131W"	-0.125	-0.059	-0.071	0.145	0.214	-0.148	0.0915	-1.235	-0.816	-0.15	-1.727	-2.474	-0.539	0.013	-0.246	-0.4395	-0.267	0.2955	-0.202	-0.304	-0.3285	-0.261	-0.143	-0.14	-0.231	0.038	-0.197	0.006	-0.402	0.109	-0.459	0.0895	0.369	0.26	-1.012	-1.018	-1.631	-1.528	-0.636	-0.263	0.527	-0.41
"YBR181C"	-0.391	1.236	0.0405	1.308	1.121	-2.6035	-0.9905	-3.762	-3.149	-2.554	-3.798	-4.564	-3.3	-3.365	0.3865	-5.0305	-2.0635	-2.493	-2.654	-2.96	-3.945	0.253	0.243	0.253	0.336	0.2295	0.142	0.173	0.678	-0.28	0.482	0.538	-1.388	-0.727	-3.618	-2.718	-2.98	-3.274	-1.849	-2.601	-2.664	-2.261
"YCR072C"	-0.339	0.991	0.171	1.028	0.756	-0.3485	-0.597	-4.777	-2.891	-2.433	-4.4	-4.875	-3.092	-2.773	-0.232	-1.4095	-1.4095	-1.6045	-0.9395	-2.6635	-1.797	-0.038	0.323	-0.165	-0.4765	-0.0405	-0.357	0.095	-0.185	0.197	-0.122	0.544	-1.759	-1.134	-2.819	-2.44	-3.703	-2.838	-1.67	-2.009	-3.049	-2.974
"YDR025W"	0.183	0.692	-0.38	1.014	0.806	-1.284	-0.624	-3.904	-3.548	-3.252	-3.393	-6.697	-3.357	-3.356	0.191	-4.504	-2.828	-1.915	-2.503	-2.895	-3.518	0.181	0.198	0.084	-0.306	-0.035	0.236	0.144	0.344	-0.1025	0.193	1.094	-0.727	-0.273	-4.772	-3.127	-3.906	-3.552	-2.869	-2.535	-2.368	-1.814
"YDR037W"	0.146	0.71	0.437	0.672	0.502	-1.316	-0.666	-4.313	-3.427	-3.607	-4.551	-5.224	-3.226	-2.505	0.253	-1.971	-2.384	-2.681	-2.916	-3.368	-3.772	0.157	0.135	0.376	0.005	-0.13	0.385	0.016	0.418	-0.356	-0.006	0.625	-1.679	-1.751	-4.284	-3.366	-4.204	-3.541	-2.204	-3.047	-1.269	-1.103
"YDR064W"	0.586	1.178	0.086	0.993	1.04	-1.51	-0.243	-3.874	-3.241	-2.585	-3.761	-5.03	-3.208	-3.138	0.217	-3.65	-2.228	-2.718	-2.527	-2.531	-3.199	0.351	0.005	-0.038	-0.0555	-0.36	0.137	-0.088	0.151	-0.2085	0.308	0.9075	-1.562	-0.353	-2.292	-2.803	-2.891	-2.804	-2.287	-2.842	-2.482	-1.611
"YDR101C"	-0.805	1.358	-0.413	1.377	1.43	-1.309	-0.561	-4.306	-3.203	-3.082	-4.145	-4.667	-3.385	-2.743	0.188	-2.52	-2.005	-1.96	-2.862	-3.177	-3.516	0.113	0.45	0.292	-0.248	0.107	-0.233	-0.163	-0.002	-0.084	0.041	0.193	-1.967	-2.143	-2.088	-2.116	-3.048	-2.294	-1.739	-1.524	-2.169	-1.783
"YDR165W"	-0.55	0.933	-0.59	1.095	0.852	-1.335	-0.712	-4.096	-2.538	-2.179	-3.111	-5.309	-3.015	-2.243	0.127	-3.057	-1.816	-1.396	-1.767	-2.409	-2.23	0.27	0.386	0.356	0.001	-0.044	-0.084	-0.097	0.277	0.137	-0.1615	0.6115	-2.67	-1.404	-2.479	-2.722	-3.205	-2.632	-2.085	-2.255	-2.22	-2.152
"YGL076C"	0.541	1.317	0.077	1.147	1.006	-1.633	-0.969	-3.969	-3.136	-2.73	-3.976	-5.667	-3.32	-2.996	0.372	-4.142	-2.037	-2.568	-2.836	-2.79	-3.782	0.275	0.147	-0.384	0.068	-0.016	0.104	-0.125	0.27	-0.303	0.529	0.989666666666667	NaN	NaN	-4.003	-3.509	-3.347	-3.315	-2.544	-2.894	-1.82	-1.4
