	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"8230.dtt 060 min"	"8247.steady state 36 dec C: y14n095"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"42055.U3Comp 05 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"	"42056.U3Comp 06 hr 05 min Uracil Batch vs Chemostat Comparison"	"42057.U3Comp 07 hr 15 min Uracil Batch vs Chemostat Comparison"	"42059.U3Comp 08 hr 08 min Uracil Batch vs Chemostat Comparison"
"YAL007C"	-0.398	-0.321	-0.334	-0.0345	-1.166	-1.318	-0.812	-3.056	-3.632	-1.513	-1.496	-1.8635	-1.6745	0.474	0.09	-0.533	0.382	0.662	-0.397	-0.293	-0.12	-0.713	-0.367	-0.928	0.474	0.47	0.602
"YAL035W"	-0.933	-1.877	-1.017	-0.401666666666667	-2.9955	-1.8465	-1.056	-2.5615	-3.6215	-3.02066666666667	-2.08033333333333	-1.92533333333333	-2.48066666666667	-0.3295	-0.292	-1.505	-1.702	-0.079	-1.932	-0.763	-1.251	-1.485	-0.743	-1.491	-1.707	-1.544	-1.545
"YBL024W"	-1.562	-2.598	-2.9	-1.1915	-3.938	-2.484	-2.376	-4.671	-4.879	-3.8255	-3.4875	-3.5465	-3.993	-0.311	-0.246	-2.821	-1.559	-1.23	-1.978	-0.865	-2.148	-1.714	-0.922	-0.721	-0.707	-1.021	-0.513
"YBL027W"	-1.956	-2.978	-3.487	-1.5715	-2.851	-2.474	-2.081	-2.671	-5.577	-3.9845	-1.9795	-2.114	-3.148	0.771	0.336	-3.078	-2.107	-1.031	-3.012	-2.469	-3.351	-3.139	-2.319	-0.724	-0.96	0.058	-0.271
"YBL072C"	-1.74	-2.905	-3.46	-2.02	-3.835	-3.367	-3.036	-3.192	-6.241	-4.1825	-2.5245	-3.2065	-4.2	0.406	0.042	-2.881	-1.92	-0.973	-2.84	-1.71	-1.857	-2.598	-2.041	-0.615	-0.053	0.357	-0.045
"YBL092W"	-1.913	-2.682	-2.829	-1.3695	-3.458	-3.598	-2.824	-2.896	-5.158	-3.5865	-1.726	-2.74	-2.8475	0.279	-0.274	-2.927	-1.504	-0.836	-2.013	-1.866	-2.599	-2.171	-2.311	-0.405	-0.035	-0.088	-0.532
"YCR053W"	-0.807	-0.663	-0.915	-0.6315	-2.562	-1.828	-2.374	-3.556	-4.283	-2.5805	-2.429	-3.1075	-2.714	0.376	-0.091	-0.425	-1.0725	-0.7835	-2.601	-1.4795	-2.7365	-2.51	-2.2205	-0.4185	-0.615	-0.02	0.1665
"YDL081C"	-2.02	-2.652	-2.683	-0.958	-1.365	-2.041	-1.576	-2.445	-4.594	-1.82	-2.127	-2.133	-2.377	0.705	0.246	-2.362	-1.971	-1.202	-2.104	-1.82	-2.39	-2.49	-2.162	-0.705	0.468	-0.38	-0.956
"YDL082W"	-2.339	-3.052	-2.521	-1.564	-3.223	-2.484	-2.853	-3.326	-5.816	-2.915	-2.186	-3.001	-3.589	0.204	-0.466	-3.338	-2.511	-1.38	-3.698	-2.463	-4.518	-3.314	-3.014	-1.809	-1.186	-0.862	-1.153
"YDR025W"	-2.0	-3.031	-3.248	-1.745	-3.904	-3.548	-3.252	-3.393	-6.697	-4.504	-2.503	-2.895	-3.518	0.453	-0.211	-3.042	-2.278	-1.04	-3.127	-2.93	-3.906	-3.552	-2.869	-0.957	-0.992	-0.442	-0.549
"YDR418W"	-1.617	-2.789	-3.411	-1.861	-3.707	-3.13	-2.7	-3.074	-5.866	-4.449	-2.866	-3.091	-4.066	0.768	0.272	-2.74	-2.105	-1.019	-2.423	-1.873	-3.263	-3.057	-2.027	0.34	-0.104	0.574	0.43
"YER117W"	-2.379	-2.386	-3.056	-1.428	-2.982	-2.613	-2.377	-2.832	-5.642	-3.768	-2.312	-2.562	-2.976	-0.004	0.037	-3.314	-2.377	-1.067	-2.632	-2.403	-3.238	-3.345	-2.147	0.377	0.968	0.638	0.252
"YER131W"	-2.354	-3.171	-3.29	-1.543	-2.813	-3.262	-2.7	-3.664	-6.55	-4.139	-2.105	-2.654	-3.304	0.208	-0.39	-3.097	-2.338	-1.525	-3.237	-2.657	-3.578	-4.068	-2.732	0.17	-0.251	0.4	0.189
"YGL031C"	-1.886	-3.443	-3.97	-1.709	-3.366	-4.285	-3.732	-3.683	-5.763	-5.191	-2.92	-3.061	-3.473	0.061	0.029	-3.282	-2.401	-1.324	-2.458	-2.321	-2.773	-2.852	-1.578	-0.395	-0.692	-0.472	-0.582
"YGL120C"	-3.301	-3.954	-3.877	-1.384	-4.557	-3.087	-2.692	-4.088	-5.111	-3.459	-2.866	-3.888	-4.137	0.004	-0.044	-3.8	-3.466	-2.416	-3.416	-1.183	-3.546	-0.554	-2.329	-0.206	-1.374	-1.38	-0.358
"YGL123W"	-2.339	-3.47	-4.378	-2.338	-3.781	-3.757	-3.726	-4.004	-5.982	-3.511	-2.388	-2.65	-3.558	0.137	-0.32	-3.308	-2.292	-1.348	-3.27	-2.813	-4.123	-3.488	-2.693	-1.007	-0.595	-0.7	-0.89
"YGL135W"	-2.468	-3.231	-3.984	-2.254	-3.221	-2.573	-2.455	-3.418	-5.687	-3.581	-2.267	-2.874	-3.825	0.587	0.184	-3.406	-2.824	-1.612	-2.903	-2.236	-3.617	-3.009	-1.968	-0.673	0.116	-0.91	-1.334
"YGL148W"	-1.735	-2.05	-2.295	-0.669	-3.561	-2.137	-1.719	-2.826	-3.915	-2.555	-1.666	-1.996	2.781	0.684	0.453	-2.451	-2.144	-1.529	-2.547	-2.177	-3.123	-2.69	-2.266	-0.467	-0.152	0.289	-0.487
"YGL245W"	0.074	-0.116	-0.102	-0.461	-1.773	-0.806	-1.565	-4.799	-6.655	-1.847	-3.552	-4.345	-4.779	0.524	0.309	-0.175	-0.747	-0.602	-0.955	-1.095	-0.706	-0.834	-0.29	0.282	-0.318	0.403	0.281
"YGR151C"	-0.915	-1.322	-1.289	0.074	-2.709	-1.974	-1.289	-3.87	-3.928	-2.68	-1.696	-2.582	-2.109	-0.195	-0.177	-1.564	-1.031	-0.569	-1.59	-0.961	-1.703	-1.532	-0.634	0.076	-1.379	-0.942	-1.036
"YGR185C"	-0.6275	-0.4115	-0.9665	-0.439	-3.192	-1.697	-1.695	-5.306	-6.361	-2.754	-4.576	-4.871	-5.006	0.477	-0.14	-0.6405	-0.344	-0.489	-2.768	-2.136	-2.136	-2.312	-2.205	-1.059	-0.341	-0.332	-0.399
"YGR264C"	-1.728	-2.2555	-2.419	-1.067	-3.787	-2.696	-3.156	-5.206	-4.616	-3.897	-4.623	-4.957	-4.753	0.484	0.165	-2.154	-1.523	-0.97	-2.673	-1.736	-3.33	-3.082	-1.962	-0.487	-0.828	-0.894	-1.128
"YHR193C"	-1.1025	-1.2125	-1.1835	-0.26	-1.48	-1.571	-1.259	-3.11	-4.166	-1.731	-1.778	-2.357	-2.845	0.524	-0.073	-0.9755	-0.658	-0.285	-1.013	-0.294	-0.624	-1.356	-1.017	-0.72	0.013	-0.271	-0.388
"YHR203C"	-1.915	-2.8785	-3.5975	-2.357	-3.926	-2.827	-3.148	-3.782	-5.944	-4.669	-2.575	-3.081	-3.941	0.721	0.304	-2.809	-2.942	-1.743	-3.308	-2.46	-3.717	-3.449	-2.785	-0.165	-0.421	-0.141	-1.168
"YHR216W"	-1.571	-1.9425	-2.8755	-1.664	-2.62	-2.056	-2.143	-3.15	-4.943	-2.554	-2.237	-2.621	-2.913	0.212	-0.495	-2.9045	-2.155	-1.434	-3.074	-2.509	-3.001	-2.823	-2.765	-1.066	0.01	-0.343	-0.347
"YIL018W"	-2.2685	-3.509	-3.965	-2.153	-4.365	-3.03	-2.782	-3.492	-5.749	-3.907	-2.661	-3.27	-3.914	0.063	-0.014	-3.4165	-2.641	-1.895	-3.397	-2.864	-4.06	-3.676	-2.806	-1.039	-0.225	-0.679	-1.216
"YIL078W"	-1.3535	-1.7065	-1.8365	-1.543	-2.907	-2.075	-2.018	-5.192	-6.059	-3.786	-4.41	-4.902	-4.944	0.418	-0.327	-1.6345	-2.185	-1.511	-1.937	-1.36	-1.996	-2.548	-1.189	-0.271	-1.625	-1.323	0.203
"YIL133C"	-2.027	-3.384	-3.811	-1.825	-3.333	-3.196	-3.135	-2.693	-5.79	-4.433	-2.615	-3.007	-3.393	0.077	-0.038	-3.3115	-2.292	-0.756	-3.183	-2.607	-4.098	-3.154	-2.466	-0.193	-0.531	-0.376	-0.09
"YJL145W"	-1.124	-1.1075	-1.1695	0.111	-2.076	-1.698	-1.277	-2.136	-3.628	-1.535	-2.303	-2.334	-2.853	0.488	0.332	-0.9195	-1.162	-0.768	-0.792	-0.957	-1.581	-1.582	-1.22	-0.689	-0.62	-0.851	-1.024
"YJL190C"	-2.8085	-3.022	-3.838	-1.982	-3.794	-3.553	-3.267	-3.585	-6.079	-4.469	-2.941	-3.365	-3.524	0.435	-0.208	-3.7855	-3.078	-2.014	-3.912	-3.608	-4.874	-4.273	-3.311	-1.42	-0.128	-0.226	-0.952
"YJR041C"	-1.6395	-2.2375	-2.9255	-1.256	-3.864	-2.277	-1.489	-3.322	-4.286	-2.769	-2.965	-2.872	-2.952	-0.368	-0.108	-2.673	-2.796	-2.274	-2.551	-1.964	-3.443	-2.965	-1.855	-0.665	-1.156	-1.013	-0.386
"YJR069C"	-0.757	-1.1045	-1.034	-0.048	-2.056	-1.976	-1.414	-3.527	-4.151	-1.021	-1.656	-1.806	-1.42	0.207	-0.015	-1.066	-1.227	-0.506	-1.181	-0.635	-1.685	-2.036	-1.662	-0.24	0.103	0.605	0.106
"YJR145C"	-1.8995	-2.8575	-3.3335	-2.239	-4.507	-3.488	-3.177	-3.54	-6.528	-4.857	-2.519	-3.105	-3.178	0.491	-0.139	-2.7805	-2.804	-2.063	-3.373	-2.551	-4.108	-3.771	-2.74	-0.145	-0.549	0.097	-0.78
"YLL045C"	-2.319	-3.116	-3.722	-1.94	-3.851	-3.176	-2.506	-3.857	-6.618	-3.66	-2.943	-3.021	-3.731	0.313	-0.04	-3.545	-2.751	-1.345	-2.833	-2.875	-3.788	-3.87	-2.635	-0.517	-0.343	-0.487	-0.987
"YLR002C"	-2.585	-3.425	-2.737	-0.984	-3.541	-1.701	-1.693	-3.154	-4.959	-2.747	-2.578	-3.265	-3.45	-0.483	-0.301	-4.018	-2.317	-2.108	-1.445	-1.159	-2.422	-2.55	-1.453	-0.249	-0.821	-0.798	0.168
"YLR062C"	-2.335	-3.557	-4.079	-1.641	-4.53	-4.418	-3.352	-5.705	-6.896	-4.96	-4.299	-4.293	-5.234	0.374	0.031	-3.134	-2.944	-1.594	-3.723	-3.681	-4.54	-4.001	-2.894	-1.698	-0.78	-1.276	-0.522
"YLR185W"	-1.439	-2.305	-2.948	-1.36	-4.508	-3.498	-3.001	-2.578	-5.928	-4.019	-2.015	-2.479	-3.065	-0.183	-0.21	-2.487	-2.373	-1.212	-3.007	-2.345	-3.488	-3.242	-2.643	-0.605	-0.063	0.203	0.151
"YLR335W"	-0.855	-0.593	-0.773	0.756	-1.25	-1.569	-1.044	-1.306	-3.177	-1.839	-1.448	-1.681	-2.238	-0.139	-0.214	-0.894	-1.007	-0.691	-1.415	-0.907	-1.209	-1.065	-0.713	0.043	-0.823	-1.007	-0.755
"YLR388W"	-1.861	-2.879	-3.074	-1.403	-3.12	-2.544	-2.264	-3.596	-5.506	-4.025	-2.232	-2.581	-3.193	0.414	0.085	-2.761	-2.178	-1.161	-2.798	-2.25	-3.762	-3.521	-2.816	-1.577	0.053	0.43	-0.943
