	"514.2.5mM DTT 030 min"	"686.YP ethanol vs reference pool"	"802.Heat Shock 060 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"8230.dtt 060 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"15638.Ca+FK 60min (2)"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38145.03II01 batch p1"	"38146.03II01 batch p2"	"38147.03II01 batch p3"	"38148.03II01 batch p4"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"
"YAL036C"	-0.221	-0.159	0.657	-2.24	-1.7	-1.117	-1.024	-1.113	-1.409	-2.145	-1.616	-1.117	-2.5035	-1.829	-1.9095	-1.486	-1.4315	-1.841	-2.0465	-0.0645	-0.2445	0.0615	-0.194	-0.301	-0.086	-1.217	-1.2595	-1.4825	-1.6835	-0.66	-0.789	-1.05	0.591	0.979	1.029	0.811	0.646
"YAL065C"	-0.7165	0.217666666666667	0.301	1.1665	1.0175	1.24	1.254	1.137	1.62	2.0365	0.45	0.4285	1.04966666666667	1.23833333333333	1.53333333333333	1.615	2.44866666666667	2.833	2.012	-0.103666666666667	0.112666666666667	-0.234333333333333	-0.115	-0.239	-0.268666666666667	0.828666666666667	0.862666666666667	0.718333333333333	1.317	-0.0375	0.782	0.9165	-0.3805	-0.4675	-0.5865	-0.433	0.5535
"YBL024W"	-0.454	-1.0245	1.888	-3.938	-2.484	-2.376	-2.16	-2.175	-2.483	-4.671	-2.114	-2.409	-3.8255	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	0.065	0.126	0.186	-0.311	0.151	0.135	-1.534	-1.6095	-1.726	-1.397	-0.29	-1.639	-1.601	0.929	1.052	1.705	1.723	0.232
"YBL048W"	0.293	0.063	-0.381	2.166	2.348	1.633	1.65	2.762	1.81	2.869	2.039	1.089	2.3225	1.224	2.101	2.7535	3.8365	3.63	2.8605	-0.2445	-0.1575	-0.332	-0.336	-0.4885	-0.234	1.93	2.317	1.999	2.107	-0.341	2.786	2.718	0.583	-1.002	-0.555	-0.143	-0.731
"YBL049W"	-0.723	1.2715	0.12	3.632	4.071	3.507	4.101	4.812	2.844	4.254	3.401	3.138	3.3385	2.7155	2.9925	3.8385	4.9405	5.2455	4.1525	-5.0E-4	0.1095	-0.0825	-1.0	-0.1165	-0.133	2.941	3.5405	3.074	3.249	0.038	3.747	3.88	-0.122	-0.804	-0.767	-0.768	-0.554
"YBL077W"	0.097	-1.134	0.221	-3.41	-2.161	-1.694	-1.571	-2.021	-1.176	-3.136	-2.607	-2.667	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.0635	-0.0685	0.168	0.432	0.1505	0.2	-2.488	-2.2065	-2.3345	-2.1125	-0.028	-1.173	-0.687	-0.816	0.416	0.316	0.32	-0.871
"YBR076W"	0.266	0.339	0.426	2.187	2.018	2.385	2.231	2.268	2.994	3.472	1.395	1.303	1.483	0.618	1.4395	1.6245	2.2365	2.6415	1.4465	-0.1285	0.224	-0.1955	-0.199	-0.1545	-0.169	0.3265	0.4305	0.488	0.988	-0.044	1.717	1.334	0.283	0.453	0.621	0.609	-0.091
"YBR121C"	0.064	-1.014	0.077	-2.66	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-2.366	-2.465	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.1215	-0.015	0.0485	0.471	-0.616	-0.142	-2.5385	-2.551	-2.637	-2.6705	-0.309	-2.361	-1.351	0.594	1.218	1.084	1.245	0.775
"YBR143C"	-0.077	-1.0625	0.123	-2.729	-2.378	-2.339	-2.197	-1.932	-2.537	-3.195	-2.012	-2.112	-3.1475	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	0.029	0.0525	0.142	0.165	0.1095	0.1935	-1.91	-1.8905	-1.8585	-1.737	-1.979	-1.462	-1.337	0.863	0.957	1.017	0.82	0.112
"YCR053W"	-0.038	-1.076	0.388	-2.562	-1.828	-2.374	-1.952	-1.707	-1.033	-3.556	-1.41	-1.635	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.025	-0.315	-0.3055	0.376	-0.1245	0.019	-1.6735	-1.907	-1.727	-1.764	0.383	-0.9285	-0.3865	-0.541	0.297	-0.127	-0.21	-0.03
"YDL051W"	0.057	-0.722	0.103	-3.639	-2.402	-2.024	-1.821	-1.668	-2.07	-2.856	-2.131	-2.317	-2.973	-2.013	-1.892	-1.804	-1.557	-2.325	-2.819	0.163	0.016	0.21	-0.275	-0.102	-0.085	-1.098	-0.825	-0.975	-0.671	0.321	-1.387	-1.292	0.907	1.24	1.606	1.18	-0.033
"YDR023W"	-0.074	1.176	-0.403	-1.814	-2.122	-1.859	-1.347	-2.164	-2.077	-2.907	-1.813	-1.696	-3.05	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	-0.019	-0.091	0.318	0.146	0.054	0.175	-1.396	-1.983	-2.106	-1.812	-0.143	-2.322	-1.96	0.808	1.383	1.426	1.387	0.99
"YDR037W"	-0.289	-1.231	0.157	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-2.756	-2.42	-1.971	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	-0.13	-0.292	0.237	0.312	0.112	0.213	-1.695	-1.749	-1.681	-1.888	-0.003	-1.813	-0.769	0.147	-0.822	0.026	-0.773	0.343
"YDR091C"	-0.498	-0.878	0.284	-3.288	-2.045	-1.789	-1.68	-1.547	-1.362	-3.384	-2.03	-2.498	-2.971	-1.631	-1.728	-2.044	-2.636	-3.222	-3.423	0.11	0.065	-0.367	-0.138	-0.684	-0.444	-1.977	-1.695	-1.907	-1.535	-0.384	-2.241	-1.869	-0.014	0.132	0.498	0.059	1.029
"YDR101C"	-0.953	-0.843	0.193	-4.306	-3.203	-3.082	-2.55	-2.315	-2.948	-4.145	-1.752	-2.552	-2.52	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	0.107	0.093	-0.002	-0.534	-0.079	0.113	-1.483	-1.468	-1.513	-1.618	-0.24	-2.454	-1.228	-0.229	-0.655	-0.56	-0.719	1.581
"YDR119W"	-0.793	-0.737	-0.071	-1.325	-1.357	-1.391	-1.3	-1.475	-0.886	-2.546	-1.282	-1.391	-1.416	-1.417	-1.434	-1.86	-1.93	-1.863	-2.202	-0.233	0.012	-0.288	-0.013	-0.358	-0.075	-1.191	-0.894	-1.185	-0.928	-0.434	-1.2975	-0.8575	-0.62	-0.576	-0.685	-0.6935	0.705
"YDR262W"	-0.2675	0.9675	0.236	1.7335	1.8585	1.8825	2.06	2.6665	3.1335	3.3725	1.6855	1.6875	2.2555	2.2405	3.0895	3.2615	4.491	4.8085	4.03	0.1505	0.2325	0.0205	-0.221	0.269	0.129	2.226	2.8725	2.6455	3.067	0.328	2.064	2.2825	0.077	0.329	0.319	-0.511	-1.017
"YDR275W"	-0.837	0.6245	0.1445	1.553	2.2955	2.594	2.161	3.009	3.1575	3.166	1.6115	1.519	1.749	2.036	2.324	3.0055	1.5585	2.794	2.3525	-0.0385	0.51	0.091	-0.2935	0.3325	0.1715	1.796	2.3905	2.416	2.4885	-0.119	2.0975	1.977	0.304	-0.385	0.0825	-0.0405	-0.236
"YDR300C"	0.49	-0.07	0.264	-2.126	-1.055	-0.777	-0.844	-1.426	-1.012	-3.24	-0.751	-1.331	-1.907	-0.879	-1.502	-1.321	-2.003	-3.096	-3.345	-0.19	0.236	0.322	0.29	0.292	0.347	-1.148	-0.725	-1.048	-0.765	-0.484	-1.954	-0.859	-0.073	-0.401	-0.236	-0.68	0.023
"YDR313C"	-0.553	0.398	-0.306	2.369	1.675	1.715	1.7	1.941	2.03	2.161	1.583	1.359	1.484	1.141	2.304	2.311	2.992	2.624	1.746	0.078	0.187	0.134	0.113	0.029	0.115	1.841	2.24	1.875	2.698	0.107	1.65	1.504	-0.043	NaN	-0.757	-0.305	-0.454
"YDR341C"	-0.721	-0.658	0.064	-3.559	-2.27	-1.485	-1.763	-1.574	-1.681	-3.212	-2.134	-2.218	-2.942	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	0.1	0.011	0.215	-0.157	0.005	0.144	-1.663	-1.444	-1.45	-1.573	-0.161	-1.033	-0.679	0.171	0.252	0.042	-0.105	0.23
"YDR365C"	-0.077	-0.883	-0.234	-2.985	-1.698	-2.057	-1.21	-1.232	-1.094	-2.477	-1.205	-1.53	-2.25	-0.89	-1.457	-2.29	-2.877	-3.039	-3.298	0.047	-0.149	0.318	-0.557	0.362	0.637	-1.48	-1.896	-1.765	-2.045	-0.911	-1.632	-1.191	0.61	1.012	1.092	0.688	0.299
"YDR450W"	-0.069	-0.344	0.108	-3.254	-2.797	-2.204	-1.895	-2.039	-1.925	-2.6	-2.618	-2.153	-4.313	-2.118	-2.576	-2.784	-2.988	-2.959	-3.465	0.282	0.285	0.602	0.798	0.451	0.244	-1.697	-1.103	-1.182	-0.548	-0.232	-2.605	-2.23	0.21	0.521	0.88	0.474	0.519
"YDR496C"	0.976	-0.79	-0.264	-3.1645	-1.29	-2.3365	-2.027	-1.674	-2.018	-3.591	-1.899	-2.136	-3.995	-2.1765	-2.168	-2.517	-2.6065	-3.579	-3.3065	0.0765	-0.09	0.364	-0.962	0.452	0.59	-1.078	-1.1385	-0.998	-1.31	-0.7245	-1.696	-1.134	0.457	0.921	1.316	0.813	0.386
"YER074W"	-0.307	-0.673	0.048	-3.675	-3.209	-3.607	-2.262	-2.096	-2.671	-3.067	-0.968	-2.26	-5.146	-2.436	-2.823	-2.735	-2.339	-2.829	-3.947	0.089	0.055	0.31	0.284	0.046	-0.059	-2.093	-1.377	-1.381	-1.519	-0.174	-1.046	-1.243	1.013	1.06	1.206	1.287	0.406
"YER110C"	0.634	-1.075	0.511	-5.799	-1.967	-2.319	-2.157	-1.988	-1.816	-3.498	-1.922	-1.599	-2.975	-1.633	-2.152	-2.411	-2.787	-4.061	-3.78	0.239	0.074	-0.676	-0.791	-0.968	-0.412	-2.292	-2.033	-2.13	-2.163	-0.364	-1.077	-1.029	-0.081	-0.128	-0.3	-0.36	0.084
"YER116C"	-0.41	0.381	-0.079	1.235	1.172	1.249	0.994	1.572	1.644	2.613	1.09	0.923	0.067	0.474	1.115	1.236	1.784	2.637	1.75	0.123	0.152	-0.152	-0.562	0.214	0.189	1.312	0.5	0.87	1.734	-0.3255	0.599	0.664	-0.168	-0.538	-0.176	-0.206	0.449
"YER118C"	-0.062	-0.744	0.748	-2.119	-1.275	-0.813	-0.898	-0.913	-1.822	-2.598	-0.87	-1.557	-1.7	-0.974	-1.116	-1.35	-1.371	-2.206	-1.965	0.143	0.048	0.021	-0.188	0.242	0.119	-1.062	-1.075	-0.815	-0.625	-0.052	-1.608	-0.748	-0.186	0.001	0.06	0.033	-0.352
"YFR031BC"	-0.142	-1.727	0.081	-4.567	-3.823	-3.84	-2.931	-2.798	-2.801	-4.702	-3.594	-3.523	-4.74	-2.253	-2.521	-2.912	-3.164	-3.863	-4.146	-0.05	-0.444	-0.011	0.494	0.025	-0.229	-2.329	-1.89	-1.842	-2.188	-0.229	NaN	NaN	NaN	NaN	NaN	NaN	1.983
"YGL120C"	0.333	-0.996	0.105	-4.557	-3.087	-2.692	-1.947	-2.077	-2.282	-4.088	-1.739	-2.813	-3.459	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	0.0	0.081	0.196	0.004	0.161	0.382	-1.654	-1.288	-1.486	-1.696	-0.466	-2.319	-2.199	-0.048	0.599	0.461	0.558	0.412
"YGL192W"	-0.082	0.501	0.371	2.077	1.847	2.102	1.774	1.845	2.403	3.302	1.135	-0.882	2.506	1.691	1.824	2.073	3.832	4.675	3.934	-0.153	0.253	-0.422	0.117	-0.281	-0.153	0.543	1.005	0.783	1.008	-0.109	1.524	1.739	0.303	-0.916	-0.29	-0.172	-0.046
"YGR061C"	-0.201	-0.907	0.552	-1.1505	-1.4555	-1.015	-1.0655	-1.003	-1.6865	-2.8345	-1.048	-1.7135	-1.835	-1.1355	-1.7575	-1.891	-1.7885	-1.6345	-2.528	-0.0275	-0.338	-0.471	-0.177	-0.577	-0.344	-1.328	-1.454	-1.7425	-1.861	-0.27	-1.498	-0.8335	-0.208	-0.4365	-0.1065	-0.372	0.562
"YGR094W"	-0.056	-0.953	0.291	-3.268	-2.215	-2.202	-1.925	-2.093	-1.689	-4.521	-2.033	-2.487	-3.175	-1.691	-2.442	-2.85	-4.254	-4.392	-5.518	0.124	-0.016	-0.073	0.247	0.062	0.056	-2.594	-2.478	-2.327	-2.93	-0.07	-0.8195	-1.1425	0.332	-0.1375	-0.257	-0.121	0.2295
"YGR103W"	0.012	-1.088	-0.359	-4.825	-3.051	-3.013	-2.66	-2.148	-2.349	-1.948	-2.149	-1.634	-4.861	-2.978	-2.918	-2.95	-2.768	-3.578	-3.882	0.129	-0.29	0.471	-1.031	0.068	0.46	-1.997	-1.822	-1.515	-1.737	-0.733	-2.3075	-1.8465	0.4665	0.9125	1.369	0.7985	0.737
"YGR110W"	-0.682	1.155	0.207	3.059	3.408	3.575	2.845	3.106	3.427	4.541	2.425	2.361	3.976	2.805	2.625	2.566	2.578	4.305	3.146	-0.112	0.25	-0.487	-0.347	-0.513	-0.497	1.613	1.652	1.585	2.135	-0.2935	2.622	3.029	-0.296	-0.795	-0.825	-0.961	-1.356
"YGR145W"	-0.086	-0.672	0.219	-4.245	-2.091	-1.808	-1.15	-1.077	-0.983	-2.133	-1.257	-1.739	-3.496	-2.143	-1.897	-1.466	-2.519	-3.279	-3.084	0.034	-0.448	0.423	-0.441	0.143	0.434	-1.207	-1.222	-1.233	-1.291	-0.4655	-2.221	-1.697	0.609	0.494	1.1	0.363	0.528
