	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"985.constant 0.32 mM H2O2 (20 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"8204.steady state 29 dec C"	"8234.dtt 240 min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"12744.heat shock 17 to 37, 20 minutes"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YBL072C"	-2.905	-3.46	-3.367	-3.036	-3.192	-6.241	-3.06	-3.401	-3.188	-3.091	-1.772	-4.1825	-2.074	-2.5425	-2.5865	1.553	1.468	0.57	-2.149	-0.16	-2.881	-2.148	0.4985	-0.8895	0.451	0.208	0.196	0.343	0.264	-0.012	-3.92	-3.013	1.676	1.718	1.717
"YBL092W"	-2.682	-2.829	-3.598	-2.824	-2.896	-5.158	-3.0	-2.812	-2.665	-2.635	-1.397	-3.5865	-2.2215	-2.153	-2.4445	1.61	1.471	-0.167	-1.829	-0.223	-2.927	-1.653	-0.375	-1.095	0.452	0.63	0.739	0.598	0.402	0.379	-2.495	-2.227	1.301	1.238	1.237
"YBR031W"	-2.365	-2.602	-1.795	-2.055	-2.879	-6.063	-2.233	-3.04	-2.831	-2.633	-0.734	-2.6295	-1.7205	-1.7175	-2.312	1.676	1.33	0.557	-0.846	0.081	-2.114	-1.733	0.0575	-2.11	0.358	0.326	0.388	-0.08	0.272	0.314	-2.936	-2.509	1.309	0.806	0.805
"YBR191W"	-3.136	-3.824	-3.222	-3.049	-3.167	-5.241	-3.152	-3.411	-2.563	-2.467	-1.391	-4.5465	-2.1205	-2.496	-2.5175	1.554	1.354	0.696	-2.088	-0.107	-3.463	-1.897	0.378	-1.16	0.283	0.074	0.254	-0.015	0.066	0.005	-2.908	-2.439	1.255	1.368	1.367
"YDL191W"	-2.102	-2.434	-2.367	-2.75	-2.737	-5.192	-2.911	-2.813	-2.518	-2.408	-1.133	-3.616	-2.354	-1.999	-2.077	1.246	0.97	0.497	-1.742	0.54	-1.898	-1.117	0.28	-0.8865	0.024	-0.061	-0.04	-0.115	-0.243	-0.212	-3.143	-2.392	0.732	1.103	1.102
"YDR012W"	-2.261	-2.437	-1.485	-1.479	-3.045	-5.83	-2.057	-2.542	-2.676	-2.765	-0.536	-1.936	-1.732	-1.886	-1.901	1.681	1.303	0.477	-0.935	0.284	-2.398	-1.488	-0.461	-1.871	0.643	0.519	0.399	0.239	0.433	0.655	-2.54	-2.651	1.093	0.785	0.784
"YDR025W"	-3.031	-3.248	-3.548	-3.252	-3.393	-6.697	-3.357	-3.356	-3.471	-3.326	-1.137	-4.504	-2.828	-1.915	-2.886	1.649	1.422	0.344	-2.304	-0.468	-3.042	-1.2315	0.647	-1.355	0.47	0.145	0.459	0.458	0.368	0.352	-3.528	-2.366	0.873	1.125	1.124
"YDR465C"	-3.765	-3.563	-3.006	-2.225	-2.676	-2.557	-1.835	-1.963	-0.623	-0.896	-1.733	-1.809	-1.561	-1.19	-1.551	1.491	0.478	0.268	-1.623	0.395	-3.782	-0.893	-0.64	-1.059	-0.199	-0.236	-0.389	-0.19	-0.038	0.113	-2.713	-1.17	1.053	1.165	1.164
"YER102W"	-2.922	-3.415	-3.965	-3.177	-3.64	-6.434	-3.101	-3.625	-3.37	-3.204	-1.514	-4.286	-2.008	-2.613	-2.593	1.491	1.368	0.375	-2.128	-0.552	-2.712	-2.308	0.667	-1.801	0.253	0.36	0.381	0.251	0.311	0.678	-4.388	-2.774	1.803	1.792	1.791
"YER118C"	-1.314	-1.494	-1.275	-0.813	-2.598	-3.457	-1.55	-1.195	-0.87	-1.557	-0.963	-1.7	-0.974	-1.116	-1.35	0.332	0.389	-0.097	-0.317	-0.3	-1.637	-0.662	0.589	0.863	-0.102	-0.149	0.368	-0.469	-0.324	-0.13	-1.608	-0.748	0.49	0.679	0.678
"YER156C"	-2.542	-2.112	-2.154	-1.121	-1.153	-3.573	-2.475	-2.482	-1.622	-1.731	-0.974	-1.496	-1.192	-1.186	-1.949	0.628	1.287	-0.051	-0.755	-0.747	-2.306	-0.1455	0.644	-0.8245	-0.067	-0.377	-0.347	-0.188	0.056	0.057	-1.481	-1.576	0.251	-0.033	-0.034
"YGL076C"	-2.744	-3.119	-3.136	-2.73	-3.976	-5.667	-3.32	-2.996	-2.857	-1.957	-0.913	-4.142	-2.037	-2.568	-2.648	1.549	1.454	0.27	-2.239	-0.8	-2.656	-2.02033333333333	0.479666666666667	-1.68166666666667	0.478	0.616	0.551	0.563	0.316	0.406	-2.783	-2.886	1.139	1.352	1.351
"YGL123W"	-3.47	-4.378	-3.757	-3.726	-4.004	-5.982	-4.112	-3.654	-3.701	-3.959	-0.854	-3.511	-2.071	-2.414	-2.278	2.379	1.558	0.584	-1.983	-0.521	-3.308	-2.36	0.558	-2.027	0.054	-0.011	0.312	0.274	0.173	0.214	-3.674	-2.831	1.831	1.768	1.767
"YGL135W"	-3.231	-3.984	-2.573	-2.455	-3.418	-5.687	-3.217	-3.23	-3.119	-2.071	-0.99	-3.581	-2.03	-2.512	-2.692	1.403	1.413	0.244	-1.561	-0.08	-3.406	-2.147	-0.275	-1.6595	0.107	-0.024	0.16	-0.057	-0.05	0.096	-3.261	-2.609	1.899	1.901	1.9
"YGL189C"	-1.848	-2.255	-2.994	-3.074	-3.07	-5.824	-2.288	-2.376	-2.552	-1.852	-0.9	NaN	NaN	NaN	NaN	1.396	1.131	0.503	-2.208	-0.035	-2.068	-1.739	0.9385	-0.765	0.836	0.625	0.618	0.711	0.727	0.567	-2.918	-2.339	0.48	0.526	0.525
