	"39.alpha factor release sample027"	"56.Elutriation2:Sample2:Time3.5hrs"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1107.alpha factor release sample025"	"1673.alpha factor release sample021"	"6344.DES460 + 0.02% MMS - 5 min"	"11466.yO1 test hyb"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YBL077W"	0.104	0.236	0.875	-3.41	-2.161	-2.021	-3.136	-5.081	-2.763	-2.285	-2.607	-2.667	0.401	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.7015	0.062	0.1535	-0.095	-1.547	0.13	-0.4145	-0.715	-0.9025	-0.8685	-0.4665	-0.876	-2.847	-2.93	-1.123	-1.089	-1.275
"YBR121C"	0.4785	0.328	1.631	-2.66	-1.84	-2.186	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	0.2285	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.598	-0.0135	0.271	0.03	-2.249	-0.702	-0.9585	-0.825	-0.9375	-1.0775	-0.871	-1.119	-2.549	-2.264	-1.562	-1.674	-1.532
"YBR143C"	0.222	0.114	0.781	-2.729	-2.378	-1.932	-3.195	-4.642	-2.033	-2.231	-2.012	-2.112	0.333	-3.1475	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	0.2155	-0.087	0.3445	0.012	-1.699	-0.826	-0.6585	-0.599	-0.803	-0.7505	-0.8725	-1.195	-2.722	-2.02	-1.074	-1.466	-1.342
"YDR023W"	0.182	0.054	1.318	-1.814	-2.122	-2.164	-2.907	-5.745	-1.288	-1.116	-1.813	-1.696	0.304	-3.05	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	0.985	0.047	0.649	0.024	-2.091	-0.04	-0.5	-0.5	-0.612	-0.848	-0.656	-1.517	-2.302	-1.458	-0.925	-1.188	-1.865
"YER090W"	0.146	-0.049	1.115	-2.556	-1.619	-1.569	-3.804	-5.004	-2.439	-2.138	-1.889	-1.861	0.45	-1.857	-0.616	-1.078	-1.311	-2.327	-2.585	-3.495	0.682	0.15	0.345	0.039	-0.819	-0.731	-0.954	-0.642	-1.279	-1.312	0.733	-0.629	-1.276	-1.879	-2.078	-1.764	-1.564
"YGR185C"	0.292	0.427	1.186	-3.192	-1.697	-2.13	-5.306	-6.361	-1.442	-1.736	-2.6	-2.266	0.491	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	0.895	-0.005	0.147	0.0675	-2.438	0.026	-0.813	-0.712	-0.799	-1.209	1.162	-1.66	-3.17	-2.768	-1.479	-1.363	-1.71
"YHR068W"	0.163	0.272	1.075	-3.316	-2.566	-3.015	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	0.349	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	1.041	0.09	0.159	-0.0565	-2.29	-0.295	-0.269	-0.574	-0.904	-0.973	0.163	0.614	-2.437	-2.467	-1.514	-1.571	-1.08
"YJR007W"	0.331	-0.032	0.955	-2.169	-1.704	-1.68	-3.21	-8.057	-1.588	-1.339	-1.824	-1.91	0.416	-1.755	-1.571	-1.848	-2.051	-2.909	-3.009	-3.616	0.667	0.148	0.474	0.099	-1.685	-0.464	-0.524	-0.213	-0.502	-0.699	-0.656	-1.181	-2.064	-2.16	-1.128	-1.125	-1.579
"YKL056C"	0.571	0.7	0.872	-3.205	-2.603	-1.541	-3.426	-5.119	-1.914	-2.359	-2.371	-2.389	0.338	-2.468	-1.669	-1.741	-2.281	-2.754	-3.265	-3.483	0.265	0.287	0.21	0.2585	-1.777	-0.398	-0.741	-0.781	-0.942	-0.961	-0.41	-1.467	-1.781	-1.747	-1.376	-1.417	-1.832
"YKR059W"	0.345	0.513	1.171	-2.144	-1.383	-1.543	-2.817	-4.998	-2.593	-2.103	-2.531	-2.238	0.355	-2.018	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	0.488	0.175	0.214	-0.226	-1.996	-0.145	-0.903	-0.865	-0.948	-1.054	-0.439	-1.764	-2.448	-2.0	-1.908	-2.161	-2.469
"YLR060W"	0.105	0.612	1.279	-3.165	-2.617	-2.499	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	0.369	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	1.127	-0.01	0.18	0.076	-2.464	-0.294	-1.071	-1.031	-1.01	-1.192	-1.011	-1.427	-2.734	-2.666	-2.049	-1.932	-1.459
"YLR293C"	0.603	0.251	1.003	-3.594	-2.185	-2.207	-3.488	-6.281	-2.107	-1.751	-2.233	-2.661	0.559	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.585	0.285	0.515	0.168	-2.235	-0.686	-0.642	-0.661	-0.632	-0.613	-0.775	-1.042	-3.113	-2.525	-1.071	-1.216	-2.049
"YMR235C"	0.114	0.162	0.872	-1.54	-1.45	-1.783	-3.534	-5.187	-1.622	-1.883	-1.879	-2.052	0.175	-1.679	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	0.503	0.037	0.166	-0.11	-1.782	-0.013	-0.57	-0.18	-0.475	-0.676	-0.583	-1.208	-1.798	-1.514	-1.126	-1.068	-1.297
"YNR043W"	0.334	0.26	0.697	-3.5005	-1.8155	-1.86	-2.934	-5.1565	-2.5105	-1.9175	-1.949	-1.8335	0.1	-1.36	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	1.241	0.223	0.186	0.057	-1.878	-0.781	-1.252	-0.275	-1.066	-0.847	0.642	-1.037	-1.759	-1.955	-1.142	-1.425	-0.99
