	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"519.2.5mM DTT 180 min"	"598.29 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"800.Heat Shock 015 minutes"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"979.wt_plus_gamma_30_min"	"4048.0.8M NaCl +FK506 - 30 min"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"
"YBR247C"	-4.052	-3.103	-2.541	-3.015	-3.19	-1.244	0.003	0.856	-3.127	-3.42	-1.692	-3.969	-3.12	-0.496	-2.109	0.076	-0.982	-1.811	-2.939	-1.846	-1.363	-2.327	-2.346	1.05	0.538	-0.017	0.0815	0.285	0.2905	0.102	-2.961	-0.921	-1.142	-2.974	-2.345	-2.802	-2.285	-1.576
"YCL059C"	-3.484	-4.242	-3.611	-4.218	-3.675	-2.133	0.231	0.955	-1.901	-4.786	-1.94	-5.277	-2.27	-0.397	-1.379	0.0035	-0.797	-1.281	-2.524	-2.535	-0.821	-2.387	-3.161	0.899	0.864	0.193	0.5575	0.4215	0.493	0.082	-4.664	-0.324	-0.2	-2.908	-2.614	-4.103	-3.887	-4.436
"YDR087C"	-3.126	-4.143	-2.758	-3.643	-3.468	-1.429	0.474	1.227	-1.886	-4.139	-2.337	-4.944	-2.528	-0.201	-0.865	0.311	-0.873	-1.075	-1.68	-1.547	-0.851	-1.708	-2.134	0.862	0.372	0.019	0.597	0.158	0.565	0.017	-4.13	-0.029	0.193	-3.928	-2.942	-2.55	-2.338	-3.396
"YDR091C"	-2.613	-2.435	-2.061	-2.869	-2.781	-0.538	0.007	0.996	-2.561	-3.288	-1.789	-4.4	-2.925	-0.475	-1.845	0.11	-0.512	-1.735	-2.074	-1.731	-1.271	-1.652	-1.604	0.444	0.18	-0.379	-0.684	-0.444	-0.319	-0.24	-2.972	-0.234	-0.47	-2.978	-1.412	-3.163	-3.117	-2.953
"YDR165W"	-3.154	-2.85	-2.419	-2.874	-2.762	-1.473	0.042	1.095	-1.9	-4.096	-2.179	-5.309	-3.015	-0.581	-1.398	-0.044	-0.479	-1.455	-2.129	-1.683	-0.891	-1.967	-1.516	1.379	0.758	0.181	0.428	0.436	0.323	0.147	-2.787	-0.2655	-0.313	-3.068	-1.809	-3.533	-2.479	-3.205
"YDR299W"	NaN	-5.126	-3.609	-4.521	-3.496	-1.242	-0.097	0.97	NaN	NaN	NaN	NaN	NaN	-0.158	-1.966	0.151	-1.417	-1.773	-2.876	-2.118	-1.374	-2.405	-2.732	0.322	0.0	0.062	0.639	0.61	0.651	0.167	-4.453	-1.207	-1.347	-2.672	-0.984	-1.696	-1.557	-3.212
"YDR361C"	-2.862	-3.438	-3.115	-3.356	-3.263	-1.866	0.183	1.136	-2.556	-3.61	-1.951	-3.634	-2.072	-0.651	-1.049	0.226	-0.642	-1.071	-1.767	-1.519	-0.855	-1.74	-1.823	0.786	0.767	0.118	0.647	0.53	0.612	0.038	-3.92	0.151	0.154	-2.614	-2.362	-3.229	-2.708	-3.998
"YDR534C"	1.876	1.913	-0.049	-0.708	-0.469	-0.096	0.172	-0.667	0.787	0.744	1.523	2.974	0.955	-0.259	2.536	0.165	-0.084	1.975	2.125	1.574	0.956	1.622	1.492	-0.118	-0.176	0.0	-0.01	0.111	0.23	-0.046	0.304	0.006	0.38	1.491	0.859	0.535	0.487	0.485
"YER126C"	-3.132	-2.634	-3.488	-4.626	-4.459	-1.479	0.244	1.185	-2.724	-4.455	-2.384	-5.367	-2.355	-0.176	-2.191	0.385	-0.868	-1.979	-3.035	-2.036	-1.422	-2.942	-2.828	0.85	0.216	-0.045	0.437	0.26	0.453	-0.218	-5.253	-1.345	-1.3555	-5.806	-2.916	-3.166	-2.489	-3.761
"YGL078C"	-4.33	-3.709	-3.238	-4.399	-3.428	-1.788	0.287	1.485	-2.77	-4.866	-1.916	-4.455	-2.914	-0.272	-2.446	0.117	-0.918	-2.395	-3.376	-2.165	-1.541	-2.267	-2.353	0.96	0.23	-0.332	-0.176	0.13	-0.033	-0.29	-4.147	-0.706	-1.613	-3.538	-2.819	-2.52	-3.53	-3.576
