	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"117.heat shock 60 min"	"118.heat shock 80 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"685.YP sucrose vs reference pool"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"986.constant 0.32 mM H2O2 (30 min) redo"	"990.constant 0.32 mM H2O2 (100 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7549.33C no sorbitol 5 min"	"7760.Na 45min"	"7764.Na+FK 45min"	"8193.steady state 15 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"8234.dtt 240 min"	"8235.dtt 480 min"	"12744.heat shock 17 to 37, 20 minutes"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"
"YBR132C"	3.266	2.873	2.872	0.815	0.527	2.983	3.13	2.733	-0.5315	0.935	0.878	3.812	4.245	3.753	1.379	0.672	2.822	2.258	-0.783	NaN	3.2645	2.806	3.039	2.2645	2.966	2.174	0.122	-0.096	-0.143	1.151	2.42	1.45	0.6	-0.939	-0.334	-0.788	1.213	0.034	2.946	-0.673	-0.079	3.025	2.199	1.794	2.438	2.318	2.465	1.723	-0.039
"YCLX02C"	-4.024	-3.848	-3.119	-0.691	-0.551	-2.69	-3.872	-3.655	0.0435	-1.804	-1.834	-4.118	-2.592	-2.422	-1.372	0.505	-2.734	-1.938	-1.312	-0.383	-3.098	-2.1245	-1.9175	-2.411	-2.441	-1.72	-0.25	0.151	-0.219	-0.692	-2.282	-1.974	-0.05	0.165	0.328	-0.348	-1.529	-0.09	-4.225	-0.281	-0.065	-2.679	-2.749	-2.605	-3.541	-2.722	-1.445	-1.766	0.459
"YDL148C"	-4.262	-3.299	-3.284	-0.549	-0.41	-2.868	-3.476	-2.829	0.388	-1.936	-1.813	-3.372	-1.757	-1.734	-2.115	0.07	-2.168	-2.141	-1.623	-0.233	-4.282	-1.828	-2.056	-2.139	-2.527	-2.05	0.226	0.339	-0.092	-0.543	-2.173	-1.032	-0.336	0.905	0.649	0.374	-1.681	-0.542	-3.488	-0.328	-0.163	-2.998	-1.234	-1.942	0.058	-4.494	NaN	-1.279	0.268
"YDL153C"	-4.549	-4.406	-4.333	-0.517	-0.119	-3.047	-4.369	-3.668	0.585	-2.31	-1.684	-3.698	-2.049	-1.68	-2.125	0.082	-2.307	-1.325	-2.334	-0.336	-2.633	-1.834	-1.682	-1.728	-0.597	-1.373	-0.202	0.14	-0.267	-0.526	-2.642	-2.125	-0.447	0.574	0.471	-0.009	-1.829	-0.569	-4.079	-0.328	-0.337	-2.5	-1.022	NaN	-5.47	-2.392	-2.075	-0.652	-0.019
"YDR025W"	-1.598	-1.899	-2.141	-1.062	-1.124	-2.0	-3.031	-3.248	0.684	-1.268	-0.964	-3.904	-3.548	-3.252	-2.477	-1.301	-3.357	-3.356	-0.747	0.436	-4.504	-2.828	-1.915	-2.886	-2.895	-1.887	-0.228	-0.217	0.236	-0.185	-1.767	-1.45	-0.268	0.906	0.637	0.308	-2.304	0.084	-3.042	0.5505	0.459	-2.278	-4.772	-3.127	-3.906	-3.552	-2.869	-2.535	0.142
"YDR083W"	-2.781	-3.54	-3.602	-1.008	-0.8	-2.743	-3.018	-3.242	0.555	-1.874	-1.206	-3.47	-2.724	-1.65	-2.497	-0.554	-2.697	-1.847	-1.681	-0.454	-2.436	-1.715	-1.355	-1.838	-2.45	-1.114	-0.154	0.04	-0.375	-0.931	-1.78	-2.098	0.069	0.78	0.872	0.174	-1.277	-0.027	-3.386	-0.072	-0.123	-3.178	-1.488	-1.18	-2.713	-1.403	-1.129	-1.362	0.736
"YDR085C"	3.068	2.992	2.335	0.632	0.834	2.0	2.103	2.17	-0.201	2.138	1.595	3.595	2.344	2.333	1.599	0.629	2.494	2.705	2.207	0.4	2.788	2.298	2.313	3.068	1.345	1.796	0.538	0.052	0.078	0.47	1.181	1.534	0.352	-1.138	-1.248	-1.494	1.052	0.293	2.086	0.451	0.354	2.999	2.526	2.335	3.365	2.189	2.049	1.943	-0.135
"YDR324C"	-3.512	-3.118	-2.824	-0.823	-0.548	-2.336	-3.184	-3.012	0.138	-1.5	-1.183	-3.361	-2.361	-1.762	-2.225	-0.529	-2.212	-1.921	-1.492	0.413	-2.573	-2.143	-2.391	-1.803	-2.306	-1.491	0.359	0.34	-0.123	-0.36	-3.039	-1.945	-0.073	0.553	0.708	0.356	-1.45	0.0	-3.609	0.723	0.242	-2.29	-1.857	-2.128	-3.2975	-2.27	-0.931	-1.0265	0.088
"YDR436W"	1.695	2.222	1.538	0.005	0.27	1.403	1.739	1.674	-0.562	0.847	0.269	2.736	1.998	1.493	0.94	0.221	1.892	1.265	0.386	NaN	1.359	0.897	1.373	1.788	1.763	0.936	0.277	0.159	-0.1	0.674	2.649	2.446	0.509	-0.238	-0.578	-0.529	0.911	-0.017	2.048	-0.568	0.258	0.823	1.746	1.459	2.833	2.13	1.813	1.404	-0.562
"YDR450W"	-1.91	-1.876	-1.979	-0.952	-0.439	-1.959	-2.844	-3.077	0.803	-1.104	-0.96	-3.254	-2.797	-2.204	-2.564	-1.072	-3.208	-3.201	-0.677	-0.147	-4.313	-2.118	-2.576	-2.784	-2.959	-1.596	0.248	0.258	0.082	0.514	-2.182	-1.786	-0.01	1.209	0.94	0.899	-1.75	0.11	-3.008	0.7345	0.519	-1.894	-3.787	-3.762	-3.594	-3.453	-2.352	-2.575	0.401
