	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"34368.batch 02X25 7"
"YBL077W"	-3.136	-5.081	-2.607	-2.667	-2.816	-3.3595	-3.1945	-0.687
"YBR121C"	-4.037	-5.791	-2.366	-2.465	-4.1355	-4.173	-4.5985	-1.351
"YBR143C"	-3.195	-4.642	-2.012	-2.112	-2.698	-2.699	-3.572	-1.337
"YBR154C"	-3.531	-4.423	-1.73	-1.85	-2.6225	-3.012	-3.8995	-1.014
"YBR205W"	-2.047	-3.842	-1.164	-1.251	-0.8785	-1.5345	-2.119	-0.575
"YBR249C"	-3.39	-6.025	-1.86	-1.223	-2.9975	-3.288	-3.9875	-0.936
"YCL030C"	-3.111	-5.337	-0.18	0.006	-0.6325	-1.3505	-1.3655	-0.094
"YCL057W"	-1.278	-3.12	-0.76	-0.891	-1.0735	-1.5655	-1.6815	0.168
"YDL195W"	-2.022	-4.61	-1.162	-1.279	-2.271	-2.24	-2.391	0.207
"YDR002W"	-2.756	-4.542	-1.99	-1.796	-1.672	-2.746	-2.987	-1.041
"YDR044W"	-2.007	-2.624	-0.777	-0.743	-1.644	-2.341	-2.111	-0.49
"YDR098C"	-1.722	-3.797	-0.94	-1.178	-1.355	-2.09	-2.226	-0.883
"YDR158W"	-3.546	-5.115	-1.965	-1.881	-3.109	-3.802	-4.509	-0.624
"YDR209C"	-1.955	-5.369	-1.363	-1.717	-1.769	-2.61	-2.151	-0.152
"YDR341C"	-3.212	-5.262	-2.134	-2.218	-3.262	-3.294	-3.559	-0.679
"YER006W"	-2.345	-4.571	-1.673	-1.513	-2.195	-2.03	-3.232	-0.846
"YER043C"	-4.78	-6.476	-3.096	-3.18	-3.31	-4.857	-4.918	-2.554
"YER086W"	-3.61	-5.173	-2.311	-2.028	-2.624	-2.882	-3.77	0.149
"YER122C"	-1.428	-4.276	-1.046	-1.526	-1.324	-1.945	-2.168	-0.61
