	"497.Heat Shock 000 minutes"	"598.29 deg growth"	"684.YP fructose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"2064.Hypo-osmotic shock - 5 min"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13065.Na/Na+FK 30min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32624.S1Comp 07 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32626.S1Comp 08 hr 55 min Sulfate Batch vs Chemostat Comparison"	"33361.delKin82(DBY10089) vs. wt (DBY8778)"	"34357.batch 02X25 1"	"34872.S4Comp 05 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34874.S4Comp 06 hr 05 min Sulfate Batch vs Chemostat Comparison (rescan)"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"42062.U3Comp 10 hr 08 min Uracil Batch vs Chemostat Comparison"	"42063.U3Comp 11 hr 10 min Uracil Batch vs Chemostat Comparison"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YBL027W"	1.4805	0.242	0.5675	1.274	1.424	1.77	0.509	0.487	-0.0155	2.086	0.193	0.429	0.472	0.486	-0.007	0.325	1.029	0.311	1.721	1.102	0.658	1.201	0.951	0.751	0.8235	0.8375	0.448	0.4285	0.357	0.8625	0.5495	0.8405	0.6425	0.964666666666667	2.1	1.888	0.375	0.464	1.413	1.362	0.671	0.582	0.584	2.036	2.049	3.306	1.57	1.462	1.447	0.225	0.357	0.813	0.813	0.926	1.102	0.925
"YBL072C"	1.4025	0.238	0.5215	1.377	1.296	2.378	0.716	0.7055	0.489	2.746	0.27	0.248	0.447	0.343	0.611	0.474	1.029	0.463	1.553	1.468	0.505	1.154	1.008	1.105	0.729	0.846	0.54	0.361	0.214	0.905	0.485	0.785	0.809	1.1345	1.72	1.181	1.174	0.973	1.025	1.145	0.375	0.576	0.496	1.72	2.294	1.636	1.302	1.396	1.386	0.351	0.929	1.681	1.676	1.718	2.235	1.717
"YBL087C"	1.1915	0.384	1.038	1.463	0.964	1.794	0.645	0.565	-0.25	1.391	0.318	0.458	0.702	0.538	0.196	0.421	1.164	0.593	1.763	1.493	0.828	1.184	1.155	0.788	0.8315	1.101	0.543	0.2745	0.6755	0.867	0.5485	1.018	0.817	0.855333333333333	0.912	0.577	1.47	0.61	1.424	1.319	0.799	0.64	0.704	1.811	2.134	2.036	1.092	1.357	1.615	0.075	0.528	1.564	1.784	1.707	1.864	1.706
"YBR031W"	1.114	0.107	0.408	1.106	0.886	2.377	0.084	0.1705	-0.049	1.828	0.025	0.209	0.339	0.404	-0.0485	0.236	0.718	0.389	1.676	1.33	0.224	0.98	1.035	0.596	0.772	0.378	0.518	0.128	0.198	0.781	0.307	0.433	0.498	0.5335	0.857	1.087	1.266	0.523	0.634	1.017	0.336	0.318	0.895	1.354	1.776	1.62	0.886	1.526	1.351	0.137	0.217	1.307	1.309	0.806	1.094	0.805
"YBR048W"	1.223	0.231	0.56	1.0345	0.2985	2.449	0.447	0.706333333333333	0.320666666666667	0.975666666666667	0.333	0.3615	0.528	0.521	0.190666666666667	0.3725	1.0115	0.6235	1.5925	1.169	0.53	0.9795	0.9555	0.5835	0.545	0.557333333333333	0.00733333333333333	0.230666666666667	0.0686666666666667	0.607	0.404666666666667	0.630666666666667	0.771333333333333	0.9645	2.045	2.03	0.575	0.539	1.382	0.691	0.467	0.42	0.9	1.49	2.207	2.11	1.127	1.572	-0.458	0.027	0.187	0.997	1.04	0.99	1.256	0.989
"YBR181C"	1.236	0.369	0.594	1.308	1.121	2.072	0.706	0.736	-0.1305	2.0575	0.115	0.258	0.39	0.317	0.2295	0.349	1.084	0.567	1.634	1.245	0.678	1.215	1.064	0.69	0.842	0.827	0.24	0.0725	0.069	0.542	0.2715	0.7575	0.511	0.538	2.036	1.484	0.547	0.596	1.257	0.942	0.673	0.578	0.453	2.654	2.51	2.321	1.243	2.098	0.703	0.204	0.589	1.678	1.768	1.798	2.257	1.797
"YBR189W"	1.308	0.48	0.8365	1.486	1.201	1.645	0.392	0.501	-0.7465	1.1175	0.145	0.307	0.51	0.416	0.262	0.345	1.049	0.521	1.378	1.232	0.794	1.246	1.379	0.922	0.8445	0.849	0.307	0.387	0.237	0.5725	0.421	0.773	0.6325	0.6615	2.21	1.681	1.286	0.964	1.952	1.736	1.065	0.714	1.197	2.03	2.591	1.758	1.941	1.145	1.209	0.215	0.434	1.484	1.484	1.697	1.592	1.696
"YBR191W"	1.0965	0.485	0.957	1.388	0.879	1.992	0.509	0.373	0.149	1.1285	0.239	0.327	0.537	0.453	0.1555	0.538	0.954	0.73	1.554	1.354	0.703	1.239	1.315	0.799	0.931	0.8265	0.479	0.2795	0.2245	0.867	0.503	0.67	0.811	0.804	1.889	1.794	1.038	0.556	1.839	1.664	0.749	0.664	1.46	2.285	2.574	1.964	1.109	2.105	1.756	0.258	0.419	1.102	1.255	1.368	1.396	1.367
"YDR012W"	1.023	0.066	0.648	1.071	1.068	1.79	0.156	-0.053	-0.135	1.601	-0.071	0.26	0.295	0.303	-0.13	0.359	0.671	0.307	1.681	1.303	0.693	1.163	1.067	0.746	0.798	0.515	0.386	0.047	0.04	1.027	0.282	0.386	0.749	0.607	1.084	1.237	1.38	0.471	1.382	1.47	0.33	0.245	0.809	1.22	1.917	1.876	1.658	1.436	0.889	0.199	-0.063	1.207	1.093	0.785	1.132	0.784
"YDR025W"	0.692	0.028	0.058	1.014	0.806	2.153	0.334	0.188	-0.038	2.767	0.188	0.379	0.418	0.657	-0.035	0.286	0.903	0.622	1.649	1.422	0.304	0.906	0.637	0.308	0.7205	0.7575	0.1065	0.384	0.2575	0.564	0.459	0.741	0.835	1.094	1.97	1.766	0.651	0.592	1.644	1.385	0.676	0.688	0.718	2.3	2.272	2.45	1.114	0.948	0.547	-0.01	0.31	0.989	0.873	1.125	1.423	1.124
