	"410.heat shock 21 to 37, 20 minutes"	"815.1M sorbitol - 15 min"	"817.1M sorbitol - 30 min"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1107.alpha factor release sample025"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"1301.PHO81c vs. wild type, exp.2"	"4048.0.8M NaCl +FK506 - 30 min"	"7538.25C -- 60 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"8521.dun1- + 0.02% MMS - 120 min"	"12733.Nitrogen Depletion 8 h"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"21631..24 mM H2O2- 190 minutes"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"28846.P2Comp 10 hr 5 min Phosphate Batch vs Chemostat Comparison2"	"28847.P2Comp 10 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28848.P2Comp 10 hr 35 min Phosphate Batch vs Chemostat Comparison2"	"28849.P2Comp 10 hr 50 min Phosphate Batch vs Chemostat Comparison2"	"28851.P2Comp 11 hr 51 min Phosphate Batch vs Chemostat Comparison2"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"30463.Pomona/Brown pol2-12 red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"34359.batch 02X25 3"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YER074W"	-3.205	-1.22	-0.779	2.056	-3.675	-2.262	-3.067	-3.854	-0.733	-1.815	-2.26	-5.146	0.863	-0.016	2.164	-1.448	-0.352	-1.056	1.385	-1.263	-2.053	-1.285	-2.034	0.13	-3.382	0.126	0.139	0.159	-0.911	-0.988	-1.343	-1.265	-1.134	-1.272	-1.964	-2.325	-2.559	-2.854	-2.349	-2.629	-2.689	-1.459	-0.741	-1.851	0.147	-0.582
"YGL031C"	-3.97	-1.333	-0.862	2.221	-3.366	-2.9	-3.683	-5.763	-1.287	-1.245	-2.704	-5.191	1.152	0.308	2.166	-1.748	-0.449	-0.866	1.492	-1.005	-2.226	-1.763	-2.016	-0.352	-3.595	0.165	0.267	0.295	-2.0725	-2.2515	-2.4945	-2.2865	-2.046	-1.759	-2.913	-3.011	-4.3115	-4.2995	-3.932	-4.1075	-4.381	-3.1125	0.407	-3.814	0.73	-1.876
"YGL076C"	-3.119	-0.891	-0.969	2.346	-3.969	-2.564	-3.976	-5.667	-1.338	-1.913	-1.957	-4.142	0.897	0.275	2.882	-1.617	-0.231	-0.655	1.549	-0.764	-1.847	-1.305	-1.888	-0.266	-2.969	0.3355	0.3835	0.157	-1.71533333333333	-1.996	-1.935	-1.64166666666667	-1.78433333333333	-1.68166666666667	-2.675	-2.48366666666667	-3.289	-2.84433333333333	-2.96833333333333	-2.839	-2.94466666666667	-2.21966666666667	-0.434	-4.003	-0.175	-1.82
"YGL123W"	-4.378	-1.415	-0.807	2.601	-3.781	-3.265	-4.004	-5.982	-1.784	-1.642	-3.959	-3.511	1.101	0.497	2.365	-2.041	-0.033	-1.266	2.379	-1.574	-2.323	-2.087	-2.138	-0.133	-2.897	0.421	0.408	0.356	-2.288	-2.3975	-2.5535	-2.2415	-2.2895	-2.027	-2.568	-3.229	-3.7625	-3.803	-3.686	-3.643	-3.5495	-3.527	-0.012	-4.217	0.529	-2.333
"YHL033C"	-3.793	-1.375	-1.136	2.169	-3.758	-1.944	-3.984	-6.65	-1.028	-1.783	-2.318	-4.25	1.02	0.264	2.175	-1.631	0.005	-0.876	1.619	-1.22	-2.309	-1.718	-1.866	-0.2505	-3.051	0.154	0.246	0.186	-1.999	-1.81	-1.935	-1.905	-2.009	-1.437	-2.265	-3.616	-3.944	-3.682	-3.155	-3.337	-3.615	-2.993	0.56	-1.38	0.52	-2.101
"YHR021C"	-3.2995	-0.751	-0.352	1.193	-3.57	-2.215	-1.221	-2.894	-1.141	-1.353	-2.085	-2.705	-0.008	-0.093	1.443	-1.087	-0.467	-1.057	1.139	-1.43	-1.704	-1.357	-1.271	-0.4045	-2.811	0.006	0.173	-0.142	-1.624	-1.677	-1.894	-1.763	-1.18	-2.406	-3.016	-2.338	-3.352	-3.684	-3.066	-3.249	-2.105	-2.099	0.282	-2.576	0.127	-2.157
"YHR203C"	-3.5975	-1.054	-0.754	2.714	-3.926	-2.671	-3.782	-5.944	-1.473	-1.998	-3.049	-4.669	1.332	0.219	2.739	-1.59	-0.091	-1.394	2.0	-1.777	-2.455	-1.726	-2.243	-0.002	-3.65	0.073	0.156	0.363	-2.147	-2.241	-2.022	-2.181	-1.854	-1.83	-2.579	-2.92	-3.724	-3.381	-3.14	-2.817	-2.823	-2.412	0.322	-4.467	0.419	-2.517
"YIL018W"	-3.965	-1.744	-1.096	2.16	-4.365	-2.724	-3.492	-5.749	-1.014	-0.848	-3.151	-3.907	1.314	0.301	2.689	-1.884	0.087	-1.021	1.312	-1.261	-1.963	-1.389	-2.403	0.008	-3.591	0.22	0.186	0.024	-2.594	-2.56	-2.284	-2.339	-2.306	-2.449	-2.425	-3.156	-4.085	-3.975	-4.3	-3.406	-2.913	-3.545	0.345	-4.277	-0.086	-2.821
"YJL191W"	-1.93	-0.897	-0.584	1.82	-3.452	-1.784	-2.009	-3.556	-0.964	-1.5	-1.523	-2.213	0.814	-0.009	1.978	-1.18	-0.081	-0.666	0.739	-0.697	-1.202	-0.699	-1.811	-0.1225	-2.221	0.315	0.263	-0.106	-1.747	-1.431	-1.445	-1.24	-1.106	-1.694	-2.611	-2.502	-3.389	-3.385	-3.274	-2.833	-3.051	-2.38	-0.622	-2.593	0.013	-1.645
"YJR145C"	-3.3335	0.917	-0.561	2.605	-4.507	-2.731	-3.54	-6.528	-1.641	-1.781	-3.707	-4.857	1.101	0.228	2.789	-1.631	-0.065	-1.291	1.834	-1.623	-2.162	-1.723	-2.369	-0.0675	-3.331	0.394	0.212	-0.217	-2.054	-2.329	-2.09	-2.324	-2.053	-2.065	-1.868	-2.469	-3.725	-3.373	-3.619	-3.539	-3.245	-2.436	0.051	-4.335	0.606	-2.369
