	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YBL092W"	1.356	-2.896	-5.158	-2.665	-2.635	1.7355
"YBR118W"	0.675	-2.846	-5.272	-2.128	-1.73	-0.4135
"YBR121C"	1.631	-4.037	-5.791	-2.366	-2.465	1.461
"YBR127C"	1.354	-0.987	-4.101	-1.214	-1.313	0.723
"YBR154C"	0.766	-3.531	-4.423	-1.73	-1.85	1.1225
"YBR191W"	1.992	-3.167	-5.241	-2.563	-2.467	1.1285
"YBR252W"	0.704	-1.919	-3.909	-1.535	-1.757	0.596
"YBR283C"	1.02	-1.689	-3.351	-1.617	-1.52	0.8575
"YBR288C"	0.19	-2.229	-3.524	-0.751	-1.088	0.2405
"YCR003W"	0.244	-1.833	-2.705	0.012	-0.737	0.04
"YCR034W"	1.683	-3.204	-4.331	-1.895	-2.489	0.3615
"YDL167C"	0.86	-3.033	-4.001	-1.281	-1.577	0.818
"YDL185W"	0.816	-2.522	-4.417	-1.308	-2.012	0.997
"YDL232W"	0.071	-1.95466666666667	-3.68533333333333	-1.17066666666667	-1.33833333333333	-0.0356666666666667
"YDR012W"	1.79	-3.045	-5.83	-2.676	-2.765	1.601
"YDR172W"	1.066	-1.895	-3.408	-1.333	-1.012	0.434
"YDR211W"	0.3	-1.706	-4.77	-1.476	-2.096	0.66
"YDR331W"	0.206	-1.384	-2.808	-0.904	-1.063	0.382
"YDR353W"	1.626	-2.014	-4.007	-1.426	-1.478	1.627
"YDR361C"	-0.006	-1.945	-3.634	-1.299	-1.313	0.427
"YDR417C"	2.373	-4.279	-5.062	-2.864	-2.95	2.333
"YDR447C"	1.974	-3.659	-5.332	-2.813	-3.129	1.98
"YDR502C"	2.779	-2.705	-5.303	-2.056	-2.199	2.165
"YDR527W"	0.315	-1.224	-2.609	-0.882	-0.776	0.211
"YEL002C"	-0.109	-2.448	-4.407	-1.136	-1.694	-0.032
"YER009W"	0.872	-2.671	-4.765	-2.143	-1.906	1.053
"YER086W"	1.074	-3.61	-5.173	-2.311	-2.028	1.399
"YER090W"	1.115	-3.804	-5.004	-1.889	-1.861	1.457
"YER117W"	1.9	-2.832	-5.642	-2.843	-2.483	1.414
"YFL008W"	0.758	-1.807	-2.884	-0.526	-0.748	0.072
"YFL037W"	1.871	-3.125	-5.562	-1.971	-1.476	1.356
"YFR025C"	0.429	-2.373	-3.739	-0.725	-0.941	0.368
"YFR044C"	0.55	-3.87	-5.917	-1.039	-1.546	0.462
"YGL022W"	1.066	-3.396	-4.268	-1.595	-1.742	0.708
"YGL030W"	1.208	-3.668	-5.484	-2.6	-2.361	1.403
"YGL031C"	2.221	-3.683	-5.763	-3.063	-2.704	2.166
"YGL147C"	3.056	-3.921	-7.507	-3.466	-3.166	2.757
"YGL157W"	-0.448	-3.578	-6.107	-1.999	-2.143	-0.224
"YGR027C"	1.564	-2.797	-5.39	-2.612	-2.307	1.487
"YGR034W"	1.368	-3.052	-6.281	-2.282	-2.579	1.181
"YGR173W"	1.097	-2.218	-3.699	-1.747	-1.752	1.687
"YGR185C"	1.186	-5.306	-6.361	-2.6	-2.266	1.522
"YGR200C"	0.837	-2.863	-3.668	-1.597	-1.625	1.275
"YGR240C"	0.243	-0.505	-3.806	-1.546	-2.107	0.476
"YGR261C"	0.396	-2.682	-3.233	-1.189	-1.363	0.605
"YHL017W"	0.343	-2.193	-3.301	-0.606	-0.459	0.144
"YHR019C"	1.822	-4.051	-5.077	-2.664	-2.76	2.274
"YHR020W"	2.212	-2.69	-4.045	-2.178	-2.045	2.204
"YHR042W"	0.74	-2.228	-4.647	-1.35	-1.381	0.638
"YHR108W"	1.334	-2.982	-5.02	-1.712	-1.923	0.921
"YHR127W"	1.052	-1.518	-2.837	-0.982	-1.016	0.756
"YHR141C"	1.113	-2.472	-3.64	-2.575	-1.44	0.704
"YHR163W"	1.442	-2.869	-4.663	-1.832	-2.13	1.164
"YIL051C"	0.692	-1.907	-4.988	-2.281	-1.902	0.452
"YIL078W"	1.358	-5.192	-6.059	-2.5	-2.462	1.692
"YIR012W"	0.35	-3.791	-4.69	-2.137	-2.092	1.223
"YJL071W"	0.764	-1.219	-2.635	0.019	-0.359	0.544
"YJL111W"	0.863	-3.38	-6.57	-1.796	-1.988	1.213
"YJL157C"	1.441	-3.548	-7.731	-2.54	-2.599	0.49
"YJL179W"	0.448	-2.457	-4.843	-1.397	-1.35	0.335
"YJL189W"	0.96	-2.901	-4.28	-1.716	-1.833	1.053
"YJL196C"	1.666	-3.4	-4.585	-1.932	-1.147	0.868
"YKL122C"	-0.062	-2.027	-4.576	-1.249	-1.64	-0.036
"YKL127W"	1.68	-3.89	-5.619	-1.708	-1.963	1.071
"YKL210W"	0.294	-2.409	-4.432	-0.982	-0.519	-0.089
"YKR026C"	0.771	-2.863	-3.755	-1.657	-1.681	1.196
"YKR059W"	1.171	-2.817	-4.998	-2.531	-2.238	1.052
"YLL008W"	0.934	-2.899	-6.113	-1.847	-2.162	1.277
"YLL024C"	0.347	-2.574	-5.009	-1.621	-1.443	0.807
"YLL045C"	2.311	-3.857	-6.618	-3.185	-2.744	2.059
"YLR027C"	1.547	-0.931	-4.006	1.429	-1.512	1.301
"YLR043C"	0.912	-2.278	-4.337	-1.648	-1.81	0.105
"YLR060W"	1.279	-4.941	-5.967	-2.672	-2.566	1.836
"YLR061W"	1.21	-4.939	-6.591	-3.021	-3.058	1.802
"YLR129W"	0.119	-2.877	-4.914	-2.185	-2.333	0.913
"YLR243W"	-0.232	-1.955	-3.657	-1.501	-1.433	0.506
"YLR293C"	1.003	-3.488	-6.281	-2.233	-2.661	1.2
