	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"684.YP fructose vs reference pool"	"685.YP sucrose vs reference pool"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1014.YPD 2 d (25C)"	"1107.alpha factor release sample025"	"1313.diauxic shift timecourse: 20.5 hr"	"1686.YP raffinose vs reference pool"	"2144.heat shock 37 to 37, 30 minutes"	"2554.Hypo-osmotic shock -15 minutes"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13064.wt/crz1 Ca 30min (2)"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27101.P1Comp 07 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32251.DBY8778_heat_shock2_5min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38154.03II01 batch p10"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"
"YAL060W"	2.909	3.127	2.823	3.046	1.762	2.441	2.912	3.167	-0.777	-0.533	1.491	1.829	1.861	1.448	0.748	3.323	2.145	1.463	1.345	2.146	2.349	1.953	-1.234	1.922	0.367	1.822	0.6645	0.263	-0.044	-0.616	-0.655	-0.088	1.046	1.358	3.49	0.718	-0.696	-0.237	-0.465	-0.64	-1.06	2.529	4.066	3.57	2.107	4.051	3.973	3.24	2.801	2.078	0.965
"YBR183W"	2.18	2.642	2.195	2.332	1.841	2.479	2.801	2.592	0.302	-0.234	1.762	1.838	1.999	0.906	0.826	4.661	3.119	2.557	3.002	2.486	2.418	2.43	-0.037	2.6755	-0.2865	1.914	0.1215	0.364	-0.46	-0.177	-0.142	-0.161	0.721	1.823	2.809	0.899	0.931	-0.717	1.14	1.193	0.708	2.512	3.705	3.348	2.563	4.716	3.579	3.13	3.325	1.145	-0.539
"YBR230C"	3.818	3.52	3.472	3.132	2.459	3.122	3.534	3.545	-1.5805	-1.0455	2.475	2.736	2.952	2.762	2.015	3.909	4.829	4.066	4.149	2.361	2.09	2.594	-0.997	3.341	-0.057	1.984	1.2595	0.211	-0.679	-1.367	-1.072	-1.032	1.638	3.762	3.751	0.956	1.118	-1.586	1.47	1.429	1.802	3.382	3.455	4.448	3.661	4.138	4.11	4.81	4.233	2.414	-0.883
"YCR091W"	1.998	2.968	2.375	2.534	1.185	2.087	2.708	2.257	-0.622	-1.0615	0.747	1.393	1.091	0.499	0.253	4.284	3.522	3.241	3.278	3.192	3.306	3.015	-0.897	2.345	-0.049	1.465	0.303	0.033	-0.805	-0.793	-0.292	-0.247	0.69	1.384	2.802	-0.14	0.103	-0.213	-0.021	-0.169	0.563	1.23	3.628	2.288	1.59	3.677	2.956	1.701	3.005	1.703	-0.547
"YDR165W"	-2.444	-3.154	-3.024	-2.85	-1.053	-2.419	-2.874	-2.762	0.508	0.847	-1.089	-2.006	-1.752	-1.294	-0.968	-4.096	-2.538	-2.179	-2.247	-1.82	-3.015	-2.243	0.383	-1.396	0.27	-1.231	-0.158	0.287	0.194	0.504	0.252	0.004	-0.69	-1.0245	-2.787	-0.335	-0.7325	-0.0555	-0.8035	-0.859	-0.63	-2.796	-2.479	-2.722	-1.934	-3.205	-2.632	-2.085	-2.255	-2.779	0.561
"YDR231C"	1.589	1.341	1.444	1.206	0.782	1.114	1.463	1.261	-1.048	-0.625	1.881	1.875	1.845	1.306	1.735	2.73	2.763	1.325	1.878	1.347	1.529	1.517	-0.842	0.891	-0.03	1.959	0.51	-0.057	-0.912	-0.864	-0.542	-0.378	0.789	1.8855	1.215	0.721	0.5615	-0.4565	0.6175	0.6195	0.434	1.376	3.034	2.843	3.073	3.219	2.829	2.373	2.628	2.237	-0.583
"YDR272W"	1.4355	1.398	1.8245	1.726	1.245	1.169	1.5475	1.5175	-0.2225	-0.1245	0.8835	1.201	1.139	1.15	0.984	2.977	2.0815	2.1805	1.707	1.229	1.303	1.3	-0.199	1.6595	0.009	1.806	-0.0035	0.1025	-0.1485	-0.4115	-0.306	-0.3355	0.9025	0.919	1.611	0.0135	-0.046	0.2705	0.267	-0.088	-0.2575	1.366	2.7975	2.781	2.309	2.887	2.5605	2.5915	2.444	1.7555	-0.2495
"YDR358W"	2.138	2.604	2.781	2.612	1.186	1.99	2.447	2.394	-0.621	-0.533	0.927	1.525	1.148	1.105	0.514	4.268	3.057	2.909	3.162	2.838	2.493	2.23	-0.498	2.181	-0.2225	1.086	0.22	-0.008	-0.447	-1.509	-0.496	-0.33	1.327	1.765	2.402	0.049	0.534	-0.216	0.55	0.728	0.484	1.849	2.662	2.369	1.427	3.478	2.433	2.088	1.87	1.638	0.112
"YEL012W"	1.989	1.629	1.697	1.417	0.575	1.138	1.765	0.893	-0.933	-0.415	1.638	1.696	1.233	1.235	0.959	3.329	3.222	3.376	2.713	2.017	1.923	2.342	-0.62	2.721	0.008	2.842	-0.181	0.281	-0.483	-0.543	-0.419	-0.472	1.415	1.722	1.368	-0.0705	0.0585	-0.4865	0.757	0.253	0.531	2.807	3.207	3.655	3.532	3.596	3.65	3.773	3.083	1.392	0.807
"YER020W"	1.397	1.699	1.673	1.636	0.871	1.0	1.807	1.375	-0.428	-0.409	0.839	1.205	0.984	1.008	0.665	3.441	2.725	1.995	3.104	1.923	2.532	1.972	-0.653	1.747	-0.182	1.172	-0.002	-0.081	-0.714	-0.751	-1.204	-0.208	1.044	0.26	0.67	0.155	0.382	0.172	-0.075	0.254	0.031	1.606	2.766	2.707	2.189	3.041	3.065	1.905	2.685	1.695	-0.128
