	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"
"YAR002W"	-1.515	-2.289	0.184	-0.202	-0.948	-0.658	-0.884	-1.3745	-1.1825	-1.2165	-1.493	-1.9265	-1.5805	-0.0405	-0.206	-0.122
"YBL072C"	-3.192	-6.241	-2.22	-1.39	-3.06	-3.401	-3.188	-4.1825	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	-1.2745	-2.079	-1.021
"YBL077W"	-3.136	-5.081	-0.875	-0.137	-2.763	-2.285	-2.607	-2.792	-2.0335	-2.345	-2.816	-3.3595	-3.1945	-0.8755	-0.841	-0.441
"YBR017C"	-1.621	-2.961	-0.665	-0.304	-1.498	-1.027	-1.018	-1.4435	-0.9435	-1.582	-1.7435	-1.8555	-1.7945	-0.3705	-0.268	-0.32
"YBR106W"	-3.354	-5.052	-1.132	-0.303	-2.258	-2.173	-2.595	-2.3915	-2.0935	-2.137	-2.3225	-3.147	-3.2985	-0.5375	-0.2715	-0.3605
"YBR118W"	-2.846	-5.272	-1.359	-1.099	-1.697	-1.781	-2.128	-2.0895	-1.4355	-1.294	-1.7525	-2.167	-3.221	-1.247	-1.5705	-0.955
"YBR121C"	-4.037	-5.791	-1.822	-0.738	-2.317	-1.95	-2.366	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	-1.068	-0.92	-0.358
"YBR156C"	-0.3815	-3.3335	-0.09	0.051	-0.6165	-0.723	-1.051	-1.09	-0.816	-0.96	-1.25133333333333	-1.533	-1.692	0.240333333333333	0.240666666666667	0.355666666666667
"YBR227C"	0.3895	-0.8715	0.42	0.075	0.0615	0.3015	0.3955	-1.02666666666667	-0.365666666666667	-0.367	-0.819666666666667	-1.61566666666667	-0.89	0.510666666666667	0.316666666666667	0.343666666666667
"YCR090C"	-2.154	-3.547	-0.324	-0.152	-0.463	-0.449	-0.587	-0.7875	-0.809	-0.8085	-1.35	-1.5355	-1.325	0.16	0.4065	0.1435
"YCRX04W"	-0.925	-2.1	-0.247	-0.095	-0.903	-0.777	-0.496	-1.344	-0.9125	-1.117	-1.319	-1.583	-1.54	-0.234	-0.0895	-0.134
"YDL082W"	-3.326	-5.816	-2.246	-1.193	-2.537	-3.01	-1.18	-2.915	-2.383	-2.182	-2.186	-3.001	-3.589	-1.117	-1.542	-0.555
"YDL103C"	-2.99	-2.758	0.011	-0.151	-0.504	-0.766	-0.689	-0.402	-1.0	-0.538	-1.404	-2.3	-0.654	0.201	0.246	-0.238
"YDL143W"	-1.678	-3.716	-1.585	-0.446	-1.469	-1.161	-1.388	-2.075	-1.56	-1.794	-2.612	-3.143	-2.716	-0.48	-0.36	-0.506
"YDL164C"	-2.07	-2.932	-0.441	0.246	-0.983	-1.128	-0.654	-1.375	-0.848	-0.591	-1.104	-1.04	-1.585	0.029	0.326	-0.102
"YDR002W"	-2.756	-4.542	-0.378	-0.375	-1.195	-1.43	-1.99	-2.073	-1.309	-0.91	-1.672	-2.746	-2.987	0.239	0.151	0.431
"YDR023W"	-2.907	-5.745	-1.036	-0.333	-1.288	-1.116	-1.813	-3.05	-1.553	-2.313	-3.056	-3.357	-3.85	-0.357	-0.47	-0.161
"YDR209C"	-1.955	-5.369	-0.692	-0.616	-1.294	-1.022	-1.363	-1.283	-1.348	-1.709	-1.769	-2.61	-2.151	0.471	0.796	0.307
"YDR212W"	-1.862	-4.59	-0.51	-0.162	-1.138	-1.157	-1.291	-1.061	-1.069	-1.229	-1.535	-1.828	-1.707	-0.525	-0.498	-0.511
"YDR237W"	-1.1785	-3.483	-0.162	-0.295	-0.117	-0.098	-0.597	0.9195	-0.8005	-0.7685	-0.778	-1.253	-0.803	0.2245	0.1465	-0.132
"YDR341C"	-3.212	-5.262	-1.223	-0.356	-2.587	-2.171	-2.134	-2.942	-1.942	-2.263	-3.262	-3.294	-3.559	-0.551	-0.582	-0.185
"YDR365C"	-2.477	-4.269	-1.689	-0.014	-1.534	-1.027	-1.205	-2.25	-1.457	-2.29	-2.877	-3.039	-3.298	-0.506	0.233	0.905
"YER009W"	-2.671	-4.765	-0.796	-0.33	-1.145	-1.222	-2.143	-1.108	-1.407	-1.465	-2.034	-2.393	-2.025	-0.59	-0.705	-0.717
"YER043C"	-4.78	-6.476	-1.214	-0.529	-2.364	-1.977	-3.096	-3.583	-3.174	-3.716	-3.31	-4.857	-4.918	-0.649	-0.837	-0.494
"YER086W"	-3.61	-5.173	-1.019	0.058	-2.869	-2.152	-2.311	-2.719	-1.847	-1.837	-2.624	-2.882	-3.77	-0.297	-0.283	0.195
"YER0871C"	-1.766	-2.794	-0.68	-0.56	-1.328	-1.315	-0.865	-1.036	-0.831	-0.909	-0.894	-1.329	-1.317	-0.375	-0.523	-0.632
"YER090W"	-3.804	-5.004	-0.481	-0.002	-2.439	-2.138	-1.889	-1.857	-1.078	-1.311	-2.327	-2.585	-3.495	0.246	0.401	0.511
"YER102W"	-3.64	-6.434	-2.571	-1.581	-3.101	-3.625	-3.37	-4.286	-2.613	-2.593	-2.579	-3.326	-3.859	-1.178	-1.897	-1.135
"YFR028C"	-2.027	-4.271	-0.419	-0.228	-1.011	-1.222	-1.037	-1.141	-1.142	-1.447	-1.092	-1.864	-1.575	-0.239	-0.338	-0.343
"YGL020C"	-2.94	-3.361	0.002	-0.048	-0.298	-0.359	-0.686	-0.897	-1.059	-0.84	-1.253	-1.605	-1.338	0.271	0.248	0.177
"YGL050W"	-1.73	-2.381	-0.178	-0.242	-0.938	-0.741	-0.557	-1.029	-0.732	-0.359	-0.824	-0.874	-1.231	0.395	0.404	-0.006
"YGL245W"	-4.799	-6.655	-0.334	-0.266	-1.774	-1.33	-1.699	-1.847	-1.589	-2.121	-3.552	-4.345	-4.779	0.06	0.168	0.222
"YGR037C"	-3.63	-4.976	0.033	0.162	-1.063	-1.0	-1.298	-1.429	-1.612	-1.441	-1.964	-2.717	-2.416	0.296	0.212	-0.267
"YGR185C"	-5.306	-6.361	-0.6	-0.344	-1.442	-1.736	-2.6	-2.754	-2.531	-2.944	-4.576	-4.871	-5.006	-0.288	-0.192	0.247
