	"597.25 deg growth"	"598.29 deg growth"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"6824.Sporulation t0"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"8526.dun1- + 0.02% MMs - 30 min"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YAL054C"	-0.245	-0.174	2.204	4.81	4.157	5.319	5.139	4.599	4.158	1.307	2.054	2.826	1.334	4.109	-0.0105	1.3705	3.064	1.9645	2.27	2.5755	2.999	2.691	0.032	-0.188	-0.265	0.026	-0.2165	-0.3415	-0.104	0.102	-0.346	3.881	-0.579	-0.623	-0.198	-0.214	-0.191	1.701	1.1505	1.351	1.3925	1.705	1.404	0.972	0.398	0.7105	0.641	3.757	2.31	4.096	4.989	0.973	1.03	0.407
"YBR030W"	0.167	0.017	-1.826	-0.802	-0.769	-0.592	-1.012	-1.578	-0.762	-0.876	-1.286	-0.872	-0.644	-0.998	-0.001	-1.665	-0.9945	-1.184	-1.1485	-1.804	-1.3415	-1.7745	-0.1895	-0.104	-0.5855	-0.406	-0.6015	-0.2925	-0.064	-0.071	-0.226	-0.578	0.222	0.001	-0.362	-0.217	-0.163	1.055	0.613	0.2695	1.4425	0.839	-0.0625	0.0625	0.421	0.4535	-0.2375	-1.418	-1.913	-1.863	-0.28	-0.035	0.556	0.19
"YBR175W"	-0.167	-0.415	-1.668	-0.933	-0.77	-1.027	-1.084	-1.46	-2.52	-1.763	-1.563	-1.451	-1.159	-0.257	0.0945	-0.714	-0.611	-0.895	-0.4815	-1.284	-1.094	-0.661	0.1425	-0.12	0.1005	0.124	0.386	0.323	0.132	0.014	0.0	-0.546	0.295	0.151	0.299	0.376	-0.065	-0.892	-0.496	-0.771	-0.703	-0.918	-0.97	-0.714	-0.53	-0.566	-0.727	-1.232	-1.967	-1.397	-0.88	-0.71	-1.085	-1.337
"YDL194W"	-0.478	-0.419	2.756	3.079	2.902	2.773	2.758	3.229	2.675	2.403	2.191	1.976	1.473	1.695	0.127	1.971	1.674	2.005	1.921	1.923	2.037	1.752	0.437	-0.282	0.444	0.312	0.329	-0.498	0.038	0.034	-0.058	1.647	-0.271	0.04	-0.088	0.057	-0.886	0.236	0.262	0.376	0.622	0.593	0.555	0.667	0.334	0.152	-0.67	0.397	0.057	0.41	-0.015	-0.142	0.987	0.449
"YDL223C"	-1.322	-2.009	2.518	0.899	1.685	1.657	3.234	1.919	3.774	1.272	1.395	1.932	2.549	2.496	-0.361	0.415	1.687	2.299	1.337	-0.299	3.469	2.844	0.063	-0.035	-0.178	-0.203	-0.131	-0.272	-0.208	0.053	-0.07	5.086	-1.183	-1.367	-1.364	-1.349	0.011	2.53	0.876	2.647	2.419	2.249	2.209	1.457	0.554	0.976	1.468	3.265	4.804	3.972	4.595	1.358	1.666	1.585
"YDR037W"	-0.046	0.04	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-1.483	-3.226	-2.505	-2.756	-2.42	0.253	-1.971	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	-0.13	0.385	0.048	0.01	0.041	-0.101	0.016	0.658	0.358	-2.523	0.525	0.296	0.064	0.055	-0.184	-1.762	-1.903	-1.745	-1.768	-1.725	-1.888	-1.79	-1.18	-0.917	-2.365	-3.366	-4.204	-3.541	-3.047	-1.901	-1.427	-1.117
"YDR306C"	-0.269	0.012	1.761	1.727	2.012	1.925	2.196	1.846	2.437	1.744	1.427	1.626	1.092	1.219	0.022	1.745	1.558	1.55	1.603	1.93	1.569	1.144	-0.156	-0.27	0.015	0.56	0.252	0.204	-0.075	0.069	0.165	0.514	-0.16	-0.05	-0.192	-0.168	-0.094	0.654	0.087	0.758	0.772	0.939	0.381	0.29	0.799	-0.102	-0.403	1.069	1.0185	0.949	1.124	0.207	0.1195	0.24
"YDR350C"	-0.185	-0.154	1.218	1.226	1.336	1.293	1.388	1.763	1.517	0.65	0.973	1.19	0.988	0.399	0.197	1.952	1.112	1.293	1.603	1.425	1.088	0.388	-0.188	-0.137	0.066	0.13	0.008	0.006	-0.053	0.228	0.084	0.518	-0.067	-0.471	0.12	-0.098	-0.197	0.517	0.004	0.302	0.673	0.456	0.246	0.053	-0.339	0.309	-0.404	0.764	1.411	0.791	1.415	-0.07	-0.101	-0.606
"YDR429C"	0.337	0.242	-2.84	-2.516	-2.442	-2.563	-1.914	-2.02	-1.165	-0.104	-1.316	-0.889	-0.64	-0.532	0.082	-2.387	-1.899	-1.916	-2.126	-1.576	-1.579	-1.738	-0.031	0.031	-0.228	-0.324	-0.522	0.265	0.371	0.336	0.327	-2.084	0.329	0.462	-0.121	-0.046	-0.736	-0.815	-0.921	-0.855	-1.242	-1.264	-1.248	-1.004	-0.017	-0.548	-1.119	-1.576	-1.262	-1.11	-1.077	-0.436	-0.644	-0.541
"YEL011W"	-0.052	-0.195	4.662	3.869	4.663	4.646	4.72	4.761	5.15	4.014	2.876	3.74	3.022	2.308	0.156	4.997	3.795	3.906	3.266	3.642	5.213	4.068	-0.352	0.261	0.331	0.793	0.635	0.534	0.358	-0.039	0.363	2.6905	-0.156	-0.7075	0.203	0.381	0.294	1.093	0.6565	1.43	1.433	1.4695	1.339	0.8245	0.897	0.8275	0.224	1.65	3.83	2.462	2.422	0.887	0.971	-0.034
