	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"84.cdc15 190 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1254.mec1_plus_gamma_60_min"	"1664.cdc15 170 min"	"1665.cdc15 150 min"	"1668.cdc15 130 min"	"2141.Elutriation2:Sample2:Time1.0hrs"	"4048.0.8M NaCl +FK506 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8197.steady state 25 dec C"	"8228.dtt 015 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13065.Na/Na+FK 30min (1)"	"16338.DES460 vs. DES460 YPD log phase control"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"21632..24 mM H2O2- 250 minutes"	"21662..24 mM H2O2- 230 minutes"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YBL039C"	0.9035	0.2885	0.708	-4.793	-4.124	-2.316	-4.307	-4.486	-3.781	0.149	-3.234	-3.815	-3.161	-3.74	-3.092	-3.457	-2.373	-2.908	-3.004	-4.323	-7.004	-3.306	-0.855	0.434	-2.736	-2.628	-2.386	0.3995	-4.7305	-2.8885	-3.4265	-3.9535	-4.251	0.6955	-0.765	-0.561	-0.239	-0.126	-2.695	-1.854	1.896	1.681	1.113	1.065	-1.896	-3.176	-2.334	-1.392	-2.572	-2.654	0.659	1.247	-1.789	-2.958	-4.956	0.628	-0.194	-3.5065	-2.6105	-1.568	-0.848	0.7565	-4.509	-3.644	-1.329	-1.635	-2.769	-2.12	-3.951	-3.379	-2.546	-2.162	-0.19	-0.187	-0.533	-0.005	-0.262	-1.908	1.894	-2.98	-2.236	-0.672	0.431	0.219	0.271	0.344	-2.348	-2.194	-2.619	-2.026
"YBR082C"	0.06	-0.2005	-0.018	1.622	1.479	0.203	1.442	1.715	1.675	0.153	0.491	0.363	-0.0285	-0.009	-0.688	-0.336	-0.767	-1.412	-1.155	-2.746	-3.456	-0.683	-0.194	0.212	0.076	-0.326	-0.797	0.3855	-0.811	-0.897	-1.1805	-0.7415	-2.379	0.2625	-0.644	-0.822	-0.532	-0.5185	0.509	0.873	-0.266	-0.795	-0.025	-0.73	0.158	0.042	-0.031	-0.034	-0.507	-0.628	0.384	0.985	0.569	-2.2115	1.223	0.3745	0.3	-0.35	-0.45	0.7175	0.0805	0.022	1.373	0.635	0.301	-0.109	-0.833	-0.174	-0.087	-0.898	-1.34	-1.582	0.162	0.26	0.174	-0.241	-0.154	0.404	0.434	0.194	0.272	0.365	0.834	0.302	0.271	0.209	0.798	1.951	0.469	0.567
"YBR247C"	0.5535	0.0515	0.227	-4.052	-3.103	-1.515	-2.541	-3.015	-3.19	0.412	-1.714	-1.244	-2.142	-3.42	-2.12	-1.692	-1.628	-1.522	-0.898	-2.212	-3.969	-2.429	-0.602	0.315	-3.12	-1.618	-1.623	0.206	-3.3455	-2.0405	-1.839	-1.689	-2.389	0.292	-0.279	-0.252	0.088	-0.639	-2.109	-1.586	1.142	1.008	0.432	0.361	-1.811	-2.939	-1.846	-1.363	-2.327	-2.346	0.513	1.05	-1.214	-1.086	-2.961	-0.128	-0.225	-2.2005	-1.9575	0.091	0.176	0.813	-2.974	-2.345	-1.013	-2.285	-2.153	-1.74	-1.576	-2.15	-1.289	-1.747	-0.196	-0.139	-0.408	-0.102	-0.18	-1.741	-2.315	-2.294	-0.973	-0.334	0.987	0.106	0.146	0.126	-1.668	-2.276	-2.142	-0.942
"YBR266C"	0.818	0.551	0.93	-3.764	-3.869	-1.732	-2.532	-1.817	-3.376	1.174	-2.32	-2.119	-1.555	-3.053	-2.042	-2.021	-1.084	-1.218	-1.649	-2.463	-4.633	-2.41	0.274	-0.481	-2.698	-1.515	-0.807	0.348	-1.6715	-1.345	-0.9	-1.0935	-1.491	-0.18	-0.088	-0.061	0.224	0.254	-2.141	-2.342	1.006	0.886	0.519	0.201	-2.026	-2.578	-1.489	-1.757	-2.513	-2.064	0.374	1.043	-1.203	-1.723	-4.774	0.191	-0.7	-2.6885	-2.561	-1.609	0.207	0.095	-3.097	-1.986	-1.526	-1.066	-1.368	-0.902	-3.048	-1.518	-1.058	-0.981	-0.713	-0.777	-0.595	-0.322	-0.615	-1.581	-0.93	-1.452	-0.65	-0.857	0.075	0.235	0.101	0.156	-2.252	-2.624	-2.245	-0.983
"YCL054W"	0.731	0.406	0.273	-3.545	-2.942	-1.717	-2.871	-3.741	-3.668	1.03	-2.152	-2.641	-2.3415	-3.386	-2.092	-2.133	-1.078	-0.941	-1.571	-3.059	-2.063	-2.044	0.072	0.325	-2.121	-2.124	-1.496	0.183	-4.0705	-2.049	-2.2245	-2.4215	-3.313	0.218	-0.25	-0.5665	-0.1015	-0.168	-1.758	-2.928	2.054	1.534	1.054	0.677	-1.599	-1.884	-1.438	-1.11	-1.505	-1.54	0.605	0.675	-1.143	-0.777	-4.039	-0.779	0.005	-2.153	-2.292	1.343	0.156	0.192	-4.037	-2.713	-1.597	-2.945	-2.617	-1.203	-3.761	-2.107	-2.043	-2.179	-0.192	-0.423	-0.497	-0.207	-0.357	-1.981	-1.406	-2.26	-1.392	-0.912	0.479	0.331	0.239	0.248	-2.49	-2.753	-2.009	-1.474
"YCL059C"	0.703	0.205	0.196	-3.484	-4.242	-2.249	-3.611	-4.218	-3.675	0.46	-2.294	-2.133	-2.098	-4.786	-2.115	-1.94	-1.722	-1.081	-1.769	-2.558	-5.277	-2.731	-0.396	0.343	-2.27	-1.67	-1.283	0.364	-3.4015	-1.887	-1.4885	-1.846	-3.0265	0.142	-0.2165	-0.2915	0.0245	0.002	-1.379	-0.872	1.063	1.23	1.102	0.758	-1.281	-2.524	-2.535	-0.821	-2.387	-3.161	0.356	0.899	-1.537	-0.73	-4.664	-0.145	-0.012	-2.7715	-3.1135	0.018	-0.154	0.253	-2.908	-2.614	-1.156	-3.887	-2.479	-0.967	-4.436	-2.396	-1.791	-1.456	-0.273	-0.129	-0.246	0.003	-0.12	-1.808	-1.364	-1.747	-1.073	-0.753	0.187	0.542	0.441	0.398	-1.962	-2.286	-1.701	-1.799
"YCLX02C"	0.494	0.018	0.085	-4.024	-3.119	-1.437	-2.69	-3.872	-3.655	0.895	-2.758	-2.523	-2.2915	-4.118	-2.592	-2.422	-1.69	-1.466	-1.998	-2.283	-2.85	-1.372	0.505	-0.277	-2.734	-1.938	-0.892	-0.008	-3.098	-2.1245	-1.9175	-2.411	-2.441	-0.29	-0.6085	-0.7935	-0.277	-0.859	-2.243	-2.794	1.505	1.221	0.684	0.091	-1.95	-2.282	-1.57	-1.301	-1.974	-1.943	0.193	0.328	-1.529	-0.606	-4.225	0.117	-0.414	-2.286	-2.3655	1.55	0.037	0.164	-2.679	-2.039	-1.187	-2.749	-2.605	-1.55	-3.541	-2.722	-1.445	-1.766	-0.193	-0.135	-0.556	-0.267	-0.267	-1.832	-0.154	-1.45	-1.164	-1.074	0.269	0.171	0.162	0.077	-2.008	-1.5	-2.08	-0.645
"YDR101C"	0.692	0.352	0.368	-3.513	-3.404	-1.887	-3.0	-3.74	-3.659	-0.255	-1.614	-0.703	-1.318	-4.306	-3.203	-3.082	-2.55	-2.315	-2.948	-4.145	-4.667	-2.997	-0.8	0.162	-3.385	-2.743	-1.752	0.349	-2.52	-2.005	-1.96	-2.252	-3.177	0.002	0.051	0.166	0.386	-0.258	-2.426	-1.885	1.419	1.234	1.035	0.633	-2.295	-2.352	-1.867	-2.185	-2.477	-2.261	0.144	1.26	-1.291	-2.013	-3.253	0.167	0.144	-2.526	-2.423	-1.928	-0.227	0.193	-3.244	-2.428	-1.704	-2.088	-2.116	-0.956	-3.048	-2.294	-1.739	-1.524	-0.134	-0.333	-0.516	-0.124	-0.361	-1.941	-1.438	-2.454	-1.228	-0.541	0.371	0.019	-0.009	0.07	-1.833	-2.501	-2.303	-1.783
"YDR165W"	0.465	0.261	-0.193	-3.154	-2.85	-1.603	-2.419	-2.874	-2.762	0.856	-1.364	-1.473	-1.84	-4.096	-2.538	-2.179	-2.247	-1.905	-2.27	-3.111	-5.309	-2.69	-0.252	0.322	-3.015	-2.243	-1.636	0.383	-3.057	-1.816	-1.396	-1.582	-2.409	0.281	-0.183	-0.135	0.051	-0.03	-1.398	-1.274	0.902	0.918	0.528	0.372	-1.455	-2.129	-1.683	-0.891	-1.967	-1.516	0.353	1.379	-1.145	-1.0245	-2.787	0.3495	0.023	-1.7495	-2.081	-0.1565	0.174	0.6115	-3.068	-1.809	-1.222	-2.479	-2.722	-1.934	-3.205	-2.632	-2.085	-2.255	0.008	-0.03	-0.501	-0.179	-0.187	-1.941	-1.724	-2.032	-2.298	-0.569	0.867	0.099	0.152	0.245	-2.535	-2.739	-2.779	-2.152
"YDR312W"	0.605	0.373	0.5305	-3.237	-2.335	-1.08	-2.086	-2.512	-2.345	0.927	-1.413	-1.743	-2.367	-2.564	-1.147	-1.312	-0.536	-0.793	-1.364	-2.612	-3.564	-1.377	0.072	0.104	-1.829	-1.774	-0.923	0.295	-2.515	-1.444	-1.492	-1.373	-2.451	0.437	0.122	-0.197	0.4015	-0.268	-1.7	-1.691	0.892	0.903	0.466	0.131	-1.445	-2.148	-1.425	-0.951	-1.776	-2.069	0.454	0.784	-0.466	-1.091	-3.04	-0.427	-0.051	-1.795	-2.999	0.228	0.104	0.241	-2.314	-0.925	-0.884	-1.874	-1.157	-0.826	-2.572	-1.141	-0.295	-0.263	0.275	0.287	-0.027	0.026	-0.078	-1.88	-1.234	-1.182	-0.063	0.179	0.733	0.7	0.197	0.42	-1.782	-1.521	-1.234	-0.223
