	"409.heat shock 25 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"4874.1M sorbitol - 90 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21641..24 mM H2O2- 112 minutes"	"21643..24 mM H2O2- 140 minutes"	"21645..24 mM H2O2- 020 minutes"	"21648..24 mM H2O2- 030 minutes"	"21650..24 mM H2O2- 040 minutes"	"21655..24 mM H2O2- 014 minutes"	"21659..24 mM H2O2- 077 minutes"	"21663..24 mM H2O2- 063 minutes/redo"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"40946.H2O2_II_7_min"	"40961.MD_II_0_min"
"YAL060W"	2.912	3.323	2.145	1.463	1.345	0.283	2.349	1.199	1.922	1.6855	-0.1225	-0.2105	-0.089	-0.0995	-0.0985	3.49	1.266	2.525	2.076	0.535	0.001	-0.485	-0.79	0.204	-0.386	2.742	0.538	4.066	3.57	2.107	4.051	3.973	3.24	2.801	-0.462	0.577
"YBL045C"	1.75	3.101	4.028	3.638	3.076	2.603	1.517	3.2575	2.0735	1.924	0.3155	-0.9725	-1.0285	-0.999	-1.062	1.37	1.025	0.435	0.567	0.294	0.429	0.014	-0.74	-0.063	-0.106	0.946	-0.144	2.683	3.265	2.973	2.474	3.277	3.303	2.891	0.444	-0.207
"YBL049W"	1.0	3.632	4.071	3.507	4.101	2.844	2.326	3.3385	2.9925	3.8385	0.1095	-0.1165	-0.133	0.1305	0.347	1.081	2.197	2.32	2.165	0.925	1.248	-0.645	0.088	0.391	0.296	2.345	0.516	3.243	4.358	4.543	4.201	4.835	4.581	5.083	0.863	-0.002
"YBL054W"	-3.35	-3.427	-2.602	-2.264	-2.213	-1.778	-2.433	-0.806	-0.307	-0.3605	-0.2115	-0.4485	-0.053	-0.188	-0.423	-3.299	-0.82	-1.979	-1.943	-1.326	-0.916	1.237	-1.066	-0.979	-0.237	-2.052	-1.065	-1.283	-1.114	-0.602	-2.298	-0.96	-1.272	-0.399	0.183	0.416
"YBL072C"	-2.905	-3.835	-3.367	-3.036	-2.694	-3.041	-3.06	-4.1825	-2.5425	-2.5865	0.2515	0.1345	0.177	0.0805	0.2455	-2.881	-0.802	-2.283	-1.206	-0.274	0.129	0.293	-0.284	-0.334	0.512	-1.464	-1.308	-3.331	-2.84	-1.71	-1.857	-2.598	-2.041	-2.699	-1.163	-1.445
"YBL092W"	-2.682	-3.458	-3.598	-2.824	-2.394	-2.929	-3.0	-3.5865	-2.153	-2.4445	0.0485	-0.2125	-0.2485	-0.3555	-0.1395	-2.927	-0.858	-1.217	-1.435	-0.461	-0.301	0.131	0.448	-0.44	0.28	-1.317	-0.215	-2.124	-2.013	-1.866	-2.599	-2.171	-2.311	-3.174	-0.363	0.163
"YBR185C"	1.047	2.907	2.767	1.967	1.359	1.081	1.079	2.126	0.236	0.358	0.1965	0.097	0.0795	0.205	0.376	0.846	1.011	0.837	0.731	0.618	0.661	0.431	0.023	-0.036	0.405	0.927	0.055	1.255	1.144	1.533	2.379	1.363	1.315	0.817	-0.268	-1.002
"YBR241C"	2.947	3.303	3.763	0.478	4.068	2.564	2.04	1.666	0.99	1.879	0.567	-0.2515	-0.2755	0.0935	0.209	3.139	1.918	2.135	2.305	0.94	0.962	0.456	-0.313	0.347	-0.105	2.222	0.105	3.507	3.03	2.881	3.953	3.821	2.781	3.891	-0.005	-0.389
"YBR269C"	1.869	2.741	2.945	2.559	2.732	2.8	1.892	1.4035	0.9415	1.2435	-0.025	0.35	0.058	0.2545	0.447	1.514	1.645	2.272	1.772	1.29	0.628	-0.082	0.197	-0.126	0.263	2.033	1.765	2.787	2.806	2.464	3.255	2.921	2.478	2.659	0.129	1.081
"YCL049C"	0.916	1.933	1.871	0.821	0.518	1.738	1.143	1.0375	0.574	0.6345	0.135	0.1885	0.196	0.218	0.721	0.588	1.598	1.071	1.251	0.554	0.666	0.441	0.457	-0.82	-0.312	1.378	-0.243	1.483	2.042	1.289	1.945	2.162	0.891	0.83	0.743	-0.364
"YCR062W"	1.742	2.344	1.814	1.372	1.964	2.004	0.773	0.9015	0.696	0.8075	0.2215	-0.28	-0.6445	-0.455	-0.1635	1.841	1.852	1.62	1.929	1.411	0.761	0.048	-0.706	-0.758	-0.14	1.734	0.483	1.477	1.044	0.745	1.832	1.592	1.224	0.827	0.05	-0.21
"YDL061C"	-2.928	-3.45	-2.443	-2.323	-2.345	-2.665	-2.985	-3.44	-2.031	-2.139	-0.08	-0.213	-0.192	0.081	-0.069	-2.955	-1.221	-2.097	-1.915	-0.59	-0.234	-1.277	-0.65	-1.308	0.445	-2.201	-1.044	-2.373	-2.153	-1.162	-2.791	-2.682	-1.35	-1.842	0.313	0.049
"YDR025W"	-3.031	-3.904	-3.548	-3.252	-2.573	-2.705	-3.357	-4.504	-1.915	-2.886	0.038	-0.652	-0.366	-0.448	-0.451	-3.042	-0.7465	-2.1035	-1.871	-0.5795	-0.161	-0.0775	0.279	-0.853	0.37	-2.2965	-1.112	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.535	0.626	0.487
"YDR059C"	1.009	2.272	2.385	2.493	2.07	3.136	1.177	1.818	1.963	2.24	0.14	0.596	0.528	0.639	0.687	1.24	1.667	1.446	1.9085	1.522	0.814	0.291	-0.2885	0.7215	-0.168	0.897	-0.113	1.646	2.488	2.593	2.081	2.345	1.247	2.69	0.124	0.3475
"YDR398W"	-4.082	-4.143	-2.42	-2.114	-1.993	-1.937	-3.069	-2.112	-1.798	-1.896	-0.144	0.138	0.191	0.27	-0.022	-4.269	-0.881	-2.259	-2.606	-1.081	-1.349	-0.462	-0.413	-0.621	-0.739	-1.701	-0.312	-1.745	-2.397	0.247	-3.061	-1.999	-1.457	-0.955	0.028	0.768
"YDR447C"	-3.242	-4.882	-3.934	-3.531	-3.26	-2.465	-3.574	-4.249	-2.432	-2.817	-0.004	0.207	0.057	0.15	0.155	-2.593	-1.2085	-2.041	-2.3475	-0.5155	-0.3115	0.0795	-0.505	-0.647	0.18	-2.745	-1.773	-3.67	-2.356	-1.471	-4.358	-3.418	-2.211	-3.223	-0.5755	-1.9785
"YDR471W"	-3.206	-3.952	-3.834	-3.394	-2.619	-2.857	-3.144	-4.253	-2.122	-2.633	0.306	0.498	0.135	0.345	0.356	-3.29	-0.5215	-2.5935	-1.9135	-0.374	-0.0975	0.35	0.037	-0.1475	0.5345	-2.1345	-1.355	-3.645	-2.464	-1.986	-3.608	-3.311	-2.499	-2.873	0.7155	-0.5035
"YER102W"	-2.922	-3.932	-3.965	-3.177	-2.924	-2.578	-3.101	-4.286	-2.613	-2.593	0.289	0.127	0.052	0.069	0.222	-2.712	-0.907	-2.222	-1.197	0.044	0.112	1.052	0.494	0.508	0.568	-2.373	-1.33	-3.324	-2.758	-2.202	-2.385	-2.329	-2.436	-2.527	-0.066	-0.673
"YFR031BC"	-3.278	-4.567	-3.823	-3.84	-2.931	-2.801	-3.328	-4.74	-2.521	-2.912	-0.444	0.025	-0.229	0.036	0.364	-3.021	-0.761	-3.322	-2.331	-0.659	-0.296	-0.207	0.284	-0.825	0.04	-2.905	-2.439	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.53	-1.169
"YGL010W"	1.681	2.51	1.775	1.605	1.805	1.544	1.0	1.567	1.095	1.574	0.14	-0.023	0.043	0.147	0.25	1.396	0.721	1.502	0.986	0.63	0.155	-0.17	0.045	-0.124	-0.083	1.255	0.394	0.785	0.77	1.138	1.177	0.636	0.597	0.843	0.244	0.637
"YGL030W"	-2.592	-3.613	-2.888	-2.582	-1.861	-2.008	-2.388	-3.284	-2.592	-2.534	0.016	-0.392	-0.6	-0.319	-0.117	-2.603	-0.82	-1.5725	-1.4395	-0.5665	-0.264	0.281	-0.6645	-0.465	0.115	-2.391	-1.0005	-3.939	-2.871	-2.529	-3.575	-2.76	-2.198	-3.156	-0.9465	-0.611
"YGL031C"	-3.443	-3.366	-4.285	-3.732	-2.9	-3.104	-3.041	-5.191	-2.475	-2.899	-0.021	0.373	0.281	0.242	0.35	-3.282	-0.838	-2.062	-1.531	-0.218	0.209	0.4	0.696	0.36	1.343	-2.166	-0.85	-3.814	-2.458	-2.321	-2.773	-2.852	-1.578	-1.636	-0.966	0.177
"YGL037C"	4.777	4.226	2.658	2.571	2.753	2.279	2.045	2.654	3.457	3.59	0.333	0.912	0.894	0.52	0.729	4.782	2.517	3.777	3.592	2.022	1.163	-1.038	-0.852	1.775	-0.217	3.852	2.544	3.734	3.731	3.099	4.634	3.141	3.145	3.313	0.49	1.508
