	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"
"YAL038W"	-2.4	-6.086	1.01
"YBR034C"	-1.758	-3.523	0.377
"YBR118W"	-2.846	-5.272	2.192
"YBR166C"	-2.2345	-3.0285	0.833
"YBR276C"	-0.809	-2.991	0.318
"YCL028W"	-0.417	-3.622	1.385
"YCL031C"	-1.2015	-4.4835	0.322
"YCL037C"	-2.555	-3.932	-1.799
"YCLX06C"	-0.908	-2.276	0.64
"YCR013C"	-3.099	-5.566	1.752
"YCR031C"	-3.359	-5.91	0.492
"YCR035C"	-1.28	-3.167	0.579
"YDL015C"	-2.047	-4.309	0.792
"YDL084W"	-2.134	-4.827	1.072
"YDL145C"	-1.274	-2.9335	0.309
"YDL189W"	-0.221	-2.131	0.283
"YDL191W"	-2.737	-5.192	0.343
"YDR002W"	-2.756	-4.542	0.925
"YDR023W"	-2.907	-5.745	1.091
"YDR025W"	-3.393	-6.697	0.746
"YDR064W"	-3.761	-5.03	0.266
"YDR143C"	-0.162	-2.764	0.726
"YDR154C"	-1.081	-3.55	0.995
"YDR155C"	-1.151	-3.169	0.722
"YDR157W"	-1.145	-4.05	0.018
"YDR165W"	-3.111	-5.309	0.398
"YDR193W"	-0.749	-2.414	0.31
"YDR234W"	-0.809	-1.558	0.798
"YDR261C"	-2.845	-3.44	0.545
"YDR303C"	-2.132	-7.617	0.301
"YDR320C"	-1.394	-4.218	0.114
"YDR354W"	-1.897	-2.665	0.75
"YDR382W"	-2.459	-5.686	1.177
"YDR385W"	-3.158	-5.463	1.172
"YDR399W"	-3.073	-4.784	1.394
"YDR471W"	-3.599	-4.747	0.585
"YDR502C"	-2.705	-5.303	1.776
"YEL016C"	-0.691	-1.487	0.382
"YEL054C"	-2.98	-7.056	0.974
"YEL061C"	-0.665	-1.6505	0.321
"YER031C"	-1.835	-4.144	0.261
"YER043C"	-4.78	-6.476	1.559
"YER052C"	-3.288	-5.276	1.651
"YER117W"	-2.832	-5.642	0.592
"YER123W"	-1.31	-3.53	0.246
"YER131W"	-3.664	-6.55	0.697
"YER145C"	-3.836	-5.091	1.08
"YFL002C"	-1.624	-4.836	0.489
"YFL026W"	-3.285	-4.221	0.678
"YFL045C"	-2.163	-4.897	1.02
"YFR002W"	-1.995	-7.825	0.718
"YFR013W"	-1.774	-3.723	0.424
"YFR031BC"	-4.702	-7.029	0.749
"YGL001C"	-2.878	-4.137	0.813
"YGL026C"	-3.132	-4.669	1.043
"YGL029W"	-1.676	-2.985	-0.007
"YGL031C"	-3.683	-5.763	0.308
"YGL105W"	-3.587	-6.011	0.727
"YGL107C"	-2.708	-3.138	0.438
"YGL115W"	-1.41	-3.416	0.583
"YGL122C"	-1.011	-2.74	0.464
"YGL123W"	-4.004	-5.982	0.801
"YGL145W"	-1.74	-2.91	0.056
"YGL147C"	-3.921	-7.507	0.367
"YGL221C"	-2.49	-4.397	0.39
"YGR135W"	-1.553	-4.32	0.47
"YGR147C"	-0.269	-3.257	0.261
"YGR176W"	0.198	-3.665	0.98
"YGR192C"	-1.406	-4.686	1.162
"YHL001W"	-1.938	-3.589	0.849
"YHR024C"	-2.8215	-3.2155	0.718
"YHR039BC"	-1.386	-4.183	0.598
"YHR039C"	-1.2055	-1.361	0.276
"YHR073W"	-1.889	-2.844	0.604
"YHR128W"	-4.967	-6.006	0.495
"YHR163W"	-2.869	-4.663	0.723
"YHR193C"	-3.11	-4.166	0.96
"YIL018W"	-3.492	-5.749	0.848
"YIL052C"	-2.895	-6.278	0.802
"YIL138C"	-2.433	-3.747	0.617
"YJL008C"	-1.423	-4.824	-0.014
"YJL051W"	-0.815	-5.305	0.01
"YJL167W"	-2.323	-7.538	0.946
"YJL174W"	-1.398	-2.868	0.508
"YJL179W"	-2.457	-4.843	0.072
"YJL183W"	-2.097	-4.986	0.524
"YJR006W"	-1.626	-3.835	0.526
"YJR007W"	-3.21	-8.057	0.551
"YJR032W"	-2.635	-3.054	0.471
"YJR064W"	-1.931	-4.297	0.811
"YJR070C"	-3.511	-7.226	0.108
"YJR071W"	-2.688	-4.787	0.288
"YJR102C"	-1.484	-3.024	0.4
"YJR123W"	-4.381	-9.147	0.597
"YJR131W"	-1.373	-2.067	0.843
"YKL068W"	-1.98	-3.325	0.561
"YKL081W"	-4.49	-5.155	0.938
"YKL082C"	-0.699	-2.45	0.001
"YKL092C"	-1.204	-2.057	0.479
"YKL110C"	-1.921	-2.904	0.335
"YKL135C"	-1.794	-3.285	0.51
"YKL145W"	-1.469	-3.898	0.409
"YKL152C"	-3.152	-4.943	0.752
"YKL180W"	-2.561	-5.237	0.826
"YKL216W"	-1.799	-5.553	0.525
"YKR001C"	-2.222	-5.109	0.986
"YKR047W"	-0.072	-1.354	0.007
"YKR059W"	-2.817	-4.998	0.569
"YKR081C"	-2.08	-4.632	0.382
"YKR094C"	-2.464	-4.383	0.191
"YLL008W"	-2.899	-6.113	0.477
"YLL024C"	-2.574	-5.009	0.462
"YLL045C"	-3.857	-6.618	0.75
"YLR075W"	-1.991	-6.109	0.606
"YLR076C"	-1.78	-4.142	0.739
"YLR108C"	-0.304	-1.301	1.49
"YLR150W"	-2.579	-6.397	0.897
"YLR167W"	-1.761	-4.496	0.856
"YLR192C"	-2.456	-4.349	-0.284
"YLR208W"	-1.968	-4.432	0.729
"YLR210W"	-1.644	-4.137	0.843
"YLR226W"	-1.197	-2.826	0.29
"YLR260W"	0.018	-2.227	0.681
