	"809.DBY7286 37degree heat - 20 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6361.DBYyap1- 37degree heat - 20 min (redo)"
"YAL007C"	-0.066	-3.056	-3.632	-1.2265	-1.4535	-1.9095	-1.496	-1.8635	-1.6745	-0.318
"YAL036C"	-0.894	-2.145	-3.743	-1.829	-1.9095	-1.486	-1.4315	-1.841	-2.0465	-0.943
"YBL057C"	-0.137	-2.031	-2.661	-0.7475	-0.8965	-0.5975	-1.502	-1.552	-2.088	-0.185
"YBR011C"	-0.026	-4.081	-5.344	-0.2825	-0.649	-1.271	-2.3835	-3.0585	-3.4585	-0.22
"YBR084W"	-1.532	-4.365	-5.362	-1.8955	-1.9025	-2.592	-1.934	-2.75	-2.725	-1.58
"YBR088C"	-1.552	-4.084	-4.124	-1.1155	-1.0105	-1.809	-2.4385	-3.272	-2.4585	-1.319
"YBR127C"	0.015	-0.987	-4.101	-0.5435	-0.299	-0.9745	-0.448	-0.953	-1.4745	-0.328
"YBR143C"	-0.746	-3.195	-4.642	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-0.972
"YBR164C"	-0.199	-2.78	-3.277	-0.848	-1.114	-1.4825	-1.3225	-2.355	-1.882	-0.452
"YBR166C"	0.1325	-2.2345	-3.0285	-0.705	-0.636333333333333	-1.099	-0.965333333333333	-1.83066666666667	-1.03266666666667	-0.0605
"YBR249C"	-1.65	-3.39	-6.025	-0.2215	-1.147	-1.6935	-2.9975	-3.288	-3.9875	-1.667
"YCR043C"	-0.325	-3.689	-4.19	-1.6685	-2.015	-2.0825	-1.7505	-1.8875	-1.6275	-0.535
"YCR044C"	0.173	-1.836	-2.699	-0.3045	-0.846	-0.887	-1.0725	-1.5355	-1.758	-0.08
"YCR057C"	-0.847	-3.423	-5.109	-1.605	-1.7665	-1.5195	-1.962	-2.812	-2.1505	-0.803
"YDL111C"	-0.164	-4.07	-4.505	-1.6255	-1.548	-1.4565	-1.8915	-2.1955	-1.9395	-0.45
"YDL148C"	-1.276	-2.269	-4.257	-1.828	-2.056	-2.139	-2.39	-2.527	-2.281	-1.295
"YDR023W"	-1.003	-2.907	-5.745	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	-1.24
"YDR071C"	0.239	-2.459	-4.374	-0.648	-0.696	-0.953	-1.937	-3.125	-2.557	-0.116
"YDR101C"	-1.384	-4.145	-4.667	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	-1.252
"YDR261C"	0.637	-2.845	-3.44	-0.941	-1.565	-1.827	-1.083	-1.671	-1.836	0.153
"YDR312W"	-0.833	-2.612	-3.564	-1.444	-1.492	-1.373	-2.214	-2.451	-2.68	-0.899
"YDR341C"	-1.319	-3.212	-5.262	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	-1.411
"YDR367W"	-0.252	-2.289	-3.913	0.215	-0.371	-0.097	-0.562	-0.937	-1.23	-0.276
"YDR371W"	0.385	-1.574	-3.307	-1.075	-0.368	-0.542	-0.704	-1.305	-1.65	0.259
"YDR447C"	-1.478	-3.659	-5.332	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	-1.533
"YDR496C"	-1.098	-3.591	-4.393	-2.1765	-2.168	-2.517	-2.6065	-3.579	-3.3065	-1.118
"YER043C"	-0.957	-4.78	-6.476	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	-1.272
"YER049W"	-0.96	-3.769	-4.541	-1.832	-2.135	-2.046	-2.64	-3.518	-2.735	-1.249
"YER074W"	-1.545	-3.067	-3.854	-2.436	-2.823	-2.735	-2.339	-2.829	-3.947	-1.546
"YER118C"	-0.683	-2.598	-3.457	-0.974	-1.116	-1.35	-1.371	-2.206	-1.965	-0.732
"YER127W"	-0.348	-2.611	-4.439	1.466	-1.363	-1.279	-1.098	-2.485	-1.946	-0.483
"YFL026W"	-0.31	-3.285	-4.221	-1.918	-1.354	-1.849	-1.838	-2.007	-2.33	-0.707
"YFL027C"	-0.189	-1.729	-2.707	-0.558	-0.397	-0.716	-0.976	-1.74	-1.034	-0.151
"YGL050W"	-0.352	-1.73	-2.381	-0.833	-0.732	-0.359	-0.824	-0.874	-1.231	-0.466
"YGL120C"	-1.353	-4.088	-5.111	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	-1.401
"YGL157W"	0.56	-3.578	-6.107	-2.445	-2.738	-2.628	-2.488	-2.817	-3.666	0.195
"YGL245W"	-0.682	-4.799	-6.655	-1.416	-1.589	-2.121	-3.552	-4.345	-4.779	-0.768
"YGR037C"	-0.283	-3.63	-4.976	-0.786	-1.612	-1.441	-1.964	-2.717	-2.416	-0.59
"YGR185C"	-0.5725	-5.306	-6.361	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	-0.9955
"YGR285C"	-1.495	-4.078	-6.1	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	-1.4295
"YHR019C"	-1.5475	-4.051	-5.077	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	-1.678
"YHR049W"	0.4565	-3.623	-4.702	-0.826	-1.17	-1.96	-1.968	-2.952	-2.443	0.1145
"YHR063C"	-0.1885	-3.309	-4.42	-1.217	-1.385	-1.916	-2.162	-3.419	-3.036	-0.373
"YHR064C"	-1.62	-3.329	-5.238	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	-1.7365
"YHR065C"	-0.6505	-3.857	-4.644	-1.197	-1.073	-1.503	-1.762	-2.801	-2.479	-0.6
"YHR068W"	-1.23	-4.28	-6.532	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	-1.4595
"YHR193C"	-0.4325	-3.11	-4.166	-1.558	-1.494	-1.913	-1.778	-2.357	-2.845	-1.1525
"YIL021W"	-0.117	-1.965	-3.289	-0.373	-1.198	-1.127	-1.2	-1.693	-1.565	-0.4785
"YIL027C"	-0.106	-2.465	-2.625	-0.577	-0.847	-0.792	-1.07	-1.756	-0.921	-0.427
"YIL078W"	-1.347	-5.192	-6.059	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-1.422
"YIL110W"	-0.4665	-2.455	-3.072	-1.381	-1.354	-1.444	-1.775	-2.473	-2.492	-0.564
"YIL118W"	0.1045	-2.382	-3.881	-0.978	-1.132	-1.172	-1.281	-1.819	-1.622	-0.252
"YIL138C"	0.203	-2.433	-3.747	-0.258	-1.136	-1.149	-1.524	-2.298	-1.906	-0.159
"YIR012W"	-0.2285	-3.791	-4.69	-1.366	-1.684	-1.486	-1.547	-2.217	-2.528	-0.6175
"YJL006C"	-0.1995	-1.361	-3.043	-0.336	-0.096	-0.274	-0.617	-1.262	-0.997	-0.069
"YJL167W"	0.0165	-2.323	-7.538	0.288	-0.704	-0.897	-2.066	-2.855	-2.924	0.6005
"YJL190C"	-1.701	-3.585	-6.079	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	-2.0875
"YJL192C"	-0.0345	-3.649	-4.214	-0.659	-1.289	-0.942	-1.68	-2.446	-1.599	-0.3055
"YJR003C"	-0.515	-2.48	-3.457	-1.37	-0.824	-0.91	-2.176	-2.349	-2.42	-0.588
"YJR007W"	-0.416	-3.21	-8.057	-1.571	-1.848	-2.051	-2.909	-3.009	-3.616	-0.8075
"YJR024C"	-0.288	-1.994	-4.204	-0.228	-0.33	-0.504	-0.288	-0.937	-1.571	-0.5975
"YJR040W"	0.024	-2.558	-3.366	-0.604	-0.672	-1.041	-0.619	-1.178	-1.121	0.0445
"YJR063W"	-0.733	-2.37	-3.68	-1.596	-1.698	-1.726	-1.715	-2.078	-1.317	-0.885
"YJR076C"	-0.1875	-2.55	-4.614	-0.547	-0.839	-0.776	-1.815	-2.814	-3.117	-0.4745
