	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"584.17 deg growth"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1017.YPD 7 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7765.Na+FK 60min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"8247.steady state 36 dec C: y14n095"	"11466.yO1 test hyb"	"12061.Pomona College Bio164: dna2-1/WT"	"12744.heat shock 17 to 37, 20 minutes"	"17695.Missouri Western State College Galactose Cy5 (exp 1)"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"
"YBL001C"	0.391	0.323	0.173	0.798	1.225	-0.642	0.674	0.369	0.18	1.478	1.157	1.233	1.219	1.143	1.68	0.704	0.04	1.099	0.75	0.632	0.639	1.5365	0.609	0.265	0.621	0.2255	0.075	-0.473	-0.382	-0.413	0.072	0.417	-0.151	1.154	0.499	0.087	-0.125	1.906	1.687	1.906	1.161	1.83	1.476	2.128	-0.138	1.673	1.158	1.247	0.994
"YBL015W"	2.554	1.89	1.373	1.991	2.07	-0.711	1.7975	1.204	-0.6725	5.024	5.917	6.238	5.529	5.067	5.683	1.0	3.054	2.42	3.555	3.823	4.083	3.164	3.768	1.162	0.876	-0.047	0.991	0.695	1.056	0.134	-0.268	4.433	-1.207	2.179	-0.238	0.425	0.5495	2.919	4.406	4.118	3.333	4.665	4.922	4.309	0.064	2.012	3.019	3.638	2.947
"YBL043W"	0.34	-0.635	0.252	0.112	-0.212	-0.866	2.4495	0.594	-0.0225	4.29	5.616	4.011	4.125	2.778	2.92	0.202	1.508	2.466	2.441	3.916	3.031	0.8905	2.858	0.774	0.74	-0.6585	0.794	0.381	0.474	0.222	-0.269	1.877	-0.455	-0.183	-2.386	-0.1665	-0.321	1.351	5.138	4.537	2.168	5.49	5.106	4.056	-0.707	0.701	2.176	3.154	2.444
"YBL065W"	-0.209	0.114	-0.222	-0.136	-0.138	-1.0	-0.187	0.349	-0.629	0.788	1.514	1.147	1.376	1.476	1.245	0.374	0.222	0.287	0.029	1.172	0.902	1.17	0.059	0.569	-1.082	-0.4975	0.58	0.207	0.201	-0.221	-0.558	0.411	-1.497	0.146	-0.313	-0.515	-0.5885	0.98	0.862	1.257	1.012	0.781	0.824	0.751	-0.124	0.281	-0.047	0.427	0.342
"YCR021C"	2.689	1.479	1.28	2.312	5.0	-1.093	2.272	-0.122	-0.058	5.925	4.944	3.296	5.128	4.676	3.95	-0.494	5.008	5.041	5.591	5.509	4.887	2.274	3.685	1.402	-0.406	0.872	0.553	1.414	0.434	0.995	0.412	4.523	0.771	3.387	1.524	2.358	2.837	8.394	8.28	7.519	6.801	7.391	6.274	7.101	-0.517	3.488	5.695	6.387	5.332
"YDR313C"	0.873	0.805	0.85	1.301	0.836	-0.611	0.398	0.642	0.346	2.369	1.675	1.715	1.7	1.941	2.03	0.413	1.33	1.225	1.576	1.583	1.359	2.624	1.676	0.896	0.126	0.075	0.915	0.854	0.482	-0.093	0.046	1.537	-0.824	0.95	-0.014	0.825	0.698	2.226	1.983	2.889	2.852	2.095	1.738	3.986	0.117	0.529	1.483	1.65	1.504
"YEL012W"	1.629	1.417	1.138	1.765	0.893	-1.144	0.951	1.003	1.474	3.329	3.222	3.376	2.713	2.665	3.0	0.842	2.017	1.923	2.342	2.194	1.934	2.45	2.842	1.596	1.273	0.742	2.003	0.733	1.434	0.044	-0.058	1.722	-0.0105	1.368	-0.0705	0.198	0.1025	3.207	3.655	3.532	3.596	3.65	3.773	3.083	0.077	1.74	1.905	2.831	NaN
"YEL052W"	0.207	0.163	0.0	0.556	0.322	-0.377	0.17	0.677	-0.101	2.397	2.582	1.451	1.67	1.324	0.088	0.503	1.092	1.182	0.591	0.239	0.385	-0.635	0.722	1.305	0.088	-0.274	1.071	0.778	0.555	-0.334	-0.13	-0.1035	-1.374	0.256	-0.8315	0.055	0.0715	1.079	0.492	0.938	2.351	1.721	0.816	0.603	0.109	0.899	1.102	0.805	0.884
"YEL057C"	0.279	0.144	-0.126	0.186	0.628	-0.695	-1.0	0.041	-0.193	2.581	0.296	0.826	0.116	1.532	-0.807	0.164	0.671	0.638	0.73	1.402	0.81	0.33	0.425	0.847	-0.39	-0.219	0.109	0.387	0.395	-1.084	-0.27	1.061	-0.9965	0.828	-1.0455	-0.085	-0.0065	2.145	0.986	0.391	2.744	1.923	0.703	2.006	-0.197	1.406	2.175	1.716	1.99
"YER053C"	2.795	2.668	2.934	2.753	2.329	-0.081	1.366	0.922	-0.058	5.109	4.471	4.23	3.485	2.531	3.671	2.898	3.54	2.992	2.804	2.105	1.622	2.744	3.065	3.223	1.504	0.13	3.088	1.823	2.125	1.135	0.41	2.028	1.377	2.348	-0.633	0.545	0.858	4.334	3.745	3.487	4.803	3.805	3.368	3.532	0.797	2.403	1.926	2.132	2.194
