	"686.YP ethanol vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1253.mec1_plus_gamma_45_min"	"1254.mec1_plus_gamma_60_min"	"1255.mec1_plus_gamma_90_min"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13096.Missouri Western State College 10 uM DAPI Cy5 4 hrs (exp 2)"	"30773.Pomona/Brown Sir3x red"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"
"YAL035W"	-0.808	-2.9955	-1.8465	-1.056	-1.6975	-2.7435	-2.1065	-2.5615	-3.02066666666667	-2.203	-2.06233333333333	-2.29966666666667	-2.08033333333333	-1.92533333333333	-2.48066666666667	0.0126666666666667	0.222333333333333	-0.129	-0.260333333333333	0.098	-0.095	-0.673	-0.3045	0.029	-0.345	-0.365	-0.2715	-1.714	-0.31	-0.305	-0.141	0.155	-1.251	-1.485	0.134	0.289	0.285
"YBL028C"	-0.5095	-4.609	-3.234	-2.754	-2.652	-2.015	-2.162	-2.828	-2.6315	-2.1695	-1.5655	-2.036	-1.7715	-2.0555	-1.6605	0.112	0.1555	-0.2115	0.0295	-0.067	-1.779	-2.667	-2.101	-1.339	-2.532	-2.658	0.633	-0.937	0.27	0.338	0.589	-0.344	-2.529	-1.888	0.171	0.183	0.141
"YBL092W"	-1.263	-3.458	-3.598	-2.824	-2.394	-2.138	-2.929	-2.896	-3.5865	-2.2215	-2.153	-2.4445	-1.726	-2.74	-2.8475	-0.1795	0.189	0.1625	0.097	0.16	0.656	1.17	-0.043	-1.442	-1.975	-1.804	0.239	-1.555	0.048	0.001	0.006	0.092	-2.599	-2.171	0.846	0.816	0.717
"YBR001C"	0.0475	2.619	2.187	1.881	1.769	1.586	1.2	1.431	1.608	1.192	1.7015	1.9575	1.422	1.087	0.433	-0.3415	0.002	-0.009	0.0165	0.319	0.564	0.979	0.687	0.504	0.653	0.873	0.244	1.118	-0.274	-0.246	-0.193	0.024	3.111	2.161	-0.512	-0.671	-0.532
"YBR006W"	1.496	3.576	3.209	3.416	3.213	3.81	3.979	1.958	0.9455	1.8695	2.8955	2.4315	1.7985	2.8395	2.074	0.1215	-0.0055	-0.076	0.2595	-0.123	1.838	2.148	2.419	1.434	2.017	1.896	0.11	1.941	-0.499	-0.335	0.339	0.128	2.608	3.032	-0.588	-0.397	-0.27
"YBR048W"	-1.201	-3.385	-2.4795	-2.968	-2.171	-2.248	-2.2475	-3.0195	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	-0.092	0.154666666666667	-0.0656666666666667	0.190666666666667	0.278	-0.9665	-1.4705	-0.904	-1.1085	-1.6875	-1.53	-0.5295	-2.013	0.012	0.0853333333333333	0.325	-0.118	-4.089	-3.69	0.467	0.42	0.362
"YBR076W"	0.339	2.187	2.018	2.385	2.231	2.268	2.994	3.472	1.483	0.618	1.4395	1.6245	2.2365	2.6415	1.4465	-0.217	-0.1645	-0.1255	-0.1285	-0.389	0.992	0.993	0.993	0.578	0.52	0.256	-0.008	1.29	-0.114	0.367	-0.401	-0.335	1.039	1.811	0.507	0.408	0.358
"YBR147W"	0.7155	2.527	3.946	3.882	3.475	3.896	4.309	4.268	3.7075	2.881	3.7465	4.052	4.7615	4.3825	3.614	-0.409	-0.3995	-0.4525	-0.033	-0.127	1.234	1.598	1.816	1.049	1.462	1.549	-0.737	3.883	-0.134	0.024	-0.809	-0.581	4.312	4.452	-0.574	-0.613	-0.564
"YBR181C"	-0.8695	-3.762	-3.149	-2.554	-2.265	-1.94	-2.747	-3.798	-5.0305	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	0.31	0.612	0.549	0.2295	0.142	-1.739	-2.255	-1.478	-0.688	-1.846	-1.46	0.592	-2.337	0.1235	0.207	0.196	-0.0605	-2.98	-3.274	0.673	0.578	0.621
"YBR189W"	-1.0835	-3.784	-3.224	-3.356	-2.463	-2.154	-2.355	-2.065	-3.678	-2.112	-2.629	-2.467	-1.9305	-1.8835	-2.9475	0.143	0.269	0.144	0.262	0.339	-1.624	-2.021	-1.332	-0.838	-1.625	-1.55	0.034	-2.4025	0.25	0.172	-0.375	-0.2375	-4.739	-3.572	1.065	0.714	0.716
"YBR238C"	-1.0275	-2.763	-3.023	-2.859	-2.594	-2.491	-1.945	-2.138	-3.081	-2.5245	-2.81	-3.0925	-2.993	-3.32	-3.008	-0.627	-0.302	-0.459	-0.0555	0.062	-1.274	-1.66	-1.316	-0.686	-0.623	-0.856	-0.118	-0.915	0.066	-0.088	-0.374	0.232	-2.562	-2.19	0.272	-0.11	0.036
"YBR255W"	0.864	1.895	1.55	1.761	1.754	1.98	1.88	1.564	0.385	1.0695	1.1855	0.868	1.353	1.383	0.83	0.228	0.293	-0.009	0.2385	0.246	1.185	1.271	1.03	1.079	0.863	0.722	-0.025	0.807	-0.021	0.081	0.192	0.182	0.506	0.35	0.371	-0.139	-0.147
"YBR287W"	0.052	2.34	1.484	1.322	1.689	1.843	1.95	2.536	1.6345	1.3125	1.4665	1.799	2.697	2.362	2.003	-0.239	-0.174	-0.407	-0.3175	-0.198	0.61	0.837	0.707	0.233	0.467	0.364	-0.383	1.487	-1.262	-1.354	0.197	0.096	2.17	1.507	-0.569	-0.587	-0.592
"YCL052C"	0.504	2.189	1.087	1.316	1.271	1.206	1.568	1.99	1.28	0.7215	0.744	1.275	1.6575	1.3005	0.7605	0.15	0.047	-0.023	-0.1245	-0.139	0.099	0.771	0.812	0.071	0.406	0.512	0.605	0.607	-0.479	-0.553	0.042	0.113	1.371	1.295	-0.071	-0.097	0.012
"YDL194W"	1.332	2.756	3.079	2.902	2.773	2.758	3.229	2.675	1.971	1.674	2.005	1.921	1.923	2.037	1.752	0.203	0.225	-0.089	0.437	-0.282	0.41	0.519	0.496	0.171	0.464	0.81	-0.07	1.647	-0.088	0.057	-1.186	-0.085	0.057	0.41	0.987	-0.254	-0.132
"YDL199C"	0.737	3.613	3.263	2.856	2.72	3.28	4.082	3.316	3.993	2.022	2.729	3.114	3.13	3.12	2.061	-0.649	-0.506	-0.412	-0.037	-0.193	1.004	1.62	1.333	0.433	0.952	1.332	0.082	1.971	0.017	0.006	-0.164	0.208	3.576	2.669	-0.217	-0.141	-0.087
"YDL201W"	-0.434	-3.282	-2.32	-1.899	-1.819	-1.285	-1.952	-1.537	-2.178	-1.317	-1.176	-1.363	-1.295	-1.218	-1.732	0.075	0.088	-0.119	-0.17	-0.137	-1.022	-1.275	-1.213	-0.965	-1.373	-1.767	0.612	-0.902	0.223	0.121	0.303	0.097	-2.492	-1.838	0.211	0.244	0.167
"YDL204W"	2.402	5.851	4.733	4.685	5.32	5.69	5.571	5.749	4.66	4.854	5.274	5.34	5.75	7.317	5.93	0.325	0.063	-0.121	0.394	-0.141	3.455	4.067	4.561	3.189	3.761	4.115	0.924	4.52	-0.587	-0.81	-0.752	-0.317	5.864	4.642	-1.031	-1.265	-1.019
"YDR025W"	-1.0	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	-0.397	-0.17	-0.306	-0.035	0.236	-1.061	-1.767	-0.948	-1.467	-1.45	-1.463	-0.059	-1.7675	0.2095	0.205	0.444	-0.1195	-3.906	-3.552	0.676	0.688	0.682
"YDR037W"	-1.231	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-1.971	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	-0.096	-0.091	-0.392	-0.13	0.385	-0.894	-1.545	-1.443	-0.877	-1.572	-1.904	0.771	-2.523	0.064	0.055	-0.245	0.185	-4.204	-3.541	-1.008	-0.336	-0.305
"YDR124W"	0.75	2.513	2.148	2.019	1.841	1.474	0.889	0.154	2.312	1.36	1.283	1.229	1.244	1.224	0.712	-0.168	-0.098	-0.251	0.16	-0.144	0.829	0.89	0.935	0.652	0.739	0.728	0.095	0.918	-0.029	0.093	-0.871	0.151	2.15	1.078	0.021	-0.029	0.303
"YDR125C"	0.553	2.059	2.431	1.735	1.503	1.455	0.397	0.152	2.405	1.12	1.276	1.424	0.719	0.754	0.735	-0.523	-0.632	-0.41	-0.21	-0.045	0.727	0.949	0.609	0.748	0.918	1.027	0.175	0.562	-0.025	-0.036	-0.896	0.042	2.175	1.36	-0.012	-0.135	-0.051
"YDR165W"	-0.581	-4.096	-2.538	-2.179	-2.247	-1.905	-2.27	-3.111	-3.057	-1.816	-1.396	-1.582	-1.767	-2.409	-2.23	0.323	0.281	0.19	-0.044	-0.084	-1.455	-2.129	-1.683	-0.891	-1.967	-1.516	0.66	-1.0245	0.1675	0.225	-0.527	-0.157	-3.205	-2.632	0.099	0.152	0.245
"YDR169C"	0.624	1.221	1.876	1.904	1.078	1.85	1.419	1.661	1.538	1.438	1.35	1.608	0.592	1.183	0.43	-0.095	0.122	-0.188	0.024	0.09	1.793	1.913	1.547	0.943	1.23	1.409	0.517	1.273	-0.2065	-0.1675	-0.519	0.035	0.76	0.802	0.044	-0.169	-0.009
"YDR202C"	0.634	2.562	1.326	1.454	1.15	1.28	1.681	0.844	1.604	0.927	1.184	1.357	1.528	1.08	0.405	-0.019	0.035	-0.104	-0.303	-0.106	1.521	1.529	1.465	1.225	1.399	0.931	-0.373	0.578	0.347	0.253	-0.135	0.077	1.143	0.7405	-0.085	-0.09	0.0435
"YDR245W"	-0.965	0.179	-1.6455	-1.349	-1.899	-1.947	-1.19	-1.932	-1.5075	-1.4375	-1.4085	-1.39	-1.7115	-2.2845	-2.201	0.088	0.221	-0.03	0.0415	0.047	-0.799	-0.7865	-0.801	-0.611	-0.7905	-1.01	0.079	-1.29866666666667	0.198	0.169333333333333	-0.284666666666667	0.155	-1.8525	-1.6895	0.248	0.2085	0.206
"YDR258C"	0.9975	3.2635	2.98	3.136	2.991	3.0805	3.8995	2.5345	2.5525	2.6345	2.719	3.0955	1.246	1.2125	0.9625	0.499	-0.0065	0.051	-0.497	0.7125	2.065	1.9925	2.052	2.245	2.175	2.0325	0.7415	2.4265	0.386	0.4685	-0.05	0.1405	4.282	3.529	-0.775	-0.911	-0.639
"YDR262W"	0.9675	1.7335	1.8585	1.8825	2.06	2.6665	3.1335	3.3725	2.2555	2.2405	3.0895	3.2615	4.491	4.8085	4.03	-0.0675	-0.182	0.0285	0.1505	-0.0015	1.0275	1.353	1.3465	0.543	1.12	1.167	0.0515	2.2315	0.139	0.121	0.1035	-0.2305	1.7955	2.334	0.0865	0.116	0.049
