	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL028W"	-1.624	-0.072
"YCL055W"	-3.011	0.766
"YCR002C"	-5.182	2.551
"YCR013C"	-5.566	-1.117
"YCR045C"	-0.9915	0.263
"YDL012C"	-1.775	-0.177
"YDL084W"	-4.827	1.301
"YDR002W"	-4.542	1.06
"YDR128W"	-1.9175	0.6595
"YDR189W"	-2.842	0.535
"YDR192C"	-1.891	1.658
"YDR212W"	-4.59	0.559
"YDR237W"	-3.483	0.735
"YDR311W"	-1.222	0.468
"YDR320C"	-4.218	1.16
"YER086W"	-5.173	1.445
"YER137C"	-2.267	0.639333333333333
"YFL039C"	-3.733	1.059
"YFR002W"	-7.825	0.801
"YFR028C"	-4.271	1.292
"YGL065C"	-2.778	0.759
"YGL115W"	-3.416	0.777
"YGL155W"	-2.217	-0.354
"YGL254W"	-1.441	0.495
"YGR089W"	-3.613	0.598
"YGR100W"	-2.602	1.16
"YGR175C"	-4.5	1.1195
"YGR229C"	-4.256	0.764
"YGR266W"	-4.267	3.194
"YHR039BC"	-4.183	-0.648
"YHR073W"	-2.844	0.796
"YHR121W"	-4.718	0.49
"YIL094C"	-5.071	0.645
"YIL151C"	-1.82	0.937
"YJL104W"	-2.716	1.775
"YJL167W"	-7.538	-1.136
"YJL183W"	-4.986	1.335
"YJR016C"	-5.079	1.195
"YJR076C"	-4.614	1.167
"YJR087W"	-3.553	0.575
"YJR132W"	-3.493	1.06
"YJR139C"	-4.462	1.581
"YKL052C"	-1.416	1.397
"YKL080W"	-5.94	5.981
"YKL101W"	-2.513	0.668
"YKR028W"	-4.381	2.77
"YLL008W"	-6.113	1.789
"YLL018C"	-5.451	2.07
"YLR210W"	-4.137	-1.015
"YLR253W"	-2.717	0.783
"YLR438W"	-3.254	0.521
"YML105C"	-5.249	0.841
"YMR010W"	-4.183	-0.48
"YMR047C"	-3.61	0.3705
"YMR071C"	-2.322	2.028
"YMR074C"	-3.406	-0.376
"YMR099C"	-5.036	1.959
"YMR111C"	-1.773	1.476
"YMR208W"	-3.618	0.7435
"YMR212C"	-6.75	1.4335
"YNL026W"	-4.57	0.428
"YNL079C"	-4.703	-1.0045
"YNL316C"	-3.472	0.779
"YNR011C"	-3.395	0.045
"YOL139C"	-5.5	1.105
"YOR209C"	-6.004	-0.824
"YOR219C"	-1.526	1.762
"YOR241W"	-6.523	0.624
"YOR253W"	-5.157	-2.311
"YOR320C"	-3.6785	0.604
"YOR323C"	-6.434	1.176
"YOR332W"	-3.5655	-0.808
"YPL001W"	-4.084	0.87
"YPL039W"	-2.1565	2.093
"YPL081W"	-6.801	0.959
"YPL118W"	-3.472	0.619
"YPL195W"	-4.488	0.51
"YPL237W"	-5.7585	1.209
"YPR090W"	-3.97	1.773
"YPR125W"	-4.04	1.373
"YPR173C"	-3.6935	1.008
