	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"117.heat shock 60 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"12744.heat shock 17 to 37, 20 minutes"	"21634..24 mM H2O2- 155 minutes"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33417.delKIN82_heat shock _60min_repeat"	"33779.delYPL230w_stationary_phase_5hours"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"40946.H2O2_II_7_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40957.H2O2_II_120_min"	"40958.H2O2_II_140_min"	"40960.H2O2_II_180_min"	"40962.MD_II_7_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40973.MD_II_100_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YMR310C"	-3.117	-2.423	-1.055	-2.264	-2.522	-1.974	-0.4	-2.195	-0.826	-2.999	-1.275	-1.838	-1.146	-0.948	-1.454	-3.842	-1.935	-2.25	-1.986	-1.6	-1.055	-0.779	-0.584	-0.88	-0.465	-0.637	-0.914	-2.882	-0.178	-2.857	-2.977	-1.757	-0.485	-3.588	-0.008	0.322	-0.227	-0.37	-1.988	-1.598	-1.033	-1.34	-1.046	-0.466	-0.811	-0.495	-0.186	0.866	-0.045	-1.468	-1.211	-1.094	-1.746	-1.862
"YNL061W"	-4.928	-3.927	-0.686	-4.143	-4.404	-3.948	-0.437	-2.724	-1.163	-4.329	-2.031	-1.794	-1.22	-1.547	-2.147	-4.27	-2.724	-2.519	-2.417	-3.268	-1.421	-1.548	-1.276	-1.357	-1.899	-0.85	-0.916	-5.38	0.002	-3.925	-2.461	-0.996	-0.357	-2.571	0.255	0.557	0.015	0.043	-2.625	-1.669	-1.39	-1.484	-1.398	-0.83	0.501	0.574	-0.653	-0.686	-0.446	-2.081	-1.499	-1.121	-2.191	-1.375
"YNL174W"	-5.157	-4.699	-1.107	-4.233	-5.579	-4.714	-1.222	-3.024	-1.752	-5.141	-3.51	-3.428	0.252	-2.797	-4.079	-4.409	-3.149	-2.319	-2.439	-4.372	-2.731	-2.061	-3.046	-3.229	-3.118	-0.923	-0.825	-5.426	-0.338	-3.76	-2.503	-1.998	-1.448	-3.816	0.11	0.051	-0.1	-1.252	-1.585	-2.734	-3.361	-3.661	-1.461	-2.042	-0.732	-0.131	-0.373	-0.331	-0.963	-4.173	-3.46	-3.932	-3.568	-3.586
"YNL175C"	-5.334	-4.901	-0.991	-4.11	-4.362	-3.931	-0.733	-2.77	-1.567	-4.877	-2.65	-2.975	-2.4	-2.117	-2.872	-6.011	-3.06	-2.575	-2.601	-4.587	-2.405	-2.484	-2.404	-3.809	-2.849	-1.122	-0.84	-5.147	-0.295	-2.388	-1.746	-1.988	-1.1605	-2.5475	0.067	-0.543	0.0085	-0.955	-3.174	-4.009	-4.49	-2.353	-2.696	-1.499	-0.619	-0.718	-0.201	-0.575	-0.068	-2.99	-2.735	-3.054	-2.676	-2.821
"YNL182C"	-6.33	-4.05	-1.264	-2.807	-4.805	-3.807	-0.807	-2.573	-1.146	-4.184	-3.243	-3.17	-2.812	-3.421	-5.862	-2.532	-2.39	-2.667	-2.624	-3.931	-2.613	-2.685	-3.434	-3.351	-2.827	-0.997	-0.966	-4.61	-0.502	-3.082	-3.01	-1.848	-0.831	-3.607	-0.16	-0.347	-0.232	-1.437	-5.251	-2.917	-3.551	-2.861	-1.756	-2.089	-1.527	-1.045	-0.75	-1.374	-1.696	-3.559	-3.206	-2.59	-3.844	-2.844
"YNL300W"	-0.798	-1.623	0.415	-1.992	-2.789	-2.689	-0.383	-1.144	0.531	-2.803	-1.309	-0.5	-1.448	-0.88	-0.14	-2.518	-1.402	-1.377	-1.904	-0.728	-0.814	-0.886	-0.508	-0.551	-0.684	0.122	0.121	-2.456	0.726	-1.35	-0.609	0.159	0.609	-3.028	0.518	1.055	0.896	0.353	-1.807	-1.37	-0.799	-1.309	0.038	-0.524	-0.122	-0.389	-0.626	-0.281	-0.158	0.397	-0.464	0.634	0.768	0.109
"YOL022C"	-2.578	-2.43	-0.366	-2.344	-2.29	-2.301	-0.725	-0.652	-0.775	-1.8955	-1.2855	-1.054	-1.1175	-1.0045	-1.388	-4.073	-1.7425	-2.0495	-1.1435	-1.88	-1.156	-0.866	-1.681	-2.027	-1.748	-0.646	-0.391	-2.13	0.007	-2.882	-3.424	-1.09	0.034	-2.775	-0.339	-0.283	-0.402	-1.489	-1.783	-2.89	-2.214	-1.966	-2.035	-1.508	-0.836	-0.744	-0.513	-0.336	0.939	-1.21	-2.087	-1.612	-1.031	-2.059
"YOL077C"	-5.439	-5.04	-1.344	-4.336	-5.22	-4.28	-0.775	-1.4925	-1.471	-5.186	-0.2885	-3.087	-2.568	-2.79	-3.02	-6.552	-2.1355	-4.174	-0.219	-3.705	-2.565	-3.046	-3.299	-3.894	-4.326	-1.19	-1.046	-4.7	0.402	-4.969	-4.679	-2.579	-0.442	-5.145	0.11	0.071	-0.298	0.322	-3.715	-3.742	-2.522	-2.623	-2.653	-1.858	-1.252	-1.394	-0.561	-0.465	0.326	-2.396	-2.023	-3.886	-3.121	-2.036
"YOR021C"	-2.424	-2.232	-0.974	-1.661	-2.204	-2.166	-0.508	-0.985	-0.811	-2.468	-2.14	-1.233	-2.119	-2.127	-1.103	-2.956	-1.636	-2.17	-1.75	-1.602	-1.352	-1.513	-0.652	-1.443	-0.968	-0.629	-0.648	-2.297	-0.072	-2.366	-1.996	-1.466	-0.395	-1.781	-0.005	-0.37	0.008	-0.669	-2.095	-1.531	-2.254	-1.488	-1.6	-1.853	-0.466	-0.74	-0.436	-0.687	-0.495	-1.116	-1.555	-0.767	-0.713	-1.373
"YOR206W"	-5.087	-3.702	-0.722	-3.585	-5.083	-4.513	-0.623	-3.849	-1.39	-5.827	-2.568	-2.0395	-1.991	-2.174	-3.681	-6.4785	-2.919	-3.1625	-1.9445	-3.888	-2.026	-2.637	-3.151	-3.692	-3.694	-1.225	-1.25	-5.066	0.011	-3.839	-4.003	-1.781	-0.69	-4.817	-0.047	-0.396	-0.285	-0.493	-4.382	-6.119	-3.274	-2.425	-1.737	-1.906	-1.168	-0.425	-0.829	-0.872	0.058	-5.057	-2.284	-0.836	-1.999	-1.875
"YOR243C"	-3.594	-3.234	-1.468	-2.436	-3.633	-3.982	-0.887	-2.5655	-0.863	-3.8055	-2.475	-2.128	-2.1915	-2.2855	-3.3625	-4.3935	-1.9265	-2.588	-2.1815	-3.635	-2.371	-2.726	-2.865	-4.484	-3.863	-0.732	-0.582	-4.099	-0.108	-2.845	-2.616	-1.649	-0.472	-2.825	-0.089	-0.124	0.149	-0.496	-3.948	-3.202	-2.909	-2.358	-2.809	-1.977	-2.024	-1.517	-1.283	-0.901	-0.852	-3.764	-1.523	-1.82	-2.099	-1.547
"YOR272W"	NaN	-3.645	-1.074	-3.098	-2.566	1.0	-0.572	-1.8365	-1.065	-4.8145	-2.3895	-2.6015	-1.5575	-1.968	-3.353	-4.712	-2.841	-3.033	-2.763	-3.311	-1.777	-2.009	-3.017	-3.307	-4.52	-1.023	-0.688	-2.217	-0.179	-3.187	-2.816	-2.031	-0.666	-3.502	-0.11	0.07	-0.324	-0.647	-3.479	-3.546	-2.98	-3.332	-2.014	-1.119	-1.12	-0.689	-0.648	-1.287	-0.885	-1.672	-2.079	-2.388	-3.252	-2.332
"YOR309C"	-4.991	-4.328	-1.446	-3.697	-5.523	-5.514	-1.663	-3.838	-1.262	-6.798	-4.4185	-4.0545	-4.227	-3.942	-4.234	-6.859	-3.07	-3.709	-3.9105	-5.839	-3.084	-4.353	-4.746	-5.449	-5.009	-0.86	-1.002	-4.939	0.411	-2.102	-2.645	-1.477	-0.697	-4.097	-0.122	0.194	0.154	0.336	-5.135	-2.934	-2.818	-2.231	-2.331	-1.719	-0.63	-0.01	0.027	-0.732	-0.157	-2.255	-1.594	-1.602	-0.964	-2.142
"YOR310C"	-5.053	-4.365	-1.109	-3.309	-4.639	-3.004	-1.081	-3.57	-1.366	-6.006	-3.92	-3.4655	-3.0705	-3.319	-4.7765	-7.1385	-3.101	-3.766	-3.585	-5.777	-2.773	-4.105	-4.745	-5.099	-4.866	-0.768	-0.905	-4.948	0.463	-4.326	-4.099	-2.39	-0.226	-5.14	0.023	0.196	-0.119	-0.389	-2.739	-3.031	-3.155	-2.87	-2.127	-0.929	-1.407	-0.271	-0.184	-0.801	-0.263	-1.453	-2.776	-2.448	-2.327	-1.711
"YPL163C"	-2.234	-2.775	-0.347	-2.225	-3.19	-3.529	-0.991	-2.033	0.617	-1.9935	-1.193	-0.626	-1.0915	-1.849	-1.754	-2.7605	-1.8105	-1.0925	-1.643	-1.03	-0.925	-1.79	-2.61	-2.37	-3.121	-0.462	-0.466	NaN	-0.293	-2.697	-2.389	-0.897	0.157	-3.373	0.127	0.508	0.249	-0.68	-1.314	-2.573	-3.612	-2.506	-2.04	-1.939	-1.201	-0.873	-0.381	-0.499	-1.682	-1.88	-1.588	-0.99	-0.488	-0.12
"YPL220W"	-1.847	-2.404	-1.035	-2.267	-3.278	-3.871	-1.189	-0.8855	-1.1745	-3.389	-2.4215	-2.18	-2.214	-2.2495	-3.187	-6.1465	-2.8915	-3.0375	-3.442	-3.51	-1.794	-2.639	-2.247	-2.571	-3.926	-0.423	-0.604	-3.09	0.086	-2.654	-1.963	-1.918	-0.738	-3.554	-0.416	0.015	-0.028	-0.794	-1.52	-2.098	-2.256	-2.574	-1.996	-1.104	-1.447	-1.238	-0.152	-0.89	-1.936	-3.075	-2.482	-3.677	-3.418	-3.8
"YPL226W"	-3.457	-3.002	-0.933	-2.4945	-3.229	-4.183	-1.114	-2.459	-1.065	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.472	-3.37333333333333	-2.503	-4.0095	-2.363	-2.8955	-3.407	-2.9025	-3.983	-0.6695	-0.6865	-3.215	-0.347	-3.076	-3.793	-0.845	-0.613	-3.811	0.15	-0.093	0.142	-0.7325	-2.6675	-2.5635	-2.1345	-2.386	-1.6895	-1.548	-0.711	-1.551	-1.012	-0.949	-1.317	-2.957	-1.972	-2.674	-3.622	-2.153
"YPL256C"	NaN	-2.244	-0.064	-1.803	-2.342	-2.415	-0.838	-1.7035	0.1095	-2.5575	-0.462	-0.2895	-0.42	-0.7235	-2.0795	-3.624	-0.632	-1.276	-1.8365	-1.29	-0.863	-2.197	-1.257	-2.045	-2.444	-0.263	-0.62	-2.321	-0.005	-2.5445	-2.8615	-0.7235	0.272	-2.28	0.3115	0.819	0.4895	0.368	-3.477	-3.207	-1.889	-1.487	-1.963	-0.371	-0.961	-0.968	0.06	0.712	-0.971	-3.32	-2.765	-0.728	-1.661	-0.992
"YPL266W"	-3.981	-3.222	-0.686	-2.968	-3.585	-3.063	-0.561	-2.4965	-1.1315	-4.1135	-2.3835	-2.305	-2.135	-2.448	-4.58	-3.1595	-2.162	-3.267	-2.3995	-2.099	-1.926	-1.477	-1.746	-1.809	-2.022	-0.976	-0.837	-3.636	0.442	-4.813	-2.945	-1.846	-0.756	-4.271	-0.133	-0.464	0.034	-0.998	-1.911	-2.797	-2.362	-1.537	-1.689	-1.037	-0.983	0.407	-0.759	-0.551	-0.784	-2.361	-1.756	-2.527	-0.991	-2.411
"YPR110C"	-3.178	-3.084	-0.931	-2.507	-3.52	-3.728	-1.308	-2.207	-1.0145	-5.7185	-3.423	-3.2115	-2.9215	-3.133	-3.662	-6.318	-2.6255	-3.01	-3.296	-3.88	-2.186	-2.703	-2.993	-3.212	-3.358	-0.593	-0.473	-3.168	-0.012	-3.436	-3.503	-1.15	-0.218	-3.882	-0.422	-0.31	-0.157	-0.571	-3.569	-1.995	-2.88	-2.431	-2.452	-1.826	-0.788	-1.801	-0.949	-0.864	-0.473	-1.588	-3.122	-2.592	-1.539	-1.492
