	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"117.heat shock 60 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"12744.heat shock 17 to 37, 20 minutes"	"21634..24 mM H2O2- 155 minutes"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33417.delKIN82_heat shock _60min_repeat"	"33779.delYPL230w_stationary_phase_5hours"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"40946.H2O2_II_7_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40957.H2O2_II_120_min"	"40958.H2O2_II_140_min"	"40960.H2O2_II_180_min"	"40962.MD_II_7_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40973.MD_II_100_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YHL013C"	-1.5535	-1.2005	0.116	-1.4695	-1.598	-1.5895	-0.29	-0.759	-0.485	-1.592	-0.779	-0.279	-0.562	-1.218	-3.25	-2.833	-0.995	-1.516	-1.15	-1.354	-0.889	-1.318	-0.822	-2.2	-0.717	-0.273	-0.254	-1.9045	-0.022	-0.85	0.004	-0.086	1.235	-2.955	-0.184	-0.053	-0.005	-0.739	-1.68	-2.253	-1.833	-1.526	-2.158	-1.591	-0.569	-1.033	-0.3	-1.097	-0.63	-3.325	-2.312	-1.887	-2.976	-2.505
"YHR128W"	-1.5185	-1.9425	-1.111	-1.832	-1.894	-2.9375	-1.606	-1.047	-0.538	-4.359	-3.335	-2.68	-3.111	-3.742	-4.967	-6.006	-1.496	-3.351	-3.988	-2.2	-2.425	-3.482	-3.191	-3.494	-3.516	-0.562	-0.793	-2.3865	0.139	-1.019	-1.535	-0.325	-0.289	-2.552	-0.057	0.213	-0.018	-0.778	-1.861	-2.441	-2.644	-2.222	-2.467	-1.653	-0.851	-1.593	-0.157	-0.65	-1.239	-1.517	-3.173	-3.448	-3.711	-4.039
"YHR170W"	-5.3995	-4.622	-1.2935	-4.14	-4.723	-3.947	-0.829	-3.256	-1.288	-4.51	-1.901	-2.071	-1.573	-2.063	-2.573	-4.858	-2.326	-2.759	-2.694	-2.314	-1.433	-1.819	-2.036	-2.758	-2.443	-1.052	-1.528	-5.252	-0.103	-3.576	-2.772	-2.333	-0.609	-3.601	-0.394	-0.175	-0.411	-1.122	-2.751	-3.22	-3.476	-3.076	-2.087	-1.465	-1.029	-1.393	-0.584	-1.263	-0.982	-3.173	-3.089	-3.041	-4.036	-2.383
"YIL018W"	1.619	-2.4325	-0.9795	-2.2685	-3.509	-3.965	-1.109	-1.381	-0.959	-4.365	-3.03	-2.782	-2.724	-2.78	-3.492	-5.749	-2.754	-3.362	-3.505	-3.907	-1.842	-2.606	-2.661	-3.27	-3.914	-0.299	-0.4	-3.4165	0.481	-2.641	-1.899	-1.788	-0.297	-4.06	-0.277	0.054	-0.201	-1.009	-2.249	-2.277	-2.962	-2.689	-2.573	-2.031	-1.233	-1.765	-0.51	-1.022	-0.682	-1.909	-1.868	-2.534	-1.992	-2.409
"YJL069C"	-3.028	-3.073	-0.6405	-1.3795	-2.9805	-3.0365	-0.617	-2.099	-1.24	-4.742	-2.843	-2.261	-2.587	-2.386	-3.072	-6.298	-1.977	-1.49	-2.566	-2.694	-1.774	-1.855	-1.613	-1.653	-2.017	-0.746	-0.522	-3.224	-0.923	-1.862	-2.285	-0.926	-0.021	-2.354	-0.184	-0.328	-0.247	-1.437	NaN	-3.223	-3.75	-1.763	-2.393	-1.892	-1.296	-0.905	-1.063	-1.58	-1.016	-3.096	-2.407	-2.789	-2.615	-3.111
"YJL198W"	-2.413	-2.408	-0.386	-2.049	-2.7905	-2.457	-0.778	-1.352	-0.79	-2.049	-1.408	-0.672	-0.563	-1.641	-2.531	-2.784	-1.227	-2.115	-1.669	-0.9	-0.777	-1.441	-0.665	-1.808	-1.415	-0.613	-0.526	-3.027	-0.259	NaN	-3.372	-1.051	-0.588	-2.296	-0.136	-0.211	0.141	-0.288	-2.263	-2.783	-2.089	-0.967	-2.11	-1.27	-0.854	-1.609	-0.352	-1.035	-0.674	-2.331	-2.205	-1.301	-3.514	-2.538
"YJL200C"	-3.818	-2.434	0.2875	-2.957	-4.048	-3.5515	-0.226	-2.543	-1.403	-3.392	-2.349	-1.692	-1.529	-1.286	-2.839	-4.345	-1.103	-2.728	-2.482	-0.918	-0.61	-1.19	-0.342	-0.794	-0.718	0.035	0.176	-3.9785	1.21	-2.786	-3.433	-0.396	0.263	-3.653	0.069	-0.022	-0.094	0.236	-2.565	-2.445	-2.044	-0.235	-0.723	0.253	0.464	-0.138	0.62	-0.337	-0.052	-2.249	-2.354	-1.983	-2.752	-1.686
"YJL208C"	-2.433	-2.228	-0.6475	-0.7505	-1.906	-1.574	-0.162	-1.637	-0.571	-2.326	0.095	-0.447	-0.827	-1.191	-2.879	-3.324	-1.052	-1.817	-1.294	-1.382	-1.005	-1.712	-1.647	-2.188	-1.371	-0.331	-0.888	-2.466	0.074	-2.875	-2.275	-0.984	0.193	-3.351	-0.189	-0.132	-0.46	-0.62	-1.663	-2.484	-1.773	-1.504	-0.995	-0.593	-0.676	-0.192	0.215	-1.025	-0.704	-1.349	-1.278	-1.291	-2.657	-1.706
"YJR070C"	-4.6905	-4.824	-0.525	-3.895	-4.828	-4.332	-1.502	-3.794	-0.712	-5.317	-3.975	-3.514	-3.056	-3.68	-3.511	-7.226	-3.689	-3.471	-2.777	-2.102	-1.698	-1.829	-1.463	-2.254	-2.322	-0.79	-0.694	-4.7655	-0.038	-3.81	-4.096	-1.614	-0.278	-3.754	-0.098	-0.085	0.084	-0.368	-2.78	-3.368	-3.447	-3.971	-1.731	-1.607	-0.907	-1.395	-0.583	-1.055	0.028	-3.121	-2.681	-2.012	-1.311	-2.238
"YKL082C"	-2.8345	-2.5635	-0.5325	-2.396	-3.0765	-3.3375	-0.568	-1.58	-1.817	-3.87	-2.249	-1.774	-2.137	-1.13	-0.699	-2.45	-1.708	-1.61	-0.366	-3.391	-2.03	-1.838	-0.923	-1.55	-1.551	-1.089	-0.792	-2.7635	0.497	-2.438	-2.074	-0.935	-0.465	-3.215	-0.288	-0.209	0.271	0.376	-1.23	-0.707	-2.041	-2.307	-1.222	-0.969	-0.707	-0.435	-0.151	-0.36	-1.072	-1.0	-0.596	-1.972	-1.912	-1.715
