	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"297.Kb vs. Ctrl"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"810.DES460 (wild type) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7530.DBY msn2msn4 37C - 20 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"8197.steady state 25 dec C"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"12744.heat shock 17 to 37, 20 minutes"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"
"YBR111C"	1.214	1.331	0.835	0.0555	1.097	1.507	1.559	1.267	0.4025	0.366	1.198	1.263	1.923	-1.559	1.101	0.609	0.22	0.057	0.846	1.113	0.422	0.014	-0.586	-0.166	-0.388	2.15	0.069	1.012
"YCLX02C"	-3.711	-4.024	-3.119	-0.0435	-1.744	-2.69	-3.872	-3.655	-0.847	-0.8045	-2.8	-2.263	-4.118	-2.85	-1.372	-2.734	-0.372	0.0195	-0.786	-2.18	-0.298	0.684	0.091	0.193	0.097	-4.225	-0.008	-2.679
"YCR016W"	-1.772	-2.622	-2.118	0.004	-1.25	-2.019	-2.87	-2.734	-1.138	-0.593	-2.021	-1.836	-2.836	-2.969	-1.647	-2.199	-0.342	-0.206	-0.766	-1.369	-0.28	0.583	0.494	0.192	0.247	-2.836	0.228	-2.302
"YDL031W"	-2.218	-2.88	-2.3335	-0.216	-1.516	-2.1535	-2.805	-2.451	-0.8265	-0.82	-1.7075	-1.604	-2.5295	-3.3365	-1.2945	-2.234	0.172	0.1475	-0.9815	-0.746	-0.4845	0.833	0.4315	0.0885	0.102	-2.6385	0.185	-2.583
"YDL148C"	-3.467	-4.262	-3.284	0.186	-1.179	-2.868	-3.476	-2.829	-0.772	-1.272	-2.829	-3.097	-3.372	-4.257	-2.115	-2.168	-0.499	0.234	-1.295	-1.344	-0.632	0.598	0.625	0.45	0.32	-3.488	0.026	-2.998
"YDL153C"	-2.245	-4.549	-4.333	-0.038	-1.723	-3.047	-4.369	-3.668	-1.281	-1.265	-2.992	-2.998	-3.698	-2.931	-2.125	-2.307	-0.974	0.179	-1.096	-1.921	-0.655	0.553	0.188	0.374	0.451	-4.079	0.076	-2.5
"YDR083W"	-2.465	-2.781	-3.602	-0.239	-1.797	-2.743	-3.018	-3.242	-1.148	-0.832	-2.561	-2.515	-3.47	-2.922	-2.497	-2.697	-0.729	0.177	-0.897	-1.533	-0.653	1.131	0.539	0.584	0.334	-3.386	-0.044	-3.178
"YDR087C"	-2.034	-3.126	-4.143	-0.121	-1.747	-2.758	-3.643	-3.468	-1.141	-0.983	-2.287	-2.337	-4.139	-4.944	-2.758	-2.528	-0.623	0.311	-1.236	-1.122	-0.61	0.961	0.132	0.23	0.07	-4.13	-0.476	-3.928
"YDR096W"	2.159	2.715	2.372	0.112	1.229	2.281	2.565	2.549	0.632	0.443	1.717	1.407	3.784	3.176	1.574	2.127	0.124	-0.062	0.525	0.211	0.183	-0.32	0.2	0.067	-0.093	2.518	0.168	1.2895
"YDR129C"	1.437	2.102	1.626	0.405	0.693	1.799	1.854	1.869	0.708	0.439	0.969	0.963	1.497	-1.818	0.656	0.924	0.595	-0.052	1.269	1.374	-0.129	0.298	-0.203	-0.215	0.12	1.874	0.071	1.387
