	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"
"YOR271C"	-2.276	-2.9995	-1.175	-1.395	-0.914	-1.184	-0.476
"YOR293W"	-2.7875	-4.496	-2.507	-1.856	-2.041	-3.118	-1.234
"YOR326W"	-3.4635	-4.9875	-2.099	-3.585	-3.591	-2.795	-0.274
"YOR331C"	-1.513	-4.099	-0.38	-0.706	-1.671	-2.079	-0.289
"YPL028W"	-3.482	-5.5385	-1.006	-1.692	-2.17	-2.948	-0.544
"YPL037C"	-3.9955	-5.417	-1.872	-2.115	-3.222	-3.654	0.023
"YPL043W"	-2.4695	-3.79	-2.134	-1.995	-2.623	-2.739	0.437
"YPL048W"	-3.2175	-4.579	-0.823	-1.535	-1.925	-2.183	-0.054
"YPL094C"	-3.0415	-5.3055	-1.061	-2.024	-2.284	-2.741	-0.202
"YPL158C"	-1.597	-3.676	-1.789	-1.362	-2.019	-1.818	0.08
"YPL195W"	-1.607	-4.488	-0.938	-1.595	-1.621	-1.904	-0.365
"YPL243W"	-4.1455	-5.276	-1.873	-2.602	-3.541	-3.544	-0.088
"YPL273W"	-3.722	-5.69966666666667	-3.2755	-2.794	-3.21	-3.3575	-0.828
"YPR013C"	-1.511	-2.517	0.204	0.556	0.963	1.354	0.061
"YPR029C"	-1.735	-4.2395	-0.605	-1.909	-1.836	-2.242	-0.277
"YPR033C"	-4.8805	-7.94	-2.55	-3.951	-4.382	-4.54	-0.798
"YPR074C"	-5.337	-5.42	-3.162	-3.369	-3.61	-3.663	-0.212
"YPR114W"	-2.9825	-3.903	-1.177	-1.633	-1.738	-2.533	0.58
"YPR118W"	-3.9965	-5.524	-2.077	-2.882	-3.334	-3.538	-0.324
"YPR125W"	-1.846	-4.04	-0.532	-1.108	-1.757	-2.566	0.175
"YPR145W"	-3.737	-5.02	-2.21	-3.369	-3.625	-3.498	-1.38
"YPR163C"	-2.9485	-5.4905	-2.325	-2.642	-2.895	-2.82	-1.172
"YPR187W"	-3.609	-5.408	-2.016	-2.28	-2.584	-3.22	-1.235
