	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAR050W"	-5.258	1.118
"YBR044C"	-2.07	0.503
"YBR049C"	-2.667	1.673
"YBR098W"	-2.857	1.938
"YBR103W"	-2.221	1.088
"YBR141C"	-3.279	1.135
"YBR252W"	-3.909	2.441
"YCR002C"	-5.182	2.551
"YCR024C"	-1.937	1.339
"YCR043C"	-4.19	2.376
"YCR044C"	-2.699	1.505
"YCR099C"	-1.545	1.204
"YDL015C"	-4.309	0.991
"YDL043C"	-3.636	1.801
"YDL084W"	-4.827	1.301
"YDL225W"	-3.558	2.369
"YDR023W"	-5.745	3.446
"YDR137W"	-2.028	0.158
"YDR156W"	-3.159	1.54
"YDR157W"	-4.05	0.693
"YDR207C"	-3.626	1.185
"YDR266C"	-2.3595	1.263
"YDR295C"	-3.1075	1.614
"YDR341C"	-5.262	0.769
"YDR370C"	-2.636	0.927
"YDR498C"	-2.741	1.508
"YDR502C"	-5.303	4.051
"YEL042W"	-4.334	0.217
"YER012W"	-4.764	2.475
"YER014W"	-3.161	1.5335
"YER064C"	-4.714	2.589
"YER126C"	-5.367	-0.194
"YFL001W"	-3.684	1.76833333333333
"YGL021W"	-5.572	1.83
"YGL022W"	-4.268	2.888
"YGL099W"	-5.764	0.903
"YGL102C"	-5.65	0.911
"YGL123W"	-5.982	0.659
"YGL195W"	-3.33	1.8235
"YGL202W"	-4.405	1.705
"YGR038W"	-2.432	1.549
"YGR050C"	-1.391	0.544
"YGR054W"	-4.535	-2.938
"YHR026W"	-4.804	3.175
"YHR049W"	-4.702	2.079
"YHR052W"	-4.447	3.684
"YHR068W"	-6.532	2.683
"YHR072W"	-3.144	1.747
"YIL127C"	-4.521	2.53
"YIL133C"	-5.79	1.983
"YIR024C"	-1.448	0.946
"YJL060W"	-4.0845	1.613
"YJL077C"	-0.569	0.724
"YJL175W"	-4.28	2.634
"YJL177W"	-5.49	1.692
"YJL180C"	-3.244	1.585
"YJR051W"	-3.003	-0.4
"YJR071W"	-4.787	0.329
"YJR082C"	-1.91	1.182
"YJR123W"	-9.147	-0.776
"YKL007W"	-2.95	1.209
"YKL017C"	-3.434	1.453
"YKL073W"	-3.282	1.942
"YKL078W"	-8.494	-0.435
"YKL080W"	-5.94	5.981
"YKL112W"	-3.333	1.562
"YKL135C"	-3.285	-0.819
"YKL190W"	-3.414	1.935
"YKR020W"	-4.715	3.395
"YKR028W"	-4.381	2.77
"YKR036C"	-3.022	0.531
"YKR038C"	-2.474	1.251
"YLR088W"	-4.686	1.46
"YLR188W"	-2.848	1.487
"YLR325C"	-5.498	0.69
"YLR328W"	-4.106	2.217
"YLR433C"	-3.462	1.823
"YML011C"	-2.271	1.636
"YML057W"	-3.414	2.129
"YML079W"	-2.996	1.207
"YML097C"	-2.8105	1.088
"YML109W"	-2.856	1.712
"YMR087W"	-2.358	1.312
"YMR111C"	-1.773	1.476
"YMR143W"	-4.466	1.513
"YMR222C"	-2.535	-0.1695
"YMR260C"	-5.138	-0.0305
"YNL047C"	-3.02	0.32
"YNL114C"	-6.572	1.33
"YNL118C"	-5.007	2.4655
"YNL162W"	-6.425	-0.98
"YNL168C"	-3.351	1.939
"YNL214W"	-2.026	1.1555
"YNL219C"	-2.991	1.178
"YNL246W"	-1.987	0.888
"YNL288W"	-2.753	1.132
"YNL302C"	-4.746	0.397
"YNR049C"	-1.4335	1.081
"YOL018C"	-2.132	1.163
"YOL040C"	-6.413	4.667
"YOL133W"	-1.268	1.147
"YOR004W"	-5.273	0.244
"YOR015W"	-1.5775	0.771
"YOR076C"	-3.371	1.908
"YOR159C"	-4.8345	4.019
"YOR164C"	-4.0095	3.248
"YOR203W"	-4.508	1.007
"YOR207C"	-9.516	2.32
"YOR218C"	-3.602	1.927
"YOR233W"	-3.781	1.403
"YOR256C"	-1.995	1.367
"YOR284W"	-1.928	1.431
"YOR323C"	-6.434	1.176
"YOR369C"	-6.5475	2.109
"YPL227C"	-5.218	0.023
"YPL256C"	-3.624	0.535
"YPR024W"	-2.9525	1.453
"YPR028W"	-3.43	2.041
"YPR089W"	-3.974	-2.124
"YPR125W"	-4.04	1.373
"YPR132W"	-5.805	0.284
"YPR134W"	-1.968	-0.918
"YPR169W"	-3.2805	1.506
