	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"
"YAL035W"	0.7945	-3.6215	-2.08033333333333	-1.92533333333333	-2.48066666666667	-0.455
"YBL040C"	-0.563	-3.288	-1.5345	-1.6035	-2.3045	0.069
"YBL056W"	0.365	-4.006	-1.057	-1.563	-1.749	0.764
"YBL062W"	0.165	-2.468	-1.4	-1.4595	-1.4605	-0.175
"YBR011C"	0.693	-5.344	-2.3835	-3.0585	-3.4585	-0.309
"YBR121C"	1.17	-5.791	-4.1355	-4.173	-4.5985	1.531
"YBR130C"	0.645	-2.07	-1.79933333333333	-1.895	-2.597	1.069
"YBR142W"	1.243	-4.241	-2.2985	-2.5785	-2.8165	-0.475
"YBR143C"	0.981	-4.642	-2.698	-2.699	-3.572	0.508
"YBR196C"	0.874	-4.589	-0.638	-1.2495	-2.837	1.738
"YBR229C"	0.249	-2.906	-0.645	-0.806	-1.728	0.681
"YBR249C"	1.561	-6.025	-2.9975	-3.288	-3.9875	1.004
"YDL015C"	0.861	-4.309	-1.2485	-1.9455	-2.2355	0.945
"YDL189W"	0.487	-2.131	-0.924	-1.378	-1.523	-0.073
"YDR023W"	1.145	-5.745	-3.056	-3.357	-3.85	1.035
"YDR050C"	0.169	-5.94	-2.206	-2.643	-3.307	1.58
"YDR101C"	1.502	-4.667	-2.862	-3.177	-3.516	0.788
"YDR117C"	-0.401	-2.494	-1.618	-1.45	-1.497	0.067
"YDR189W"	0.619	-2.842	-1.597	-1.904	-2.063	0.4375
"YDR233C"	1.141	-3.48	-2.047	-2.27	-2.451	0.845
"YDR326C"	0.456	-2.581	-2.14	-1.404	-1.905	-0.1175
"YDR341C"	2.004	-5.262	-3.262	-3.294	-3.559	0.114
"YDR382W"	1.087	-5.686	-2.565	-3.137	-3.471	-0.016
"YDR389W"	0.631	-1.414	-0.678	-1.13	-1.329	1.099
"YDR399W"	-0.24	-4.784	-2.115	-2.216	-2.373	0.529
"YDR417C"	0.976	-5.062	-2.861	-3.022	-3.606	-0.073
"YDR447C"	0.463	-5.332	-2.53	-2.625	-3.552	-0.074
"YER031C"	0.609	-4.144	-0.886	-1.885	-1.955	0.947
"YER086W"	1.324	-5.173	-2.624	-2.882	-3.77	1.137
"YER090W"	1.594	-5.004	-2.327	-2.585	-3.495	-0.535
"YER149C"	0.478	-2.447	-0.323	-0.951	-1.1	0.524
"YFL039C"	0.702	-3.733	-1.583	-2.201	-2.764	0.604
"YFR009W"	1.03	-4.932	-3.291	-3.978	-4.281	0.69
"YGL049C"	0.381	-4.12	-1.692	-1.763	-2.23	0.379
"YGL065C"	0.243	-2.778	-1.365	-1.862	-2.045	-0.41
"YGL067W"	0.641	-2.893	-1.327	-1.617	-2.053	-0.266
"YGL070C"	0.219	-2.68	-1.49	-1.492	-1.918	0.97
"YGL157W"	0.175	-6.107	-2.488	-2.817	-3.666	0.164
"YGL245W"	1.153	-6.655	-3.552	-4.345	-4.779	1.135
"YGR083C"	1.228	-4.599	-2.544	-2.794	-3.226	-0.158
"YGR118W"	0.657	-5.471	-1.76	-2.214	-3.141	1.895
"YGR173W"	0.685	-3.699	-1.919	-1.996	-2.168	0.926
"YGR175C"	0.704	-4.5	-2.53	-2.628	-3.285	0.347
"YGR185C"	1.504	-6.361	-4.576	-4.871	-5.006	1.793
"YGR199W"	1.196	-2.439	-1.2	-1.04	-1.731	0.543
"YGR218W"	1.56	-2.628	-0.691	-1.769	-2.031	-0.247
"YGR229C"	0.816	-4.256	-2.401	-2.58	-3.391	-0.138
"YGR240C"	1.079	-3.806	-1.755	-2.545	-3.191	1.436
"YHL003C"	0.769	-3.084	-1.585	-1.707	-1.741	0.936
"YHR019C"	1.919	-5.077	-3.117	-3.721	-4.387	1.783
"YHR020W"	2.134	-4.045	-1.718	-2.26	-2.19	1.644
"YHR193C"	1.164	-4.166	-1.778	-2.357	-2.845	0.86
"YHR201C"	-0.061	-4.155	-1.103	-1.632	-2.134	0.989
"YHR216W"	1.299	-4.943	-2.237	-2.621	-2.913	2.307
"YIL018W"	1.498	-5.749	-2.661	-3.27	-3.914	0.761
"YIL078W"	1.346	-6.059	-4.41	-4.902	-4.944	1.221
"YJL138C"	1.158	-5.625	-2.542	-2.785	-3.522	1.02
"YJL169W"	1.247	-3.972	-0.932	-1.455	-1.448	-0.787
"YJL188C"	0.245	-4.633	-2.169	-2.54	-2.776	0.495
"YJR032W"	0.629	-3.054	-1.546	-1.609	-1.727	0.264
"YJR134C"	0.479	-2.979	-1.309	-1.452	-1.811	-0.287
"YKL021C"	0.645	-3.469	-2.25	-2.126	-2.619	0.541
"YKL057C"	0.995	-3.042	-2.406	-2.666	-2.892	1.851
"YKL060C"	0.013	-4.684	-0.564	-1.392	-2.196	1.484
"YKL073W"	-0.065	-3.282	-2.148	-2.623	-3.195	0.435
"YKL077W"	1.205	-3.224	-0.722	-1.046	-1.627	0.73
"YKL080W"	0.773	-5.94	-2.874	-2.944	-2.866	1.751
"YKL122C"	-0.354	-4.576	-2.178	-2.544	-2.706	0.771
"YKL152C"	-0.199	-4.943	-1.713	-1.83	-2.83	1.118
"YKL153W"	-0.472	-5.051	-1.986	-2.039	-2.818	1.272
"YKL154W"	0.087	-3.89	-1.765	-2.132	-2.222	0.366
"YKL172W"	0.806	-5.305	-2.271	-2.723	-3.135	1.006
"YKL211C"	1.494	-3.268	-1.866	-2.355	-2.499	1.043
"YKL212W"	1.307	-4.806	-2.516	-2.929	-3.374	0.845
"YKR059W"	1.47	-4.998	-2.623	-2.96	-3.568	1.147
"YLL044W"	1.502	-6.48	-2.724	-3.494	-3.967	1.217
"YLL048C"	0.9705	-2.6095	-1.257	-1.942	-2.076	0.382
"YLR057W"	0.297	-4.294	-1.683	-1.94	-2.121	-0.148
"YLR060W"	1.942	-5.967	-3.118	-3.713	-4.371	1.536
"YLR065C"	0.267	-3.028	-1.477	-1.554	-1.642	0.814
"YLR335W"	0.726	-3.177	-1.448	-1.681	-2.238	0.079
"YLR435W"	0.819	-3.819	-2.038	-2.387	-2.149	-0.508
"YML011C"	-0.472	-2.271	-0.994	-0.817	-1.346	-0.727
"YML021C"	0.359	-2.945	-1.533	-1.979	-1.697	-0.2185
"YML031W"	1.116	-3.953	-1.68	-1.828	-2.276	1.054
"YML046W"	0.579	-2.696	-1.004	-1.192	-1.997	0.212
"YML074C"	-0.019	-5.319	-2.826	-3.214	-3.466	-0.075
"YML093W"	1.229	-5.889	-2.547	-2.745	-3.262	1.029
"YMR013C"	-0.359	-2.075	-1.687	-1.568	-1.395	1.062
"YMR079W"	0.929	-3.648	-1.666	-1.971	-2.855	1.145
