	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"964.1 mM Menadione (160 min) redo"	"971.1mM Menadione (40 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1661.1 mM Menadione (50 min)redo"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YAL035W"	-0.486666666666667	-2.9955	-1.056	-2.1065	-2.5615	-3.6215	-1.3835	-1.5975	-0.452	-0.546	-0.395	-0.629	-0.6195	-0.72	-0.542	-3.02066666666667	-2.06233333333333	-2.29966666666667	-2.08033333333333	-1.92533333333333	-2.48066666666667	-0.464	-0.095	-0.673	-0.3045	-0.345	-0.365	-0.9015	-1.086	-2.0605	-1.2535	-1.703	-1.497	-1.932	-1.251	-1.485	-0.743	-1.3
"YBR166C"	0.385666666666667	-1.467	-1.0035	-1.407	-2.2345	-3.0285	-0.7975	-0.6195	0.42	0.4605	0.457	0.688	0.5635	0.6335	0.518	-1.33633333333333	-0.636333333333333	-1.099	-0.965333333333333	-1.83066666666667	-1.03266666666667	0.55	0.282	0.271	0.169	0.1955	0.178	-0.3225	-0.436	0.0195	-0.6015	-0.274	-1.148	-1.018	-0.664	-0.833	-0.522	0.081
"YDL075W"	-0.802	-2.825	-2.828	-2.441	-2.581	-3.777	-2.009	-2.729	-0.391	-0.568	-0.685	-0.113	-0.715	-0.518	-0.644	-3.016	-2.472	-2.785	-2.433	-1.878	-3.427	-0.557	-0.899	-1.45	-1.149	-1.305	-2.023	-1.991	-2.2565	-2.0215	-2.7395	-2.0155	-2.895	-3.256	-3.17	-3.026	-2.667	-1.039
"YDL082W"	-0.779	-3.223	-2.853	-1.723	-3.326	-5.816	-2.537	-3.01	-0.145	-0.457	-0.465	-1.031	0.147	0.014	-0.486	-2.915	-2.383	-2.182	-2.186	-3.001	-3.589	-0.162	-1.131	-1.685	-1.238	-1.349	-1.263	-1.5205	-2.906	-1.4965	-1.955	-1.645	-4.398	-3.698	-4.518	-3.314	-3.014	-3.155
"YDR037W"	-0.666	-4.313	-3.607	-3.458	-4.551	-5.224	-3.226	-2.505	0.058	-0.006	-0.142	-0.139	-0.17	0.032	-0.219	-1.971	-2.681	-2.313	-2.916	-3.368	-3.772	0.037	-0.894	-1.545	-1.443	-1.572	-1.904	-1.762	-2.682	-1.903	-1.768	-1.725	-4.284	-3.366	-4.204	-3.541	-2.204	-3.047
"YDR417C"	-0.543	-3.705	-2.992	-3.327	-4.279	-5.062	-3.58	-3.209	-0.356	-0.586	-0.644	-0.445	-0.439	-0.563	-0.471	-4.223	-2.573	-2.986	-2.861	-3.022	-3.606	-0.177	-1.423	-2.03	-1.427	-2.082	-2.022	-2.109	-2.609	-2.113	-1.889	-2.037	-3.553	-2.61	-3.585	-3.332	-2.261	-2.404
"YER102W"	-0.736	-3.932	-3.177	-2.578	-3.64	-6.434	-3.101	-3.625	0.191	-0.011	-0.156	0.096	0.023	0.01	0.019	-4.286	-2.613	-2.593	-2.579	-3.326	-3.859	-0.061	-1.183	-1.83	-1.701	-1.931	-1.792	-1.99	-2.171	-2.308	-2.163	-1.932	-3.324	-2.758	-2.385	-2.329	-2.436	-2.527
"YFR031BC"	-1.28	-4.567	-3.84	-2.801	-4.702	-7.029	-3.328	-3.949	-1.104	-0.953	-1.525	-0.548	-0.931	-1.058	-0.806	-4.74	-2.521	-2.912	-3.164	-3.863	-4.146	-0.716	-1.292	-2.164	-1.713	-2.365	-2.146	-2.238	-2.52	-2.862	-2.392	-2.585	NaN	NaN	NaN	NaN	NaN	NaN
"YGL076C"	-0.969	-3.969	-2.73	-2.401	-3.976	-5.667	-3.32	-2.996	-0.06	-0.089	-0.107	-0.392	-0.246	-0.069	-0.172	-4.142	-2.568	-2.648	-2.836	-2.79	-3.782	-0.261	-0.764	-1.847	-1.305	-1.888	-1.94	-1.71533333333333	-1.932	-2.02033333333333	-1.935	-1.64166666666667	-4.003	-3.509	-3.347	-3.315	-2.544	-2.894
"YGL105W"	-0.588	-2.385	-1.617	-1.984	-3.587	-6.011	-1.482	-1.069	-0.499	-0.458	-0.565	-0.428	-0.602	-0.551	-0.512	-2.334	-1.41	-1.635	-1.622	-1.876	-2.025	-0.233	0.007	-0.143	-0.052	-0.475	-0.32	-1.273	-2.229	-1.0765	-1.6805	-1.6135	-2.593	-2.406	-1.217	-1.943	-1.688	-1.496
