	"686.YP ethanol vs reference pool"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"896.Amino acid + adenine starvation 2 h"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"11466.yO1 test hyb"	"12732.Nitrogen Depletion 4 h"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13062.wt/crz1 Ca 15min (2)"	"14946.Hydrostatic pressure (C2 vs P2)"	"30319.usv1("	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"
"YBR147W"	0.7155	1.0195	2.527	3.946	3.882	3.475	3.896	4.309	4.268	2.712	0.841	2.33	2.504	2.791	2.353	3.7075	2.881	3.7465	4.052	4.7615	4.3825	2.89	3.883	1.7575	2.6205	2.871	3.1115	2.8695	3.421	1.2195	3.712	1.843	-0.149	-0.233	-0.134	0.024	0.602	-0.947	-0.48	3.275	4.38	2.803	4.452	3.294	4.622	2.406	2.06	1.376	1.211
"YCR083W"	0.2275	0.1185	1.182	1.487	1.496	1.805	1.843	2.882	2.777	0.965	-0.427	0.326	1.079	1.308	1.296	0.466	0.7765	1.045	1.7755	1.9375	2.136	0.226	1.041	-0.25	0.7025	1.057	0.9505	0.612	1.018	0.032	-0.1065	-0.13	0.0	0.223	-0.436	-0.217	-0.117	-0.107	-0.066	0.827	1.604	1.503	0.549	1.104	2.463	1.524	1.27	-0.189	-0.913
"YDR022C"	0.466	0.144	2.343	1.223	1.601	2.014	2.693	1.663	0.566	0.507	-0.413	-0.155	0.782	0.772	0.495	1.019	0.566	1.05	1.832	1.061	1.393	1.165	1.385	0.098	2.007	1.527	1.844	1.405	2.07	1.054	0.443	1.083	0.381	0.652	0.115	0.148	0.285	-0.384	-0.156	1.451	0.889	1.306	1.957	1.454	1.475	0.708	1.144	-0.304	-0.272
"YDR262W"	0.9675	0.8595	1.7335	1.8585	1.8825	2.06	2.6665	3.1335	3.3725	0.7445	-0.0235	0.8505	1.473	1.6855	1.6875	2.2555	2.2405	3.0895	3.2615	4.491	4.8085	1.36	2.2315	0.2945	1.5505	2.226	2.8725	2.6455	3.067	0.4825	0.5795	0.3525	-0.145	-0.246	0.139	0.121	0.022	-0.791	0.3675	2.14	2.6925	2.8525	2.334	2.1775	2.708	2.064	2.2825	-0.129	-0.092
"YDR275W"	0.6245	0.331	1.553	2.2955	2.594	2.161	3.009	3.1575	3.166	0.278	-0.127	0.101	0.947	1.6115	1.519	1.749	2.036	2.324	3.0055	1.5585	2.794	1.3175	1.9415	0.014	1.1725	1.796	2.3905	2.416	2.4885	0.3285	0.44	0.119	0.038	-0.015	0.0365	0.182	0.335	0.3005	-0.157	1.086	2.1325	2.2755	1.3175	1.8335	2.0735	2.0975	1.977	0.201	-0.002
"YER039C"	0.035	0.019	2.122	1.496	1.394	1.109	1.771	2.24	2.941	0.764	-1.727	0.474	0.98	1.229	1.21	0.992	0.552	0.362	1.085	0.408	2.763	1.403	1.072	0.026	0.07	0.66	0.372	0.693	0.679	-0.418	0.069	-0.163	0.342	0.278	0.22	0.228	0.498	-0.138	-0.149	2.336	2.009	1.711	1.848	0.817	1.356	1.582	1.24	-0.968	-0.176
"YGR067C"	2.844	0.165	4.15	6.079	6.2	5.588	5.145	4.335	1.033	-0.13	0.395	0.234	3.775	2.765	3.343	5.642	5.478	4.532	4.533	3.374	3.903	2.834	1.835	-0.013	0.864	1.217	1.944	1.691	2.294	0.41	0.167	-0.212	0.142	0.511	0.609	0.324	0.638	-0.407	0.062	2.712	3.355	2.915	3.301	4.091	3.963	3.873	3.929	-0.414	-0.507
"YHR006W"	0.1375	-0.0265	0.5585	1.585	0.4835	0.984	0.8825	1.408	0.1795	1.095	0.171	0.1965	0.4465	0.6265	0.5295	0.3215	0.335	0.9305	0.856	0.901	1.5775	0.118	0.8295	0.3155	0.568	0.856	0.941	1.176	1.1245	0.3655	0.209	0.4495	0.098	-0.086	0.158	0.303	0.2045	-0.515	0.5075	1.4015	1.6645	1.09	1.9175	1.239	1.8215	0.8425	0.4735	0.0955	-0.1135
"YIL045W"	1.113	1.313	4.837	3.725	3.789	4.285	5.025	4.058	4.605	1.688	0.825	0.201	2.176	2.2	2.313	4.236	3.986	4.311	4.378	4.139	3.804	0.594	2.832	0.428	3.822	3.84	3.974	3.622	3.653	1.118	1.607	0.906	0.573	-0.268	0.154	0.261	-0.31	-1.057	0.273	2.782	2.929	2.827	2.985	2.251	3.3	2.916	2.223	-0.518	-0.48
"YJL103C"	0.688	0.172	3.518	3.541	3.739	3.366	3.386	3.31	4.161	1.276	0.364	0.512	2.684	2.107	1.985	3.108	2.803	2.436	3.198	3.063	3.151	2.668	0.352	-0.055	1.466	1.552	1.399	1.989	2.047	0.425	0.695	0.014	-0.638	0.552	-0.318	-0.064	0.057	-0.184	0.415	1.9115	3.146	2.8995	3.1435	2.411	2.663	1.528	1.6935	-0.891	-0.5435
