	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"650.alpha factor release sample017"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"1107.alpha factor release sample025"	"1673.alpha factor release sample021"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"8235.dtt 480 min"	"12744.heat shock 17 to 37, 20 minutes"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"30319.usv1("	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"34360.batch 02X25 4"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YAL061W"	2.535	3.669	1.44	2.375	3.091	2.934	-0.8625	1.664	0.326	1.904	2.578	1.823	2.434	-0.3825	-0.84	-0.1725	0.478	0.16	0.091	0.171	1.216	-0.345	4.292	0.2605	-1.186	4.666	3.915	2.19	3.354	3.698	4.782	1.729	0.286	2.571	2.871	2.563
"YBL039C"	-4.793	-4.124	-2.672	-4.307	-4.486	-3.781	-0.476	-2.783	-1.264	-1.92	-2.661	-2.891	-3.74	0.173	0.3875	-0.0805	-2.265	-0.9885	-2.304	-1.864	-1.789	0.292	-4.956	-1.9965	0.888	-2.952	-4.509	-3.644	-4.264	-1.635	-3.951	-1.908	-2.792	-2.348	-2.194	-2.619
"YBR053C"	2.944	2.786	2.121	2.642	3.221	3.327	-0.0425	1.255	0.977	1.302	1.621	1.865	2.807	0.123	-0.433	0.0025	0.46	0.7725	1.11	1.33	1.048	-0.122	4.137	0.054	-0.513	2.66	2.189	1.539	1.865	2.828	3.16	2.51	0.931	2.494	2.751	2.266
"YBR104W"	-1.078	-2.114	-1.145	-1.791	-2.258	-1.844	0.3755	-0.639	-0.582	-0.951	-1.513	-0.984	-2.691	0.203	0.0835	-0.169	-0.681	-0.1325	-1.741	-0.299	-1.092	0.127	-1.884	-0.777	0.411	-3.153	-2.914	-2.245	-2.202	-1.484	-2.674	-2.794	-0.09	-2.939	-2.853	-2.886
"YCR072C"	-4.048	-3.587	-1.668	-2.626	-3.503	-2.949	-0.225	-2.405	-1.04	-1.81	-2.43	-1.537	-4.777	-0.038	0.069	-0.0405	-0.188	-1.1225	-0.931	-1.051	-1.272	0.386	-4.635	-1.53	1.186	-4.939	-4.551	-2.816	-2.665	-2.819	-3.703	-2.759	-1.78	-2.792	-3.033	-2.592
"YDL014W"	-3.382	-2.366	-2.233	-2.465	-4.46	-4.776	0.188	-2.861	-1.767	-0.427	-1.573	-1.992	-3.37	0.414	0.342	-0.232	-1.093	-0.271	-1.423	-1.363	-1.608	0.396	-4.277	-2.315	0.348	-3.385	-3.718	-3.081	-3.399	-3.918	-4.482	-2.691	-1.981	-2.271	-2.383	-2.898
"YDL050C"	-2.278	-1.047	-1.049	-2.322	-2.45	-2.283	-0.383	-1.086	0.346	-0.652	-1.022	-1.515	-1.678	-0.182	0.307	0.123	-0.444	-0.731	-1.303	-0.76	-0.83	-0.234	-2.875	-0.311	0.192	-1.26	-2.137	-1.852	-1.796	-2.652	-3.019	-0.988	-0.469	-1.112	-2.356	-1.066
"YDL051W"	-2.35	-2.784	-1.26	-2.447	-3.059	-3.066	-0.267	-1.544	-1.316	-0.618	-1.127	-1.688	-3.639	0.05	0.478	0.163	-0.92	-0.507	-1.208	-0.588	-1.339	-0.162	-3.388	-0.87	0.507	-1.953	-2.805	-1.933	-2.491	-3.018	-3.192	-1.373	-0.887	-0.972	-1.095	-1.13
"YDL166C"	-1.776	-1.35	-0.216	-1.387	-1.864	-1.585	0.036	-0.897	-0.235	-0.36	-0.398	-0.408	-1.55	0.092	0.24	0.061	-0.142	-0.624	-0.272	-0.334	-0.767	0.0	-1.853	-0.121	0.375	-1.71	-1.469	-0.734	-1.148	-1.473	-1.481	-2.465	-0.412	-0.99	-1.265	-1.402
"YDR087C"	-3.126	-4.143	-1.747	-2.758	-3.643	-3.468	0.559	-1.886	-1.366	-1.63	-2.287	-2.337	-4.139	0.061	0.412	0.311	-0.618	-0.498	-1.782	-0.446	-0.868	-0.276	-4.13	-1.436	0.937	-2.803	-3.928	-2.942	-2.55	-2.338	-3.396	-1.812	-1.408	-1.73	-1.961	-1.691
"YDR413C"	-2.496	-2.392	-1.529	-1.803	-2.779	-2.502	-0.146	-1.652	-1.16	-1.066	-1.765	-1.55	-2.622	0.15	0.381	0.208	-1.489	-0.388	-1.552	-0.698	-1.316	-0.3	-2.652	-1.325	0.528	-2.225	-2.964	-1.766	-1.818	-1.835	-2.336	-1.157	-1.041	-1.682	-1.773	-1.672
"YER126C"	-3.132	-2.634	-1.83	-3.488	-4.626	-4.459	0.006	-2.724	-2.146	-1.531	-2.571	-2.383	-4.455	0.197	0.493	0.385	-0.872	-0.78	-1.715	-1.087	-1.491	0.172	-5.253	-1.134	1.2435	-3.26	-5.806	-2.916	-3.166	-2.489	-3.761	-3.045	-2.521	-2.419	-2.383	-2.346
"YFR017C"	4.105	3.496	2.031	2.045	3.969	3.073	-0.157	1.423	0.01	2.316	2.454	0.142	2.364	0.134	-0.028	0.398	0.209	0.437	-0.515	0.554	1.414	-0.155	3.775	-1.136	-0.3425	3.625	2.685	1.53	1.921	4.954	5.41	1.319	0.791	3.791	3.798	2.932
"YGL078C"	-4.33	-3.709	-1.926	-3.238	-4.399	-3.428	-0.014	-2.77	-1.691	-1.98	-2.908	-2.465	-4.866	0.198	0.295	0.117	-1.778	-1.056	-2.075	-1.349	-1.775	0.12	-4.147	-2.333	1.095	-3.453	-3.538	-2.819	-2.52	-3.53	-3.576	-2.828	-2.496	-2.503	-2.856	-2.593
