	"54.Elutriation2:Sample2:Time2.5hrs"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"974.1 mM Menadione (80 min) redo"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1249.mec1_plus_gamma_5_min"	"1252.mec1_plus_gamma_30_min"	"4048.0.8M NaCl +FK506 - 30 min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8234.dtt 240 min"	"12734.Nitrogen Depletion 12 h"	"13065.Na/Na+FK 30min (1)"	"13066.Na/Na+FK 30min (2)"	"14947.Hydrostatic pressure (C1 vs P1)"	"17694.Missouri Western State College 10 uM DAPI Cy5 12 hrs (exp 2)"	"21657..24 mM H2O2- 063 minutes"	"28837.P2Comp 04 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"33776.DBY8778(wt)_stationary_phase_1day"	"33782.delYPL230w_stationary_phase_1day"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"42224.U2 Comp 08 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"
"YBL072C"	0.551	-3.835	-3.367	-3.036	-2.694	-3.041	-3.192	-6.241	-1.39	-1.659	-3.06	-3.401	-3.188	-3.091	-0.024	-4.1825	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	-0.184	-0.095	-0.783	-1.917	-1.631	-0.871	-1.925	-2.018	-2.149	-2.2175	0.905	0.819	0.005	0.042	-2.951	0.849	-1.71	-2.699	0.986	-0.179	-0.22	0.084
"YBR181C"	0.5805	-3.762	-3.149	-2.554	-2.265	-2.747	-3.798	-4.564	-1.101	-1.706	-3.3	-3.365	-3.159	1.639	0.403	-5.0305	-2.493	-2.7035	-2.654	-2.96	-3.945	-0.062	-0.016	-1.225	-2.255	-1.478	-0.688	-1.846	-1.46	-2.184	-1.8415	0.542	0.5835	0.456	-0.341	-3.0465	0.0185	-2.109	-2.601	0.686	-0.398	0.231	0.106
"YDR025W"	0.945	-3.904	-3.548	-3.252	-2.573	-2.705	-3.393	-6.697	-1.301	-1.997	-3.357	-3.356	-3.471	-3.326	-0.186	-4.504	-1.915	-2.886	-2.503	-2.895	-3.518	-0.471	-0.298	-1.036	-1.767	-0.948	-1.467	-1.45	-1.463	-2.304	-2.193	0.564	0.228	0.658	0.175	-2.693	0.442	-2.93	-2.535	0.535	-0.41	-0.962	-0.895
"YDR064W"	0.463	-3.874	-3.241	-2.585	-2.577	-2.597	-3.761	-5.03	-1.244	-1.745	-3.208	-3.138	-2.511	-2.495	-0.581	-3.65	-2.718	-2.943	-2.527	-2.531	-3.199	-0.628	-0.415	-1.455	-1.489	-1.026	-1.422	-2.324	-1.878	-1.723	-2.002	0.67	0.364	0.475	-0.035	-2.873	0.1905	-2.319	-2.842	0.871	-0.329	0.483	-0.415
"YDR417C"	0.939	-3.705	-2.778	-2.992	-2.407	-3.327	-4.279	-5.062	-0.995	-1.775	-3.58	-3.209	-2.864	-2.95	-0.563	-4.223	-2.573	-2.986	-2.861	-3.022	-3.606	-0.45	-0.491	-1.205	-2.03	-1.427	-1.301	-2.082	-2.022	-1.587	-2.343	0.832	0.571	0.473	-0.325	-3.954	-0.153	-1.768	-2.404	1.153	0.018	-1.56	-1.149
"YDR447C"	0.336	-4.882	-3.934	-3.531	-3.26	-2.465	-3.659	-5.332	-1.447	-2.128	-3.574	-3.565	-2.813	-3.129	-0.28	-4.249	-2.432	-2.817	-2.53	-2.625	-3.552	-0.596	-0.463	-1.361	-2.33	-1.793	-1.376	-2.456	-2.291	-2.288	-1.802	0.544	0.4815	0.456	0.263	-2.7985	-0.143	-1.471	-3.223	0.772	0.186	-1.106	-0.984
"YDR450W"	0.917	-3.254	-2.797	-2.204	-1.895	-1.925	-2.6	NaN	-1.072	-1.924	-3.208	-3.201	-2.618	-2.153	0.372	-4.313	-2.576	-2.784	-2.988	-2.959	-3.465	-0.103	-0.017	-1.023	-2.182	-1.523	-1.045	-1.786	-1.692	-1.75	-1.697	0.848	0.7225	-0.075	-0.7985	-2.2275	-0.4735	-2.344	-2.575	0.463	-0.356	0.815	-0.328
"YER102W"	0.885	-3.932	-3.965	-3.177	-2.924	-2.578	-3.64	-6.434	-1.581	-1.229	-3.101	-3.625	-3.37	-3.204	0.01	-4.286	-2.613	-2.593	-2.579	-3.326	-3.859	-0.167	-0.201	-0.863	-1.83	-1.701	-0.799	-1.931	-1.792	-2.128	-2.133	0.576	0.433	0.253	-0.048	-2.757	0.035	-2.202	-2.527	-0.068	0.482	-0.405	-0.29
"YFR031BC"	0.422	-4.567	-3.823	-3.84	-2.931	-2.801	-4.702	-7.029	-1.452	-1.444	-3.328	-3.949	-3.594	-3.523	-1.058	-4.74	-2.521	-2.912	-3.164	-3.863	-4.146	-0.275	-0.901	-0.763	-2.164	-1.713	-1.208	-2.365	-2.146	-2.075	-2.329	1.236	0.602	0.511	0.416	-3.481	-0.205	NaN	NaN	NaN	NaN	0.269	-0.569
"YGL021W"	-1.027	-0.962	-1.135	-0.58	-1.292	-1.335	-2.714	-5.572	-0.252	-1.015	-0.617	-0.183	-1.086	-2.056	-0.197	-1.377	-1.254	-2.515	-2.192	-3.105	-2.246	-0.198	0.438	-0.825	-1.044	-0.953	-0.342	-0.647	-0.636	-0.401	-1.477	0.413	0.255	0.296	-0.33	-0.788	-0.1885	-0.475	-0.142	0.052	0.671	-0.701	0.368
"YGL031C"	0.78	-3.366	-4.285	-3.732	-2.9	-3.104	-3.683	-5.763	-1.287	-1.245	-3.041	-2.881	-3.063	-2.704	-0.067	-5.191	-2.475	-2.899	-2.92	-3.061	-3.473	-0.092	-0.286	-0.866	-2.226	-1.763	-0.771	-2.016	-1.743	-2.732	-1.99	1.167	0.697	-0.135	-0.137	-2.68	0.46	-2.321	-1.636	1.078	0.516	-0.146	-0.153
"YGR027C"	0.884	-3.433	-2.572	-1.843	-1.632	-1.697	-2.797	-5.39	-0.567	-1.812	-3.005	-2.616	-2.612	-2.307	0.334	-4.002	-1.779	-1.889	-1.187	-1.867	-2.368	0.099	-0.073	-0.528	-1.308	-1.106	-0.462	-1.482	-1.504	-1.673	-1.343	0.621	1.028	-0.099	-0.213	-3.092	0.7775	-1.687	-2.186	0.787	0.301	0.02	-0.085
"YGR034W"	0.823	-3.922	-3.172	-3.096	-2.637	-2.998	-3.052	-6.281	-1.028	-2.052	-3.268	-2.935	-2.282	-2.579	-0.407	-3.635	-2.022	-2.01	-1.301	-1.401	-2.48	-0.518	-0.189	-1.06	-2.077	-1.514	-0.867	-1.605	-1.776	-2.337	-1.63	0.825	0.435	0.283	-0.227	-2.725	-0.1485	-2.725	-2.179	0.271	0.286	1.345	-0.194
"YGR085C"	0.995	-3.713	-3.301	-2.511	-2.202	-2.146	-3.406	-6.059	-1.043	-1.594	-3.071	-3.255	-3.013	-2.215	-0.165	-4.359	-2.625	-2.77	-3.306	-3.54	-4.179	-0.377	-0.135	-0.858	-2.111	-1.518	-0.338	-1.917	-2.035	-1.876	-2.078	0.537	0.561	-0.418	0.35	-2.855	-0.256	-2.272	-1.785	0.754	0.103	0.909	-0.544
"YGR108W"	-0.624	-1.178	-0.72	0.587	-0.224	-0.216	-2.816	-3.123	-0.02	-1.843	-0.485	-0.487	-1.595	-2.976	-0.054	-1.167	-0.428	-2.434	-1.657	-2.674	-1.962	-0.216	0.347	-1.581	-1.306	-0.922	-1.043	-1.123	-1.148	-0.348	-1.878	0.134	0.074	0.215	-0.703	0.087	-0.7215	-1.854	-1.54	0.056	0.086	0.022	0.641
"YGR118W"	0.417	-2.621	-2.692	-2.681	-2.455	-1.993	-2.204	-5.471	-0.865	-1.354	-2.458	-2.209	-2.183	-2.326	0.445	-3.851	-1.997	-2.117	-1.76	-2.214	-3.141	-0.099	-0.139	-0.997	-1.737	-1.367	-1.046	-1.832	-1.647	-1.681	-1.232	0.7	0.7095	0.131	0.32	-2.981	0.2085	-1.82	-1.94	0.812	0.175	0.753	-0.177
