	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"811.DES459 (mec1) + heat 20 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"971.1mM Menadione (40 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1103.alpha factor release sample028"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7536.25C -- 30 min"	"8233.dtt 120 min"	"8282.Gal induced MCM1 vs. Glucose"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"21628..24 mM H2O2- 105 minutes"	"21631..24 mM H2O2- 190 minutes"	"21659..24 mM H2O2- 077 minutes"	"33779.delYPL230w_stationary_phase_5hours"	"40952.H2O2_II_56_min"
"YMR310C"	-3.117	-2.423	-1.416	-2.264	-2.522	-1.974	1.112	1.304	-1.592	-0.882	-2.999	-1.275	-1.838	-1.454	-3.842	-1.935	-2.25	-1.986	-0.45	-0.536	-0.661	-0.33	-0.64	-1.6	-1.055	-0.779	-0.383	0.2	-0.11	0.781	-1.31	0.327	-0.264	-0.033	-2.882	-0.692	-0.572	-1.35	-3.588	-1.033
"YNL002C"	-4.666	-4.07	-1.784	-3.305	-4.559	-4.222	1.243	1.183	-2.677	-2.816	-5.196	-2.914	-2.785	-2.73	-3.468	-2.839	-3.072	-2.59	-0.336	-0.38	-0.617	-0.272	-0.558	-3.426	-2.209	-2.186	-0.412	-0.059	-0.226	1.193	-1.345	1.044	0.149	-0.095	-4.603	-1.011	-0.461	-2.504	-4.466	-1.744
"YNL010W"	-0.915	-1.273	-1.657	-1.097	-1.633	-1.606	1.014	0.664	-1.081	-0.908	-1.718	-1.834	-1.245	-1.296	-4.52	-0.992	-1.758	-1.467	-0.174	-0.5	-0.567	-0.672	-0.973	-1.705	-1.502	-1.936	-0.174	-0.259	0.154	0.466	0.334	0.28	0.033	-0.403	-1.246	-0.599	-0.036	-1.25	-0.991	-1.308
"YNL022C"	-1.72	-2.028	-0.981	-0.458	-1.986	-1.406	0.683	0.86	-1.14	-1.113	-2.558	-0.694	-1.566	-1.611	-3.745	-1.8	-1.761	-1.753	-0.195	-0.444	-0.92	0.024	-0.507	-1.076	-1.225	-1.083	-0.12	0.121	-0.197	0.692	-0.595	0.363	0.106	-0.095	-1.851	-0.632	-0.781	-1.586	-2.039	-2.144
"YNL113W"	-3.404	-2.697	-0.959	-2.322	-2.536	-2.502	1.188	0.831	-1.165	-1.229	-5.347	-3.34	-2.736	-2.537	-7.034	-2.113	-3.971	-2.612	-0.098	0.247	0.068	-0.025	-0.454	-3.24	-1.962	-1.782	-0.335	-0.176	0.046	1.074	-0.916	1.256	-0.285	0.443	-3.986	-0.268	-0.407	-1.271	-4.226	-1.26
"YNL114C"	-2.893	-2.686	-1.404	-2.468	-3.33	-3.663	1.0	0.814	-1.548	-1.356	-5.245	-2.663	-2.941	-3.791	-6.572	-2.048	-2.827	-2.978	0.088	-0.274	-0.13	-0.072	-0.381	-3.032	-1.739	-2.221	-0.193	0.383	0.029	1.12	-0.774	1.008	0.146	-0.237	-2.799	-0.674	-0.317	-1.974	-4.14	-3.975
"YNL119W"	-2.225	-2.262	-1.699	-2.092	-2.438	-3.435	1.189	1.033	-1.88	-1.618	-6.697	-3.692	-2.694	-5.354	-6.231	-2.598	-3.359	-3.366	-0.813	-0.714	-0.781	-0.47	-0.772	-3.55	-1.753	-2.206	-0.269	-0.324	0.044	0.798	-0.883	0.325	-0.224	0.438	-2.524	-0.587	0.314	-2.781	-4.042	-2.164
"YNL162W"	-2.024	-2.384	-1.359	-1.97	-3.17	-3.58	1.123	1.003	-2.232	-1.168	-3.953	-3.395	-3.14	-2.858	-6.425	-2.882	-2.86	-2.872	0.03	0.14	-0.005	0.021	-0.375	-3.999	-2.089	-2.0	0.07	-0.03	0.3	0.677	-0.997	0.868	0.199	0.132	-2.998	-0.858	0.04	-2.852	-3.916	-2.624
"YNL175C"	-5.334	-4.901	-2.739	-4.11	-4.362	-3.931	1.14	1.152	-3.0	-1.792	-4.877	-2.65	-2.975	-2.872	-6.011	-3.06	-2.575	-2.601	-0.596	-0.838	-0.603	-0.544	-0.746	-4.587	-2.405	-2.484	0.054	0.344	-0.542	1.678	-2.156	1.449	0.191	-0.284	-5.147	-1.031	-0.358	-2.33	-2.5475	-4.49
"YNL178W"	-1.947	-2.425	-1.931	-2.285	-3.467	NaN	1.181	1.102	-2.761	-1.559	-4.244	-3.755	-3.785	-4.338	-6.62	-2.371	-3.239	-3.307	0.176	0.013	-0.155	-0.437	-0.884	-4.97	-2.608	-2.981	-0.02	0.438	0.117	0.86	-0.658	0.802	-0.072	-0.088	-3.459	-0.944	-0.404	-2.248	-2.548	-2.698
"YNL241C"	2.541	1.983	1.395	1.635	1.852	1.903	-0.64	-0.807	0.768	0.681	1.678	1.435	0.739	0.582	-1.111	2.128	1.129	1.188	-0.21	0.464	0.585	0.285	0.751	0.98	0.284	1.144	0.203	0.146	0.161	-0.339	0.651	-0.471	0.447	-0.193	1.778	1.805	0.815	2.489	0.894	3.42
"YNL301C"	-1.447	-1.715	-1.116	-1.685	-2.335	-3.036	1.125	1.063	-1.652	-1.173	-2.992	-2.551	-2.514	-5.123	-6.272	-2.514	-2.943	-3.585	-0.242	-0.411	-0.539	0.241	-0.689	-3.466	-1.992	-2.781	-0.027	0.135	-0.02	0.98	-0.938	0.458	-0.025	0.322	-2.136	-0.703	0.111	-2.327	-4.02	-0.422
"YNL313C"	-3.472	-3.026	-1.419	-2.399	-2.935	-3.02	0.923	0.673	-1.152	-1.404	-4.999	-2.695	-2.073	-3.628	-5.714	-2.852	-3.129	-2.948	-0.675	-0.63	-0.357	-0.822	-0.479	-2.839	-1.544	-1.551	-0.208	0.106	-0.1	0.614	-0.971	0.721	-0.09	-0.083	-3.009	-0.541	0.157	-1.084	-3.85	-1.13
"YOL010W"	-2.972	-3.252	-1.282	-2.711	-2.999	-2.174	1.238	1.089	-0.827	0.805	-2.573	-0.764	-1.005	-0.561	-2.5555	-2.945	-2.6505	-2.046	-0.479	-0.222	-0.637	-0.122	-0.132	-3.125	-1.9	-1.694	-0.135	0.191	-0.043	1.025	-0.091	0.883	0.247	-0.293	-2.479	-0.156	-0.647	-1.244	-3.9135	-2.456
"YOL040C"	-1.161	-2.147	-1.367	-1.958	-3.012	-3.574	0.975	1.057	-2.371	-1.054	-0.886	-3.313	-1.742	-3.032	-6.413	-1.1735	-3.385	-0.756	0.107	-0.018	0.059	0.371	-0.204	-3.938	-1.874	-2.245	0.037	0.247	0.487	1.257	-0.347	0.268	-0.08	0.296	-3.277	-0.512	0.197	-2.329	-3.746	-1.869
"YOL077C"	-5.439	-5.04	-2.828	-4.336	-5.22	-4.28	1.476	1.273	-3.046	-2.944	-5.186	-0.2885	-3.087	-3.02	-6.552	-2.1355	-4.174	-0.219	-1.139	-0.886	-0.969	-0.881	-1.18	-3.705	-2.565	-3.046	0.098	-0.102	-0.085	0.978	-1.67	1.148	0.147	-0.252	-4.7	-0.322	-0.021	-2.002	-5.145	-2.522
"YOR206W"	-5.087	-3.702	-2.15	-3.585	-5.083	-4.513	1.184	1.088	-2.605	-2.932	-5.827	-2.568	-2.0395	-3.681	-6.4785	-2.919	-3.1625	-1.9445	-0.796	-0.748	-0.497	-0.759	-0.799	-3.888	-2.026	-2.637	-0.169	-0.2	-0.152	1.327	-1.676	0.753	0.214	-0.037	-5.066	-0.785	-0.493	-2.066	-4.817	-3.274
"YOR272W"	NaN	-3.645	-2.034	-3.098	-2.566	1.0	1.2	1.356	-2.06	-1.361	-4.8145	-2.3895	-2.6015	-3.353	-4.712	-2.841	-3.033	-2.763	-0.759	-0.995	-0.957	-0.626	-0.541	-3.311	-1.777	-2.009	-0.34	0.167	-0.615	1.604	-1.299	0.741	0.362	0.134	-2.217	-0.71	-0.714	-1.881	-3.502	-2.98
"YPL079W"	-2.261	-2.597	-1.346	-2.277	-3.115	-3.828	0.688	1.126	-2.516	-1.356	-4.616	-4.1965	-3.787	-3.892	-6.4765	-2.527	-3.085	-3.172	-0.13	-0.326	-0.354	-0.497	-0.269	-4.735	-2.781	-3.087	0.059	0.031	0.143	1.127	-0.893	0.712	0.039	-0.1435	-3.135	-0.694	0.053	-1.665	-3.573	-1.754
"YPL086C"	-2.374	-1.502	-1.121	-2.322	-2.561	-2.524	0.774	0.691	-1.408	-0.897	-3.4025	-1.371	-1.22	-2.5065	-5.552	-2.399	-2.6475	-2.4025	-0.043	-0.191	0.081	0.091	-0.463	-2.484	-1.489	-1.418	-0.215	0.072	-0.281	1.052	-0.963	0.389	-0.041	-0.013	-2.138	0.081	-0.231	-1.308	-3.672	-2.141
"YPL090C"	-2.294	-2.09	-1.812	-2.497	-3.529	-3.965	0.955	0.871	-2.823	-1.299	-3.9615	-3.256	-2.7785	-4.364	-6.197	-2.01	-3.398	-3.223	-0.068	-0.433	-0.411	-0.023	-0.86	-5.307	-2.412	-2.954	0.111	-0.045	-0.062	0.958	-1.1235	1.006	0.208	0.184	-3.272	-1.199	0.325	-2.026	-4.101	-1.392
"YPL198W"	-1.974	-1.747	-1.674	-2.023	-3.084	-3.342	1.284	0.94	-2.129	-0.965	-4.269	-3.194	-2.836	-4.3605	-6.879	-2.7345	-3.4825	-3.3185	-0.176	-0.035	-0.056	-0.074	-0.727	-3.875	-2.024	-2.449	-0.067	-0.237	0.079	1.033	-0.934	0.477	-0.463	0.453	-2.581	-0.769	-0.214	-1.405	-3.4955	-1.531
"YPL226W"	-3.457	-3.002	-1.42	-2.4945	-3.229	-4.183	0.7565	0.906666666666667	-0.922	-1.4335	-4.86566666666667	-3.38066666666667	-2.57633333333333	-3.95033333333333	-5.67966666666667	-2.472	-3.37333333333333	-2.503	-0.1265	-0.143	-0.337	-0.245	-0.306	-4.0095	-2.363	-2.8955	0.4565	-0.0735	0.0465	1.2195	-1.18233333333333	0.029	-0.2985	0.4925	-3.215	-0.903	-0.745	-2.0235	-3.811	-2.1345
"YPL273W"	-1.992	-2.2005	-1.1265	-1.7945	-2.3665	-2.375	0.8235	0.772	-1.257	-0.6445	-3.42133333333333	-2.60833333333333	-2.705	-3.722	-5.69966666666667	-1.294	-2.94366666666667	-2.86466666666667	0.6255	0.6945	0.333	0.4025	-0.028	-2.8035	-2.088	-3.2755	0.049	0.0235	0.168	0.9905	-0.626	-0.037	-0.171	0.023	-2.24	-0.372	0.041	-1.368	-3.012	-1.046
"YPR043W"	-1.716	-1.857	-1.661	-1.888	-2.447	-2.429	1.02	1.162	-1.918	-0.76	-2.5775	-2.728	-2.4415	-1.9405	-4.426	-1.732	-2.7405	-3.037	-0.237	-0.255	-0.189	-0.231	-0.63	-2.953	-1.763	-1.864	-0.136	-0.07	-0.113	0.917	-0.9035	0.316	0.041	0.097	-1.976	-0.86	0.255	-1.973	-3.516	-1.977
"YPR045C"	0.903	0.988	0.364	0.813	1.074	1.194	-0.283	-0.2895	0.722	0.382	0.8255	0.5335	0.469	0.382	-1.2205	1.329	1.1475	1.2115	0.011	-0.085	0.372	-0.044	0.126	0.438	0.542	0.374	-0.201	-0.032	-0.267	0.095	-0.0295	0.211	0.313	-0.065	0.832	-0.547	-0.132	0.939	0.701	-0.459
"YPR058W"	-1.277	-1.83	-0.661	-1.255	-1.483	-1.603	0.608	0.5855	-1.37	-0.495	-2.0135	-0.5975	-0.663	-2.318	-3.8805	-0.1395	-0.9345	-0.8	-0.25	-0.058	-0.395	-0.043	0.246	-0.408	-0.432	-0.331	-0.099	0.053	0.075	1.204	-0.1485	0.195	0.003	0.076	-1.44	0.099	-0.029	-1.169	-1.585	-1.083
"YPR080W"	0.303	-0.643	-0.333	-0.149	-0.052	-0.447	0.842	0.8085	-0.859	-0.638	-2.0535	-1.906	-1.6575	-2.848	-5.6305	-1.5215	-2.094	-2.144	-0.487	-0.508	-0.208	-0.511	-0.358	-2.241	-0.95	-1.321	0.176	-0.11	0.408	0.344	0.0195	0.158	-0.18	0.334	-0.542	-0.148	0.564	-1.437	-2.31	-1.612
"YPR102C"	-2.11	-2.298	-1.669	-2.206	-3.37	-4.232	1.367	1.2	-2.43	-0.995	-3.521	-3.2315	-3.2945	-4.045	-6.451	-1.9585	-3.5055	-4.118	-0.036	0.072	-0.427	-0.253	-0.39	-4.644	-2.495	-3.232	0.279	0.219	0.435	0.923	-0.5275	0.952	0.31	0.189	-3.007	-0.885	-0.209	-2.262	-4.015	-3.07
"YPR110C"	-3.178	-3.084	-1.217	-2.507	-3.52	-3.728	0.96	1.068	-1.742	-1.914	-5.7185	-3.423	-3.2115	-3.662	-6.318	-2.6255	-3.01	-3.296	-0.23	-0.305	-0.703	-0.183	-0.548	-3.88	-2.186	-2.703	-0.188	-0.091	0.102	1.389	-0.778	0.498	-0.042	0.13	-3.168	-0.632	-0.355	-1.695	-3.882	-2.88
