	"497.Heat Shock 000 minutes"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"4872.1M sorbitol - 60 min"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8197.steady state 25 dec C"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"15638.Ca+FK 60min (2)"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"34350.wt_hypo_osmotic_shock_30min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34365.batch 02X25 6"	"34368.batch 02X25 7"
"YDL055C"	0.453	-1.716	-1.428	-1.118	-2.613	-3.734	-4.252	-1.942	-1.997	-3.202	-4.273	-1.293	-1.082	-2.236	-2.058	-2.079	-2.985	-0.838	0.211	0.256	-0.011	-0.467	-1.071	-2.11	-1.862	-0.465	-1.934	-2.407	0.207	-2.123	-0.065	0.107	0.701	-1.185	-1.006	0.969	0.804	-1.962	-2.037
"YDL191W"	0.553	-0.963	-1.985	-2.367	-1.853	-2.737	-5.192	-2.911	-2.813	-2.518	-2.408	-3.616	-1.999	-2.077	-1.362	-1.942	-2.86	-0.67	0.158	0.624	0.199	-1.007	-1.163	-1.646	-1.405	-0.503	-1.627	-1.818	0.493	-2.212	0.7115	0.5245	0.058	-1.73	-2.557	-0.061	0.065	-3.143	-2.392
"YDR025W"	0.692	-1.174	-3.904	-3.548	-2.592	-3.393	-6.697	-3.357	-3.356	-3.471	-3.326	-4.504	-1.915	-2.886	-2.503	-2.895	-3.518	-1.036	-0.035	0.419	-0.149	-0.704	-1.061	-1.767	-0.948	-1.467	-1.45	-1.463	0.304	-1.7675	0.2095	0.205	0.5045	-2.93	-3.552	0.145	0.468	-3.528	-2.366
"YDR418W"	1.215	-1.358	-3.707	-3.13	-2.192	-3.074	-5.866	-3.315	-3.181	-2.797	-2.605	-4.449	-2.792	-2.82	-2.866	-3.091	-4.066	-1.082	0.253	0.637	0.28	-1.29	-1.302	-2.07	-1.378	-1.177	-2.095	-2.023	0.545	-2.345	0.287	0.634	0.596	-1.873	-3.057	0.356	0.457	-3.519	-2.546
"YER102W"	1.351	-0.401	-3.932	-3.965	-2.3	-3.64	-6.434	-3.101	-3.625	-3.37	-3.204	-4.286	-2.613	-2.593	-2.579	-3.326	-3.859	-0.863	0.299	0.706	0.299	-1.055	-1.183	-1.83	-1.701	-0.799	-1.931	-1.792	0.546	-2.388	0.399	0.529	0.536	-2.202	-2.329	0.36	0.371	-4.388	-2.774
"YGL031C"	1.133	-1.333	-3.366	-4.285	-1.846	-3.683	-5.763	-3.041	-2.881	-3.063	-2.704	-5.191	-2.475	-2.899	-2.92	-3.061	-3.473	-0.866	0.114	0.845	0.591	-0.963	-1.005	-2.226	-1.763	-0.771	-2.016	-1.743	0.354	-2.655	0.165	0.267	0.105	-2.321	-2.852	0.558	0.556	-3.943	-2.844
"YGL147C"	1.427	-0.941	-3.892	-3.111	-2.422	-3.921	-7.507	-3.0	-3.753	-3.466	-3.166	-4.384	-2.874	-3.388	-3.018	-2.755	-3.483	-0.927	0.326	0.811	0.178	-0.956	-1.576	-2.522	-2.212	-1.326	-2.365	-2.897	0.568	-2.532	0.7	0.778	0.018	-3.0	-3.3875	-0.3285	0.22	-2.981	-2.2485
"YGR027C"	1.159	-0.524	-3.433	-2.572	-1.57	-2.797	-5.39	-3.005	-2.616	-2.612	-2.307	-4.002	-1.779	-1.889	-1.187	-1.867	-2.368	-0.528	0.238	0.57	0.499	-0.914	-0.939	-1.308	-1.106	-0.462	-1.482	-1.504	0.494	-1.824	0.235	0.274	0.388	-1.687	-2.624	0.257	0.51	-2.328	-2.034
"YGR085C"	1.473	-0.828	-3.713	-3.301	-2.29	-3.406	-6.059	-3.071	-3.255	-3.013	-2.215	-4.359	-2.625	-2.77	-3.306	-3.54	-4.179	-0.858	0.278	0.637	0.554	-1.008	-1.295	-2.111	-1.518	-0.338	-1.917	-2.035	0.605	-2.156	0.237	0.236	-0.017	-2.272	-3.003	0.272	0.029	-3.52	-2.491
"YGR118W"	1.216	-1.123	-2.621	-2.692	-2.097	-2.204	-5.471	-2.458	-2.209	-2.183	-2.326	-3.851	-1.997	-2.117	-1.76	-2.214	-3.141	-0.997	0.229	0.686	0.63	-0.903	-1.375	-1.737	-1.367	-1.046	-1.832	-1.647	0.476	-2.095	0.2235	0.2275	0.101	-1.82	-2.249	0.091	0.217	-2.942	-2.277
"YGR148C"	1.076	-1.386	-3.45	-3.596	-2.31	-3.884	-5.757	-3.141	-3.011	-2.956	-2.722	-5.063	-2.508	-2.896	-3.022	-3.649	-4.092	-0.7	0.022	0.806	0.606	-1.172	-1.064	-2.108	-1.621	-0.658	-1.901	-1.746	0.436	-2.7095	0.014	0.0495	0.0335	-2.133	-2.693	0.497	0.53	-2.951	-2.588
"YIL052C"	1.095	-0.885	-3.856	-3.261	-2.22	-2.895	-6.278	-2.82	-2.793	-2.559	-2.622	-4.174	-2.271	-2.546	-2.162	-2.5	-3.158	-0.416	0.24	0.6185	0.376	-0.875	-0.6	-1.273	-0.905	-0.684	-1.141	-1.223	0.202	-1.743	0.302	0.266	0.554	-2.217	-2.677	0.566	0.327	-3.128	-2.473
