	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1018.YPD 13 d (25C)"
"YMR011W"	-0.64	-4.162	-2.255	-2.421
"YMR049C"	0.697	-9.471	-3.3	-4.217
"YMR099C"	0.034	-5.036	-0.713	-1.892
"YMR131C"	0.69	-6.665	-4.236	-4.266
"YMR172W"	-0.07	-2.35	-0.068	-0.807
"YMR212C"	1.01	-6.75	-2.693	-2.761
"YNL001W"	0.522	-3.241	-1.116	-1.761
"YNL016W"	0.6875	-3.2085	-1.256	-1.9635
"YNL026W"	0.165	-4.57	-1.742	-1.966
"YNL049C"	-0.539	-4.607	-1.564	-1.25
"YNL066W"	1.266	-5.451	-2.02	-3.757
"YNL132W"	0.685	-6.392	-3.396	-4.049
"YNL162W"	1.592	-6.425	-1.742	-3.468
"YNL255C"	0.168	-5.229	-1.3	-2.225
"YNL287W"	0.378	-3.454	-2.186	-3.164
"YNR003C"	0.199	-4.7665	-0.868	-1.732
"YOL022C"	-0.062	-4.073	-1.681	-1.748
"YOL062C"	0.669	-4.46	-1.017	-1.957
"YOR001W"	0.614	-4.782	-1.551	-2.136
"YOR163W"	0.271	-3.0605	-0.809	-1.484
"YOR188W"	0.91	-3.8385	-1.695	-2.104
"YOR197W"	0.708	-3.178	-1.165	-1.64
"YOR198C"	-0.264	-5.562	-4.384	-4.415
"YOR209C"	1.139	-6.004	-1.897	-2.954
"YOR254C"	-0.255	-6.426	-2.354	-2.309
"YOR276W"	0.832	-4.3595	-1.759	-2.356
"YOR280C"	-0.403	-4.249	-1.197	-1.95
"YOR306C"	-0.262	-3.4875	-0.786	-1.263
"YOR312C"	1.659	-4.8175	-2.039	-3.224
"YOR323C"	1.629	-6.434	-2.742	-3.428
"YOR360C"	-0.6235	-3.43133333333333	-0.9355	-1.719
"YPL001W"	-0.176	-4.084	-1.427	-1.844
"YPL037C"	1.278	-5.417	-2.115	-3.654
"YPL053C"	0.052	-4.4065	-0.891	-2.032
"YPL061W"	3.916	-4.39	-2.678	-4.569
"YPL090C"	1.925	-6.197	-3.292	-4.719
"YPL094C"	-0.921	-5.3055	-2.024	-2.741
"YPL117C"	-0.214	-3.918	-0.054	-1.431
"YPL195W"	0.1095	-4.488	-1.595	-1.904
"YPL226W"	0.233333333333333	-5.67966666666667	-3.407	-3.983
"YPL237W"	0.843	-5.7585	-2.006	-3.024
"YPL239W"	0.053	-3.907	-1.503	-2.259
"YPL243W"	0.729	-5.276	-2.602	-3.544
"YPR028W"	-0.533	-3.43	-0.68	-1.904
"YPR029C"	0.2865	-4.2395	-1.909	-2.242
"YPR033C"	0.653	-7.94	-3.951	-4.54
"YPR069C"	0.680666666666667	-2.22966666666667	-1.537	-1.3515
"YPR102C"	2.3265	-6.451	-3.352	-4.692
"YPR118W"	0.503	-5.524	-2.882	-3.538
"YPR129W"	0.201	-6.025	-1.298	-2.139
"YPR144C"	0.6415	-4.2065	-1.687	-2.411
"YPR148C"	-0.2885	-3.536	-0.987	-2.035
"YPR158W"	-0.063	-2.5695	-0.241	-0.925
"YPR159W"	0.272	-2.703	-0.683	-1.352
"YPR169W"	0.4975	-3.2805	-1.098	-1.764
"YPR173C"	-0.0135	-3.6935	-0.973	-1.431
