	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YBL020W"	-1.846	1.848
"YBL040C"	-3.288	2.041
"YBR143C"	-4.642	3.037
"YBR171W"	-3.399	0.801
"YBR263W"	-2.818	-0.182
"YCL057W"	-3.12	0.869
"YCR002C"	-5.182	2.551
"YDL018C"	-1.767	2.966
"YDL064W"	-1.477	0.218
"YDL135C"	-4.374	0.156
"YDL227C"	-3.3575	0.593
"YDR023W"	-5.745	3.446
"YDR071C"	-4.374	-0.41
"YDR175C"	-3.292	-0.334
"YDR364C"	-1.503	1.031
"YDR382W"	-5.686	0.632
"YDR399W"	-4.784	1.212
"YDR427W"	-4.214	2.924
"YDR440W"	-2.77	0.834
"YEL056W"	-2.812	-0.3655
"YER036C"	-4.997	1.571
"YER056C"	-3.168	1.589
"YER107C"	-2.516	1.423
"YFL004W"	-3.639	1.0545
"YFL008W"	-2.884	0.3295
"YFL026W"	-4.221	0.908
"YFR039C"	-2.585	1.2035
"YGL001C"	-4.137	1.276
"YGL026C"	-4.669	0.911
"YGL027C"	-4.731	1.615
"YGL060W"	-3.155	0.917
"YGL067W"	-2.893	1.602
"YGL202W"	-4.405	1.705
"YGL232W"	-2.628	0.949
"YGL233W"	-2.1885	0.903
"YGR003W"	-2.25	-0.345
"YGR056W"	-2.933	-0.41
"YGR077C"	-1.436	1.495
"YGR084C"	-3.069	1.265
"YGR085C"	-6.059	-0.279
"YGR092W"	-3.742	1.694
"YGR093W"	-2.316	1.48
"YGR148C"	-5.757	3.556
"YGR179C"	-2.711	1.33
"YHL007C"	-2.86	2.284
"YHR024C"	-3.2155	0.769
"YHR048W"	-1.815	1.258
"YHR068W"	-6.532	2.683
"YHR118C"	-2.376	0.429
"YHR121W"	-4.718	0.49
"YHR133C"	-3.501	0.643
"YHR207C"	-2.162	0.708
"YIL026C"	-2.623	2.053
"YIL038C"	-2.368	3.516
"YJL001W"	-4.027	1.256
"YJL002C"	-4.487	0.182
"YJL097W"	-4.683	1.055
"YJL138C"	-5.625	0.594
"YJR006W"	-3.835	0.927
"YJR032W"	-3.054	0.746
"YJR057W"	-1.739	1.142
"YJR124C"	-2.412	1.929
"YKL080W"	-5.94	5.981
"YKL153W"	-5.051	2.825
"YKL172W"	-5.305	1.372
"YKL210W"	-4.432	0.102
"YKR001C"	-5.109	0.486
"YKR027W"	-3.822	0.533
"YKR028W"	-4.381	2.77
"YKR059W"	-4.998	1.172
"YKR078W"	-2.488	-0.342
"YLL024C"	-5.009	-0.577
"YLL053C"	-0.503	1.139
"YLR057W"	-4.294	-0.389
"YLR061W"	-6.591	2.93
"YLR065C"	-3.028	0.885
"YLR083C"	-5.137	1.34
"YLR100W"	-4.853	-0.142
"YLR115W"	-2.017	1.321
"YLR192C"	-4.349	-0.933
"YLR198C"	-3.401	0.955
"YLR226W"	-2.826	0.18
"YLR239C"	-2.912	-0.128
"YLR249W"	-6.742	1.423
"YLR292C"	-3.717	0.464
"YLR328W"	-4.106	2.217
"YLR433C"	-3.462	1.823
"YLR435W"	-3.819	1.136
"YML019W"	-3.311	1.723
"YML021W"	-3.917	1.018
"YML085C"	-4.526	1.571
"YML124C"	-4.107	1.269
"YMR011W"	-4.162	1.242
"YMR078C"	-2.51	1.746
"YMR092C"	-3.503	1.0
"YMR209C"	-2.274	0.1145
"YMR231W"	-3.029	1.55
"YMR264W"	-3.464	0.257
"YMR308C"	-4.033	1.9
"YNL041C"	-3.473	-0.896
"YNL059C"	-3.096	0.332
"YNL085W"	-5.369	0.741
"YNL118C"	-5.007	2.4655
"YNL135C"	-3.543	-0.745
"YNL181W"	-3.847	1.6585
"YNL193W"	-2.891	3.232
"YNL233W"	-3.551	0.994
"YNL247W"	-4.64	1.652
"YNL268W"	-3.13	0.911
"YOL122C"	-1.58533333333333	1.022
"YOR007C"	-3.123	-0.259
"YOR011W"	-2.358	0.723
"YOR026W"	-3.005	1.747
"YOR057W"	-1.83	0.45
"YOR090C"	-2.614	-0.39
"YOR164C"	-4.0095	3.248
"YOR168W"	-4.808	1.712
"YOR188W"	-3.8385	2.187
"YOR207C"	-9.516	2.32
"YOR209C"	-6.004	-0.824
"YOR210W"	-3.257	0.8
"YOR249C"	-2.421	0.094
"YOR270C"	-4.932	0.348
"YOR277C"	-4.571	1.519
"YOR286W"	-3.0285	1.284
"YOR309C"	-6.859	2.963
"YOR320C"	-3.6785	0.604
"YOR323C"	-6.434	1.176
"YPL046C"	-1.63666666666667	0.8435
"YPL066W"	-2.461	0.663
"YPL091W"	-3.471	1.891
"YPL195W"	-4.488	0.51
"YPR029C"	-4.2395	0.714
"YPR072W"	-2.576	-0.648
"YPR107C"	-3.49	2.655
"YPR110C"	-6.318	2.592
