	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"297.Kb vs. Ctrl"	"298.Tunicamycin vs. Ctrl"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"599.37 deg growth"	"684.YP fructose vs reference pool"	"685.YP sucrose vs reference pool"	"686.YP ethanol vs reference pool"	"799.Heat Shock 005 minutes"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1172.pho80 mutant vs wild type"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7549.33C no sorbitol 5 min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"8234.dtt 240 min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"8286.mcm1-1 +pRS-MCM7 vs. wild type + pRS-MCM7"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12744.heat shock 17 to 37, 20 minutes"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"16338.DES460 vs. DES460 YPD log phase control"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34365.batch 02X25 6"	"37279.CC SP 1A  Sulfate-Phosphate Chemostat Comparison"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"37281.CC SP 3A  Sulfate-Phosphate Chemostat Comparison"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YKL067W"	1.508	1.766	1.662	0.9475	0.248	0.281	1.4685	2.207	1.954	0.809	-0.349	-0.308	1.425	-0.207	1.5	1.656	1.738	1.374	1.148	2.333	2.596	3.159	2.571	1.511	2.321	1.379	1.617	1.525	1.151	2.54	2.244	1.923	2.243	0.163	-0.043	2.196	1.344	0.253	1.139	0.587	0.42	-0.067	-0.113	-0.107	1.111	0.059	0.152	-0.271	2.22	0.087	-0.125	-0.03	1.618	1.834	3.313	2.761	3.108	2.735	3.04	2.448	1.691	0.795	1.222	1.225	1.069	-0.282	-0.376	-0.436	1.975	2.862	2.029
"YKL091C"	3.351	4.009	3.851	2.35	-0.09	0.519	2.683	3.567	3.623	0.781	-0.28	-0.481	1.368	-0.282	2.772	2.321	3.177	3.064	2.383	5.27	3.548	3.187	3.034	2.301	2.535	3.109	3.432	2.619	2.057	3.642	2.481	1.844	1.293	0.2	-0.018	2.02	1.42	1.149	2.602	1.807	0.723	-0.46	-0.215	0.142	0.892	0.086	0.302	-0.067	3.699	0.325	-0.108	0.179	3.205	3.707	2.805	1.478	4.146	3.248	2.188	2.104	3.46	3.336	0.406	0.41	0.305	0.21	0.183	0.239	3.315	3.781	3.186
"YKL142W"	2.597	2.225	2.56	0.941	0.318	1.003	1.871	2.261	2.353	1.241	-0.668	-0.909	1.006	0.008	2.0	2.39	2.224	1.669	2.01	3.233	2.644	2.721	2.479	2.263	1.216	2.587	2.258	2.224	1.507	2.728	2.251	2.199	2.117	0.512	-0.037	2.75	1.653	1.191	1.553	1.34	1.604	-0.981	-1.086	-0.678	1.024	0.06	0.026	-0.083	2.572	0.128	0.374	0.227	2.578	2.839	2.99	1.508	2.695	1.44	2.108	1.502	2.341	2.529	0.204	0.015	0.103	-0.006	0.076	0.021	2.231	2.921	2.627
"YKL150W"	2.809	2.913	3.05	1.553	0.52	1.106	2.55	3.068	2.915	1.102	-1.52	-1.423	1.299	0.442	2.063	2.078	2.553	1.892	1.842	3.989	3.734	3.947	3.273	3.283	2.136	1.844	1.457	1.741	0.241	4.228	3.833	3.772	3.627	0.284	0.439	1.937	1.859	0.451	1.692	0.849	0.334	-0.807	-0.929	-0.803	1.818	-0.14	-0.43	0.012	2.857	0.32	0.49	0.221	2.259	2.7	3.344	2.601	4.12	3.616	3.503	2.794	1.924	1.351	0.618	0.725	0.649	-0.057	-0.076	-0.205	2.817	3.411	3.112
"YLL023C"	1.094	2.164	2.068	1.316	-0.371	-0.067	1.571	2.334	2.261	0.756	0.204	-0.247	1.177	-0.393	1.928	0.843	1.438	1.225	1.312	3.606	2.665	2.517	2.475	1.663	2.152	1.513	1.64	1.569	1.092	2.958	2.037	1.972	2.401	0.148	0.207	2.386	1.738	0.194	1.558	0.602	-0.186	0.235	0.214	0.445	1.317	-0.266	0.228	-0.104	2.488	0.17	-0.034	0.234	1.699	2.0	1.656	1.537	3.532	2.303	1.613	2.147	1.679	3.09	0.696	0.652	0.678	0.179	0.336	0.192	2.328	3.197	2.523
"YLR149C"	3.684	4.616	4.196	2.173	-0.063	0.961	3.715	4.069	3.872	1.014	-1.632	-1.0	1.481	-0.143	2.08	2.381	2.936	1.883	1.922	4.105	3.465	3.717	3.85	3.986	3.387	3.839	3.078	3.191	2.983	4.749	3.585	4.206	4.313	0.124	0.524	3.172	3.392	0.564	1.487	1.528	0.483	-1.816	-2.525	-1.992	1.56	1.212	-0.353	0.056	4.23	0.487	0.08	0.082	3.532	4.245	3.572	3.263	4.717	4.271	2.991	3.931	2.798	3.795	0.865	0.725	0.457	-0.444	-0.445	-0.384	2.957	1.855	3.177
"YLR175W"	-4.217	-4.176	-3.679	-2.134	-0.123	-1.007	-3.07	-4.552	-4.902	-0.659	0.159	0.63	-1.501	-0.236	-1.318	-1.615	-2.615	-2.244	-2.257	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-2.275	-3.996	-3.068	-3.13	-4.678	-2.413	-2.762	-3.408	0.065	2.256	-1.355	-1.941	-0.421	-1.587	-0.536	-0.287	0.892	0.937	0.316	-1.58	0.478	0.239	-0.434	-4.431	-0.051	-0.378	0.268	-4.177	-3.995	-3.16	-1.549	-4.338	-2.959	-2.455	-2.526	-2.713	-3.796	0.335	0.407	0.287	0.133	0.193	0.218	-2.978	-2.879	-2.89
"YLR178C"	5.463	6.029	5.987	4.932	0.476	0.95	5.265	6.066	5.98	2.609	-1.358	-1.453	1.806	-1.559	2.318	2.354	2.932	2.311	3.987	5.949	5.421	4.881	5.219	4.399	4.93	3.516	3.832	3.455	2.573	3.6	2.231	2.561	2.885	1.074	-1.24	3.177	2.411	2.58	3.982	2.37	0.974	-2.014	-2.416	-2.004	2.276	0.78	0.55	-0.33	6.29	0.09	0.123	0.125	4.402	5.407	4.372	3.242	5.3	4.727	3.457	3.71	4.82	5.052	1.315	1.108	1.615	-1.104	-1.159	-1.177	-2.35	4.76	4.833
"YLR196W"	-4.71	-5.425	-5.04	-1.973	0.201	-0.331	-3.221	-4.896	-4.532	-0.264	0.61	0.302	-0.842	-0.247	-1.52	-1.245	-2.273	-1.576	-2.364	-5.083	-3.01	-3.156	-2.049	-1.898	-2.276	-2.001	-2.858	-2.859	-1.799	-4.378	-2.182	-2.66	-2.604	0.036	0.014	-1.575	-2.767	0.046	-1.454	-0.733	0.557	0.766	0.517	0.147	-1.12	-0.798	-0.569	-0.406	-5.097	0.022	-0.236	-0.121	-3.697	-2.901	-2.83	-2.024	-3.658	-2.412	-1.969	-2.265	-2.247	-2.053	0.26	0.298	0.108	0.056	0.097	0.039	-1.579	-1.62	-1.73
"YLR197W"	-3.755	-4.98	-4.044	-2.606	-0.061	-1.034	-3.638	-4.76	-5.179	-0.355	0.264	-0.13	-1.17	-0.206	-1.737	-1.741	-2.844	-2.358	-2.63	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-1.811	-3.899	-3.238	-3.258	-5.671	-2.611	-3.067	-3.716	0.013	-0.163	-0.805	-1.633	-0.496	-1.878	-0.682	0.288	0.748	0.742	0.576	-1.869	0.363	0.353	-0.423	-5.072	-0.173	0.141	0.08	-4.496	-4.983	-3.17	-1.095	-4.545	-3.045	-2.593	-2.321	-3.015	-3.736	0.511	0.457	0.275	0.092	0.08	0.08	-2.647	-2.994	-2.559
"YLR198C"	-2.631	-4.57	-4.694	-2.132	-0.204	-0.967	-3.371	-4.643	-4.805	-0.331	0.466	-0.004	-0.846	-0.308	-1.561	-1.547	-2.6	-2.306	-2.411	-5.143	-2.989	-3.1	-2.376	-2.064	-2.252	-1.956	-3.471	-3.106	-2.998	-5.282	-2.521	-3.21	-3.479	-0.011	-0.046	-1.322	-2.048	-0.315	-1.735	-0.329	0.395	0.787	0.499	0.343	-1.66	0.325	0.392	-0.685	-4.143	-0.13	-0.082	0.124	-3.4	-2.271	-2.674	-0.872	-3.761	-2.805	-1.946	-1.701	-2.448	-3.254	-0.049	0.011	-0.27	0.367	0.288	0.301	-2.449	-2.231	-2.734
"YLR249W"	-2.069	-2.818	-3.122	-1.868	-0.002	-1.307	-3.317	-4.232	-4.758	-0.845	0.52	0.725	-1.649	0.37	-2.168	-1.196	-2.52	-1.853	-2.746	-6.529	-4.864	-4.043	-3.482	-3.403	-3.637	-1.486	-3.879	-4.141	-3.557	-4.679	-2.712	-3.131	-3.778	0.465	0.324	-1.396	-2.381	-0.574	-2.345	-0.513	-0.414	0.701	0.546	0.532	-1.42	-0.562	-0.373	-0.194	-4.59	-0.327	-0.307	0.414	-3.998	-5.053	-5.102	-2.604	-5.085	-4.9	-3.269	-3.19	-4.088	-4.673	0.968	0.921	0.734	-0.61	-0.387	-0.389	-2.449	-3.886	-1.871
"YLR251W"	3.436	3.829	3.611	1.665	-0.027	1.508	2.862	3.682	3.696	1.112	-0.111	-0.07	0.177	-0.447	1.48	2.638	2.633	1.709	1.474	3.169	1.345	1.944	1.894	2.161	2.488	2.127	1.778	0.986	1.089	2.36	1.9	2.558	2.535	0.092	-1.09	2.229	1.445	0.302	1.306	0.503	0.265	-1.082	-1.119	-0.635	1.508	-0.773	-0.468	0.202	4.136	0.136	0.359	-0.094	1.438	1.305	1.483	2.28	2.615	1.701	1.291	2.096	2.449	2.426	0.308	0.06	0.555	-0.315	-0.129	-0.474	2.229	2.663	2.431
"YLR252W"	3.536	3.483	2.704	1.238	0.127	1.533	2.656	3.133	3.23	0.987	-0.28	-0.115	0.617	0.567	0.381	1.984	2.53	1.862	2.041	2.929	1.921	2.248	2.344	2.463	2.795	2.124	1.742	1.897	1.543	1.93	1.877	2.159	2.546	0.103	-0.875	2.229	1.128	0.059	0.785	0.806	0.531	-1.158	-0.862	-0.755	1.124	-0.091	-0.173	0.085	3.837	0.05	0.403	0.122	0.776	1.494	1.475	0.721	3.058	2.007	0.934	1.55	2.792	2.319	0.353	-0.445	0.418	0.015	0.057	-0.115	2.691	3.61	2.018
"YLR258W"	4.492	4.617	4.273	2.738	0.891	1.032	3.655	4.262	4.866	1.116	-1.067	-0.544	0.64	-0.227	2.89	2.688	3.62	2.056	3.132	4.602	3.602	4.226	3.358	2.68	3.089	3.115	2.686	2.614	1.279	5.214	4.198	3.429	3.18	0.702	-0.257	3.533	3.045	0.684	2.296	1.682	0.149	-0.771	-1.015	-1.094	1.204	-0.006	0.065	-0.147	4.686	-0.061	-0.297	0.129	3.754	3.968	3.416	2.076	5.121	3.888	3.318	2.343	3.322	3.295	1.198	0.832	1.172	-0.948	-0.95	-0.921	3.356	3.233	3.499
"YLR270W"	2.619	2.816	2.659	2.141	0.386	0.367	2.515	2.627	2.718	0.702	-0.362	-0.535	1.092	-0.359	2.552	2.737	2.962	2.697	2.215	3.652	2.309	2.746	2.685	2.31	2.688	1.707	2.081	1.738	1.277	3.081	2.673	2.833	3.002	0.241	0.024	3.312	1.948	0.662	2.087	1.08	1.314	-0.467	-0.527	-0.141	1.272	-0.001	0.137	-0.075	3.272	0.244	0.321	0.223	2.407	2.699	2.67	2.398	3.716	2.802	1.955	2.213	1.847	2.484	0.474	0.476	0.447	0.102	0.017	0.193	2.768	3.381	3.198
"YLR356W"	2.147	2.487	1.967	2.031	0.081	0.277	1.848	2.234	2.179	0.359	-0.484	-0.263	1.594	-0.602	1.35	1.056	1.175	1.172	1.761	4.015	3.302	3.078	3.514	3.078	3.806	1.84	2.083	2.031	1.543	1.792	1.217	1.214	1.174	-0.064	-0.133	3.088	2.27	0.708	1.683	0.692	-0.429	-0.65	-0.766	-0.29	1.604	-0.234	-0.378	-0.003	2.688	-0.249	-0.456	0.105	2.01	2.523	2.366	1.711	3.571	2.324	1.576	3.074	1.953	3.044	0.945	0.769	0.951	-0.018	-0.017	-0.044	1.624	2.572	1.603
"YLR449W"	-1.748	-3.266	-2.903	-1.724	0.11	-0.772	-3.009	-3.738	-3.97	-0.77	0.381	0.465	-1.626	0.006	-1.046	-0.857	-1.932	-1.31	-2.712	-6.206	-3.515	-3.262	-2.978	-2.79	-3.758	-0.65	-2.597	-2.104	-2.166	-3.782	-2.95	-3.268	-3.547	0.233	-0.095	-2.619	-1.866	-0.312	-1.572	-0.323	0.035	0.75	0.183	0.408	-2.041	0.859	0.306	-0.392	-4.241	-0.117	-0.398	0.038	-5.408	-3.658	-2.81	-1.715	-4.694	-2.945	-2.791	-2.535	-1.323	-1.819	-0.262	-0.48	-0.555	0.451	0.484	0.479	-1.626	-1.327	-0.884
"YML056C"	-2.994	-3.762	-3.158	-1.618	-0.211	-0.649	-3.16	-2.963	-3.376	-0.669	0.874	0.527	-1.807	0.139	-1.502	-1.437	-1.557	-1.854	-2.244	-3.967	-3.497	-3.275	-3.12	-2.921	-3.786	-2.232	-3.243	-3.63	-2.67	-2.774	-1.718	-2.437	-2.674	0.162	NaN	NaN	NaN	-0.243	-1.921	-0.024	-0.32	1.057	1.034	0.495	-1.272	-0.228	0.197	0.024	-3.776	0.124	-0.136	0.38	-4.017	-3.863	-3.469	-2.987	-4.322	-4.508	-3.541	-4.272	-3.168	-3.748	0.466	0.412	0.41	-0.012	0.219	0.096	NaN	-1.717	-2.154
"YML128C"	5.766	6.859	6.4	3.943	0.281	1.133	5.43	4.736	4.769	2.634	-2.888	-3.065	2.114	-1.291	3.297	3.954	4.385	3.897	5.261	4.497	4.007	4.229	5.074	4.836	3.562	4.137	4.28	4.369	3.614	4.504	4.485	4.304	5.155	0.717	0.414	3.828	3.824	2.729	3.962	2.514	0.809	-2.822	-2.843	-1.849	2.646	1.365	0.553	0.247	5.297	-0.189	0.27	-0.339	4.573	5.111	4.729	4.503	5.91	5.407	3.945	5.151	4.155	4.05	1.597	1.814	1.736	-1.405	-1.548	-1.452	3.745	3.524	3.891
"YMR090W"	2.465	3.078	2.946	1.72	0.571	1.353	3.018	3.436	3.281	1.016	-1.109	-0.694	1.703	-0.689	2.422	2.706	2.689	2.765	3.516	4.168	3.054	3.581	3.593	4.013	4.32	2.465	2.556	2.982	2.424	4.083	3.384	3.555	4.32	0.619	0.115	2.57	1.642	0.906	1.713	0.835	-0.073	-1.941	-1.421	-1.092	1.734	0.994	0.841	-0.091	3.497	0.171	0.039	0.11	2.821	3.749	3.663	3.666	3.446	3.111	2.718	3.037	4.911	4.568	0.872	0.506	0.552	-0.425	-0.409	-0.457	3.757	6.316	4.747
"YMR105C"	6.504	7.421	6.858	4.865	-0.359	1.463	6.445	6.665	6.783	2.033	-2.78	-2.06	0.226	-1.098	NaN	3.384	4.011	3.439	3.845	4.909	4.43	4.356	4.635	4.095	3.333	3.838	2.982	2.866	1.873	3.095	3.543	4.109	3.285	0.443	0.405	3.606	3.115	1.081	4.536	1.622	1.003	-2.176	-2.045	-1.845	1.973	0.394	0.629	-0.116	6.837	-0.401	0.174	0.362	5.764	4.164	3.912	3.617	6.583	5.468	3.536	4.665	4.302	3.947	0.968	0.811	1.314	-0.991	-1.148	-0.976	4.512	3.829	3.825
"YMR110C"	2.134	2.615	2.414	0.622	0.578	1.009	2.26	2.565	2.824	0.254	-0.479	0.023	0.837	-0.228	1.954	2.049	2.38	1.73	1.559	3.925	3.346	3.746	3.565	3.434	2.517	2.734	2.473	2.516	2.338	4.042	3.217	2.995	3.422	0.281	-0.458	2.401	2.339	0.255	1.762	0.458	0.641	-0.351	-0.806	-0.258	0.952	-0.579	-0.395	-0.042	2.675	0.158	0.23	0.434	2.545	3.97	4.096	2.779	3.64	3.462	2.896	2.522	2.152	2.785	0.308	0.252	-0.028	0.051	0.036	0.059	2.488	2.47	2.932
"YMR139W"	1.536	1.925	1.824	0.515	0.144	1.148	1.541	2.023	1.993	0.414	-0.093	-0.524	0.397	0.289	1.035	1.507	1.55	1.183	1.151	3.263	2.401	2.436	2.325	2.162	1.223	2.222	2.003	1.496	1.318	2.543	1.587	1.225	1.679	-0.144	-0.158	1.562	1.499	0.153	0.951	0.565	0.294	-0.727	-0.322	0.306	0.749	-1.148	-0.74	0.52	1.885	0.687	-0.092	0.17	1.96	2.121	2.043	0.851	2.001	1.737	1.455	1.156	0.932	1.872	-0.168	-0.044	0.039	-0.345	-0.208	-0.054	1.399	1.752	1.655
"YMR169C"	3.194	2.717	2.1645	4.754	-0.444	0.4845	1.609	2.2055	2.4185	0.42	-0.3905	-0.1275	-0.169	-0.705	2.5335	2.076	1.596	1.7245	1.3735	2.206	1.723	0.7425	1.1695	2.2665	0.7785	3.0715	2.0175	1.513	1.612	2.454	1.7675	2.832	2.798	0.282	0.425	NaN	NaN	0.51	2.8295	0.882	-0.316	-1.222	-1.3015	-0.4075	0.9445	1.086	0.74	-0.0495	3.1995	-0.284	0.299	0.0725	2.106	3.13	2.4045	2.1065	3.5495	2.255	1.145	1.675	1.952	2.1355	-0.112	-0.1045	0.2765	-0.5245	-0.486	-0.7065	1.574	1.811	1.807
"YMR170C"	4.153	5.429	5.057	4.658	0.08	0.993	4.008	5.21	5.684	1.147	-0.469	-0.409	0.79	-1.668	5.045	2.832	4.273	3.015	3.094	6.85	2.236	0.522	3.746	1.825	2.011	3.917	3.8	2.053	2.599	4.668	3.541	5.035	5.147	0.902	0.187	3.806	2.736	1.051	5.279	1.009	0.909	-1.725	-2.065	-1.601	2.755	0.34	0.155	0.235	6.459	-0.109	0.246	0.156	4.409	4.934	4.039	3.912	6.253	4.167	2.972	3.706	4.253	5.089	0.794	0.308	0.631	-0.776	-0.74	-0.775	4.258	5.006	5.472
"YMR181C"	1.997	2.286	1.792	0.714	-0.387	-0.425	1.254	2.18	1.971	0.19	-0.412	0.124	0.967	0.158	1.466	1.333	2.021	1.513	0.992	3.744	3.384	3.752	3.55	3.817	4.43	2.929	2.831	2.607	2.761	3.306	2.566	2.301	3.282	0.829	-0.003	1.799	2.042	0.209	1.22	0.385	-0.035	-0.352	-0.811	-0.798	1.832	-0.13	0.146	-0.077	1.545	0.026	0.281	0.121	1.558	1.237	2.144	1.733	2.304	2.183	1.517	3.497	2.34	3.171	1.113	0.64	0.595	-0.306	-0.289	-0.36	1.414	2.525	1.731
"YMR250W"	5.161	6.007	5.491	4.651	-0.132	1.412	5.246	5.448	5.563	2.744	-1.745	-1.654	1.006	-0.931	3.891	3.439	3.5	2.661	4.002	4.705	4.159	3.979	4.174	4.516	NaN	2.816	2.923	2.601	2.186	5.655	5.109	4.892	4.741	0.361	0.088	3.373	3.642	1.639	3.856	1.267	0.503	-1.774	-2.618	-1.553	1.807	-0.361	0.198	0.371	5.984	-0.253	0.19	0.2185	4.606	5.331	5.018	3.436	5.68	4.944	4.024	3.524	5.241	6.752	1.07	0.704	1.032	-1.353	-1.466	-1.455	4.48	5.204	6.07
"YMR290C"	-2.333	-3.64	-3.689	-2.627	0.154	-1.098	-2.957	-3.89	-3.624	-0.303	0.1	0.433	-1.198	-0.053	-1.568	-1.501	-2.714	-2.071	-2.5	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.017	-3.243	-3.378	-2.625	-4.614	-3.037	-3.295	-3.716	0.161	0.392	-2.735	-2.712	-0.195	-1.35	-0.472	0.389	0.92	1.215	0.354	-1.853	-1.162	-1.171	-0.327	-4.129	0.103	-0.025	0.1175	-4.343	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	-3.217	-2.21	-3.084	0.388	0.313	0.177	0.249	0.269	0.295	-1.701	-1.911	-2.141
"YMR297W"	1.527	2.292	1.743	2.22	0.533	0.819	1.826	2.33	2.581	0.508	-0.394	0.274	0.303	-0.738	1.477	0.801	0.985	0.66	1.784	1.899	2.65	2.304	2.02	1.479	1.847	-0.006	1.645	1.782	1.048	2.818	2.426	2.159	2.328	-0.082	0.396	1.82	2.394	0.381	1.11	0.12	-0.934	-0.371	-0.64	-0.17	1.421	-0.021	0.498	0.135	2.628	-0.399	-0.136	0.4495	1.918	2.025	1.61	1.116	2.004	2.188	1.347	1.116	1.342	2.801	0.4	0.78	0.64	-0.114	-0.093	-0.056	2.053	2.522	2.512
"YNL002C"	-3.547	-4.666	-4.07	-1.784	0.027	-0.805	-3.305	-4.559	-4.222	-0.123	-0.06	0.389	-0.61	-0.628	-1.105	-1.244	-2.677	-1.824	-2.564	-5.196	-2.914	-2.785	-2.336	-1.951	-2.475	-1.894	-3.072	-2.59	-2.178	-3.426	-2.209	-1.856	-2.186	0.124	0.08	-2.77	-2.007	0.174	-1.349	-0.524	0.258	0.991	0.91	0.378	-1.453	0.756	0.143	-0.454	-4.603	0.294	0.157	0.0375	-3.481	-2.92	-2.649	-1.781	-4.466	-2.41	-2.181	-2.211	-2.619	-1.768	-0.574	-0.149	-0.309	0.251	0.327	0.191	-2.083	-1.86	-1.552
"YNL015W"	2.601	2.433	3.124	1.885	1.442	2.208	2.455	3.302	2.984	2.005	-1.71	-2.408	2.356	-0.239	2.216	3.385	2.832	2.679	2.881	4.235	4.867	4.844	4.633	3.952	3.875	2.852	3.342	3.085	2.745	2.964	3.342	2.817	2.895	0.546	-0.155	3.546	2.68	1.25	2.076	1.228	1.539	-1.067	-0.88	-0.508	1.721	0.476	-0.176	-0.204	3.501	0.259	0.104	0.1345	2.636	2.8	3.339	2.117	2.634	3.327	3.061	2.362	2.064	1.674	1.01	0.912	0.938	-0.538	-0.65	-0.69	1.9	2.493	1.936
"YNL132W"	-2.988	-4.679	-5.146	-2.394	0.334	-0.712	-3.658	-3.329	-4.954	-0.607	0.226	0.464	-0.762	-0.108	-1.718	-1.682	-2.634	-1.292	-3.143	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-2.3	-3.285	-3.141	-2.521	-4.353	-2.313	-2.799	-2.936	0.344	0.148	-1.976	-1.988	-0.625	-1.837	-0.866	0.446	0.708	0.612	0.447	-1.974	-0.75	-0.63	0.304	-3.45	0.024	0.001	0.3195	-4.311	-2.994	-2.948	-2.325	-3.989	-2.673	-2.3	-1.776	-2.269	-1.684	0.178	0.306	0.06	0.114	0.032	0.102	-2.333	-1.182	-2.393
"YNL200C"	3.958	4.143	3.376	3.204	-0.125	0.539	3.17	3.269	3.585	1.224	-0.715	-0.243	1.015	-0.311	2.009	NaN	1.3	0.17	2.286	4.582	3.797	3.537	4.197	4.951	2.818	2.013	2.15	2.624	2.356	3.003	2.005	3.51	2.912	0.424	0.068	3.953	3.0	0.409	2.328	0.524	0.205	-1.436	-1.322	-0.693	1.613	0.308	-0.328	0.114	4.124	-0.116	0.176	0.158	1.738	4.514	4.524	3.391	4.527	4.165	3.064	3.548	2.591	3.367	-0.022	0.188	0.48	0.022	0.095	-0.007	2.392	3.19	2.592
"YNL248C"	-4.024	-4.791	-4.315	-1.698	0.26	-0.845	-3.398	-4.455	-4.373	-0.155	-0.089	0.728	-1.052	-0.542	-1.163	-1.267	-2.352	-1.798	-2.173	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-2.168	-3.866	-3.014	-1.941	-5.072	-2.419	-2.444	-2.924	-0.032	0.238	-0.592	-1.381	0.112	-1.15	-0.575	0.527	1.013	0.889	0.211	-1.978	0.256	-0.422	-0.223	-4.868	-0.517	0.092	0.195	NaN	-4.652	-4.217	-2.416	-6.193	-3.878	-3.385	-3.227	-3.661	-3.302	0.296	0.389	0.203	0.342	0.31	0.171	-2.94	-3.256	-3.147
"YNR001C"	3.326	4.053	3.531	2.832	-0.073	-1.108	3.271	3.418	4.194	0.687	-1.678	-1.27	1.055	-0.84	3.101	1.613	2.303	1.181	1.401	NaN	NaN	2.564	NaN	0.897	3.216	3.118	2.76	2.886	2.927	4.32	4.148	3.195	3.137	0.426	0.74	2.825	3.667	1.426	2.808	1.599	0.408	-0.918	-1.972	-0.648	1.255	-0.274	-0.11	0.296	4.186	-0.004	0.171	0.074	3.6	3.999	4.438	4.352	4.341	4.752	4.818	3.971	1.573	1.686	1.301	1.444	1.175	-0.64	-0.764	-0.711	1.844	1.696	2.307
