	"49.Elutriation2:Sample2:Time0.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"513.2.5mM DTT 015 min"	"514.2.5mM DTT 030 min"	"584.17 deg growth"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1309.diauxic shift timecourse: 18.5 hr"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7761.Na 60min"	"8234.dtt 240 min"	"9838.CLN3 induction 30 minutes"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21641..24 mM H2O2- 112 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21660..24 mM H2O2- 120 minutes"	"21661..24 mM H2O2- 049 minutes/redo"	"21662..24 mM H2O2- 230 minutes"	"21666..24 mM H2O2- 055 minutes"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"30462.Pomona/Brown Sir3xpol2-12 red"	"30463.Pomona/Brown pol2-12 red"	"30773.Pomona/Brown Sir3x red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"
"YBL064C"	0.62	3.38	3.764	3.794	2.5	3.768	4.454	4.288	0.383	0.877	-1.199	2.527	2.046	2.441	1.5305	3.751	4.025	3.988	3.559	3.497	3.051	2.167	-0.096	2.713	2.825	4.096	4.107	3.753	4.115	4.422	2.8815	2.465	2.2695	3.796	0.948	3.009	2.303	0.158	1.372	1.311	1.122	2.189	2.933	1.83	-0.954	3.343	4.937	4.93	4.738	4.092	3.479	5.043	3.913	4.322	0.619	5.014	1.381	0.591	1.635	1.6375	1.481	1.6265	0.203	0.458	0.125	2.437	3.185	2.783	2.833	3.768	3.992	3.838	4.371	4.314	3.589	4.618	3.072	3.211	2.964	2.317	1.288
"YBR026C"	1.0875	1.631	2.326	2.554	1.669	2.178	2.688	2.577	-0.363	-0.117	-1.318	1.759	2.0515	2.0335	1.679	2.537	2.286	2.624	2.933	2.684	1.784	1.308	0.305	1.873	1.707	1.643	2.1345	2.7165	2.379	2.4865	1.713	0.77	0.7705	1.649	0.521	NaN	1.556	0.3395	1.325	1.603	1.277	1.25	1.236	0.85	-0.546	1.974	2.948	1.08	0.972	0.228	0.859	1.473	0.304	1.438	0.327	1.623	1.144	0.6475	1.6125	1.702	1.408	1.054	0.291	0.464	0.093	2.63	3.175	3.349	2.986	1.372	1.981	1.786	2.689	2.244	1.827	2.507	2.762	2.916	2.83	1.141	0.676
"YBR056W"	1.246	2.581	2.937	2.9	2.04	2.582	3.141	3.008	-0.518	0.031	-1.224	1.841	2.27	2.298	1.521	3.069	2.15	2.362	2.37	1.966	2.397	2.069	0.335	1.657	1.624	2.129	2.803	2.2835	2.196	2.418	0.512	-0.1305	1.655	1.784	0.417	1.374	1.327	0.393	0.59	0.823	0.715	2.293	1.785	1.564	-0.376	1.625	3.273	1.565	1.748	1.058	0.588	2.121	1.409	1.614	0.472	2.363	0.73	0.406	0.7635	0.6625	0.443	0.03	0.264	0.479	0.17	1.003	0.591	1.131	0.957	2.113	1.943	2.19	2.66	1.785	1.357	1.642	3.223	3.53	3.123	1.318	0.421
"YBR072W"	2.393	3.885	3.887	3.876	3.67	2.858	2.693	3.52	-0.453	-0.151	-1.167	4.324	3.9055	4.3045	3.956	6.093	5.199	5.621	6.166	6.58	6.039	4.833	0.605	5.101	5.494	2.867	4.395	4.745	5.1185	5.612	5.8345	5.538	3.1335	3.802	1.236	3.297	4.499	0.0815	2.599	3.652	3.076	2.788	2.859	1.655	0.527	4.963	4.415	1.148	2.624	2.062	2.135	3.407	2.768	2.901	0.38	3.583	2.807	1.9565	2.829	2.693	3.0185	3.211	0.144	0.408	0.04	3.406	2.239	3.02	2.722	4.847	4.309	4.529	4.368	5.026	3.864	6.476	4.285	4.891	4.271	3.14	1.437
"YBR139W"	0.18	2.369	2.977	2.63	2.128	2.849	2.957	3.234	-1.238	-0.243	-1.169	1.97	1.8785	2.372	1.4965	3.123	2.458	1.926	1.974	1.716	1.942	2.129	0.195	1.636	1.465	2.285	3.3855	2.27	2.1415	2.114	1.588	1.212	0.9785	2.172	-0.211	0.519	1.741	-0.1465	0.197	0.415	0.445	1.051	1.492	1.201	-0.739	1.772	3.322	1.5	1.169	0.316	0.958	1.887	0.646	1.305	0.481	2.372	0.531	0.449	0.383	0.4505	0.334	-0.2985	0.256	0.513	0.138	0.378	0.912	1.594	0.826	3.063	2.319	1.317	3.026	2.805	1.931	1.564	2.806	2.929	2.982	1.004	0.473
"YCR021C"	3.818	4.006	2.689	1.479	-0.115	1.28	2.312	5.0	-0.222	-0.551	-1.093	1.456	1.6555	2.8875	0.93	5.925	4.944	3.296	5.128	4.676	3.95	5.008	0.422	5.041	5.591	1.572	4.4875	2.0805	3.801	3.977	3.468	2.274	3.9455	3.906	0.862	1.402	1.95	-0.449	3.192	4.705	4.549	2.598	0.553	0.213	-0.5605	4.523	3.387	5.594	3.436	1.765	5.154	5.237	1.332	6.113	0.1	6.679	4.043	2.358	3.099	3.74	3.481	3.672	0.278	0.55	0.296	5.504	6.079	7.189	6.906	8.394	8.28	7.519	6.801	7.391	6.274	7.101	5.695	6.387	5.332	2.144	-0.486
"YCR038C"	0.155	0.468	0.773	0.594	0.487	0.515	0.836	0.415	-1.053	-1.613	-1.244	-0.194	-0.586	-0.4065	0.0375	1.161	0.777	0.856	1.394	1.117	1.606	0.472	0.136	0.562	0.713	0.428	0.7135	0.8355	0.968	0.922	0.158	-0.172	-1.0565	0.799	0.182	0.626	0.259	-0.2565	-0.056	0.322	-0.086	0.426	0.271	0.336	-0.455	0.404	1.026	0.262	0.426	-0.004	1.11	-0.276	NaN	NaN	0.153	-0.758	0.202	0.584	0.698	0.208	0.376	0.403	-0.244	0.158	0.129	0.469	-0.422	-0.062	0.614	0.657	0.159	-0.102	1.058	0.64	0.408	0.198	0.221	1.324	0.936	0.175	-0.32
"YCR091W"	1.876	1.998	2.968	2.534	1.185	2.087	2.708	2.257	-0.694	-1.015	-0.971	0.767	0.7965	1.6915	0.5245	4.284	3.522	3.241	3.278	2.691	3.114	3.192	-0.115	3.306	3.015	1.594	3.084	2.685	2.345	2.5735	2.0885	2.0775	1.3915	1.754	-0.512	0.786	0.888	-0.1265	0.463	0.54	0.422	1.471	0.593	0.429	-0.113	1.384	2.802	0.869	0.805	0.437	1.584	0.953	-0.439	0.975	0.31	1.011	0.103	0.417	-0.021	-0.169	0.209	0.563	0.171	0.508	0.127	0.976	0.844	0.975	0.878	3.628	2.288	1.59	3.677	2.956	1.701	3.005	0.781	2.438	1.948	0.208	-0.116
"YDL204W"	1.656	3.317	5.01	5.128	3.181	3.877	4.936	4.887	-1.834	-1.678	-0.77	4.522	2.55	4.272	2.77	5.851	4.733	4.685	5.32	5.69	5.571	4.975	1.16	4.604	4.28	1.868	4.66	4.854	5.274	5.34	5.75	7.317	3.222	4.234	2.045	4.511	4.945	-0.131	2.302	2.826	3.068	4.834	4.561	1.978	-0.582	4.52	5.38	2.714	2.717	0.666	2.421	3.168	0.68	4.075	-0.143	4.652	1.116	1.106	1.521	1.329	1.237	-0.036	0.223	-0.285	-0.317	2.406	3.048	2.808	2.832	5.526	4.943	4.367	5.864	4.642	3.788	4.76	3.492	3.424	2.645	0.135	-0.28
"YDR070C"	1.353	2.467	2.806	2.502	1.8285	1.3845	2.3175	2.8115	-1.266	-0.4505	-1.069	2.9295	2.941	3.753	2.6535	4.4565	3.8165	4.302	3.751	4.213	4.455	3.555	0.1465	3.694	4.458	2.5025	4.23	3.928	4.0405	4.3945	5.1055	4.5315	1.672	2.494	1.602	3.749	3.0015	-0.1685	1.4885	2.158	2.1775	3.31	3.618	0.9175	0.2165	5.213	3.1395	4.2505	3.112	1.1585	3.219	4.614	1.1255	3.3075	-0.005	5.1155	2.9005	1.771	3.033	2.7045	3.537	3.616	0.1425	0.416	0.06	3.848	3.751	3.796	3.198	4.413	4.483	4.033	3.983	3.987	3.443	4.008	3.452	3.749	4.248	2.178	1.041
