	"408.heat shock 29 to 37, 20 minutes"	"684.YP fructose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2554.Hypo-osmotic shock -15 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5358.1M sorbitol - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34356.delPPT1_hypo_osmotic_shock_60min"
"YBR011C"	0.428	0.1	0.353	0.286	-0.0355	-1.337	-1.081	-0.977	-1.747	-4.081	-5.344	-0.969	-0.352	-0.95	-1.407	-0.649	-1.271	-2.3835	-3.0585	-3.4585	0.258	0.247	0.258	0.2975	0.327	-0.22	-1.084	0.527	-0.923	-0.962	-0.771	0.654
"YBR154C"	-0.965	0.312	0.794	0.711	-0.784	-2.081	-1.369	-1.387	-1.563	-3.531	-4.423	-1.586	-1.317	-1.73	-1.85	-1.5735	-2.257	-2.6225	-3.012	-3.8995	0.475	0.143	-0.1185	-0.0305	-0.5315	-0.469	-1.281	0.432	-2.065	-2.433	-1.602	-0.102
"YBR288C"	-0.106	-0.071	0.491	0.536	-0.55	-1.014	-1.173	-0.889	-1.298	-2.229	-3.524	-0.693	-0.833	-0.751	-1.088	-0.9095	-1.1005	-1.2605	-1.978	-1.688	0.04	0.008	-0.2105	-0.237	-0.276	-0.228	-0.958	-0.335	-1.104	-0.937	-0.774	-0.048
"YCL045C"	-0.163	0.196	0.178	0.1595	-0.67	-1.369	-0.949	-1.0965	-0.733	-3.044	-3.911	-1.1955	-1.4795	-1.516	-1.986	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	0.136	0.0785	0.0683333333333333	0.032	-0.051	-0.201	-0.7035	0.0425	-1.65	-1.352	-0.797	0.202
"YCR002C"	0.133	-0.0095	0.208	0.326	-0.332	-1.02	-1.293	-1.572	-1.667	-3.669	-5.182	-0.224	-0.404	-0.658	-1.575	-1.1235	-1.597	-2.564	-2.9535	-2.7005	-0.202	-0.022	0.0355	-0.1855	0.3885	-0.222	-1.48	0.482	-1.051	-1.257	-0.495	0.269
"YDR002W"	-0.121	0.206	0.346	0.587	-0.646	-1.205	-1.054	-1.992	-1.109	-2.756	-4.542	-1.195	-1.43	-1.99	-1.796	-1.309	-0.91	-1.672	-2.746	-2.987	0.269	0.376	0.03	-0.468	0.157	-0.573	-1.802	0.364	-2.057	-1.465	-0.942	0.256
"YDR023W"	-1.189	-0.076	0.568	0.525	-1.423	-1.814	-1.347	-2.164	-2.077	-2.907	-5.745	-1.288	-1.116	-1.813	-1.696	-1.553	-2.313	-3.056	-3.357	-3.85	0.207	0.428	-0.019	-0.091	0.026	-1.24	-2.091	0.528	-1.458	-1.66	-0.861	0.015
"YDR071C"	0.153	0.088	0.462	0.569	-0.087	0.37	-0.825	-1.203	-1.492	-2.459	-4.374	-0.239	-0.204	-0.581	-0.861	-0.696	-0.953	-1.937	-3.125	-2.557	0.014	-0.089	0.015	-0.064	0.092	-0.116	-1.47	-0.032	-0.302	-0.713	-0.676	-0.053
"YDR189W"	-0.16	-0.055	0.259	0.297	0.078	-0.905	-0.822	-0.735	-0.956	-1.871	-2.842	-0.821	-0.61	-0.824	-1.156	-0.693	-0.704	-1.597	-1.904	-2.063	-0.139	-0.167	-0.041	0.057	-0.062	-0.191	-0.9815	-0.0125	-1.293	-0.8365	-1.03	-0.1645
"YGL137W"	-0.042	0.123	0.05	-0.388	-0.459	-0.79	-1.093	-1.359	-1.634	-2.113	-3.389	-0.92	-0.784	-1.419	-0.346	-1.012	-1.197	-2.696	-3.038	-3.308	0.048	-0.295	-0.097	0.053	-0.042	-0.299	-1.263	-0.043	-0.529	-0.5635	-0.1875	-0.1985
"YGL245W"	0.074	0.211	0.55	0.246	-1.348	-1.773	-1.579	-1.475	-2.145	-4.799	-6.655	-1.774	-1.33	-1.699	-2.088	-1.589	-2.121	-3.552	-4.345	-4.779	0.02	0.255	-0.194	-0.163	0.338	-0.768	-1.658	0.488	-0.955	-0.834	-0.29	0.104
"YGR001C"	-0.266	0.348	0.333	0.3	-0.693	-1.476	-0.631	-0.842	-0.607	-2.12	-3.271	-0.573	-0.842	-0.824	-1.121	-0.879	-0.942	-1.426	-1.682	-2.24	0.207	0.255	-0.039	-0.015	0.205	-0.449	-0.542	0.152	-1.069	-0.822	-0.721	0.114
"YGR037C"	0.091	0.537	0.453	0.35	0.251	-1.015	-0.73	-1.659	-1.49	-3.63	-4.976	-1.063	-1.0	-1.298	-1.04	-1.612	-1.441	-1.964	-2.717	-2.416	0.657	0.394	0.283	0.092	-0.035	-0.59	-1.319	0.192	-1.614	-0.772	-0.532	0.603
"YGR185C"	-0.6275	0.66	0.691	0.336	-1.289	-3.192	-1.31	-2.13	-2.168	-5.306	-6.361	-1.442	-1.736	-2.6	-2.266	-2.531	-2.944	-4.576	-4.871	-5.006	0.413	0.46	0.181	0.26	-0.065	-0.9955	-2.438	0.072	-2.768	-2.312	-2.205	0.025
"YGR285C"	-1.0655	0.524	0.764	0.578	-1.664	-3.959	-1.794	-1.645	-1.67	-4.078	-6.1	-1.648	-1.332	-1.877	-1.393	-2.557	-2.811	-3.452	-4.07	-4.065	0.664	0.704	0.15	-0.78	-0.203	-1.4295	-2.068	0.848	-2.607	-2.554	-1.851	1.074
