	"406.heat shock 37 to 37, 20 minutes"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2144.heat shock 37 to 37, 30 minutes"	"2558.1M sorbitol vs. YPD - basal"	"8233.dtt 120 min"	"12733.Nitrogen Depletion 8 h"	"12741.Nitrogen Depletion 1 h"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34347.wt_hypo_osmotic_shock_0min"	"34348.wt_hypo_osmotic_shock_7min"	"34351.wt_hypo_osmotic_shock_60min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34359.batch 02X25 3"	"34365.batch 02X25 6"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"44524.first half PM prep, array 2"
"YBL048W"	-0.123	-0.662	0.168	1.901	1.4495	0.1885	2.166	2.869	1.891	2.3225	1.224	2.101	2.7535	3.8365	3.63	2.8605	0.484	0.466	-0.123	1.757	0.2315	4.307	4.409	4.483	4.292	4.459	3.989	4.746	-0.059	-0.131	-0.451	0.066	-0.517	2.786	0.425	-0.102
"YBL049W"	0.042	-0.557	-0.707	0.353	-0.012	0.1845	3.632	4.254	3.391	3.3385	2.7155	2.9925	3.8385	4.9405	5.2455	4.1525	-0.236	-1.002	-0.333	2.943	-0.0645	3.243	4.358	4.543	4.201	4.835	4.581	5.083	0.149	0.131	-0.198	-0.197	-0.281	3.747	-0.114	0.017
"YBL064C"	-0.63	1.486	1.907	2.441	1.5305	0.941	3.751	2.962	-0.857	4.107	3.753	4.115	4.422	2.8815	2.465	1.8785	-0.126	0.694	0.646	2.6225	1.788	3.768	3.992	3.838	4.371	4.314	3.589	4.618	0.793	0.528	0.319	0.293	0.801	3.211	0.871	0.246
"YBR048W"	-0.12	-1.092	-1.4135	-2.469	-1.03333333333333	-2.00366666666667	-3.385	-3.0195	-5.0065	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	0.426	0.2855	-0.75	-3.33333333333333	-2.30366666666667	-4.043	-3.545	-3.133	-4.089	-3.69	-2.483	-2.711	0.456	0.345	0.349	0.631	0.267	-2.602	0.341	1.335
"YBR076W"	-0.202	0.054	-0.273	0.5295	0.637	0.459	2.187	3.472	1.946	1.483	0.618	1.4395	1.6245	2.2365	2.6415	1.4465	-0.102	-0.785	-0.154	0.4455	-0.119	1.309	2.018	0.634	1.039	1.811	1.185	0.98	0.308	0.144	0.201	0.309	-0.332	1.717	0.083	-0.057
"YBR084W"	-0.369	-1.992	-1.894	-2.0275	-1.741	-1.096	-4.143	-4.365	-5.362	-2.3585	-1.8955	-1.9025	-2.592	-1.934	-2.75	-2.725	0.155	0.036	-1.125	-2.208	-1.275	-3.705	-2.757	-2.544	-4.104	-3.283	-2.324	-2.592	-0.676	-0.125	-0.229	-0.219	0.625	-1.425	0.43	0.731
"YBR181C"	-0.391	-1.937	-2.59	-2.8855	-2.6035	-1.5775	-3.762	-3.798	-4.564	-5.0305	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	0.585	0.0	-0.901	-3.0365	-1.593	-3.618	-2.718	-2.109	-2.98	-3.274	-1.849	-2.601	-0.081	0.02	0.195	0.341	0.485	-3.426	0.033	0.929
"YBR183W"	0.068	0.218	0.139	1.8105	0.35	-0.233	4.661	3.506	3.166	4.392	2.7675	2.6755	3.223	3.489	3.8405	2.6835	0.364	0.482	0.67	0.413	-0.3785	3.705	3.348	2.563	4.716	3.579	3.13	3.325	0.319	0.109	0.271	0.603	0.614	3.051	-0.004	0.239
"YBR298C"	0.075	-0.71	-0.485	-0.167	-0.1535	-0.0455	4.291	3.081	1.075	2.5875	1.686	1.8985	2.558	3.261	3.083	2.3015	0.303	0.418	0.57	0.1885	0.2265	2.325	2.033	1.448	2.718	1.901	1.485	1.533	0.242	-0.267	-0.347	0.098	0.045	4.571	-0.288	0.127
"YDL191W"	0.213	-1.262	-1.057	-2.056	-1.739	-0.854	-1.985	-2.737	-5.192	-3.616	-2.354	-1.999	-2.077	-1.362	-1.942	-2.86	0.062	0.011	-0.562	-1.959	-0.76	-3.35	-2.399	-1.73	-3.234	-2.557	-1.83	-2.46	-0.3	-0.192	-0.04	0.194	0.167	-3.143	-0.318	0.434
