	"584.17 deg growth"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1014.YPD 2 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YBR011C"	-0.9	1.264	-4.081	-5.344	-0.649	-2.3835	-3.0585	-3.4585	0.4935
"YBR246W"	-0.441	0.989	-2.137	-3.138	-0.9095	-1.3615	-1.8565	-1.287	0.951
"YBR288C"	-0.341	0.19	-2.229	-3.524	-0.9095	-1.2605	-1.978	-1.688	0.2405
"YCL045C"	-0.9165	0.967	-3.044	-3.911	-1.123	-2.25533333333333	-2.94333333333333	-2.69566666666667	0.696
"YCR002C"	-0.533	0.596	-3.669	-5.182	-1.1235	-2.564	-2.9535	-2.7005	0.178
"YCR044C"	-0.578	-0.106	-1.836	-2.699	-0.846	-1.0725	-1.5355	-1.758	-0.149
"YCR053W"	-0.95	1.305	-3.556	-4.283	-1.531	-2.429	-3.1075	-2.714	1.3965
"YCR090C"	-0.466	0.476	-2.154	-3.547	-0.809	-1.35	-1.5355	-1.325	0.2335
"YDL135C"	-0.956	1.283	-1.586	-4.374	-0.523	-1.246	-1.998	-1.559	0.687
"YDL225W"	-0.548	0.402	-2.271	-3.558	-0.981	-0.994	-1.953	-1.522	0.468
"YDR002W"	-0.818	-0.187	-2.756	-4.542	-1.309	-1.672	-2.746	-2.987	-0.247
"YDR071C"	-0.007	0.061	-2.459	-4.374	-0.696	-1.937	-3.125	-2.557	0.02
"YDR098C"	-0.408	-0.349	-1.722	-3.797	-1.53	-1.355	-2.09	-2.226	-0.013
"YDR209C"	-1.41	-0.187	-1.955	-5.369	-1.348	-1.769	-2.61	-2.151	0.378
"YDR303C"	-0.97	-0.202	-2.132	-7.617	-0.741	-2.494	-2.18	-2.511	-0.502
"YER009W"	-0.716	0.872	-2.671	-4.765	-1.407	-2.034	-2.393	-2.025	1.053
"YER023W"	-0.835	0.852	-4.379	-4.606	-1.09	-1.477	-2.502	-2.506	0.905
"YER118C"	-0.656	0.492	-2.598	-3.457	-1.116	-1.371	-2.206	-1.965	0.963
"YER122C"	-0.691	0.098	-1.428	-4.276	-0.585	-1.324	-1.945	-2.168	0.266
"YFL002C"	-0.488	0.125	-1.624	-4.836	-1.06	-1.171	-1.723	-2.131	0.765
"YFL037W"	-0.893	1.871	-3.125	-5.562	-1.132	-1.322	-2.034	-1.369	1.356
"YFR013W"	-0.603	1.214	-1.774	-3.723	-0.299	-1.523	-1.998	-1.759	0.812
"YFR028C"	-0.828	1.035	-2.027	-4.271	-1.142	-1.092	-1.864	-1.575	1.127
"YGL021W"	-1.051	1.267	-2.714	-5.572	-1.254	-2.192	-3.105	-2.246	0.593
"YGL027C"	-0.892	0.755	-2.354	-4.731	-0.404	-2.105	-2.719	-3.083	0.088
"YGL049C"	-1.121	0.801	-2.05	-4.12	-0.621	-1.692	-1.763	-2.23	0.684
"YGL065C"	-0.774	-0.077	-1.909	-2.778	-0.548	-1.365	-1.862	-2.045	0.016
"YGL224C"	-0.378	0.185	-1.023	-2.563	-0.744	-0.877	-1.181	-0.955	0.101
"YGL231C"	-0.481	-0.28	-1.893	-3.788	-0.361	-1.455	-1.7	-1.822	-0.319
"YGL238W"	-0.749	0.876	-1.585	-4.337	-1.238	-1.654	-1.937	-2.674	1.231
"YGR120C"	-0.772	0.492	-2.13	-4.938	-0.312	-0.651	-1.735	-1.148	0.301
"YGR158C"	-0.609	0.902	-2.12	-2.421	-1.068	-1.365	-1.801	-2.176	0.903
"YGR195W"	-0.64	0.493	-2.179	-3.999	-0.914	-1.872	-1.878	-1.911	0.881
"YGR261C"	-0.796	0.396	-2.682	-3.233	-1.125	-1.657	-2.505	-2.45	0.605
"YGR266W"	-0.786	-0.054	-1.917	-4.267	-1.128	-1.709	-1.795	-1.537	-0.392
"YHR047C"	-1.224	0.898	-3.032	-4.423	-1.632	-1.978	-3.102	-3.056	1.714
"YHR108W"	-0.745	1.334	-2.982	-5.02	-0.773	-1.661	-2.122	-1.381	0.921
"YHR121W"	-0.534	0.392	-1.976	-4.718	-0.644	-1.573	-1.881	-1.852	0.45
"YHR152W"	-0.411	0.97	-1.306	-3.007	-0.799	-1.08	-1.633	-0.664	0.433
"YIL118W"	-0.323	0.397	-2.382	-3.881	-1.132	-1.281	-1.819	-1.622	-0.185
"YIR008C"	-1.015	0.893	-1.783	-4.516	-0.406	-1.266	-1.362	-1.205	0.248
"YJL081C"	-0.873	0.388	-1.725	-4.519	-0.686	-1.259	-1.944	-1.52	-0.039
"YJL097W"	-0.877	0.761	-2.596	-4.683	-1.025	-1.461	-2.558	-2.276	0.734
"YJL183W"	-0.661	0.649	-2.097	-4.986	-1.436	-1.66	-2.208	-2.121	0.72
"YJR139C"	-0.668	0.971	-2.333	-4.462	-0.762	-1.914	-2.388	-2.051	0.452
"YKL080W"	-0.477	1.254	-4.229	-5.94	-1.299	-2.874	-2.944	-2.866	0.985
"YKR028W"	-0.829	0.335	-2.477	-4.381	-0.672	-1.296	-1.963	-2.574	0.837
"YLL024C"	-0.652	0.347	-2.574	-5.009	-0.684	-2.804	-3.024	-3.122	0.807
"YLR057W"	-1.286	0.14	-1.719	-4.294	-0.625	-1.683	-1.94	-2.121	0.066
"YLR100W"	-0.666	0.321	-2.507	-4.853	-1.184	-1.855	-2.159	-2.128	0.358
"YLR210W"	-0.949	0.33	-1.644	-4.137	-1.246	-1.551	-1.527	-1.71	0.358
"YLR291C"	-0.751	0.754	-3.037	-4.762	-1.186	-1.783	-2.216	-2.363	0.783
"YLR314C"	-0.822	0.929	-2.218	-5.585	-2.505	-2.906	-3.447	-3.937	0.975
"YLR321C"	-0.851	0.59	-1.495	-3.485	-0.453	-1.296	-1.553	-1.552	0.326
"YML021W"	-0.403	0.602	-1.877	-3.917	-1.375	-1.095	-1.919	-1.511	0.141
"YMR033W"	-0.043	0.696	-3.063	-4.454	-1.244	-1.745	-1.826	-1.988	0.72
"YMR186W"	-0.578	0.387	-0.787	-4.873	-0.066	-2.302	-3.197	-3.507	0.353
"YMR208W"	-0.71	0.715	-2.542	-3.618	-0.931	-1.98	-2.454	-2.354	0.714
"YMR212C"	-0.793	1.01	-2.04	-6.75	-1.572	-2.693	-2.627	-2.761	0.502
"YNL026W"	-0.864	0.165	-1.792	-4.57	-0.536	-1.742	-1.531	-1.966	0.361
"YNL189W"	-0.604	0.697	-2.367	-4.06	-1.33	-2.058	-2.641	-3.084	0.424
"YOR131C"	-0.073	0.56	-0.659	-3.701	-0.666	-2.114	-2.305	-1.911	0.311
"YOR241W"	-0.5	0.607	-2.668	-6.523	-1.077	-1.779	-2.794	-2.058	0.625
"YOR270C"	-0.677	0.623	-1.649	-4.932	-0.855	-1.912	-2.307	-2.635	0.377
"YOR277C"	-0.412	1.002	-3.25	-4.571	-1.464	-1.978	-2.103	-2.211	-0.519
"YOR280C"	-0.601	-0.403	-1.883	-4.249	-0.193	-1.197	-1.828	-1.95	-0.275
"YOR320C"	-0.689	0.84	-1.2535	-3.6785	-0.682	-1.291	-1.454	-1.828	0.51
"YPL001W"	-0.493	-0.176	-1.671	-4.084	-0.64	-1.427	-1.38	-1.844	-0.488
"YPL195W"	-1.1855	0.1095	-1.607	-4.488	-0.626	-1.595	-1.621	-1.904	0.19
"YPL243W"	-0.66	0.729	-4.1455	-5.276	-1.377	-2.602	-3.541	-3.544	0.633
"YPR029C"	-0.7505	0.2865	-1.735	-4.2395	-0.681	-1.909	-1.836	-2.242	0.419
"YPR036W"	-1.148	0.9445	-2.899	-5.024	-0.31	-1.322	-1.843	-1.274	0.926
"YPR072W"	-0.807	0.415	-2.898	-2.576	-1.049	-2.507	-2.585	-2.634	-0.014
"YPR108W"	-0.6175	0.9285	-2.0125	-4.645	-0.763	-2.383	-3.07	-2.669	0.595
"YPR129W"	-0.6345	0.201	-1.8015	-6.025	-1.085	-1.298	-2.61	-2.139	0.635
