	"49.Elutriation2:Sample2:Time0.0hrs"	"106.heat shock 05 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"801.Heat Shock 030inutes"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2560.29C to 33C - 15 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"8520.DES460 + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"40951.H2O2_II_49_min"	"42391.CC LS 1A Leucine-Sulfate Chemostat Comparison"
"YBL039C"	-1.695	-0.93	-4.124	-4.307	-4.486	-3.781	-1.436	-2.615	-1.264	-3.74	-3.457	-2.373	-2.908	-3.004	-4.323	-7.004	-3.306	-0.855	0.139	-2.736	-4.7305	-2.8885	-3.4265	-3.9535	-3.7495	-4.251	-3.5775	-1.647	-0.663	-1.514	-1.319	-1.266	-0.957	-1.3285	-2.958	-0.398	-4.956	1.019	-4.509	-3.644	-1.635	-3.951	-0.533	-0.76	-2.849	-1.084
"YBR181C"	-1.1925	-0.07	-2.16	-2.256	-3.249	-3.825	-0.567	-1.387	-1.048	-3.762	-2.554	-2.265	-1.94	-2.747	-3.798	-4.564	-2.527	-1.101	-0.059	-3.3	-5.0305	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	-0.471	0.145	-0.2945	-0.194	-0.3805	-0.5295	-0.4555	-2.337	-0.28	-3.584	0.842	-2.931	-1.819	-3.618	-2.98	0.189	0.195	-1.8015	-0.214
"YDR087C"	-0.519	-0.839	-4.143	-2.758	-3.643	-3.468	-1.344	-1.475	-1.366	-4.139	-2.337	-1.909	-2.277	-3.312	-3.817	-4.944	-2.758	-0.788	-0.001	-2.528	-1.886	-1.819	-1.373	-2.022	-1.73	-3.407	-2.893	-1.345	-1.038	-0.8	-0.796	-0.933	-0.891	-0.809	-1.782	-0.364	-4.13	0.57	-3.928	-2.942	-2.338	-3.396	-0.446	-0.73	-1.239	-0.173
"YDR165W"	-0.868	-0.822	-2.85	-2.419	-2.874	-2.762	-1.164	-1.491	-0.962	-4.096	-2.179	-2.247	-1.905	-2.27	-3.111	-5.309	-2.69	-0.252	-0.214	-3.015	-3.057	-1.816	-1.396	-1.582	-1.767	-2.409	-2.23	-0.999	-0.69	-0.53	-0.571	-0.649	-0.702	-0.806	-1.0245	0.137	-2.787	0.205	-3.068	-1.809	-2.479	-3.205	-0.501	-0.349	-1.6685	-0.233
"YDR361C"	-0.809	-0.582	-3.438	-3.115	-3.356	-3.263	-1.023	-1.402	-1.897	-3.61	-1.951	-1.707	-1.536	-2.095	-1.945	-3.634	-2.237	-0.597	-0.216	-2.072	-2.343	-1.435	-1.087	-1.208	-1.477	-2.005	-1.44	-1.544	-0.669	-0.763	-0.487	-0.55	-0.547	0.504	-1.517	-0.289	-3.92	0.625	-2.614	-2.362	-2.708	-3.998	-0.55	-0.357	-3.516	0.299
"YDR413C"	-0.992	-1.199	-2.392	-1.803	-2.779	-2.502	-0.889	-1.295	-1.16	-2.622	-1.802	-1.452	-1.554	-1.58	-1.42	-2.057	-1.357	-0.364	0.083	-1.399	-2.337	-1.725	-1.311	-1.594	-1.706	-1.349	-1.81	-1.113	-0.821	-0.698	-0.723	-0.491	-0.622	-0.677	-1.613	-0.371	-2.652	0.481	-2.964	-1.766	-1.835	-2.336	-0.003	-0.169	-2.095	-1.631
"YDR447C"	-0.484	-0.457	-2.299	-2.149	-3.242	-3.562	-0.329	-1.135	-1.401	-4.882	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	-2.316	-1.447	-0.145	-3.574	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	-0.465	-0.125	-0.415	-0.359	-0.502	-0.57	-0.571	-2.1165	-0.0485	-2.593	0.765	-3.102	-1.842	-3.67	-4.358	-0.049	-0.054	-1.4305	0.33
"YER131W"	-0.022	0.352	-1.733	-2.354	-3.171	-3.29	-0.815	-1.213	-1.297	-2.813	-2.7	-2.3	-1.895	-2.47	-3.664	-6.55	-2.634	-1.156	-0.343	-2.621	-4.139	-2.089	-2.2	-2.498	-2.105	-2.654	-3.304	-0.319	0.223	0.017	-0.1	-0.424	-0.434	-0.547	-2.4735	-0.4965	-3.097	0.701	-2.338	-1.525	-3.884	-3.578	0.315	0.568	-0.727	1.048
"YGL102C"	-0.032	0.244	-1.538	-1.384	-2.074	-2.584	-0.714	-0.653	-0.874	-3.419	-2.081	-1.973	-2.112	-2.356	-2.658	-5.65	-1.718	-1.171	-0.165	-3.301	-3.32	-1.921	-2.077	-2.144	-1.199	-1.938	-2.13	-0.169	0.182	-0.281	-0.127	-0.426	-0.424	-0.429	-2.146	0.004	-2.437	0.699	-2.289	-1.524	-3.42	-3.272	0.051	-0.065	-1.621	-0.588
"YGL120C"	-1.235	-0.503	-3.231	-3.301	-3.954	-3.877	-1.486	-1.903	-1.357	-4.557	-2.692	-1.947	-2.077	-2.282	-4.088	-5.111	-3.085	-0.746	0.206	-3.171	-3.459	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	-1.218	-0.358	-0.983	-0.916	-0.695	-0.539	-0.894	-2.122	-0.056	-3.8	0.504	-3.466	-2.416	-2.891	-3.546	-0.162	-0.427	-2.25	-1.445
