	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"11466.yO1 test hyb"	"12061.Pomona College Bio164: dna2-1/WT"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"28847.P2Comp 10 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28848.P2Comp 10 hr 35 min Phosphate Batch vs Chemostat Comparison2"	"28849.P2Comp 10 hr 50 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33261.delKIN82_heat shock _30min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"
"YBL065W"	-0.209	0.114	-0.222	-0.136	-0.138	-0.4375	0.788	1.514	1.147	1.376	1.476	1.245	1.706	0.222	0.287	0.029	1.172	0.902	0.8075	0.687	0.5625	0.8185	1.3955	1.17	1.5375	0.411	-1.497	-1.777	-0.1285	-0.065	-0.2035	-0.448	-0.358	0.146	-0.284	-0.4815	-0.382	0.314	-0.089	0.014	-0.906	0.862	1.012
"YBL066C"	0.0665	-0.1395	-0.1695	0.3745	0.438	-0.236	0.425	1.16	1.347	0.8565	0.64	1.1855	1.0	0.4655	0.17	0.735	0.7335	0.4	1.13766666666667	0.757666666666667	0.521333333333333	0.607666666666667	1.21	1.45733333333333	0.920333333333333	1.5905	-1.2675	-1.253	-0.197	0.224	-0.0243333333333333	-0.0113333333333333	-0.415333333333333	0.6345	0.0246666666666667	-0.271	0.316333333333333	-0.043	0.054	0.409	0.006	0.932	0.917
"YBR039W"	0.768	0.532	0.731	0.725	0.711	-0.1445	1.875	2.981	2.542	2.08	1.455	1.351	1.37	1.504	1.064	1.456	1.447	1.273	2.763	2.401	1.9775	1.519	1.26	0.441	0.46	1.389	-0.146	-0.227	0.6715	0.618	0.08	-0.1415	0.022	0.659	0.023	0.09	0.292	-0.177	-0.37	-0.387	0.888	3.252	1.342
"YBR046C"	2.378	2.388	2.105	2.391	2.386	-0.547	1.805	2.149	3.165	3.081	2.522	3.258	3.785	2.645	1.934	1.88	2.107	2.48	1.479	2.9775	2.4145	2.365	3.1085	1.714	1.368	1.531	0.495	-1.977	1.2795	1.2155	1.647	0.901	1.26	2.953	0.0615	-0.0305	-0.0045	0.212	-0.308	0.103	0.556	2.115	1.304
"YBR068C"	1.048	0.946	0.308	0.866	1.024	-0.1325	2.286	1.602	1.562	1.451	1.363	1.807	3.311	-0.442	-0.909	0.145	-0.063	-0.008	1.641	0.872	0.706	0.629	2.5145	1.5815	1.063	1.02	-1.152	-0.364	-2.1395	-2.463	-1.334	-1.5275	-1.8675	0.246	-1.586	-1.5415	-0.834	-0.256	-0.301	-0.578	-0.883	0.144	0.54
"YBR072W"	3.887	3.876	2.858	2.693	3.52	4.3045	6.093	5.199	5.621	6.166	6.58	6.039	6.376	4.833	5.101	5.494	3.184	5.003	4.395	4.745	5.1185	5.612	5.8345	5.538	4.627	4.963	-1.014	-1.607	3.025	4.1315	3.815	3.5045	4.227	4.415	3.18	2.3555	3.1155	4.278	3.765	0.997	2.414	4.309	4.368
"YBR183W"	2.642	2.332	2.479	2.801	2.592	1.8105	4.661	3.119	2.557	3.002	3.003	3.081	3.506	2.486	2.418	2.43	1.861	1.727	4.392	2.7675	2.6755	3.223	3.489	3.8405	2.6835	1.823	-1.26	-1.629	0.413	-0.1415	0.074	-0.47	0.0355	2.809	2.958	2.088	2.089	4.031	3.236	1.611	1.94	3.348	4.716
"YCR010C"	1.742	0.614	0.637	0.893	0.415	-0.9345	3.379	4.706	5.354	5.636	5.893	2.875	7.459	1.943	1.656	1.517	4.008	4.745	3.1065	4.604	1.8915	2.1375	5.5815	6.8295	6.34	3.196	-0.465	-0.802	0.0525	-0.1115	-0.3525	-0.412	-0.2315	1.632	0.712	0.653	0.872	0.71	0.341	-1.161	-0.031	5.013	0.654
"YDL004W"	0.826	0.827	0.703	1.191	1.162	-1.4315	1.917	2.735	2.739	2.247	1.694	2.654	1.639	1.338	1.16	1.361	1.234	1.424	2.575	2.182	1.531	1.7525	1.405	0.8015	0.171	1.036	-0.815	-0.154	0.4525	0.409	0.0655	-0.307	-0.076	1.417	-0.779	-0.336	-0.617	0.655	-0.323	-0.568	0.295	2.842	1.8
"YDL204W"	5.01	5.128	3.877	4.936	4.887	4.272	5.851	4.733	4.685	5.32	5.69	5.571	5.749	4.975	4.604	4.28	4.346	3.903	4.66	4.854	5.274	5.34	5.75	7.317	5.93	4.52	0.822	-0.46	3.839	4.418	4.402	3.661	4.467	5.38	1.616	1.1	1.663	3.876	2.026	0.629	0.696	4.943	5.864
