	"89.cdc15 100 min"	"91.cdc15 140 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"811.DES459 (mec1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"976.wt_plus_gamma_5_min"	"980.wt_plus_gamma_45_min"	"982.wt_plus_gamma_90_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1168.PHO81c vs. wild type, exp.1"	"1170.pho85 delete vs. wild type"	"1249.mec1_plus_gamma_5_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8289.MCM7 formaldehyde x-linked in veg. cells. IP'd w/ polyclonal AB"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"17676.Na+FK 45min (4)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38154.03II01 batch p10"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YBL014C"	0.348	NaN	-0.267	-0.81	-1.235	-1.691	-0.801	-0.935	-1.0	-0.093	0.301	0.614	-0.569	-0.193	-0.644	-0.139	-0.376	-0.504	-0.639	0.206	-0.76	-0.749	-1.386	-2.323	-1.204	-0.056	-0.014	-0.858	-0.239	-0.19	-0.39	-0.288	-0.106	-0.1775	-0.2375	-0.309	-0.1575	-0.019	-0.152	-0.876	-1.0425	-0.363	0.019	-0.561	-0.294	-0.013	-0.628	-0.744	-0.578	-0.239	-0.13	-0.36	-0.059	-0.2	-0.018	0.022	0.406	0.251	-0.449	-0.1285	-1.423	-0.84	-0.738	-0.638	-0.592	-0.004	-0.475	0.392	0.248	-0.038	-0.167	0.801	-1.333	-0.05	-0.348	-0.162	-0.174	-0.092	-0.895
"YBL087C"	1.047	0.847	-0.881	-1.796	-2.082	-2.068	-2.471	-2.952	-3.207	-0.6665	1.463	0.964	-0.983	-0.537	-1.8095	-1.4295	-3.104	-2.44	-2.157	-1.789	-1.74	-1.761	-2.104	-2.516	-2.21	-1.184	-2.125	-2.924	-3.187	-2.618	-0.3485	-0.488	-0.0675	0.4495	-2.933	-1.8755	-2.2155	-2.156	-1.5975	-2.161	-2.357	0.429	0.397	-0.153	-0.392	-1.19	-1.067	0.137	-1.195	-1.457	-1.769	-1.397	-0.995	-1.869	-1.791	0.033	-1.4515	-2.3015	-1.4945	-2.0525	-3.395	-2.14333333333333	-2.265	-1.428	-1.617	-1.418	-2.434	-2.559	-3.415	-2.879	-2.169	-1.219	-1.915	0.447	-0.158	0.233	0.317	0.038	-0.193
"YBR021W"	NaN	NaN	-1.817	-1.684	-1.253	-1.882	-0.972	-1.922	-1.559	-1.18	0.144	0.313	-2.348	-0.463	-0.537	-0.722	-1.261	-0.239	-0.438	0.089	0.837	0.14	0.415	-0.731	-1.521	-0.466	-0.987	-0.456	-0.174	0.35	-1.433	0.4555	0.4655	0.484	0.051	0.123	0.459	0.7205	0.9055	1.091	0.798	-0.022	-0.21	-0.5705	-0.888	1.413	0.933	0.238	-0.415	0.622	0.413	-0.126	1.273	1.153	0.721	-0.125	0.647	-0.0525	-0.264	-0.288	-1.84	0.591	-1.137	-1.486	-1.674	-0.481	-0.145	0.248	-0.672	0.624	0.636	0.784	-0.764	0.302	-0.297	-1.068	-0.145	-0.241	-0.244
"YBR034C"	-0.322	NaN	-3.771	-3.193	-3.203	-2.964	-2.426	-3.138	-3.33	-0.75	1.57	1.307	-2.042	-1.033	-0.843	-0.7125	-3.091	-2.072	-1.817	-1.906	-2.47	-2.349	-1.758	-3.523	-1.338	-0.162	-2.757	-1.874	-2.144	-2.039	-1.4935	0.00549999999999998	-0.1985	-0.518	-2.6345	-1.987	-1.9885	-1.729	-2.833	-2.963	-1.668	-0.134	-0.033	-1.612	0.032	-1.034	-2.667	-1.178	-2.105	-2.768	-2.709	-1.833	-2.216	-2.785	-2.665	0.232	-2.008	-1.5275	-2.1985	-2.044	-3.638	-2.498	-3.01	-2.626	-2.306	-1.259	-1.707	-1.247	-2.298	-1.596	-0.52	-2.071	-1.41	0.061	-0.356	-0.062	-0.161	-0.312	-0.343
"YBR084W"	-0.047	-0.719	-1.885	-2.64	-2.965	-3.129	-2.61	-3.49	-3.539	-1.4615	0.888	0.738	-1.516	-1.7	-2.0275	-1.096	-4.143	-3.145	-3.201	-2.722	-2.908	-4.006	-4.365	-5.362	-1.888	-1.007	-1.171	-2.317	-2.197	-1.44	-1.416	-0.9085	-0.343	-0.424	-2.3585	-1.8955	-1.9025	-2.592	-1.934	-2.75	-2.725	-0.241	0.383	-1.1175	-0.603	-1.326	-1.639	-0.49	-0.963	-1.155	-2.037	-1.62	-0.982	-1.632	-1.367	-0.58	-2.65	-2.208	-0.819	-1.275	-4.142	-2.135	-4.322	-3.02	-3.783	-1.138	-3.705	-2.757	-4.104	-3.283	-2.324	-2.592	-1.48	0.317	0.112	0.131	-0.097	-0.096	0.37
"YBR181C"	0.271	0.056	-1.139	-2.142	-1.997	-2.16	-2.256	-3.249	-3.825	-0.8695	1.308	1.121	-1.49	-1.048	-2.8855	-1.5775	-3.762	-3.149	-2.554	-2.265	-1.94	-2.747	-3.798	-4.564	-2.527	-1.101	-1.706	-3.3	-3.365	-3.159	-0.28	-0.379	-0.12	0.061	-5.0305	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	0.071	-0.258	-0.062	-0.329	-2.083	-1.225	0.145	-1.227	-1.739	-2.255	-1.478	-0.688	-1.846	-1.46	0.365	-2.337	-3.0365	-0.724	-1.593	-3.584	-1.75933333333333	-2.931	-1.819	-2.158	-1.198	-3.618	-2.718	-2.98	-3.274	-1.849	-2.601	-1.888	0.607	0.106	0.245	0.094	-0.172	0.001
"YBR189W"	-0.308	0.278	-1.546	-2.555	-2.295	-2.064	-2.33	-3.868	-4.446	-1.0835	1.486	1.201	-1.412	-0.447	-1.657	-1.4635	-3.784	-3.224	-3.356	-2.463	-2.154	-2.355	-2.065	-4.702	-1.982	-0.749	-1.532	-3.071	-3.483	-2.334	-0.638	-0.436	-0.257	0.209	-3.678	-2.112	-2.629	-2.467	-1.9305	-1.8835	-2.9475	0.459	0.11	-0.286	-0.516	-2.286	-1.046	0.108	-2.041	-1.624	-2.021	-1.332	-0.838	-1.625	-1.55	-0.264	-2.4025	-2.7915	-1.7315	-2.165	-3.818	-1.542	-2.84	-1.457	-2.193	-1.535	-4.874	-3.763	-4.739	-3.572	-3.188	-3.569	-1.783	0.262	-0.304	-0.075	-0.051	-0.438	-0.626
"YBR266C"	0.513	0.256	-2.822	-3.764	-4.351	-3.869	-2.532	-1.817	-3.376	-0.452	1.229	0.844	-2.405	-1.202	-1.9715	0.0325	-3.053	-2.042	-2.021	-1.084	-1.218	-1.649	-2.463	-4.633	-2.41	0.274	-1.681	-2.698	-1.515	-0.807	-1.5	0.509	0.251	0.165	-1.6715	-1.345	-0.9	-1.0935	-0.593	-1.491	-0.3415	-0.497	-0.412	-1.694	-1.267	-0.881	-2.141	-1.733	-2.342	-2.026	-2.578	-1.489	-1.757	-2.513	-2.064	-0.935	-1.723	-0.8095	-1.097	-0.7705	-4.774	-2.6885	-3.097	-1.986	-2.716	-2.18	-1.066	-1.368	-3.048	-1.518	-1.058	-0.981	-2.245	-0.266	-1.129	-0.978	-0.92	-0.944	-0.535
"YBR267W"	-0.592	-0.462	-2.82	-3.032	-2.733	-3.366	-2.585	-2.932	-3.102	-0.6155	1.354	1.287	-1.915	-0.736	-1.539	-0.324	-2.923	-2.102	-0.527	-1.298	-0.402	-1.142	-1.214	-4.518	-2.682	-0.473	-0.648	-2.854	-2.219	-1.109	-1.47	0.446	0.381	0.232	-0.5545	-0.578	-0.5225	-0.8785	0.1775	-0.17	0.547	-0.363	-0.762	-0.716	-1.308	-1.026	-1.549	-1.297	-1.583	-1.943	-2.118	-1.376	-1.005	-2.037	-1.742	-0.146	-0.731	-0.2195	-0.2315	-0.1205	-4.409	-1.6515	-2.571	-2.002	-2.562	-0.956	-2.042	-1.778	-3.123	-2.12	-1.207	-0.723	-1.474	-0.501	-1.416	-1.216	-0.888	-0.762	-0.562
"YCL054W"	0.001	-0.21	-3.412	-3.545	-3.187	-2.942	-2.871	-3.741	-3.668	-0.436	1.068	1.027	-1.441	-0.349	-1.8665	-0.925	-3.386	-2.092	-2.133	-1.078	-0.941	-1.571	-3.059	-2.063	-2.044	0.072	-2.67	-2.121	-2.124	-1.496	-1.408	0.435	-0.214	0.169	-4.0705	-2.049	-2.2245	-2.4215	-2.631	-3.313	-3.1775	0.066	0.305	-1.285	-1.01	-1.667	-1.758	-1.275	-2.928	-1.599	-1.884	-1.438	-1.11	-1.505	-1.54	-0.124	-0.777	-1.8165	-2.3605	-2.2055	-4.039	-2.153	-4.037	-2.713	-3.835	-2.141	-2.945	-2.617	-3.761	-2.107	-2.043	-2.179	-2.009	-0.002	-1.034	-0.562	-0.431	-0.503	0.16
