	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13070.Ca/Ca+FK 15min (2)"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YBL072C"	1.4025	1.377	-0.837	-3.835	-3.367	-3.036	-2.694	-2.486	-3.041	-3.192	-6.241	-3.188	-2.074	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	0.2455	0.183	0.238	0.611	-0.393	0.31	-1.917	-1.631	-1.925	-2.018	-2.524	0.729	0.435	0.389	0.361	0.214	0.485	-2.506	-2.429	-2.113	-1.434	-1.25	-1.814
"YBL092W"	1.0255	0.97	-0.9335	-3.458	-3.598	-2.824	-2.394	-2.138	-2.929	-2.896	-5.158	-2.665	-2.2215	-2.153	-2.4445	-1.726	-2.74	-2.8475	0.183	0.285	0.267	0.097	-0.37	0.16	1.17	-0.043	-1.975	-1.804	-1.555	0.33	0.048	0.001	0.155	0.12	0.185	-1.303	-1.102	-1.252	-0.554	-0.137	-1.126
"YBR084W"	0.407	0.888	-0.8725	-4.143	-3.145	-3.201	-2.722	-2.908	-4.006	-4.365	-5.362	-1.44	-1.8955	-1.9025	-2.592	-1.934	-2.75	-2.725	0.0255	0.474	0.21	-0.015	-0.56	-0.166	-2.037	-1.62	-1.632	-1.367	-2.65	0.353	0.223	0.198	-0.491	-0.485	-0.347	-2.826	-2.843	-2.018	-2.601	-2.88	-3.139
"YBR143C"	1.0005	0.926	-0.1095	-2.729	-2.378	-2.339	-2.197	-1.932	-2.537	-3.195	-4.642	-2.012	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-0.087	-0.065	-0.025	0.029	-0.969	0.012	-1.426	-1.074	-1.267	-1.238	-1.699	0.193	0.193	-0.03	0.111	-0.003	0.002	-1.297	-1.869	-1.779	-1.639	-1.638	-1.243
"YBR189W"	1.308	1.486	-0.45	-3.784	-3.224	-3.356	-2.463	-2.154	-2.355	-2.065	-4.702	-2.334	-2.112	-2.629	-2.467	-1.9305	-1.8835	-2.9475	-0.015	0.067	0.4185	0.262	-0.437	0.339	-2.021	-1.332	-1.625	-1.55	-2.4025	0.8445	0.25	0.172	0.387	0.237	0.421	-1.418	-1.714	-1.891	-1.4285	-1.13	-1.5195
"YBR205W"	0.5585	0.48	-0.42	-0.193	0.27	0.216	-0.253	-0.574	-0.55	-2.047	-3.842	-1.164	-0.458	-1.74	-0.5585	-0.8785	-1.5345	-2.119	-0.0025	-0.13	-0.2325	-0.256	-0.167	-0.089	-0.902	-0.684	-0.954	-0.768	-0.513	0.14	-0.212	-0.103	0.029	-0.019	0.057	-1.129	-1.108	-1.662	-1.289	-1.441	-0.515
"YDL082W"	0.763	1.092	-0.779	-3.223	-2.484	-2.853	-1.739	-1.446	-1.723	-3.326	-5.816	-1.18	-1.919	-2.383	-2.182	-2.186	-3.001	-3.589	0.068	0.048	0.4695	0.063	-0.173	0.34	-1.685	-1.238	-1.349	-1.263	-1.852	0.8805	0.368	0.307	0.345	0.191	0.4155	-1.1295	-1.035	-1.3305	-0.968	-0.597	-1.222
"YDL092W"	0.322	0.185	-0.171	-0.497	-0.907	-0.777	-1.3	-1.326	-0.905	-0.541	-1.997	-1.071	-1.192	-1.277	-0.915	-0.746	-0.405	-0.595	0.057	0.077	0.0835	0.009	-0.006	0.059	-0.585	-0.386	-0.668	-0.814	-0.958	0.115	0.01	0.059	0.087	-0.039	0.121	-1.0	-1.089	-0.72	-1.181	-1.067	-1.067
"YDR025W"	0.692	1.014	-0.624	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-3.471	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.181	-0.048	-0.306	-0.035	-0.638	0.236	-1.767	-0.948	-1.45	-1.463	-1.7675	0.7205	0.2095	0.205	0.384	0.2575	0.459	-1.0585	-1.305	-2.008	-1.356	-1.104	-2.068
"YDR037W"	0.71	0.672	-0.666	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-5.224	-2.756	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	0.157	-0.155	0.005	-0.13	-0.281	0.385	-1.545	-1.443	-1.572	-1.904	-2.523	0.525	0.064	0.055	-0.137	-0.097	-0.258	-1.295	-1.624	-1.801	-1.349	-1.717	-1.744
