	"29.alpha factor release sample016"	"35.alpha factor release sample015"	"37.alpha factor release sample018"	"49.Elutriation2:Sample2:Time0.0hrs"	"52.Elutriation2:Sample2:Time1.5hrs"	"78.cdc 15 010 min"	"497.Heat Shock 000 minutes"	"634.Elutriation2:Sample2:Time6.5hrs"	"650.alpha factor release sample017"	"651.alpha factor release sample019"	"781.Heat Shock 000 minutes (series 2)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"2141.Elutriation2:Sample2:Time1.0hrs"	"2142.cdc15 110 min"	"4872.1M sorbitol - 60 min"	"8213.steady state 36 dec C"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YBL027W"	-0.2765	-0.136	-0.2855	-0.7295	0.4105	-0.139	1.4805	0.2405	-0.259	-0.091	1.274	-0.0785	-2.851	-2.474	-2.081	-1.613	-2.671	-5.577	-2.494	-2.654	-2.507	-2.33	-3.9845	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	0.0945	0.325	0.4805	-0.025	-0.007	-0.126	-1.6965	-2.031	-1.119	-0.877333333333333	-1.221	-1.421	-0.557666666666667	-1.16833333333333	-1.081	-3.528	-3.012	-2.469	-3.351	-3.139	-2.319	-2.291
"YBR048W"	-0.084	0.389333333333333	-0.163	-1.14333333333333	0.890666666666667	-0.389	1.223	0.359666666666667	-0.0985	-0.256	1.0345	-0.135333333333333	-3.385	-2.4795	-2.968	-2.171	-3.0195	-5.0065	-3.0685	-3.137	-3.295	-3.375	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	1.0	0.567	0.199666666666667	0.226	0.190666666666667	0.0225	-2.013	-3.33333333333333	-2.61066666666667	-1.5525	-1.3235	-1.655	-1.68225	-1.00975	-1.335	-4.043	-3.545	-3.133	-4.089	-3.69	-2.483	-2.711
"YBR106W"	0.1475	0.2555	-0.0125	-1.554	-0.1115	0.084	0.9	0.4105	0.5345	0.5335	0.904	-0.326	-2.949	-2.026	-1.695	-1.83	-3.354	-5.052	-2.258	-2.173	-2.595	-2.731	-2.3915	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.155	-0.1885	-0.3555	NaN	0.066	-0.286	-1.924	-1.125	-1.0695	-0.2355	-0.545	-0.903	0.023	-0.6395	-0.743	-3.114	-2.846	-1.897	-2.825	-2.779	-2.225	-1.35
"YBR181C"	-0.2715	-0.067	-0.3745	-1.1925	0.4495	-0.043	1.236	0.086	-0.329	0.0405	1.308	-0.252	-3.762	-3.149	-2.554	-2.265	-3.798	-4.564	-3.3	-3.365	-3.159	1.639	-5.0305	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	0.226	-0.09	0.0845	0.073	0.2295	0.239	-2.337	-3.0365	-1.8415	-1.766	-1.8915	-1.857	-1.8865	-2.006	-1.806	-3.618	-2.718	-2.109	-2.98	-3.274	-1.849	-2.601
"YCL003W"	-0.149	-0.154	0.176	0.725	-0.14	-0.606	-0.132	-0.004	-0.239	-0.26	-0.221	-0.169	1.526	1.349	1.106	0.9	-0.172	-1.54	1.124	0.754	1.216	0.997	0.7505	0.459	0.406	0.6795	0.117	-0.1155	-0.463	0.122	0.199	0.261	-0.719	-0.14	0.343	0.382	0.4295	0.404	0.248	-0.193	0.215	-0.053	0.487	0.176	0.38	0.018	-0.415	1.251	0.292	-0.191	0.081
"YCR053W"	-0.14	0.086	-0.177	-0.497	0.075	-0.1585	0.3425	0.15	0.239	0.319	0.371	-0.382	-2.562	-1.828	-2.374	-1.952	-3.556	-4.283	-1.206	-2.391	-1.41	-1.635	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.056	0.056	-0.333	-0.2305	-0.025	-0.098	-1.451	-1.5425	-1.6735	0.377	-0.215	-0.281	0.802	0.117	-0.617	-2.722	-2.601	-1.4795	-2.7365	-2.51	-2.2205	-2.352
"YDL081C"	0.425	0.053	0.329	0.22	0.715	-0.347	0.974	0.213	0.05	-0.226	0.967	-0.342	-1.365	-2.041	-1.576	-2.196	-2.445	-4.594	-2.131	-2.381	-1.732	-1.01	-1.82	-1.714	-1.973	-2.358	-2.127	-2.133	-2.377	0.38	0.833	0.793	0.349	-0.155	-0.203	-2.144	-2.376	-2.041	-1.8	-2.024	-1.951	-2.324	-2.316	-2.1	-2.84	-2.104	-1.82	-2.39	-2.49	-2.162	-2.124
"YDL191W"	-0.033	-0.002	0.202	-0.268	0.465	-0.172	0.553	-0.455	0.1	0.107	0.722	-0.068	-1.985	-2.367	-2.75	-2.497	-2.737	-5.192	-2.911	-2.813	-2.518	-2.408	-3.616	-2.354	-1.999	-2.077	-1.362	-1.942	-2.86	-0.038	0.13	0.26	-0.639	0.158	-0.033	-2.212	-1.959	-1.133	-0.8935	-1.117	-1.35	-1.4895	-1.212	-0.953	-3.35	-2.399	-1.73	-3.234	-2.557	-1.83	-2.46
"YDR025W"	0.115	-0.054	0.062	-0.49	0.849	-0.232	0.692	0.139	-0.285	-0.38	1.014	-0.129	-3.904	-3.548	-3.252	-2.573	-3.393	-6.697	-3.357	-3.356	-3.471	-3.326	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.2	0.645	0.662	0.0195	-0.035	-0.201	-1.7675	-3.299	-2.193	-1.3025	-1.2315	-1.623	-1.577	-1.1035	-0.797	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.535
"YDR037W"	-0.262	0.119	0.002	-1.56	0.504	0.267	0.71	-0.094	0.233	0.437	0.672	-0.072	-4.313	-3.427	-3.607	-3.146	-4.551	-5.224	-3.226	-2.505	-2.756	-2.42	-1.971	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	0.111	0.232	-0.079	-2.213	-0.13	-0.219	-2.523	-1.739	-1.695	-1.762	-1.903	-1.745	-1.768	-1.725	-1.888	-4.284	-3.366	-2.4	-4.204	-3.541	-2.204	-3.047
