	"81.cdc15 090 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"681.YP galactose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"2560.29C to 33C - 15 min"	"5240.DES460 (wt) - mock irradiation - 60 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"8234.dtt 240 min"	"8282.Gal induced MCM1 vs. Glucose"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"14761.Ca 30min (1)"	"15181.Ca 30min (2)"	"15182.Ca 60min (2)"	"15638.Ca+FK 60min (2)"	"17472.Ca+FK 15min (5)"	"17618.Ca+FK 60min (5)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34874.S4Comp 06 hr 05 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"34877.S4Comp 08 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YBR026C"	NaN	1.631	2.326	2.417	2.554	1.708	1.669	2.178	2.688	2.577	-0.8265	1.097	-0.818	-1.003	0.8125	0.8625	2.537	2.286	2.624	2.933	2.684	1.784	1.689	0.166	1.873	1.707	1.6	1.086	2.1345	2.7165	2.379	2.4865	1.649	1.498	NaN	0.046	0.145	0.222	0.85	-0.391	0.13	1.093	0.6515	2.948	1.552	1.228	0.201	0.373	0.9855	0.382	-0.945	1.969	1.372	1.981	1.786	2.689	2.244	1.827	2.507	-0.586	-1.702	-0.758
"YCL054W"	-0.1915	-3.412	-3.545	-3.187	-2.942	-1.717	-1.013	-2.871	-3.741	-3.668	0.824	-0.0145	1.068	1.027	-0.469	-0.4775	-3.386	-2.092	-2.133	-1.078	-0.941	-1.571	-2.044	0.495	-2.121	-2.124	-1.18	-0.452	-4.0705	-2.049	-2.2245	-2.4215	-1.31	-1.667	-0.818	-0.468	0.659	0.263	-1.143	0.86	0.312	0.127	-0.017	-4.039	-1.476	-1.31	-0.789	-0.623	-2.36	-1.097	-0.518	-4.037	-2.945	-2.617	-1.203	-3.761	-2.107	-2.043	-2.179	-0.325	0.479	0.496
"YCLX02C"	-0.558	-3.711	-4.024	-3.848	-3.119	-1.437	-1.744	-2.69	-3.872	-3.655	0.831	-0.4785	0.896	0.951	-0.458	-0.6875	-4.118	-2.592	-2.422	-1.69	-1.466	-1.998	-1.372	0.421	-2.734	-1.938	-1.514	-0.536	-3.098	-2.1245	-1.9175	-2.411	-1.383	-1.72	-1.359	-0.239	0.447	-0.109	-1.529	1.525	0.741	-0.6575	-0.251	-4.225	-0.738	-1.935	-0.731	-0.482	-2.5195	-0.1505	-0.491	-2.679	-2.749	-2.605	-1.55	-3.541	-2.722	-1.445	-1.766	0.097	0.269	-0.033
"YGR194C"	0.147	2.86	3.229	NaN	2.5445	1.3745	1.043	2.0745	2.773	2.7325	-1.649	0.867	-1.777	-1.638	0.383	0.887	4.003	2.833	2.612	2.036	1.48	1.925	2.469	-0.334	2.62	1.158	0.395	1.107	1.244	0.746	1.309	0.904	1.722	1.789	1.345	-0.147	-0.195	-0.305	0.93	-0.073	-0.168	0.116	0.032	3.219	1.188	1.07	0.474	0.113	2.295	0.517	-0.327	2.234	3.239	2.701	1.932	4.12	2.96	2.149	2.21	-0.261	-0.159	-0.003
"YHR140W"	-1.175	1.692	2.763	3.924	2.129	2.7715	1.6495	2.249	2.5795	2.139	-1.138	1.747	-2.296	-0.284	0.89	1.608	3.244	1.975	2.698	2.314	2.51	1.949	1.016	0.483	1.19	0.41	2.511	1.654	2.921	2.11	2.125	2.401	0.863	1.033	1.249	0.292	-0.387	-0.458	0.554	-0.114	0.053	-0.145	-0.279	3.218	3.045	2.715	1.479	0.522	2.463	0.454	-0.904	2.645	3.287	2.9	2.509	3.676	2.973	1.775	2.155	-0.955	-0.57	-0.366
"YIL124W"	0.117	2.0505	2.2175	2.2635	2.189	1.106	1.573	1.694	2.2555	2.264	-0.68	0.818	-0.657	-1.004	0.786	1.154	3.361	1.465	2.32	2.426	1.692	1.983	1.042	0.255	1.347	0.995	0.481	0.9165	2.356	2.184	1.623	1.961	1.628	1.01	1.14	0.291	-0.38	-0.488	0.755	-0.352	-0.316	0.656	0.081	2.3215	1.121	1.377	1.226	0.613	1.805	0.84	0.224	1.882	1.322	1.04	1.005	2.64	1.287	0.895	0.867	-0.684	-0.495	-0.664
"YJL069C"	0.3	-2.8925	-3.028	2.1855	-3.073	-1.348	-1.971	-1.3795	-2.9805	-3.0365	1.0	-0.111	0.854	0.756	-0.739	-0.713	-4.742	-2.843	-2.261	-2.587	-2.233	-2.386	-1.977	-0.407	-1.49	-2.566	-1.513	-0.746	-2.694	-1.774	-1.863	-1.855	-1.125	-0.789	-0.788	0.322	0.719	0.693	-0.857	1.086	0.22	-0.566	-0.093	-3.224	-0.807	-1.116	-0.24	-0.037	-1.257	0.061	-0.054	-1.862	-1.21	-2.027	-1.846	-2.354	-1.803	-1.315	-1.373	0.035	0.465	0.125
"YKL067W"	-0.05	1.508	1.766	2.5435	1.662	0.9475	0.5035	1.4685	2.207	1.954	-0.26	0.011	-0.488	-0.496	0.824	1.184	2.333	2.596	3.159	2.571	1.511	2.321	0.919	-0.134	1.617	1.525	1.156	1.33	2.54	2.244	1.923	2.243	2.196	1.344	1.265	0.179	-0.195	-0.354	1.111	-0.943	-0.23	-0.782	0.449	2.22	1.879	2.132	1.602	0.602	1.459	0.382	0.465	1.618	1.834	3.313	2.761	3.108	2.735	3.04	2.448	0.21	-0.622	0.086
"YKL091C"	0.49	3.351	4.009	3.776	3.851	2.35	2.444	2.683	3.567	3.623	NaN	0.987	-1.63	-2.032	1.44	2.053	5.27	3.548	3.187	3.034	2.301	2.535	2.75	0.061	3.432	2.619	1.956	1.82	3.642	2.481	1.844	1.293	2.02	1.42	2.0	0.43	-0.152	-0.131	0.892	-1.221	-0.263	-0.063	0.997	3.699	2.311	2.329	1.093	0.169	3.123	0.451	0.28	3.205	3.707	2.805	1.478	4.146	3.248	2.188	2.104	0.328	0.191	0.321
"YKL150W"	0.968	2.809	2.913	3.192	3.05	1.553	2.057	2.55	3.068	2.915	-1.028	0.18	-1.13	-1.03	1.7	2.088	3.989	3.734	3.947	3.273	3.283	2.136	1.556	0.222	1.457	1.741	1.118	1.713	4.228	3.833	3.772	3.627	1.937	1.859	1.66	0.173	-0.131	-0.492	1.818	-1.453	-0.048	0.711	0.272	2.857	1.318	1.746	0.762	1.023	3.16	0.695	-0.123	2.259	2.7	3.344	2.601	4.12	3.616	3.503	2.794	-1.224	-0.878	-0.955
