	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"680.YP glucose vs reference pool"	"684.YP fructose vs reference pool"	"685.YP sucrose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"802.Heat Shock 060 minutes"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"2555.Hypo-osmotic shock -30 minutes"	"2560.29C to 33C - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"7535.25C -- 15 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"14947.Hydrostatic pressure (C1 vs P1)"	"15180.Ca 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"38154.03II01 batch p10"	"42051.L1CompR 18 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42053.L1CompR 26 hr 40 min Leucine Batch vs Chemostat Comparison"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42226.U2 Comp 10 hr 05 min Uracil Batch vs Chemostat Comparison"	"42231.U2 Comp 31 hr 35 min Uracil Batch vs Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42388.CC UL 1A Uracil-Leucine Chemostat Comparison"
"YAL061W"	3.542	3.555	2.535	2.704	3.669	1.975	1.44	2.375	3.091	2.934	-1.811	-0.154	-0.0625	-0.645	-2.889	-3.213	1.664	-2.059	0.152	-1.151	1.904	2.578	1.823	1.047	2.434	2.275	1.725	3.891	1.341	1.492	3.576	1.939	2.83	1.386	-0.6515	1.079	1.5645	1.56	1.8235	-0.916	2.087	0.992	0.005	1.418	2.59	3.351	1.644	-0.297	-0.546	0.074	-0.431	-0.864	2.273	1.809	1.759	1.486	1.972	2.529	-0.518	-0.495	1.216	3.023	-0.955	-1.503	4.292	3.464	-0.316	-0.877	3.41	3.6255	3.647	3.672	-1.2735	0.2265	4.666	3.915	2.19	3.354	3.698	3.424	3.359	4.782	4.091	3.465	3.555	3.416	3.491	2.563	-1.548	-1.338	-1.204	-1.413	-1.763	-0.177	-1.258	-0.223	-1.363	-0.82	-1.857
"YBL064C"	2.253	3.38	3.764	0.788	3.794	2.215	2.5	3.768	4.454	4.288	-1.882	-2.3495	-1.6365	-1.0915	-2.098	-2.178	1.355	-0.934	-2.072	-1.965	3.389	3.578	3.372	3.364	3.751	4.025	3.988	3.559	3.497	3.051	2.277	2.167	2.713	2.825	-1.0065	4.107	3.753	4.115	4.422	-1.6605	3.796	3.437	-1.857	1.742	3.009	1.509	1.625	-1.377	-1.153	-1.768	-1.224	-1.429	2.142	2.953	2.933	2.215	2.71	2.758	-1.415	-1.488	1.83	3.343	-2.311	-1.005	4.937	2.786	-0.403	-1.808	2.729	3.397	3.35	3.4025	-1.353	-1.369	2.97	4.277	3.627	3.707	3.768	3.992	3.838	4.371	4.314	3.589	4.618	3.072	3.211	3.609	-1.428	-1.728	-2.362	-1.482	-2.108	-2.937	-2.244	-2.244	-1.561	-1.518	-1.325
"YBR006W"	0.99	2.372	3.271	2.659	3.024	2.352	1.716	2.678	2.804	2.048	-1.886	-1.1175	-0.355	-1.032	-1.328	-1.406	1.512	0.247	-1.681	-0.887	0.861	1.542	2.022	1.624	3.576	3.209	3.416	3.213	3.81	3.979	2.464	2.345	2.034	2.603	-0.3655	0.9455	1.8695	2.8955	2.4315	-1.1475	1.53	1.755	-0.532	1.08	2.174	0.766	1.062	-0.228	-0.48	-1.124	-1.114	-0.935	1.838	2.148	2.419	1.434	2.017	1.896	-1.528	-1.032	2.472	1.941	-2.2	-2.547	2.587	2.438	-0.17	-0.557	2.203	3.6115	3.332	4.301	-0.6775	1.2935	1.361	1.282	1.105	1.421	1.48	2.54	2.604	2.608	3.032	2.083	2.261	2.078	1.513	2.122	-1.909	-1.694	-2.191	NaN	-0.501	-2.735	-1.885	-0.384	-0.832	-1.524	-2.459
"YBR052C"	1.13	1.956	2.383	2.308	2.693	1.773	1.844	2.458	2.644	2.777	-0.8605	-0.1175	-0.1005	-0.6195	-0.828	-2.428	1.371	-0.152	-0.383	-0.592	2.044	2.481	2.397	2.258	3.367	2.503	2.191	1.759	0.221	1.166	1.529	1.654	2.09	1.318	-0.2555	2.076	0.8745	-0.265	-0.5565	-0.634	2.401	1.715	-0.906	1.74	1.478	1.548	1.69	-0.674	-1.189	-1.61	-0.898	-0.806	1.11	1.882	1.983	0.907	1.499	1.563	0.0	-0.256	0.624	-0.117	-1.106	-0.143	2.858	1.888	-0.805	-1.978	2.051	2.2435	2.433	2.136	-0.701	-0.514	2.397	2.366	1.303	2.975	2.233	2.176	1.147	3.177	2.492	1.662	0.657	1.948	1.903	2.589	-1.192	-0.364	-1.091	-1.394	-0.561	-0.041	-0.94	-0.339	-0.322	-0.463	-1.454
"YBR053C"	1.419	2.641	2.944	8.904	2.786	2.173	2.121	2.642	3.221	3.327	-1.501	-0.2045	-0.3565	-0.121	-1.436	-1.726	1.255	-0.22	-0.488	-0.547	1.302	1.621	1.865	1.932	2.807	2.083	1.959	1.72	1.43	1.07	1.393	1.809	1.172	1.441	-0.568	3.252	2.288	1.624	1.686	-0.8165	1.524	1.491	-1.169	1.68	1.816	0.948	1.357	-2.068	-2.871	-3.312	-2.392	-1.261	1.322	1.828	1.767	1.625	1.582	1.799	-0.902	-0.921	1.048	0.941	-1.259	-1.6	4.137	2.517	-0.173	-0.754	2.416	2.489	1.4295	1.923	-0.7755	-1.701	2.66	2.189	1.539	1.865	2.828	2.588	1.948	3.16	3.009	2.267	1.742	2.531	2.683	2.266	-0.84	0.268	-1.445	-0.472	-1.849	-2.105	-0.798	-1.174	-1.316	-1.469	-1.084
"YBR056W"	1.707	2.581	2.937	2.407	2.9	1.627	2.04	2.582	3.141	3.008	-1.249	-0.3585	-0.412	-0.6725	-1.316	-1.433	1.293	-0.676	-0.473	-0.052	1.458	1.974	2.192	1.854	3.069	2.15	2.362	2.37	1.966	2.397	1.46	2.069	1.657	1.624	-0.4875	2.803	2.2835	2.196	2.418	-0.99	1.784	1.826	-0.939	2.128	1.374	1.581	2.111	-1.775	-2.807	-2.592	-2.432	-1.18	1.439	1.753	1.785	1.223	1.309	1.61	-1.34	-1.425	1.564	1.625	-1.361	-0.853	3.273	3.048	-0.283	-0.563	2.567	2.669	1.804	2.4735	-1.659	-0.769	2.154	2.537	2.012	2.595	2.113	1.943	2.19	2.66	1.785	1.357	1.642	3.223	3.53	3.286	-3.594	-2.735	-2.424	-1.055	-0.709	-0.143	-2.082	-1.454	-1.613	-1.994	-1.576
"YBR126C"	2.265	3.914	3.891	3.737	3.477	1.876	2.66	3.311	3.665	3.498	-1.822	-0.884	-0.5605	-0.448	-1.94	-2.113	1.413	-0.999	0.117	-0.88	2.29	2.817	2.755	2.409	3.073	1.964	1.421	2.5	1.677	1.186	2.039	1.658	1.836	1.383	-1.181	0.896	0.4455	1.4305	1.471	-0.882	1.904	1.01	-0.907	3.176	2.831	2.698	3.006	-3.888	-2.057	-1.473	-0.478	-0.749	2.524	3.036	2.125	1.773	2.434	2.681	-1.112	-1.418	1.245	2.047	-1.087	-0.114	3.472	3.189	-0.558	-1.02	3.52	4.1745	3.8665	4.5685	-1.6505	-1.0555	3.506	3.735	2.959	3.694	2.402	1.691	1.68	3.501	2.021	2.238	1.747	3.566	2.822	3.333	-3.285	-1.86	-2.868	-1.441	-1.238	-0.492	-1.393	-0.728	-1.723	-1.774	-2.133
"YBR132C"	1.788	2.202	3.266	2.873	2.872	1.659	2.346	2.983	3.13	2.733	-2.1185	-1.949	-0.779	-0.5315	-2.024	-1.762	1.414	-0.785	-1.629	-1.07	1.143	1.301	1.225	0.935	3.812	4.245	3.753	3.08	2.979	0.879	1.379	2.801	2.822	2.258	-0.8235	3.2645	2.806	3.039	2.2645	-1.3505	1.694	2.174	-0.338	1.761	1.995	1.34	1.076	-1.391	-1.28	-0.491	-2.72	-0.444	1.96	2.42	1.548	0.727	1.45	1.865	-0.939	-0.334	1.213	1.41	-2.203	-1.212	2.946	0.208	-0.375	-1.304	0.407	1.42	1.5265	1.024	-0.988	-1.3455	2.673	3.025	2.77	1.873	2.199	1.794	1.896	2.438	2.318	2.465	1.723	2.41	2.552	1.351	0.389	-6.449	-0.932	NaN	NaN	-1.593	-1.326	-2.232	-0.039	-0.024	0.677
"YBR139W"	1.331	2.369	2.977	3.848	2.63	2.067	2.128	2.849	2.957	3.234	-1.384	-0.3465	-0.556	-0.161	-1.675	-1.78	1.355	-0.294	-0.374	-0.066	1.338	1.611	1.625	1.581	3.123	2.458	1.926	1.974	1.716	1.942	1.995	2.129	1.636	1.465	-0.689	3.3855	2.27	2.1415	2.114	-0.939	2.172	2.677	-1.132	1.752	0.519	0.708	1.234	-1.692	-2.266	-2.202	-1.823	-1.294	0.593	1.409	1.492	0.437	1.073	1.601	-0.642	-0.875	1.201	1.772	0.134	-0.733	3.322	1.806	-0.633	-1.463	1.615	2.184	1.42	2.814	-1.379	-2.058	1.285	2.237	1.973	2.398	3.063	2.319	1.317	3.026	2.805	1.931	1.564	2.806	2.929	2.848	-1.262	-1.616	-1.199	-1.539	-3.565	-1.819	-2.052	-1.528	-1.095	-1.207	-1.253
"YBR169C"	2.963	3.773	4.417	4.276	3.912	3.042	2.649	3.511	4.74	4.912	-2.8235	-0.6165	-0.628	-0.667	-2.661	-3.027	1.617	-1.15	-2.496	-2.004	1.351	2.361	2.224	2.439	4.752	3.04	2.902	3.661	3.932	3.899	2.614	2.744	3.01	2.438	-0.402	1.982	1.999	2.474	3.005	-2.017	2.585	2.411	-0.812	2.826	3.659	1.865	2.7	-0.444	-0.911	-0.573	-1.925	-1.449	3.373	3.262	3.628	2.595	2.596	2.631	-1.499	-1.44	1.869	2.775	-1.09	-1.38	4.295	1.192	-0.724	-1.11	1.239	1.5	1.9225	2.214	-1.733	-1.185	4.798	5.386	4.062	4.19	4.235	3.852	3.896	5.374	4.558	3.295	4.961	3.567	3.635	2.682	-2.151	-1.076	-3.801	-1.71	-2.255	-2.648	-2.226	-2.72	-2.171	-2.099	-1.583
