	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL040C"	-2.137	-0.72
"YAR075W"	-4.212	2.511
"YBL014C"	-2.323	-0.56
"YBL039C"	-7.004	-0.626
"YBR014C"	-3.116	-0.396
"YBR031W"	-6.063	3.875
"YBR049C"	-2.667	1.673
"YBR109C"	-3.894	3.004
"YBR129C"	-2.509	1.643
"YBR191W"	-5.241	-0.16
"YBR246W"	-3.138	2.359
"YBR268W"	-2.738	0.819
"YCL053C"	-4.22	2.172
"YCR002C"	-5.182	2.551
"YCR043C"	-4.19	2.376
"YCR055C"	-6.433	0.988
"YCR056W"	-2.532	1.764
"YCR057C"	-5.109	0.548
"YCR077C"	-3.921	0.954
"YCRX10W"	-2.211	0.614
"YDL076C"	-2.312	0.782
"YDR012W"	-5.83	-1.111
"YDR098C"	-3.797	1.678
"YDR165W"	-5.309	1.0225
"YDR371W"	-3.307	0.847
"YDR399W"	-4.784	1.212
"YDR428C"	-1.947	0.733
"YDR471W"	-4.747	0.61
"YDR498C"	-2.741	1.508
"YDR515W"	-3.862	0.728
"YDR539W"	-4.1	1.4125
"YEL002C"	-4.407	1.4625
"YEL014C"	-3.255	1.412
"YEL017W"	-3.749	1.4445
"YEL031W"	-4.685	1.21
"YER003C"	-3.453	0.8505
"YER009W"	-4.765	-0.213
"YER014W"	-3.161	1.5335
"YER044C"	-2.109	1.093
"YER052C"	-5.276	-1.346
"YER057C"	-4.084	2.288
"YER062C"	-4.272	2.084
"YER075C"	-2.234	-1.177
"YER127W"	-4.439	0.648
"YER131W"	-6.55	1.2385
"YER164W"	-3.903	2.2745
"YFL001W"	-3.684	1.76833333333333
"YFR031C"	-2.572	1.1255
"YFR039C"	-2.585	1.2035
"YFR044C"	-5.917	0.497
"YFR051C"	-2.299	0.9095
"YGL028C"	-3.581	1.631
"YGL031C"	-5.763	0.929
"YGL049C"	-4.12	1.858
"YGL077C"	-3.533	0.633
"YGL102C"	-5.65	0.911
"YGL105W"	-6.011	1.031
"YGL107C"	-3.138	-0.63
"YGL123W"	-5.982	0.659
"YGL147C"	-7.507	0.936
"YGL195W"	-3.33	1.8235
"YGL200C"	-3.963	2.132
"YGL231C"	-3.788	1.803
"YGL238W"	-4.337	2.167
"YGR026W"	-3.773	2.475
