	"40.alpha factor release sample029"	"42.alpha factor release sample022"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"515.2.5mM DTT 045 min"	"519.2.5mM DTT 180 min"	"585.21 deg growth"	"597.25 deg growth"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"971.1mM Menadione (40 min) redo"	"1249.mec1_plus_gamma_5_min"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"6377.constant 0.32 mM H2O2 (40 min) rescan"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"13068.Na/Na+FK 45min (2)"	"14712.Ca 15min (1)"	"15180.Ca 15min (2)"	"17472.Ca+FK 15min (5)"	"17677.Na+FK 60min (4)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"
"YDL152W"	0.357	0.36	-1.59	-3.304	-2.782	-2.848	-3.132	-2.053	-1.115	-2.216	0.709	0.798	-2.039	-1.821	-1.476	-0.545	-1.513	0.603	0.237	0.351	NaN	-1.397	-2.319	-1.539	-0.699	-1.558	-1.733	-1.138	-3.422	-0.114	-1.552	-1.34	-1.277	-2.041	-2.504	-4.602	-2.931	-3.56	-1.169	-0.52	-3.722	-1.837	-1.794	-1.835	-2.063	0.577	-0.74	-0.916
"YER126C"	0.341	0.123	-2.129	-3.132	-2.634	-3.488	-4.626	-4.459	-0.915	-1.479	0.945	0.803	-1.767	-4.455	-5.367	0.066	-1.498	-1.009	0.385	0.402	0.164	-1.979	-3.035	-2.036	-1.422	-2.942	-2.828	-1.491	-5.253	-0.384	-2.2045	-2.315	-1.4275	-2.172	-3.26	-5.806	-2.916	-3.166	0.129	0.181	-3.761	-2.521	-2.794	-2.383	-2.346	-0.319	-0.33	-0.417
"YGR103W"	0.03	0.124	-2.926	-4.795	-5.229	-4.485	-5.118	-3.624	-0.724	-2.381	0.804	0.762	-3.031	-4.825	-5.518	NaN	-1.987	-2.083	0.129	0.471	-2.23	-1.592	-3.571	-3.093	-1.225	-2.866	-3.724	-2.287	-5.075	-0.843	-3.531	-3.733	-2.813	-3.212	-3.088	-4.921	-3.6885	-3.2185	-0.383	-0.2845	-4.287	-2.2815	-2.0215	-2.781	-2.564	1.5345	-0.5365	-0.4535
"YGR123C"	0.001	-0.117	-1.982	-3.5875	-3.2965	-3.0495	-4.1895	-3.748	-0.83	-0.971	0.492	0.518	-2.061	-4.447	-4.328	-0.07	-1.265	0.184	-0.141	0.023	-0.792	-1.22	-1.73	-1.141	-0.923	-1.647	-1.535	-1.589	-4.594	-0.3065	-1.682	-1.8045	-1.606	-1.394	-2.047	-2.795	-1.547	-2.966	-0.273	-0.277	-3.836	-1.288	-2.106	-2.132	-1.701	-0.247	-0.073	0.299
"YGR145W"	0.152	0.041	-2.7705	-5.791	-5.902	-3.702	-3.7955	-3.4415	-1.438	-2.072	0.845	0.774	-2.897	-4.245	-4.024	-0.973	-1.99	-0.724	0.034	0.423	-1.582	-1.727	-2.735	-2.278	-0.988	-2.264	-2.469	-1.533	-4.7725	-0.6305	-2.8655	-3.5045	-2.4145	-2.844	-3.598	-4.182	-3.769	-2.255	0.463	1.134	-4.009	-1.444	-2.087	-2.433	-2.519	1.111	-0.449	-0.232
"YHR052W"	-0.409	0.426	-3.848	-4.2445	-3.5175	-3.5215	-4.3935	-3.9395	-0.415	-1.505	1.116	0.941	-2.069	-4.199	-4.447	-0.131	-1.569	0.224	0.119	0.575	-0.144	-2.417	-2.621	-1.95	-1.349	-2.318	-2.298	-1.408	-4.9395	0.041	-1.76	-2.126	-1.695	-2.604	-2.268	-2.827	-1.875	-2.212	-0.881	0.53	-3.47	-1.794	-1.767	-1.949	-2.227	0.24	-0.257	-0.034
"YHR104W"	-0.467	-0.684	4.5615	4.906	4.6215	4.247	4.658	4.7775	0.769	1.962	-1.137	-0.873	4.139	3.691	-2.834	1.272	1.555	2.023	-0.098	-0.141	1.926	2.72	3.95	4.176	2.268	3.382	3.895	1.388	5.319	0.448	4.395	4.573	4.627	4.789	4.201	5.002	2.775	3.432	0.934	0.794	3.963	2.783	2.402	2.262	2.601	-3.226	1.765	-0.553
"YJR070C"	-0.049	-0.204	-3.0685	-4.6905	-4.824	-3.895	-4.828	-4.332	-0.204	-1.449	-0.362	-0.035	-2.253	-5.317	-7.226	-1.017	-1.518	-1.084	-0.067	0.042	-1.415	-0.684	-2.306	-2.277	-1.265	-2.616	-3.193	-2.021	-4.7655	-0.289	-2.676	-2.971	-2.297	-2.739	-2.778	-3.81	-2.429	-4.096	-0.29	0.38	-3.754	-1.624	-2.234	-2.535	-2.011	0.123	-0.164	0.515
"YKL099C"	0.115	-0.208	-2.757	-4.464	-3.88	-2.796	-3.564	-3.037	-0.685	-1.399	0.775	0.625	-2.266	-4.145	-3.312	-0.469	-1.671	-1.064	0.19	0.544	-1.272	-2.002	-2.597	-2.271	-1.408	-2.54	-2.778	-1.348	-3.926	-0.248	-2.49	-2.457	-2.269	-2.556	-3.154	NaN	-2.909	-2.722	-0.587	0.405	-3.486	-2.251	-1.777	-2.753	-2.401	-0.459	-0.717	-0.328
"YLL008W"	0.29	0.13	-2.364	-4.973	-4.981	-3.751	-4.808	-4.019	-1.168	-2.04	0.381	0.007	-2.387	-5.659	-6.113	-1.4	-1.7	-0.94	-0.01	0.106	-1.647	-1.558	-2.724	-1.847	-1.295	-2.071	-2.458	-1.714	-4.642	-0.386	-2.679	-3.343	-2.672	-2.763	-2.884	-4.08	-2.614	-2.378	-0.35	0.111	-3.042	-1.992	-0.844	-3.002	-2.689	0.093	-0.794	0.192
