	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"
"YAL047C"	-0.234	-0.797	-2.677	-0.097	-0.318	-0.587	-0.838
"YBL057C"	-0.869	-2.031	-2.661	-1.034	-1.502	-1.552	-2.088
"YBL072C"	-2.486	-3.192	-6.241	-3.188	-2.5245	-3.2065	-4.2
"YBR082C"	-1.412	-2.746	-3.456	-0.797	-1.767	-2.379	-2.5995
"YBR106W"	-2.108	-3.354	-5.052	-2.595	-2.3225	-3.147	-3.2985
"YBR121C"	-2.186	-4.037	-5.791	-2.366	-4.1355	-4.173	-4.5985
"YBR143C"	-1.932	-3.195	-4.642	-2.012	-2.698	-2.699	-3.572
"YBR205W"	-0.574	-2.047	-3.842	-1.164	-0.8785	-1.5345	-2.119
"YCR013C"	0.742	-3.099	-5.566	-1.264	-1.827	-2.591	-3.6275
"YCR034W"	-1.912	-3.204	-4.331	-1.895	-3.0135	-3.2845	-3.3025
"YCRX10W"	0.004	-0.916	-2.211	0.015	-0.2425	-0.65	-0.793
"YDL082W"	-1.446	-3.326	-5.816	-1.18	-2.186	-3.001	-3.589
"YDL147W"	0.002	0.585	-1.453	0.154	-0.048	-0.538	-0.742
"YDL163W"	-0.332	-1.257	-1.675	-0.175	-0.796	-1.157	-1.107
"YDL185W"	-0.915	-2.522	-4.417	-1.308	-1.557	-2.084	-3.0
"YDR002W"	-1.992	-2.756	-4.542	-1.99	-1.672	-2.746	-2.987
"YDR158W"	-1.356	-3.546	-5.115	-1.965	-3.109	-3.802	-4.509
"YDR174W"	-0.831	-1.951	-3.526	-0.961	-1.209	-1.705	-1.726
"YDR189W"	-0.735	-1.871	-2.842	-0.824	-1.597	-1.904	-2.063
"YDR348C"	-0.52	-1.848	-2.174	-0.407	-0.755	-1.265	-1.835
"YDR496C"	-1.674	-3.591	-4.393	-1.899	-2.6065	-3.579	-3.3065
"YDR509W"	-1.1055	-1.0705	-2.6845	-0.8015	-1.1295	-0.7685	-1.3465
"YEL042W"	-1.264	-3.201	-4.334	-1.329	-1.896	-2.665	-3.071
"YER036C"	-1.79	-2.411	-4.997	-2.077	-1.672	-2.281	-3.078
"YER090W"	-1.569	-3.804	-5.004	-1.889	-2.327	-2.585	-3.495
"YER118C"	-0.913	-2.598	-3.457	-0.87	-1.371	-2.206	-1.965
"YER122C"	-0.789	-1.428	-4.276	-1.046	-1.324	-1.945	-2.168
"YFL039C"	-1.186	-2.57	-3.733	-1.117	-1.583	-2.201	-2.764
"YFL045C"	-1.85	-2.163	-4.897	-2.463	-1.923	-2.307	-2.378
"YFL046W"	0.187	-0.524	-1.753	-0.106	0.166	-0.472	-0.547
"YFR031BC"	-2.798	-4.702	-7.029	-3.594	-3.164	-3.863	-4.146
"YGL026C"	-0.768	-3.132	-4.669	-1.626	-1.868	-2.181	-2.636
"YGL060W"	0.288	-1.098	-3.155	-0.135	-1.433	-1.322	-1.742
"YGL120C"	-2.077	-4.088	-5.111	-1.739	-2.866	-3.888	-4.137
"YGL157W"	-3.853	-3.578	-6.107	-1.999	-2.488	-2.817	-3.666
"YGL213C"	-1.308	-3.409	-3.301	-0.589	-1.708	-2.07	-2.079
"YGR001C"	-0.842	-2.12	-3.271	-0.824	-1.426	-1.682	-2.24
"YGR128C"	-1.732	-2.66	-4.271	-1.622	-2.017	-3.037	-2.679
"YGR148C"	-2.31	-3.884	-5.757	-2.956	-3.022	-3.649	-4.092
"YGR158C"	-1.137	-2.12	-2.421	-1.084	-1.365	-1.801	-2.176
"YGR173W"	-1.375	-2.218	-3.699	-1.747	-1.919	-1.996	-2.168
"YGR185C"	-2.13	-5.306	-6.361	-2.6	-4.576	-4.871	-5.006
"YHL003C"	-0.508	-2.186	-3.084	-1.135	-1.585	-1.707	-1.741
"YHR019C"	-1.831	-4.051	-5.077	-2.664	-3.117	-3.721	-4.387
"YHR039BC"	-0.646	-1.386	-4.183	-0.979	-0.701	-1.172	-1.991
"YHR039C"	0.024	-1.2055	-1.361	-0.388	-0.399	-0.8415	-0.9695
"YHR063C"	-1.469	-3.309	-4.42	-0.927	-2.162	-3.419	-3.036
"YHR068W"	-3.015	-4.28	-6.532	-2.526	-2.724	-3.669	-3.425
"YHR098C"	-0.96	-2.065	-3.065	-1.159	-1.917	-1.925	-2.553
"YHR127W"	-0.565	-1.518	-2.837	-0.982	-1.135	-1.011	-1.628
