	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YAL065C"	0.163	0.2015	1.1665	1.0175	1.24	1.254	1.137	1.62	2.0365	0.701	0.614	0.675	0.45	0.4285	1.53333333333333	1.615	2.44866666666667	2.833	2.012	-0.074	-0.662	-0.00699999999999999	0.0863333333333333	-0.034	-0.239	-0.268666666666667	-0.0646666666666667	0.077	0.3605	0.643
"YBL048W"	-0.224	0.303	2.166	2.348	1.633	1.65	2.762	1.81	2.869	0.713	1.116	2.214	2.039	1.089	2.101	2.7535	3.8365	3.63	2.8605	-0.186	0.307	-0.1235	-0.069	0.009	-0.4885	-0.234	-0.1825	-0.1255	0.209	1.344
"YBL049W"	0.06	0.486	3.632	4.071	3.507	4.101	4.812	2.844	4.254	1.645	2.326	2.309	3.401	3.138	2.9925	3.8385	4.9405	5.2455	4.1525	-0.541	0.244	-0.0735	-0.1185	-0.025	-0.1165	-0.133	0.1305	0.347	0.061	0.735
"YBR076W"	-0.023	0.143	2.187	2.018	2.385	2.231	2.268	2.994	3.472	0.647	0.874	0.936	1.395	1.303	1.4395	1.6245	2.2365	2.6415	1.4465	-0.47	0.395	-0.128	0.0785	-0.003	-0.1545	-0.169	0.0705	0.193	0.615	0.712
"YBR183W"	1.838	1.999	4.661	3.119	2.557	3.002	3.003	3.081	3.506	2.486	2.418	2.43	1.861	1.727	2.6755	3.223	3.489	3.8405	2.6835	-0.356	-0.409	-0.277	-0.642	-0.011	-0.9575	-0.919	-1.019	-0.8215	0.274	0.666
"YBR287W"	0.902	0.996	2.34	1.484	1.322	1.689	1.843	1.95	2.536	1.524	1.584	1.163	0.937	0.829	1.4665	1.799	2.697	2.362	2.003	-0.358	0.138	0.0555	-0.3705	0.154	0.0675	-0.0405	0.113	0.385	0.093	-0.05
"YDL194W"	0.334	0.447	2.756	3.079	2.902	2.773	2.758	3.229	2.675	2.403	2.191	1.976	1.473	1.695	2.005	1.921	1.923	2.037	1.752	-0.069	0.068	0.312	0.329	0.034	-0.047	0.189	0.083	0.062	0.326	0.499
"YDR059C"	1.376	1.771	2.272	2.385	2.493	2.07	2.509	3.136	3.497	1.436	1.177	0.624	1.202	1.309	1.963	2.24	3.116	2.735	2.39	0.013	0.179	0.791	0.992	-0.267	0.596	0.528	0.639	0.687	0.2405	0.36
"YDR096W"	1.717	1.407	3.784	2.911	3.051	3.058	2.906	3.751	3.511	2.071	2.127	2.135	1.735	1.58	2.377	2.916	3.613	3.341	3.088	-0.283	-0.373	0.09	0.178	-0.078	-0.386	-0.354	-0.405	-0.373	0.241	0.2265
"YDR256C"	-0.033	0.261	1.294	3.623	4.821	4.651	4.296	3.092	7.008	1.904	2.584	1.657	2.52	2.094	2.336	2.135	4.776	6.245	5.494	-0.774	-0.454	0.053	-0.172	0.104	-0.148	-0.234	-0.192	-0.079	0.388	-0.551
"YDR262W"	-0.0585	-0.0425	1.7335	1.8585	1.8825	2.06	2.6665	3.1335	3.3725	0.744	1.014	1.473	1.6855	1.6875	3.0895	3.2615	4.491	4.8085	4.03	-0.0105	0.0315	-0.02	0.222	0.214	0.269	0.129	0.1975	0.2645	-0.2245	0.378
"YDR275W"	0.2495	0.559	1.553	2.2955	2.594	2.161	3.009	3.1575	3.166	-0.0785	-0.131	0.947	1.6115	1.519	2.324	3.0055	1.5585	2.794	2.3525	-0.5695	-0.2585	-0.3655	-0.366	0.073	0.3325	0.1715	0.3595	0.4455	-0.2645	0.8175
"YDR306C"	0.412	0.227	1.761	1.727	2.012	1.925	2.196	1.846	2.437	1.744	1.427	1.626	1.092	1.219	1.55	1.603	1.93	1.569	1.144	-0.048	-0.047	0.56	0.252	0.069	0.324	0.317	0.167	0.338	0.01	-0.4985
"YDR313C"	0.261	0.101	2.369	1.675	1.715	1.7	1.941	2.03	2.161	1.33	1.225	1.576	1.583	1.359	2.304	2.311	2.992	2.624	1.746	0.044	0.274	0.445	0.217	-0.055	0.029	0.115	0.053	-0.037	0.038	-0.039
"YDR338C"	-0.613	-0.501	1.812	1.732	1.523	1.871	2.061	1.966	1.741	0.258	0.702	0.214	0.987	0.894	1.497	0.99	1.689	1.618	0.809	-0.186	-0.378	0.056	-0.08	0.261	0.027	0.038	0.045	0.063	-0.035	-0.367
"YER015W"	0.077	0.292	2.172	2.385	3.584	3.301	3.005	2.769	3.101	1.224	1.095	1.623	1.816	0.843	1.979	2.609	2.833	1.972	1.943	-0.444	-0.194	-0.076	0.061	0.071	-0.384	-0.408	-0.238	-0.263	0.137	-0.4815
"YER116C"	-0.078	-0.293	1.235	1.172	1.249	0.994	1.572	1.644	2.613	0.285	0.553	1.004	1.09	0.923	1.115	1.236	1.784	2.637	1.75	-0.075	-0.116	0.058	0.263	0.314	0.214	0.189	0.203	0.069	-0.0545	0.888
"YGL010W"	1.55	1.671	2.51	1.775	1.605	1.805	1.81	1.544	2.575	0.954	1.0	0.752	1.045	0.791	1.095	1.574	2.619	2.643	2.002	-0.018	0.109	0.625	0.195	-0.145	-0.023	0.043	0.147	0.25	0.147	0.108
"YGL156W"	0.469	1.542	4.377	4.521	4.625	4.645	5.069	5.027	5.027	2.749	3.372	3.335	3.32	3.359	4.322	3.981	4.487	4.716	3.456	0.14	0.056	0.718	1.091	-0.289	0.231	0.443	0.35	0.345	-0.379	0.8915
"YGL157W"	0.621	0.894	-3.669	-4.154	-3.753	-4.456	-3.853	-3.767	-3.578	1.472	-1.481	-1.996	-1.999	-2.143	-2.738	-2.628	-2.488	-2.817	-3.666	0.148	0.185	0.607	0.798	0.168	0.279	0.343	-0.079	-0.057	-0.325	0.059
"YGL180W"	1.411	1.106	2.411	1.867	2.401	2.398	2.906	2.944	4.3	1.304	1.455	1.787	1.466	1.363	2.973	3.256	2.738	2.877	2.817	-0.057	-0.464	0.665	0.923	0.102	0.367	0.089	0.353	-0.071	0.381	0.609
"YGL192W"	-0.203	-0.036	2.077	1.847	2.102	1.774	1.845	2.403	3.302	0.969	0.298	0.543	1.135	-0.882	1.824	2.073	3.832	4.675	3.934	-0.024	0.201	-0.414	-0.579	0.124	-0.281	-0.153	-0.152	-0.063	0.044	0.686
