	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"12744.heat shock 17 to 37, 20 minutes"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15636.Ca+FK 30min (2)"	"17677.Na+FK 60min (4)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"
"YBR233W"	0.154	-0.082	0.24	1.154	0.282	-0.341	0.619	0.59	0.027	-0.224	0.374	0.381	0.405	-0.279	-0.503	-3.145	-0.2815	-0.1715	-0.406	0.1115	0.608	0.357	0.46	0.481	0.403	0.611	0.614	-0.433	-2.64	0.163	-0.074	-0.377	-0.968	-0.099	-0.244	-0.085	-0.491	0.461	0.479	1.146	0.877	-1.205	-0.177	-0.373	-0.38	-0.087	0.168	-0.249	0.313	-0.579	-0.196	0.175
"YBR243C"	-0.099	0.208	-0.111	1.96	-0.219	-0.049	0.172	0.141	0.014	-0.87	-0.072	0.051	-0.237	-1.455	-1.288	-2.794	-1.0965	-1.2575	-1.7145	-1.8775	-0.138	0.179	-0.065	-0.047	-0.258	-0.401	-0.135	-1.018	-2.459	0.501	-0.555	-0.598	-0.842	-0.6	-1.064	-0.395	-0.646	0.657	0.16	-0.011	0.378	-1.236	-0.857	-1.252	-0.686	-1.152	-1.503	-1.008	-1.165	-1.185	-1.059	-0.86
"YCL044C"	0.539	1.198	1.485	4.995	0.883	0.352	1.024	1.537	1.545	-0.218	0.815	1.13	1.097	0.793	-1.093	-1.748	0.2645	-0.0605	0.1065	0.0135	1.176	1.488	1.464	1.487	0.797	0.964	1.172	0.424	-1.046	1.833	-0.069	-0.117	0.233	-0.065	-0.224	0.209	0.685	0.723	0.35	0.714	0.892	-0.793	-0.577	-0.292	-0.331	0.323	-0.486	-0.029	-0.125	0.947	-0.302	-0.494
"YCR030C"	0.724	0.545	1.721	1.384	1.56	1.041	1.402	1.819	1.52	0.609	0.619	0.742	1.562	0.82	-0.489	-3.173	0.5895	0.5485	-0.6235	-1.329	1.521	1.828	1.571	1.524	1.161	1.532	1.784	0.464	-1.334	1.654	0.108	-0.418	-0.425	-0.318	0.134	0.041	-0.01	0.981	1.002	1.319	1.513	0.203	0.008	0.451	0.266	-0.343	-0.853	-0.924	-0.38	-0.833	-1.293	-0.15
"YDR074W"	3.773	3.859	4.362	4.265	4.275	2.859	3.122	4.182	4.411	2.275	3.31	2.635	3.379	3.102	2.133	-0.757	2.872	3.04	1.12	0.757	4.52	4.039	3.683	3.896	3.326	3.378	3.692	2.732	2.219	3.551	3.613	3.652	1.682	3.916	3.532	1.453	2.204	3.194	3.941	3.985	3.424	0.782	1.459	2.028	1.317	2.458	1.164	1.445	1.308	1.645	1.112	3.002
"YDR171W"	6.315	6.617	6.083	5.884	5.56	3.287	5.126	6.153	6.24	2.489	4.969	3.606	4.594	3.949	3.451	2.383	2.852	3.724	2.317	1.983	4.979	4.183	4.385	4.392	4.176	4.034	4.162	3.44	0.853	5.398	3.812	4.059	3.183	3.831	4.1315	3.0855	2.701	3.991	5.862	5.035	3.784	4.074	4.252	4.566	3.476	4.385	1.587	2.353	2.407	2.341	2.243	3.586
"YFL014W"	4.928	6.328	6.892	6.889	6.782	7.281	7.608	7.123	7.628	4.338	6.369	6.116	6.044	5.422	4.533	3.257	5.357	6.09	6.362	4.691	6.886	5.993	6.04	6.382	5.404	5.855	5.705	2.253	-0.8535	7.174	3.072	3.1955	3.865	2.992	3.6535	3.155	3.028	6.321	4.2	5.664	5.678	7.714	5.793	6.006	5.717	5.628	3.645	4.869	5.17	4.871	4.432	5.415
"YFR028C"	0.024	-0.494	-0.562	0.233	-0.517	-0.345	-0.322	-0.27	-0.35	-0.912	-0.493	-0.446	-0.627	-1.456	-2.027	-4.271	-1.142	-1.447	-1.864	-1.575	0.293	0.55	0.269	0.278	0.415	0.412	0.43	-1.1065	-1.248	-0.138	-0.329	-1.0825	-0.733	-0.691	-1.0935	-0.8455	-0.988	0.2925	NaN	-0.704	-0.59	-2.001	-1.748	-0.743	-0.557	-1.481	-0.483	-0.707	-0.814	-1.135	-1.776	-0.463
"YFR051C"	0.425	0.767	0.8765	0.455	0.241	0.336	-0.073	0.1155	0.044	-0.371	0.32	0.2535	-0.6625	-0.746	-1.008	-2.299	-0.602	-0.7745	-1.403	-0.7065	0.425	0.5785	0.648	0.7995	-0.2545	-0.021	0.0645	-1.109	-1.2375	-0.224	0.062	-0.06	0.026	-0.0415	-0.316	-0.146	-0.054	1.132	0.257	0.332	0.151	-1.915	-0.188	-1.07	-0.503	-1.426	-0.767	-1.513	-1.346	-1.087	-1.655	-0.332
"YGL037C"	3.477	4.841	4.922	5.031	4.738	3.649	4.635	4.777	4.892	3.246	3.634	3.327	2.753	2.835	0.12	-1.344	3.457	3.59	1.346	0.408	4.131	3.473	4.034	4.0	3.629	4.14	4.201	2.636	-1.517	4.782	4.188	4.405	3.507	4.221	4.55	3.592	3.919	4.762	5.215	5.736	4.948	3.731	3.099	3.141	3.145	3.313	2.507	2.325	2.341	2.181	1.626	3.549
"YGR054W"	-0.714	-0.932	-0.407	-0.684	-0.993	-0.251	0.032	-0.461	-0.784	-0.948	-0.769	-0.229	-1.376	-1.147	-1.724	-4.535	-1.287	-2.153	-2.362	-2.163	-0.214	0.115	0.043	-0.229	-0.429	-0.205	-0.059	-1.294	-1.215	-0.733	-0.641	-0.858	-0.722	-0.633	-0.727	-0.382	-0.753	0.53	-0.626	-0.44	-0.207	-1.958	-1.466	-1.254	-0.151	-1.358	-1.275	-1.754	-1.424	-1.075	-0.992	-0.602
"YGR241C"	0.4645	0.635	0.846	0.648	0.6675	0.386	0.786	0.995	0.996	0.27	0.757	0.506	0.509	-0.247	-0.485	-1.789	-0.445	-0.327	0.037	-0.362	2.163	1.878	1.809	1.371	1.625	1.703	1.643	-0.284	-0.474	0.936	0.246	0.181	0.155	0.738	-0.104	-0.465	-0.003	1.79	1.419	1.291	0.456	0.31	-0.24	0.591	0.094	-0.059	0.181	0.12	0.272	0.3	-0.356	-0.483
"YGR248W"	4.6225	5.5605	6.0655	6.403	5.962	4.041	5.4885	6.052	5.5355	3.599	4.562	4.584	4.192	4.402	2.743	0.496	4.358	4.952	4.178	3.513	4.781	3.363	4.308	4.92	3.473	4.322	5.049	4.404	-0.478	7.005	3.643	4.063	3.021	3.786	4.364	3.153	4.642	3.907	5.373	4.665	3.242	6.124	5.273	5.604	4.018	4.819	2.575	3.214	3.484	3.38	2.444	0.736
"YHR087W"	4.8165	6.0195	5.7105	5.698	5.252	5.246	6.08	5.929	6.501	1.3765	4.664	3.281	4.087	2.742	1.367	0.859	1.851	2.304	1.28	1.0	5.013	5.067	5.497	5.933	4.806	5.093	4.962	4.359	-1.548	6.1195	5.549	5.607	5.374	5.113	5.372	4.281	5.16	5.78	6.124	6.178	5.278	4.15	3.908	4.259	3.36	4.227	3.84	4.482	4.34	3.879	3.949	4.32
"YHR137W"	1.969	4.1055	4.9795	2.4785	3.82	1.9025	3.987	4.7775	4.6135	1.896	2.649	2.633	2.689	1.017	1.65	-0.945	1.102	0.589	1.45	-0.042	3.932	3.612	3.868	3.554	2.929	3.489	3.67	0.968	-0.129	4.709	1.309	1.715	1.172	1.059	1.376	0.904	0.686	5.248	4.005	4.573	3.11	1.157	1.909	0.979	2.277	1.399	0.891	-0.763	-0.865	-0.378	1.494	-0.428
