	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAR031W"	-0.993	2.829
"YBL066C"	-0.4795	2.094
"YBL102W"	-2.194	3.318
"YBR037C"	-1.605	NaN
"YBR094W"	-3.206	2.042
"YBR107C"	-3.633	1.087
"YBR148W"	0.018	2.153
"YBR150C"	0.349	2.121
"YBR161W"	-1.429	2.562
"YBR176W"	-1.295	2.923
"YCL051W"	-0.522	1.643
"YCR052W"	-2.66	1.464
"YCR081W"	-3.284	3.396
"YDL002C"	-2.488	2.344
"YDL016C"	-2.752	NaN
"YDL133W"	-1.846	2.712
"YDL180W"	-0.077	8.814
"YDR004W"	-2.023	4.053
"YDR036C"	-2.534	NaN
"YDR238C"	-1.3285	2.41966666666667
"YDR319C"	-0.544	3.518
"YDR363W"	-2.005	4.418
"YDR372C"	-3.333	1.58
"YDR454C"	-4.275	1.93
"YEL017W"	-3.749	1.4445
"YER062C"	-4.272	2.084
"YER186C"	-1.521	1.8595
"YFL001W"	-3.684	1.76833333333333
"YFR046C"	-1.836	1.864
"YGL025C"	-1.521	3.682
"YGL065C"	-2.778	0.759
"YGL081W"	-0.431	5.502
"YGL086W"	-1.8165	2.243
"YGL098W"	-0.661	0.972
"YGL195W"	-3.33	1.8235
"YGR006W"	-0.797	3.177
"YGR014W"	-3.299	1.208
"YGR020C"	-3.926	3.66
"YGR026W"	-3.773	2.475
"YGR038W"	-2.432	1.549
"YGR053C"	0.154	6.599
"YGR061C"	-3.447	2.762
"YGR239C"	-2.321	2.422
"YHL016C"	-1.043	1.093
"YHL019C"	-2.192	2.477
"YHR059W"	-4.493	3.955
"YHR072W"	-3.144	1.747
"YIL014W"	-2.126	2.571
"YIL048W"	-0.2	1.243
"YIL151C"	-1.82	0.937
"YJL041W"	-2.578	0.945
"YJL127C"	-2.2565	2.481
"YJR011C"	-1.044	6.494
"YJR043C"	-2.641	4.796
"YJR069C"	-4.151	2.077
"YJR106W"	0.206	3.41
"YKL040C"	-3.129	1.335
"YKL041W"	-0.022	3.861
"YKL044W"	-0.296	1.419
"YKL048C"	-3.599	2.054
"YKL075C"	-1.535	4.909
"YKL076C"	-2.3	7.018
"YKL080W"	-5.94	5.981
"YKL104C"	-3.649	NaN
"YKR043C"	-4.579	4.578
"YKR077W"	-2.22	1.006
"YLL050C"	-4.316	2.549
"YLL052C"	-2.178	NaN
"YLR007W"	-1.932	4.238
"YLR028C"	-2.182	6.136
"YLR063W"	-4.23	2.379
"YLR070C"	-0.329	7.15
"YLR072W"	-0.161	3.504
"YLR082C"	-0.841	5.05
"YLR118C"	-3.45	1.186
"YLR128W"	-2.267	NaN
"YLR183C"	-3.782	4.623
"YLR225C"	-4.055	NaN
"YLR241W"	-3.69	1.505
"YLR243W"	-3.657	1.966
"YLR306W"	-0.703	0.664
"YLR328W"	-4.106	2.217
"YLR390W"	-2.206	2.306
"YLR451W"	-3.26	1.5185
"YML078W"	-3.857	2.766
"YML112W"	-2.566	3.957
"YMR015C"	-4.638	1.76
"YMR038C"	-3.132	3.237
"YMR160W"	-3.873	0.836
"YMR180C"	-1.106	2.187
"YMR189W"	-2.526	3.02866666666667
"YMR268C"	-3.2055	1.80433333333333
"YMR278W"	-1.61	2.6295
"YNL050C"	-3.751	1.302
"YNL118C"	-5.007	2.4655
"YNL120C"	-4.984	7.172
"YNL126W"	-3.062	4.818
"YNL306W"	-0.804	8.946
"YNL314W"	-1.545	0.349
"YNL320W"	-4.0	4.934
"YNR004W"	0.033	2.193
"YNR026C"	-2.7105	2.961
"YNR027W"	-2.7835	3.909
"YNR075W"	-2.3245	1.034
"YOL094C"	-2.1415	0.389
"YOR008C"	-2.331	1.34
"YOR016C"	-3.3715	1.8595
"YOR146W"	-3.7465	2.749
"YOR159C"	-4.8345	4.019
"YOR170W"	-0.57	2.184
"YOR243C"	-4.3935	1.833
"YOR290C"	-2.189	8.47
"YOR389W"	0.2135	1.907
"YOR392W"	-0.235	1.98
"YPL020C"	-1.247	3.325
"YPL045W"	-1.55366666666667	0.797
"YPL051W"	-2.69	4.666
"YPL063W"	-3.318	1.882
"YPL267W"	-1.2885	0.77
"YPL277C"	-1.545	3.009
"YPR016C"	-2.70633333333333	3.0325
"YPR037C"	-0.9595	1.683
"YPR175W"	-1.715	3.653
"YPR199C"	-1.512	1.574
