	"497.Heat Shock 000 minutes"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"813.MHY1 (dun1) + heat 20 min"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8204.steady state 29 dec C"	"8229.dtt 030 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"21660..24 mM H2O2- 120 minutes"	"28852.P2Comp 12 hr 22 min Phosphate Batch vs Chemostat Comparison2"	"30773.Pomona/Brown Sir3x red"	"40960.H2O2_II_180_min"
"YBR106W"	0.9	-0.828	0.904	-0.472	-2.108	-1.986	-3.354	-5.052	-2.258	-2.173	-2.595	-2.731	-2.0935	-2.137	-2.3225	-3.147	-3.2985	-0.225	0.166	0.246	0.903	-1.924	-0.075	-0.085	0.248	0.34	0.118	-0.42
"YBR121C"	0.801	-1.014	0.701	-1.9015	-2.186	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.2815	0.03	0.316	0.134	-2.249	-0.124	-0.147	-0.138	-1.291	0.12	-1.222
"YCR002C"	0.424	-0.894	0.208	-0.332	-1.572	-1.667	-3.669	-5.182	-0.224	-0.404	-0.658	-1.575	-1.1235	-1.597	-2.564	-2.9535	-2.7005	0.3885	0.097	0.25	-0.044	-1.48	0.136	0.273	0.56	1.298	0.049	0.18
"YDR002W"	0.515	-0.537	0.346	-0.646	-1.992	-1.109	-2.756	-4.542	-1.195	-1.43	-1.99	-1.796	-1.309	-0.91	-1.672	-2.746	-2.987	0.157	-0.207	0.525	0.43	-1.802	0.452	0.267	0.327	-1.656	0.228	0.329
"YDR023W"	0.322	1.176	0.568	-1.423	-2.164	-2.077	-2.907	-5.745	-1.288	-1.116	-1.813	-1.696	-1.553	-2.313	-3.056	-3.357	-3.85	0.026	0.024	0.283	0.294	-2.091	0.03	0.041	0.416	0.672	0.282	-0.291
"YDR050C"	0.642	-0.535	0.546	-0.362	-0.663	0.402	-1.84	-5.94	-0.935	-1.169	-2.158	-2.14	-0.162	-0.284	-2.206	-2.643	-3.307	-0.052	0.095	0.307	0.349	-0.971	0.286	0.023	0.072	0.711	0.232	0.443
"YDR321W"	0.767	-1.489	0.698	-0.848	-2.84	-3.04	-3.093	-4.43	-3.362	-3.039	-2.9	-2.71	-2.389	-2.828	-2.704	-2.582	-2.75	0.093	0.099	0.197	0.747	-2.035	0.373	0.17	-0.537	-1.615	0.05	-0.948
"YER023W"	0.419	-0.64	0.429	-0.445	-1.289	-1.904	-4.379	-4.606	-0.817	-0.624	-1.289	-1.281	-1.09	-0.659	-1.477	-2.502	-2.506	-0.285	0.18	0.014	0.354	-1.07	-0.16	0.007	0.07	-0.867	0.089	0.471
"YER086W"	0.938	-0.928	0.899	-1.06	-1.236	-1.424	-3.61	-5.173	-2.869	-2.152	-2.311	-2.028	-1.847	-1.837	-2.624	-2.882	-3.77	-0.321	0.098	0.187	0.297	-0.886	0.176	0.204	-0.622	-0.687	-0.133	-0.102
"YER090W"	0.672	-0.608	0.427	-0.647	-1.569	-1.173	-3.804	-5.004	-2.439	-2.138	-1.889	-1.861	-1.078	-1.311	-2.327	-2.585	-3.495	0.322	0.039	0.289	0.459	-0.819	0.112	-0.001	0.586	-0.916	0.015	0.044
