	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"516.2.5mM DTT 060 min"	"517.2.5mM DTT 090 min"	"686.YP ethanol vs reference pool"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"1012.YPD 12 h (25C)"	"1173.PHO4c vs. wild type"	"1301.PHO81c vs. wild type, exp.2"	"4872.1M sorbitol - 60 min"	"7539.25C -- 90 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40955.H2O2_II_77_min"
"YBL027W"	-1.979	-1.956	-2.978	-3.487	0.4	-0.185	-0.596	-0.888	-1.011	-0.65	-0.554	-2.851	-2.474	-2.081	-1.613	-2.0	-1.606	-2.671	-5.577	-1.089	-3.9845	-0.218	-0.055	-0.007	1.102	-1.6965	-3.078	0.213	0.2665	-2.107	-3.351	-0.6835	-1.0425	-1.2155	-0.0465
"YBL072C"	-2.148	-1.74	-2.905	-3.46	0.065	-0.497	-0.9405	-1.241	-1.217	-1.082	-0.821	-3.835	-3.367	-3.036	-2.694	-2.486	-3.041	-3.192	-6.241	-1.39	-4.1825	0.06	0.264	0.611	1.468	-2.524	-2.881	0.435	0.389	-1.92	-1.857	-1.46	-2.127	-2.734	-1.695
"YBR048W"	-1.976	-1.916	-2.541	-3.002	0.0315	-0.6835	-1.201	-1.2295	-1.248	-1.032	-0.8715	-3.385	-2.4795	-2.968	-2.171	-2.248	-2.2475	-3.0195	-5.0065	-1.255	-4.66033333333333	-0.245	-0.331	0.190666666666667	1.169	-2.013	-2.7435	0.012	0.0853333333333333	-2.372	-4.089	-0.991666666666667	-1.405	-1.542	-0.0466666666666667
"YBR143C"	-1.726	-1.355	-2.238	-2.486	-0.476	-0.636	-1.0625	-1.267	-0.878	-0.84	-0.369	-2.729	-2.378	-2.339	-2.197	-1.932	-2.537	-3.195	-4.642	-0.561	-3.1475	0.039	0.105	0.029	0.95	-1.699	-1.827	0.193	-0.03	-1.791	-2.223	-1.155	-1.567	-1.627	-0.956
"YBR151W"	0.604	0.791	1.036	1.182	-0.141	-0.196	0.1295	0.794	0.788	0.507	0.438	-0.317	-0.069	1.295	-0.29	0.135	0.441	NaN	NaN	0.274	0.901	-0.012	0.078	-0.1785	-0.146	-0.053	1.526	0.378	0.234	0.94	1.098	1.093	0.61	0.034	0.258
"YBR177C"	1.264	1.2315	1.4385	1.6895	-0.16	0.0175	-0.316	0.5295	0.608	0.2325	-0.1055	1.394	0.9845	0.666	0.8	0.11	0.2935	-0.023	-1.571	-0.028	1.00333333333333	0.374	0.686	-0.00933333333333333	0.1315	-0.165	0.7895	-0.343	0.436	1.805	2.178	0.93	1.467	0.741	0.45
"YBR204C"	1.069	0.979	1.126	1.126	0.556	0.237	-0.093	0.97	1.181	0.412	0.611	2.11	1.05	1.095	0.866	1.336	1.318	1.269	-0.685	0.287	1.632	0.159	0.186	-0.292	-0.302	0.635	1.407	-0.006	0.033	0.984	2.883	1.451	1.308	0.649	0.748
"YCL044C"	0.883	1.024	1.537	1.545	0.837	0.749	0.147	1.13	1.383	1.162	1.226	1.216	1.003	0.91	1.097	0.793	0.946	-1.093	-1.748	-0.167	0.1075	0.165	0.451	0.249	-0.284	0.424	1.833	0.21	0.314	0.714	-0.247	1.532	1.754	1.332	1.755
"YDL051W"	-2.784	-2.447	-3.059	-3.066	-0.78	-1.127	-0.722	-1.688	-1.321	-0.777	-0.447	-3.639	-2.402	-2.024	-1.821	-1.668	-2.07	-2.856	-3.563	-0.913	-2.973	-0.487	-0.339	0.163	0.753	-1.28	-3.388	0.407	0.666	-2.805	-3.192	-2.38	-2.435	-2.444	-1.511
"YDR064W"	-1.917	-1.077	-2.822	-3.039	-0.341	-1.075	-0.644	-0.86	-0.953	-0.838	-0.937	-3.874	-3.241	-2.585	-2.577	-2.639	-2.597	-3.761	-5.03	-1.244	-3.65	-0.482	-0.388	-0.36	1.306	-1.996	-2.16	0.142	0.0105	-1.708	-2.891	-1.5475	-2.1055	-1.629	-1.2135
"YDR101C"	-3.404	-3.0	-3.74	-3.659	-0.608	-0.784	-0.843	-2.204	-1.77	-1.32	-0.599	-4.306	-3.203	-3.082	-2.55	-2.315	-2.948	-4.145	-4.667	-0.8	-2.52	0.04	-0.081	0.107	0.633	-2.013	-3.253	0.204	0.01	-3.244	-3.048	-2.911	-2.551	-2.764	-1.66
"YDR399W"	-4.226	-3.084	-3.396	-2.921	-1.175	-1.668	-0.776	-2.786	-2.127	-1.468	-0.985	-4.676	-3.277	-1.962	-2.107	-1.323	-2.773	-3.073	-4.784	0.758	-2.658	-0.61	-0.022	-0.101	1.467	-1.693	-2.993	0.415	0.328	-2.911	-2.321	-3.393	-4.366	-4.453	-2.876
"YDR412W"	-2.09	-1.984	-2.552	-2.649	-0.626	-0.295	-0.401	-1.332	-1.061	-0.841	-0.478	-2.38	-1.406	-1.391	-0.997	-1.279	-1.15	-1.49	-3.774	-0.376	-2.732	-0.828	-0.141	-0.007	0.546	-1.534	-2.914	0.168	0.217	-2.5	-2.305	-2.331	-1.948	-1.315	-1.639
