	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"584.17 deg growth"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"1013.YPD 1 d (25C)"	"1300.DBY7286 Low-Pi vs. High-Pi"	"2560.29C to 33C - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"4784.29C to 33C - 90 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12732.Nitrogen Depletion 4 h"	"12744.heat shock 17 to 37, 20 minutes"	"13060.wt/crz1 Na 45min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15183.Ca+FK 5min (3)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17618.Ca+FK 60min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"28839.P2Comp 07 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28841.P2Comp 08 hr 19 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"	"42369.CC PU 3A Phosphate-Uracil Chemostat Comparison"	"42370.CC PU 3B Phosphate-Uracil Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"
"YAL059W"	-1.846	-0.686	-1.561	-1.766	-1.678	-1.268	-0.057	-0.697	-2.0785	-0.309	-0.553	-1.804	-2.88	0.458	-1.016	-1.067	-0.945	-1.536	-0.003	-0.796	-0.064	-1.114	-1.818	-1.736	-1.444	-1.546	-1.816	-0.078	-2.744	0.348	-1.929	-2.407	-2.29	-2.638	-1.195	-1.736	-2.446	-1.556	-0.461	-1.85	-1.8985	0.2075	0.208	-2.861	-3.04	-0.361	0.29	0.186	-0.276
"YBL028C"	-2.119	-2.979	-4.375	-2.877	-3.969	-3.261	-0.077	-1.278	-1.1135	-0.0955	-0.582	-4.609	-4.867	-0.069	-2.1695	-1.073	-1.375	-1.703	-0.194	-0.916	-0.067	-1.192	-1.779	-2.667	-2.101	-2.532	-2.658	0.92	-4.011	0.338	-2.185	-2.617	-2.329	-2.745	-1.449	-1.652	-3.064	-3.505	-0.344	-3.4845	-3.231	0.504	-0.12	-2.074	-2.529	0.352	0.363	0.698	0.467
"YBL054W"	-3.133	-3.129	-4.283	-2.807	-3.35	-2.6	-0.202	-0.404	-0.5145	-0.0265	-0.5135	-3.427	-2.331	0.492	-0.577	-1.638	-0.865	-2.142	0.463	-0.3	-0.206	-0.858	-1.874	-1.582	-1.814	-1.56	-2.236	0.182	-3.299	-0.185	0.128	-2.213	-2.956	-2.522	-2.418	-3.406	-4.05	-2.809	0.358	-1.233	-2.272	-0.154	-0.1375	-3.046	-2.298	-0.072	-0.12	-0.163	-0.012
"YBR052C"	1.956	2.383	2.693	2.458	2.644	2.777	-0.646	1.484	0.761	1.143	1.3065	3.367	-1.903	0.242	0.8745	0.731	1.74	1.478	0.096	1.69	0.225	1.646	1.11	1.882	1.983	1.499	1.563	-0.4735	2.858	-0.169	1.334	1.888	1.399	2.051	1.436	1.729	2.293	2.2435	0.032	2.433	2.136	-0.0135	-0.297	2.366	3.177	0.083	0.222	-0.322	0.774
"YBR266C"	-2.822	-3.764	-3.869	-2.532	-1.817	-3.376	0.202	-0.754	-0.451	-0.3395	-0.4555	-3.053	-4.633	-0.576	-1.345	-1.267	-0.874	-2.141	-0.134	-0.728	-0.215	-0.205	-2.026	-2.578	-1.489	-2.513	-2.064	0.281	-4.774	0.147	-3.009	-1.873	-2.854	-2.105	-1.846	-2.315	-1.893	-2.3125	-0.5495	-2.6885	-2.561	-0.179	0.076	-3.097	-3.048	-0.691	0.311	0.442	-0.567
"YBR267W"	-2.82	-3.032	-3.366	-2.585	-2.932	-3.102	0.18	-0.718	-1.453	-0.3235	-0.3785	-2.923	-4.518	-0.215	-0.578	-1.308	-0.837	-1.549	0.123	-0.515	-0.22	-0.184	-1.943	-2.118	-1.376	-2.037	-1.742	-0.1165	-4.409	0.252	-2.823	-2.256	-3.293	-2.317	-2.062	-2.518	-1.748	-1.753	-0.052	-1.6515	-1.315	0.534	-0.092	-2.571	-3.123	-0.533	0.417	0.597	-0.653
"YBR271W"	-2.097	-1.839	-2.197	-1.585	-2.214	-1.543	-0.303	-0.882	-0.197	0.023	-0.346	-2.206	-2.981	-0.176	-1.2475	-0.76	-0.8	-0.497	0.111	-0.694	-0.221	-0.504	-0.179	-0.392	-0.427	-0.779	-0.81	0.526	-2.281	0.364	-1.566	-1.714	-2.223	-1.874	-1.304	-1.546	-1.349	-0.7635	0.134	-0.335	-0.485	-0.346	-0.528	-1.954	-1.739	0.0	0.178	0.199	-0.161
"YCLX02C"	-3.711	-4.024	-3.119	-2.69	-3.872	-3.655	0.314	-0.902	-0.847	-0.458	-0.6875	-4.118	-2.85	-0.383	-2.1245	-1.139	-1.359	-2.243	-0.414	-0.902	-0.219	-0.786	-1.95	-2.282	-1.57	-1.974	-1.943	0.0275	-4.225	-0.011	-3.151	-2.96	-3.451	-2.752	-2.231	-3.562	-2.752	-2.5195	-0.1505	-2.286	-2.3655	0.327	0.177	-2.679	-3.541	-0.511	0.162	0.459	-1.133
"YCR055C"	-1.508	-4.1	-3.895	-3.121	-3.998	-3.454	-0.566	-0.915	-1.2615	-0.5	-0.4615	-6.518	-6.433	-0.051	-1.6915	-0.924	-1.265	-2.259	-0.026	-1.192	-0.187	-0.939	-1.936	-2.904	-2.096	-1.969	-2.123	-0.4405	-4.055	0.213	-2.286	-2.63	-2.18	-1.914	-1.231	-1.166	-1.844	-2.0705	-0.28	-2.7325	-1.755	-0.116	0.192	NaN	NaN	-0.277	-0.393	0.1	-0.422
"YCR057C"	-2.11	-3.139	-3.435	-2.848	-2.984	-2.951	-0.607	-0.847	-1.2145	-0.107	-0.3315	-5.726	-5.109	-0.017	-1.605	-1.065	-0.957	-2.039	0.059	-0.861	0.061	-0.803	-1.682	-2.77	-2.311	-1.274	-1.82	-0.2855	-3.831	-0.107	-2.054	-2.099	-1.993	-2.62	-1.835	-1.272	-2.242	-2.339	-0.4965	-2.298	-2.713	-0.936	-0.158	-2.66966666666667	-2.95133333333333	-0.163	-0.041	0.272	-0.491
