	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"836.1.5 mM diamide (40 min)"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YBR011C"	0.73	0.429	-0.181	0.428	0.529	0.599	0.342	-1.081	-0.977	-1.747	-4.081	-5.344	-0.619	-0.969	-0.352	-0.95	-1.407	-0.2825	-0.649	-1.271	-2.3835	-3.0585	-3.4585	0.493	0.148	0.085	-0.07	-1.084	0.757	-1.321	-0.923	-0.506	-0.753	-0.962	-0.771	-1.509	0.539	0.123	-0.812	-0.397	0.796	-0.067
"YBR096W"	1.341	1.245	0.981	1.313	1.519	1.198	0.614	-0.335	-1.618	-0.773	-2.825	-3.347	-0.489	-0.736	-1.193	-1.3	-1.672	-0.9895	-1.7275	-1.5245	-1.829	-1.7925	-2.066	0.323	0.484	0.628	0.401	-0.446	1.512	-1.308	-1.297	-0.336	-0.735	-1.362	-0.811	-1.314	0.17	0.235	0.056	-0.089	0.49	-0.091
"YBR106W"	-0.796	-1.212	-1.108	-0.822	-1.077	-1.574	0.785	-1.83	-2.108	-1.986	-3.354	-5.052	-1.944	-2.258	-2.173	-2.595	-2.731	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	-1.656	-1.87	-1.335	-2.007	-1.924	-1.451	-3.114	-2.846	-1.897	-2.825	-2.779	-2.225	-1.35	-0.718	-1.442	-1.846	-1.53	-0.752	-1.569
"YCR002C"	0.702	0.396	-0.454	0.133	0.052	-0.038	0.256	-1.293	-1.572	-1.667	-3.669	-5.182	-0.101	-0.224	-0.404	-0.658	-1.575	-0.8665	-1.1235	-1.597	-2.564	-2.9535	-2.7005	0.285	-0.07	-0.349	0.023	-1.48	0.139	-1.122	-1.051	-0.932	-0.351	-1.257	-0.495	-1.189	0.122	0.398	0.098	-0.141	0.838	-0.123
"YDR261C"	0.426	0.648	0.345	0.639	0.646	0.113	0.227	-1.912	-2.394	-2.402	-2.845	-3.44	-0.862	-0.927	-1.059	-1.515	-1.794	-0.941	-1.565	-1.827	-1.083	-1.671	-1.836	-0.549	-0.66	-0.445	-0.541	-1.649	0.771	-1.384	-0.917	-0.953	-0.351	-0.946	-0.728	-1.344	-0.296	-0.291	-0.702	-0.006	-0.303	-0.509
"YFL014W"	6.328	6.892	6.782	7.608	7.123	7.628	6.623	6.044	5.422	6.344	4.533	3.257	4.109	5.246	5.355	4.63	4.245	5.819	5.357	6.09	5.141	6.362	4.691	6.886	6.04	6.382	5.855	2.253	7.174	6.926	7.714	5.793	6.221	6.006	5.717	5.628	4.881	5.299	6.19	4.991	5.086	5.415
"YGL020C"	-0.008	-0.104	0.11	0.117	-0.012	-0.197	0.038	-0.461	-0.989	-0.502	-2.94	-3.361	-0.73	-0.298	-0.359	-0.686	-0.863	-0.778	-1.059	-0.84	-1.253	-1.605	-1.338	-0.432	-0.568	-0.337	-0.602	-0.836	-0.053	-1.195	-1.302	-0.902	-0.294	-0.707	-0.636	-1.175	0.191	-0.173	-0.475	-0.386	0.265	-0.029
"YGL245W"	-0.132	0.08	-0.381	0.074	-0.116	-0.102	-0.172	-1.579	-1.475	-2.145	-4.799	-6.655	-0.981	-1.774	-1.33	-1.699	-2.088	-1.416	-1.589	-2.121	-3.552	-4.345	-4.779	0.087	-0.327	-0.632	-0.537	-1.658	-0.175	-0.889	-0.955	-1.095	-0.706	-0.834	-0.29	-1.196	-0.008	-0.163	-0.693	-0.726	0.584	0.147
"YGR185C"	-0.9545	-0.8605	-0.852	-0.6275	-0.4115	-0.9665	-0.502	-1.31	-2.13	-2.168	-5.306	-6.361	-1.312	-1.442	-1.736	-2.6	-2.266	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	-0.653	-0.817	-0.325	-0.772	-2.438	-0.6405	-3.17	-2.768	-2.136	-2.136	-2.312	-2.205	-2.277	-1.353	-0.914	-1.219	-0.749	-0.217	-0.361
"YHR108W"	-0.136	0.022	-0.546	0.1555	0.0235	-0.218	-0.045	-1.238	-1.418	-1.911	-2.982	-5.02	-0.834	-0.346	-1.382	-1.712	-1.923	-0.855	-0.773	-1.359	-1.661	-2.122	-1.381	-0.887	-0.679	-0.799	-0.875	-1.538	-0.0875	-0.923	-1.767	-0.676	-0.515	-1.788	-1.2	-1.568	-0.106	-0.212	-0.795	-1.119	0.952	-0.184
"YIL010W"	1.071	0.973	0.6785	0.788	1.061	1.109	0.749	-0.483	-0.555	-0.457	-1.635	-3.005	0.675	0.893	-0.573	-0.521	-0.49	-0.146	-0.692	-0.796	-1.238	-1.79	-1.288	0.182	0.362	0.739	-0.238	-0.5	0.807	0.254	0.355	0.332	0.56	0.229	-0.231	-1.226	0.953	0.425	0.383	0.077	0.443	0.587
