	"104.alpha factor release sample024"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"942.starv_in_H2O_1_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1107.alpha factor release sample025"	"1313.diauxic shift timecourse: 20.5 hr"	"4782.DBYtrr1 vs. wild type DBY7286"	"4872.1M sorbitol - 60 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"8286.mcm1-1 +pRS-MCM7 vs. wild type + pRS-MCM7"	"12744.heat shock 17 to 37, 20 minutes"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"14763.Ca 60min (1)"	"15182.Ca 60min (2)"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42382.CC LS 2A Leucine-Sulfate Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YCL059C"	0.325	-3.484	-4.56	-4.242	-3.611	-4.218	-3.675	0.974	-4.786	-2.115	-1.722	-2.27	0.364	0.019	-1.374	-0.057	0.0035	-1.281	-2.524	-2.535	-0.821	-2.387	-3.161	0.504	0.038	-4.664	-0.614	-0.197	-0.437	-0.102	-2.908	-3.887	-2.479	-0.967	-4.436	-2.396	-1.791	-1.456	-0.047	-0.039	-0.344	0.568	-0.296	0.145
"YDL014W"	0.075	-3.382	-2.073	-2.366	-2.465	-4.46	-4.776	1.4755	-3.37	-2.435	-1.989	-1.412	0.215	0.414	-1.073	-0.241	-0.232	-1.127	-1.546	-1.339	-1.088	-1.519	-1.665	0.853	-0.219	-4.277	0.043	-0.221	-0.082	0.121	-3.718	-3.918	-4.085	-2.893	-4.482	-4.004	-2.924	-2.944	-0.118	-0.192	0.177	-0.009	-0.311	-0.648
"YDL020C"	0.337	1.277	1.627	1.197	1.421	1.988	2.012	-0.9025	1.966	1.711	2.226	1.876	-0.282	0.235	1.435	-0.368	-0.294	1.61	1.154	0.687	1.535	1.581	1.231	0.351	0.181	2.183	0.096	-0.193	-0.135	0.076	2.261	2.561	1.09	1.6	2.225	1.785	1.519	2.472	0.198	-0.426	0.421	-0.753	0.58	0.46
"YDL023C"	-0.349	3.318	NaN	2.598	3.003	3.335	3.546	-2.3115	1.67	0.867	1.603	0.42	-1.138	-0.152	2.019	-1.031	-0.052	3.553	3.813	3.556	3.398	3.409	3.475	-0.285	-0.082	3.64	-0.6	-0.313	0.727	0.084	3.112	0.866	0.36	2.013	2.639	0.903	0.543	1.56	-0.177	0.259	1.149	-1.071	-0.488	-0.7
"YDL110C"	-0.057	3.1445	4.5095	3.069	2.459	2.9395	2.6665	-0.941	3.383	2.755	3.018	2.739	-0.5295	-0.0585	-0.034	0.9375	-0.0635	2.402	2.8415	2.8635	2.115	2.5575	2.407	1.341	1.054	2.954	0.1735	0.583	0.699	-0.124	2.969	3.715	2.305	2.342	4.078	3.05	2.171	2.55	-1.117	1.051	-0.705	0.85	-0.418	0.285
"YDL204W"	-0.011	5.01	0.311	5.128	3.877	4.936	4.887	-2.803	5.851	4.733	5.32	4.604	-2.465	0.055	3.477	1.145	0.394	3.455	4.067	4.561	3.189	3.761	4.115	1.14	0.411	5.38	-0.492	-0.479	-0.641	-0.317	3.876	5.526	4.943	4.367	5.864	4.642	3.788	4.76	0.24	-0.28	-0.107	0.191	0.197	0.257
"YDL222C"	-0.412	5.532	5.359	5.486	4.452	4.933	5.493	-2.524	2.058	0.991	1.661	1.177	-0.243	-0.313	1.346	0.901	0.084	3.739	3.922	3.845	1.796	2.785	2.677	0.016	-0.311	5.7	-0.03	-0.682	-0.364	0.137	5.632	5.702	4.814	3.717	6.788	5.657	4.132	4.017	-0.448	0.082	-0.306	0.037	-0.925	-0.766
"YDR001C"	0.132	3.722	3.661	3.273	3.0	3.255	3.511	-1.773	3.121	1.716	1.852	0.879	-0.451	0.087	2.256	0.069	-0.076	1.431	1.674	2.013	1.254	1.607	1.921	0.132	-0.079	3.574	0.162	0.433	0.355	0.163	3.999	2.067	1.884	2.523	3.563	2.644	1.706	3.315	0.195	-0.115	-0.214	0.638	0.764	0.818
"YDR003W"	0.02	1.453	1.046	1.09	1.291	1.3	1.011	-1.023	1.796	1.366	1.285	1.552	-0.722	-0.079	1.433	0.33	-0.15	1.088	1.266	1.181	1.263	1.167	1.091	0.177	-0.289	1.118	-0.088	0.647	0.531	0.129	1.059	2.58	1.387	1.705	2.651	1.807	1.371	1.842	-0.022	0.347	-0.543	0.933	0.196	-0.126
"YDR043C"	-0.026	1.479	NaN	1.196	0.83	1.373	1.421	0.0	1.844	1.863	2.009	0.982	0.35	0.075	1.944	0.184	-0.315	2.509	2.157	1.357	1.715	1.612	1.496	0.343	0.673	2.933	0.254	0.318	-0.06	0.138	2.544	1.414	1.813	1.846	1.613	2.054	1.08	2.598	-0.199	0.103	-0.154	0.26	0.586	0.19
"YDR074W"	0.059	4.362	4.265	4.275	3.122	4.182	4.411	-2.887	4.672	2.46	3.379	2.549	-1.631	-0.112	1.594	0.086	0.264	4.039	3.683	3.896	3.326	3.378	3.692	-0.796	-0.008	3.551	-0.603	0.426	0.25	0.138	3.985	2.579	0.782	1.459	4.059	2.028	1.317	2.458	0.062	-0.2	-0.109	0.255	0.067	0.16
"YDR171W"	0.022	6.083	5.884	5.56	5.126	6.153	6.24	-5.215	5.287	5.106	4.594	5.134	-0.775	0.068	3.677	0.598	-0.688	4.183	4.385	4.392	4.176	4.034	4.162	0.833	0.732	5.398	0.0855	0.5585	-0.222	0.0975	5.035	4.747	4.074	4.252	4.639	4.566	3.476	4.385	-0.254	0.685	-0.759	0.626	0.815	0.887
