	"104.alpha factor release sample024"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"942.starv_in_H2O_1_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1107.alpha factor release sample025"	"1313.diauxic shift timecourse: 20.5 hr"	"4782.DBYtrr1 vs. wild type DBY7286"	"4872.1M sorbitol - 60 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"8286.mcm1-1 +pRS-MCM7 vs. wild type + pRS-MCM7"	"12744.heat shock 17 to 37, 20 minutes"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"14763.Ca 60min (1)"	"15182.Ca 60min (2)"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42382.CC LS 2A Leucine-Sulfate Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YGL147C"	0.261	-2.372	-2.337	-3.006	-2.704	-4.102	-4.319	1.427	-3.892	-3.111	-3.389	-3.0	0.688	0.343	-1.568	-0.335	0.326	-1.576	-2.522	-2.212	-1.326	-2.365	-2.897	0.438	0.536	-3.829	-0.367	0.137	0.186	0.071	-2.3925	-3.1805	-2.6025	-3.0	-3.1585	-3.3875	-2.3945	-3.135	0.218	-0.242	0.328	-0.403	-0.492	-0.867
"YGL148W"	0.272	-1.712	-2.044	-2.027	-1.735	-2.05	-2.295	1.117	-3.561	-2.137	-1.873	-2.983	0.352	0.123	-0.914	-0.104	0.038	-1.601	-2.678	-1.939	-1.543	-2.648	-2.792	-0.363	-0.462	-2.451	-1.02	-0.158	-0.462	0.018	-2.144	-3.932	-2.547	-2.177	-3.123	-2.69	-2.266	-2.377	0.703	-0.793	0.659	-0.696	0.085	0.187
"YGL259W"	0.168	2.667	NaN	2.285	1.563	1.944	2.157	-1.28	3.517	2.619	2.423	0.895	-0.305	-0.005	3.24	0.25	0.681	0.593	0.971	0.95	0.47	1.075	1.618	0.159	-0.18	2.842	-0.716	-0.183	-0.544	-1.236	1.712	2.021	2.412	2.062	3.466	2.519	2.15	2.681	0.237	-0.388	0.352	0.876	0.425	-0.803
"YGR019W"	0.003	3.016	2.962	2.8	2.58	3.009	2.976	-1.554	4.045	3.096	3.356	2.14	-0.611	-0.031	1.661	0.803	-0.189	2.2	2.492	2.598	1.822	2.083	2.257	-0.961	-0.438	2.898	-0.433	0.891	0.585	0.175	1.815	2.108	1.173	1.461	3.364	2.372	1.811	1.997	0.734	-0.884	0.386	-0.531	0.893	0.647
"YGR079W"	-0.117	-2.785	-4.644	-3.48	-2.556	-3.142	-2.355	1.29	-3.414	-2.981	-2.425	-2.597	-0.04	0.193	-0.582	-0.344	-0.01	-1.89	-2.09	-1.583	-1.187	-1.73	-1.993	-0.764	-0.756	-3.774	-0.948	-0.015	-0.103	-0.347	-3.401	-1.857	-2.988	-0.534	-2.99	-2.303	-1.399	-0.04	-0.26	0.03	-0.897	0.567	-1.062	-1.349
"YGR118W"	-0.022	-1.5195	-1.543	-1.6645	-1.6245	-2.6185	-3.085	1.216	-2.621	-2.692	-2.455	-2.458	0.621	0.138	-1.246	-0.078	0.229	-1.375	-1.737	-1.367	-1.046	-1.832	-1.647	-0.002	0.623	-2.633	-0.073	0.237	-0.014	-0.026	-1.32	-2.477	-2.162	-1.82	-2.13	-2.249	-1.697	-1.94	-0.163	0.244	0.02	0.383	-0.175	-0.064
"YGR142W"	-0.007	3.998	3.718	3.7425	3.6725	4.975	5.075	-3.859	2.805	3.709	2.165	6.168	0.726	-0.163	2.436	0.396	-1.353	2.944	2.949	2.277	3.472	3.475	2.329	2.268	1.533	4.7155	-0.053	-1.381	-1.4425	0.437	6.459	4.076	3.663	4.432	1.914	3.176	2.95	4.794	0.068	-0.495	-0.162	0.346	0.392	0.485
"YGR194C"	-0.472	3.229	NaN	2.5445	2.0745	2.773	2.7325	-1.649	4.003	2.833	2.036	2.62	-0.99	-0.053	1.789	-0.267	-0.256	1.529	2.079	1.592	0.924	1.511	2.027	-0.394	-0.446	3.219	-0.343	0.045	0.474	0.222	2.234	3.239	2.701	1.932	4.12	2.96	2.149	2.21	-0.562	0.374	-0.256	0.207	0.308	0.117
"YGR214W"	-0.087	-1.7475	-2.1645	-2.4095	-2.2525	-3.7315	-4.254	1.051	-4.3	-2.826	-2.24	-3.581	0.468	0.302	-2.084	-0.208	0.128	-1.306	-2.222	-1.645	-1.191	-2.061	-1.791	-0.191	0.077	-3.3975	-0.322	0.109	0.085	-0.096	-2.003	-3.673	-2.906	-2.083	-3.805	-2.3	-2.11	-2.419	0.124	0.048	0.304	-0.502	-0.373	-0.175
"YGR250C"	0.173	2.412	1.796	1.5415	1.5295	2.827	3.252	-2.678	3.794	4.669	3.197	2.531	0.139	0.142	2.358	-0.279	NaN	0.824	1.137	0.992	0.834	1.338	1.404	0.748	0.203	2.756	-0.205	0.602	0.05	0.477	3.054	2.523	2.316	3.26	2.898	3.265	2.988	3.14	-0.114	-0.026	0.499	-0.102	0.115	0.138
"YHL021C"	0.23	5.88	5.7395	5.508	4.666	5.5395	5.718	-3.059	5.13	4.387	4.022	4.726	-1.198	-0.061	2.987	0.276	-0.56	3.59	3.443	3.832	2.99	3.239	3.337	0.593	0.217	5.9365	0.078	-0.159	0.601	0.238	6.107	6.428	4.596	3.722	6.624	4.847	4.725	3.995	0.03	-0.185	0.597	-0.613	1.855	2.244
"YHR010W"	0.277	-2.471	-1.8605	-2.255	-2.0245	-3.406	-3.8525	1.491	-3.693	-3.281	-2.926	-3.343	0.753	0.271	-1.584	-0.373	-0.034	-1.441	-1.972	-1.452	-1.084	-1.912	-1.667	-0.291	0.672	-3.0485	-0.331	0.064	0.182	-0.571	-2.868	-3.363	-2.267	-2.283	-3.56	-2.961	-1.715	-2.978	0.418	0.066	0.309	0.05	-0.005	0.0
"YHR016C"	-0.087	2.94566666666667	0.621666666666667	2.61933333333333	2.163	2.52366666666667	2.28866666666667	-1.295	0.0354999999999999	0.243	-0.1185	0.334	-0.62	0.17	1.206	0.013	0.115	0.9745	1.362	1.1185	0.6975	1.002	1.577	-0.065	-0.008	2.662	0.059	0.156	-0.422	0.098	2.221	2.325	2.338	1.917	3.443	2.046	1.937	1.191	-0.094	0.217	0.477	0.306	0.163	0.338
"YHR021C"	-0.169	-1.958	-1.584	-1.8445	-1.8895	-2.8035	-3.2995	1.113	-3.57	-3.061	-2.215	-2.639	0.491	-0.093	-0.938	-0.164	0.189	-1.43	-1.704	-1.357	-1.319	-1.271	-1.754	0.568	0.533	-2.676	-0.551	-0.28	-0.192	0.024	-2.042	-2.576	-2.1	-1.463	-3.519	-3.078	-2.345	-2.663	0.072	0.526	-0.204	0.588	-0.008	-0.09
"YHR062C"	0.046	-2.1055	-1.1365	-1.882	-1.8745	-2.1985	-2.079	1.047	-2.847	-1.483	-1.112	-2.092	0.099	0.086	-0.216	0.411	0.019	-0.36	-0.75	-0.653	-0.429	-1.122	-0.92	-0.11	-0.209	-2.44	0.122	-0.48	-0.029	0.01	-2.353	-0.846	-1.164	-0.635	-0.945	-1.54	-1.168	-0.262	0.292	-0.615	0.767	-0.946	-0.39	-0.268
"YHR087W"	-0.08	5.7105	5.698	5.252	6.08	5.929	6.501	-5.137	3.602	3.744	4.087	2.8	-1.973	-0.14	1.389	1.476	0.26	5.067	5.497	5.933	4.806	5.093	4.962	-0.548	0.474	6.1195	0.052	1.591	1.625	0.061	6.178	6.108	4.15	3.908	5.778	4.259	3.36	4.227	1.689	1.061	-1.541	1.747	0.784	1.502
"YHR096C"	0.363	5.573	5.3105	4.401	3.4085	5.0375	5.238	-3.693	4.284	5.741	5.155	4.426	2.137	0.528	3.498	0.537	-0.001	3.148	3.597	3.595	1.659	2.337	3.101	-0.087	-0.193	6.7425	-0.058	0.122	0.363	0.024	1.871	5.589	5.478	4.324	4.216	6.151	4.914	6.856	0.094	-0.136	0.098	0.0	0.252	0.182
"YHR104W"	-0.068	4.906	4.8105	4.6215	4.247	4.658	4.7775	-2.982	3.691	1.878	1.523	1.606	-1.057	-0.152	1.694	0.154	-0.098	2.72	3.95	4.176	2.268	3.382	3.895	-0.141	-0.115	5.319	-0.118	1.846	1.761	0.2	5.002	2.457	1.421	1.698	3.963	2.022	1.53	1.952	-0.016	0.102	-0.553	0.52	0.373	0.052
"YIL052C"	0.022	-2.0235	-1.6215	-2.1565	-1.989	-2.7275	-2.972	1.095	-3.856	-3.261	-2.61	-2.82	0.466	0.265	-1.876	0.107	0.24	-0.6	-1.273	-0.905	-0.684	-1.141	-1.223	-0.043	-0.046	-2.531	-0.569	0.081	0.327	-0.255	-2.337	-3.32	-2.562	-2.217	-2.821	-2.677	-1.94	-3.315	-0.165	0.277	0.131	0.718	-0.796	-0.407
"YIL101C"	-0.347	4.271	NaN	3.439	3.398	3.9075	3.7695	-1.848	4.085	3.455	3.609	2.324	-0.453	-0.406	2.598	0.55	0.046	1.93	2.166	1.643	1.053	1.652	1.944	1.015	0.231	4.3735	0.068	-1.125	-0.788	0.196	0.366	1.3765	1.809	1.642	2.0685	1.6855	1.1155	1.2415	-1.349	1.14	-0.806	0.9785	0.436	0.1625
"YIL133C"	0.242	-2.0235	-2.2305	-2.6465	-2.027	-3.384	-3.811	1.02	-3.333	-3.196	-2.331	-2.93	0.405	0.204	-1.852	-0.196	0.235	-2.045	-2.339	-1.436	-1.877	-2.453	-1.872	-0.822	-0.191	-3.3115	-0.851	-0.267	-0.295	-0.02	-2.292	-4.387	-3.183	-2.607	-4.098	-3.154	-2.466	-3.633	0.056	0.372	0.387	-0.164	-1.023	-0.955
"YIL148W"	0.003	-1.5795	-1.6495	-1.455	-1.3005	-2.3055	-2.8165	1.081	-1.734	-1.482	-1.077	-1.789	0.423	0.077	-1.561	0.008	0.067	-1.172	-1.243	-1.183	-0.603	-0.933	-1.415	0.134	0.062	-2.313	-0.029	0.539	-0.436	-0.312	-2.031	-2.58	-2.025	-1.956	-2.552	-2.609	-1.815	-2.449	0.266	0.32	-0.113	0.418	-0.225	-0.485
"YIR039C"	-0.28	3.633	3.4175	3.2675	2.848	3.293	3.373	-1.984	4.648	3.836	2.996	1.581	-0.403	-0.039	2.498	0.594	0.12	1.013	1.293	1.395	0.633	1.287	1.745	0.767	0.469	3.736	0.452	0.968	0.792	-0.482	2.835	2.417	2.921	2.163	4.051	2.778	2.53	3.2	0.187	0.053	0.183	0.922	0.079	-0.609
"YJL066C"	-0.158	2.484	1.324	2.363	2.0645	2.2855	2.4895	-1.509	3.176	3.323	2.755	1.811	-0.81	-0.13	1.048	0.38	-0.228	1.574	1.874	1.89	1.186	1.424	1.574	0.126	-0.349	2.9045	0.615	0.909	0.509	-0.063	1.4	2.893	2.947	1.997	4.144	3.6	3.185	2.863	0.324	-0.393	-0.076	-0.054	0.445	0.617
"YJL068C"	-0.21	1.998	3.105	1.9205	1.645	2.307	2.0815	-0.763	1.543	2.1	2.312	0.847	-0.55	-0.102	1.23	0.452	0.109	0.152	-0.003	0.239	0.441	0.182	0.23	-0.401	-0.07	2.2315	0.166	0.8	0.604	0.097	1.206	1.465	2.351	1.203	1.526	1.439	1.437	2.187	-0.15	0.385	-0.433	0.324	0.419	0.26
"YJL163C"	-0.325	3.0055	5.781	2.034	1.6395	2.0905	2.1745	-1.158	3.842	2.233	2.79	1.835	-0.922	-0.17	2.308	0.196	0.036	1.958	2.335	1.774	1.304	1.902	2.075	-0.397	0.68	2.3505	-0.105	-0.489	-0.378	-0.048	2.248	1.762	2.681	2.677	3.147	2.17	1.792	2.68	-0.194	0.062	-0.274	0.031	0.597	0.168
"YJR008W"	-0.476	3.38	2.5185	2.6695	2.33	2.81	2.208	-1.138	2.34	2.316	3.529	3.536	-0.258	-0.201	1.781	0.768	0.038	1.667	1.513	1.765	1.555	1.425	1.54	-0.069	0.342	2.806	0.504	0.189	0.625	0.166	2.387	3.648	3.265	2.533	3.072	3.435	2.523	3.297	0.465	-0.426	0.198	-1.234	1.106	0.992
"YJR069C"	-0.0945	-0.3655	-0.7445	-0.9195	-0.757	-1.1045	-1.034	0.702	-2.056	-1.976	-2.026	-1.806	0.082	-0.0915	-1.118	-0.215	-0.156	-0.921	-0.786	-0.603	-0.552	-1.094	-1.097	0.152	0.12	-1.066	-0.046	0.403	0.029	-0.232	-1.227	-1.467	-1.181	-0.635	-1.685	-2.036	-1.662	-2.416	0.036	-0.031	-0.073	0.232	-0.324	-0.284
"YJR123W"	0.046	-1.798	-2.13	-2.5565	-1.912	-3.5655	-4.258	1.3	-3.844	-3.276	-3.375	-3.809	0.788	0.248	-2.097	-0.432	0.56	-1.517	-2.264	-1.907	-1.58	-2.373	-2.137	-0.275	-0.089	-3.445	-0.314	0.101	-0.132	-0.629	-2.744	-4.305	-3.113	-2.761	-3.711	-4.025	-2.566	-3.587	0.329	0.143	0.699	-0.271	-0.472	-0.6
"YKL006W"	-0.004	-1.828	-2.227	-2.75	-1.949	-3.315	-3.5445	0.961	-4.299	-3.901	-2.854	-3.049	0.947	0.303	-1.748	-0.028	0.2	-1.562	-2.111	-1.56	-1.268	-2.103	-1.94	0.003	0.122	-3.02	-0.39	0.453	0.46	-0.795	-2.654	-4.432	-3.39	-2.92	-4.756	-4.221	-2.993	-3.593	0.366	0.442	-0.182	0.689	-0.655	-0.718
"YKL036C"	-0.089	2.7835	3.0415	2.617	2.4385	2.76	3.208	-1.66	2.415	1.0	0.948	0.672	-1.072	0.045	1.311	-0.791	-0.266	1.483	2.048	1.822	0.804	1.608	2.055	-0.026	-0.445	3.4625	-0.261	-0.685	0.221	0.155	2.378	0.14	0.568	0.424	2.138	0.731	0.388	1.222	-0.062	0.06	-0.196	-0.126	0.174	-1.203
"YKL091C"	-0.612	4.009	3.776	3.851	2.683	3.567	3.623	NaN	5.27	3.548	3.034	3.432	-0.836	-0.192	1.42	0.787	-0.031	2.482	3.059	3.309	2.427	3.042	3.043	0.086	0.302	3.699	0.325	0.694	1.093	0.179	3.205	3.707	2.805	1.478	4.146	3.248	2.188	2.104	0.356	-0.178	0.057	-0.032	0.415	0.31
"YKL103C"	-0.033	4.422	4.528	4.114	3.921	4.231	4.041	-2.622	3.523	2.534	2.703	1.974	-1.643	0.151	2.171	1.332	0.003	1.72	2.804	3.086	0.852	1.841	2.296	-0.087	0.118	4.119	-0.04	1.133	0.737	0.207	3.183	1.865	0.944	0.657	2.724	1.916	0.778	0.505	0.203	-0.175	-0.111	0.177	0.324	0.456
"YKL151C"	-0.357	4.653	4.894	4.533	3.849	4.45	4.63	-2.412	3.642	2.407	2.359	1.609	-1.431	-0.235	2.188	0.883	-0.074	1.652	2.498	2.582	1.567	2.276	2.615	0.577	0.636	4.996	0.34	0.354	0.304	-0.433	2.694	3.213	2.768	3.047	3.988	2.909	2.395	3.103	-0.359	-0.026	0.081	0.031	0.562	0.779
"YKL180W"	0.161	-1.731	-1.949	-1.947	-2.16	-2.81	-3.531	1.141	-2.661	-2.738	-1.831	-2.625	0.599	0.365	0.21	-0.18	0.469	-1.234	-2.003	-1.241	-0.999	-1.883	-1.742	-0.343	-0.213	-3.37	-0.099	-0.321	0.019	0.073	-1.891	-3.827	-3.339	-2.213	-3.071	-2.962	-2.254	-2.482	0.39	0.271	0.629	-0.209	-0.705	-0.843
"YKR094C"	-0.257	-1.518	-1.906	-2.14	-2.109	-2.994	-3.29	0.976	-3.138	-2.914	-2.274	-2.102	0.415	0.144	-1.456	0.127	0.016	-1.457	-1.747	-1.522	-1.033	-1.7	-1.911	-0.214	0.137	-2.821	-1.034	-0.025	0.11	-0.022	-2.445	-3.423	-2.549	-1.96	-3.694	-3.422	-2.865	-3.683	0.252	0.421	-0.135	0.523	-0.39	-0.596
"YLL026W"	0.13	5.873	2.796	5.276	5.224	6.223	6.124	-3.645	3.789	3.318	2.8	3.181	-0.868	-0.139	3.102	-0.592	1.096	2.495	2.676	2.481	2.286	2.702	2.804	0.703	0.414	5.928	-0.633	-0.393	-0.131	0.39	6.217	4.399	3.831	3.746	5.223	4.61	3.371	4.068	-0.415	0.346	0.17	0.17	0.63	0.967
"YLL039C"	-0.0085	3.942	3.74966666666667	3.18766666666667	3.84166666666667	4.33133333333333	4.529	-3.09233333333333	1.05933333333333	0.920333333333333	1.20133333333333	0.806333333333333	0.404	0.2175	-0.677	0.768	0.287	0.531	0.697	0.733666666666667	0.912333333333333	0.817333333333333	0.919333333333333	-0.162	-0.0795	4.756	-0.442	0.7975	1.028	-0.031	3.453	1.088	1.858	1.626	1.867	1.365	1.293	2.457	-0.579	0.519	-0.115	0.169	0.923	0.971
"YLL044W"	-0.028	-1.737	-2.245	-2.526	-2.196	-3.582	-4.162	1.121	-4.871	-3.525	-2.869	-3.313	0.501	0.04	-2.154	-0.355	-0.086	-1.386	-2.344	-1.619	-1.183	-2.075	-2.07	-0.904	-0.797	-3.517	-0.253	0.075	0.044	0.202	-2.328	-3.189	-2.774	-2.055	-3.806	-2.77	-2.196	-2.935	0.119	-0.447	0.573	-0.088	-0.894	-1.11
"YLR061W"	-0.46	-1.678	NaN	-2.212	-1.901	-3.322	-3.851	1.1	-4.925	-4.297	-3.603	-3.239	0.578	0.01	-1.525	-0.034	0.078	-1.005	-1.456	-0.703	-1.264	-1.889	-1.422	-0.263	0.156	-2.697	-0.771	0.079	0.044	0.031	-2.529	-2.468	-2.246	-1.804	-4.004	-2.793	-2.94	-3.717	0.172	0.099	-0.141	0.322	-0.601	-0.712
"YLR149C"	0.076	4.616	4.115	4.196	3.715	4.069	3.872	-3.273	4.105	3.465	3.85	3.078	-1.018	-0.144	3.392	0.592	0.282	2.647	2.93	2.4	1.68	2.382	2.61	1.212	-0.353	4.23	0.487	0.519	-0.107	0.082	3.532	4.245	3.572	3.263	4.717	4.271	2.991	3.931	-0.327	0.407	-0.572	-0.445	1.055	1.056
"YLR177W"	0.032	3.3095	1.4025	2.643	2.3305	3.1295	2.898	-2.1605	1.7235	0.9465	0.901	2.2765	-0.587	-0.078	0.279	0.111	0.103	2.308	2.21	1.2385	1.7975	2.389	1.895	-0.287	-0.079	3.1335	0.238	0.1345	-0.5635	0.218	3.163	1.244	1.235	1.845	3.171	2.094	1.505	2.555	-0.331	-0.195	-0.1	0.078	-0.209	-0.242
"YLR178C"	-0.333	6.029	-1.924	5.987	5.265	6.066	5.98	-4.062	5.949	5.421	5.219	3.832	-1.816	-0.06	2.411	1.467	0.108	3.187	4.242	4.453	2.758	3.766	4.028	0.78	0.55	6.29	0.09	1.785	2.238	0.125	4.402	5.407	4.372	3.242	5.3	4.727	3.457	3.71	-0.667	0.626	-1.313	0.76	-0.427	-0.995
"YLR196W"	-0.017	-5.425	-5.709	-5.04	-3.221	-4.896	-4.532	1.483	-5.083	-3.01	-2.049	-2.858	0.242	-0.053	-2.767	-0.131	0.24	-1.656	-2.793	-1.956	-1.326	-2.637	-2.454	-0.798	-0.569	-5.097	0.022	-0.685	-0.518	-0.121	-3.697	-2.901	-2.83	-2.024	-3.658	-2.412	-1.969	-2.265	0.217	-0.341	0.189	-0.476	-0.625	-0.35
"YLR197W"	-0.192	-4.98	-4.31	-4.044	-3.638	-4.76	-5.179	1.23	-5.817	-3.612	-2.795	-3.899	0.168	0.069	-1.633	-0.414	0.131	-0.92	-2.28	-1.776	-0.4	-1.768	-2.254	0.363	0.353	-5.072	-0.173	-0.318	-0.211	0.08	-4.496	-4.983	-3.17	-1.095	-4.545	-3.045	-2.593	-2.321	0.395	-0.094	0.278	-0.303	-0.759	-0.762
"YLR249W"	0.308	-2.818	-3.81	-3.122	-3.317	-4.232	-4.758	1.359	-6.529	-4.864	-3.482	-3.879	0.045	0.174	-2.381	-1.144	0.257	-2.165	-3.464	-2.334	-1.838	-2.703	-2.461	-0.562	-0.373	-4.59	-0.327	-0.652	-0.727	0.414	-3.998	-5.053	-5.102	-2.604	-5.085	-4.9	-3.269	-3.19	0.345	0.031	1.49	-1.487	0.163	0.27
"YLR258W"	-0.048	4.617	4.224	4.273	3.655	4.262	4.866	-2.434	4.602	3.602	3.358	2.686	-1.119	-0.031	3.045	0.303	0.375	2.515	2.646	2.207	1.935	2.64	2.578	-0.006	0.065	4.686	-0.061	-0.082	-0.227	0.129	3.754	3.968	3.416	2.076	5.121	3.888	3.318	2.343	-0.092	-0.018	-0.168	-0.03	0.281	0.211
"YLR327C"	0.192	5.954	5.645	5.778	5.125	5.199	5.112	-5.299	4.027	4.45	4.348	5.562	-0.515	0.14	3.116	3.044	0.118	3.569	3.895	3.191	2.478	2.683	3.199	2.743	1.563	6.244	0.688	3.671	3.3	0.032	4.915	6.94	6.324	5.267	4.86	5.963	5.223	5.412	-1.087	1.647	-1.028	1.18	2.291	2.534
"YLR372W"	-0.156	-2.207	NaN	-2.614	-1.814	-2.438	-2.835	0.939	-4.565	-3.104	-2.432	-3.069	-0.03	0.085	-1.677	-0.433	-0.081	-1.771	-2.3	-1.909	-1.539	-2.509	-2.442	-0.634	-0.431	-2.623	-0.44	-0.576	-0.332	0.133	-2.375	-3.386	-2.674	-2.156	-3.936	-3.603	-2.623	-3.925	0.254	0.075	0.335	0.055	-0.125	-0.416
"YLR413W"	-0.18	NaN	-4.323	-4.035	-3.749	-4.155	-3.973	1.475	-4.758	-4.864	-4.832	-3.237	-0.399	0.041	-2.459	-1.046	0.009	-0.92	-1.284	-1.378	-2.002	-1.873	-1.969	-0.978	-0.757	-3.69	0.441	-2.143	-2.061	0.313	-3.773	-4.298	-4.176	-4.129	-4.449	-4.04	-4.16	-4.919	1.212	-1.298	0.544	-0.241	-0.715	-0.477
"YLR449W"	0.198	-3.266	-3.157	-2.903	-3.009	-3.738	-3.97	0.94	-6.206	-3.515	-2.978	-2.597	0.394	0.054	-1.866	0.023	0.26	-1.213	-2.384	-2.197	-0.97	-2.329	-2.619	0.859	0.306	-4.241	-0.117	-0.762	-0.626	0.038	-5.408	-3.658	-2.81	-1.715	-4.694	-2.945	-2.791	-2.535	0.179	-0.243	-0.487	0.384	-0.991	-0.466
"YML024W"	NaN	-1.177	-1.867	-2.033	-2.347	-3.361	-3.373	0.485	-3.616	-3.535	-2.718	-3.523	0.451	NaN	NaN	-0.099	-0.183	-1.567	-2.106	-1.671	-1.066	-1.567	-2.011	-0.23	-0.412	-3.024	-1.085	-0.204	-0.114	-0.806	-2.692	-3.36	-1.947	-1.537	-2.891	-2.573	-1.907	-2.067	0.572	0.364	0.464	0.339	0.162	0.097
"YML100W"	0.208	6.476	6.109	6.414	5.251	6.445	7.021	-4.449	6.107	0.965	4.578	3.032	-1.292	-0.079	2.341	-0.295	0.269	2.753	3.692	4.03	2.199	2.933	3.008	-0.083	0.115	6.199	0.086	-0.361	-0.393	-0.097	5.901	2.766	1.304	1.959	4.68	2.566	1.707	2.578	-0.963	0.628	-0.93	-0.245	0.211	0.38
"YML128C"	-0.636	6.859	6.417	6.4	5.43	4.736	4.769	-4.216	4.497	4.007	5.074	4.28	-2.233	-0.294	3.824	0.577	0.555	3.249	3.623	4.151	2.778	3.393	3.76	1.365	0.553	5.297	-0.189	0.113	-0.035	-0.339	4.573	5.111	4.729	4.503	5.91	5.407	3.945	5.151	-1.08	0.693	-0.562	-0.004	-0.207	-0.029
"YMR031C"	-0.13	2.251	2.178	1.789	2.107	1.839	1.689	-0.887	2.709	2.057	1.333	1.488	-1.131	-0.793	2.319	-0.586	0.044	1.401	1.627	1.112	1.525	2.024	1.955	0.659	0.586	1.641	0.285	0.011	-0.166	0.207	1.926	2.695	2.279	1.608	2.994	2.662	1.673	1.056	-1.116	0.602	-1.171	0.666	-0.13	0.368
"YMR105C"	-0.152	7.421	7.216	6.858	6.445	6.665	6.783	-4.77	4.909	4.43	4.635	2.982	-2.457	0.09	3.115	0.693	0.129	2.888	3.652	3.607	2.154	3.361	3.627	0.394	0.629	6.837	-0.401	0.222	-0.21	0.362	5.764	4.164	3.912	3.617	6.583	5.468	3.536	4.665	-0.562	0.26	-0.369	0.063	-0.169	-0.563
"YMR217W"	-0.023	-2.517	-3.361	-3.444	-2.705	-2.964	-3.238	1.251	-5.293	-3.056	-2.634	-3.48	0.181	0.087	-2.318	-0.738	0.291	-1.125	-2.654	-2.29	-1.098	-2.321	-2.961	-0.755	-0.282	-3.402	-0.401	-0.605	-0.246	0.2045	-4.738	-3.621	-2.927	-2.073	-4.222	-3.421	-2.938	-3.323	0.238	-0.349	0.815	-0.696	-0.522	-0.467
"YMR242C"	-0.076	-2.278	-2.248	-2.539	-1.639	-3.309	-3.708	1.262	-4.702	-3.631	-3.001	-3.832	0.77	0.288	-1.611	-0.133	0.442	-2.03	-2.598	-2.072	-1.85	-2.755	-2.478	0.006	0.6	-3.054	-0.47	0.161	0.407	0.1305	-2.43	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-3.856	0.193	0.353	0.061	-0.117	-0.562	-0.604
"YMR250W"	-0.23	6.007	5.745	5.491	5.246	5.448	5.563	-4.172	4.705	4.159	4.174	2.923	-1.972	-0.356	3.642	1.269	1.356	3.487	4.187	3.663	2.768	3.676	4.128	-0.361	0.198	5.984	-0.253	1.161	1.155	0.2185	4.606	5.331	5.018	3.436	5.68	4.944	4.024	3.524	-1.074	0.49	-0.955	0.637	0.188	-0.888
"YMR290C"	-0.043	-3.64	-3.112	-3.689	-2.957	-3.89	-3.624	0.988	-5.132	-3.842	-3.073	-3.243	0.078	0.132	-2.712	-0.174	-0.092	-1.983	-2.885	-2.633	-1.836	-2.648	-2.383	-1.162	-1.171	-4.129	0.103	-0.06	-0.464	0.1175	-4.343	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	-3.217	0.309	-0.191	-0.207	-0.372	-0.816	-0.989
"YNL002C"	-0.257	-4.666	-4.12	-4.07	-3.305	-4.559	-4.222	1.243	-5.196	-2.914	-2.336	-3.072	0.539	-0.152	-2.007	0.008	-0.059	-1.398	-2.774	-1.803	-1.355	-2.843	-2.776	0.756	0.143	-4.603	0.294	-0.49	-0.305	0.0375	-3.481	-2.92	-2.649	-1.781	-4.466	-2.41	-2.181	-2.211	-0.403	0.154	-0.54	0.637	-0.841	-0.399
"YNL067W"	-0.079	-2.389	-2.148	-2.348	-2.563	-3.335	-3.738	1.17	-4.019	-2.871	-2.054	-2.866	0.63	0.133	-1.956	-0.06	0.53	-1.4	-2.232	-1.859	-0.753	-2.17	-2.392	-0.622	0.152	-3.16	0.033	0.182	0.311	-5.0E-4	-2.636	-2.698	-2.15	-2.329	-3.107	-2.534	-2.013	-2.982	0.204	0.305	0.456	-0.073	0.123	0.034
