	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"8233.dtt 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"28846.P2Comp 10 hr 5 min Phosphate Batch vs Chemostat Comparison2"	"28847.P2Comp 10 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28848.P2Comp 10 hr 35 min Phosphate Batch vs Chemostat Comparison2"	"38152.03II01 batch p8"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40969.MD_II_56_min"
"YBL024W"	-0.79	-3.938	-4.671	-4.879	-2.493	-3.8255	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	-0.252333333333333	-0.64	0.151	0.135	0.045	-0.1405	0.191	-0.0295	-1.375	-0.671	-1.2775	-1.098	-3.035	-2.505	-2.409	-1.682	-1.93	-3.046
"YBL068W"	-0.485	-2.464	-3.069	-2.71	-1.955	-1.537	-1.0465	-1.472	-1.9665	-1.375	-2.429	-2.56	-0.081	-0.522	-0.1005	0.2015	0.0685	-0.033	0.052	-0.111	1.8065	-0.069	0.2045	-0.397	-2.2	-2.272	-2.392	-1.353	-1.497	-1.616
"YBL077W"	-0.467	-3.41	-3.136	-5.081	-2.763	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.062	-0.109	0.1505	0.2	-0.056	0.0055	-0.42	-0.4665	-0.383	-0.6945	-0.4315	-0.363	-1.252	-0.85	-1.17	-0.558	-0.395	-1.54
"YBR079C"	-0.715	-2.406	-1.806	-4.79	-1.533	-2.741	-2.1795	-1.661	-2.5405	-1.965	-2.9905	-2.7575	0.4515	-0.767	-0.0595	0.055	-0.1735	-0.092	-0.8525	-0.178	-1.1035	0.591	-0.4	-1.989	-2.293	-1.541	-2.069	-1.533	-1.027	-3.602
"YBR084W"	-0.625	-4.143	-4.365	-5.362	-2.317	-2.3585	-1.8955	-1.9025	-2.592	-1.934	-2.75	-2.725	0.0255	-1.125	-0.294	-0.382	-0.6805	-0.666	-1.2575	-0.9815	-1.7685	-1.1675	-1.209	-1.939	-3.082	-3.886	-2.886	-2.974	-2.356	-4.042
"YBR121C"	-0.608	-2.66	-4.037	-5.791	-2.317	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.0135	0.006	-0.616	-0.142	-0.197	-0.3095	-0.405	-0.871	-0.809	-0.452	-0.753	-0.301	-1.638	-2.356	-2.391	-1.697	-1.492	-2.224
"YBR143C"	-0.369	-2.729	-3.195	-4.642	-2.033	-3.1475	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-0.087	-0.106	0.1095	0.1935	0.015	0.0875	-0.342	-0.8725	-0.735	-0.9905	-1.1885	-0.363	-1.155	-1.567	-1.627	-0.99	-0.956	-0.823
"YBR154C"	-0.444	-2.081	-3.531	-4.423	-1.586	-2.738	-1.6075	-1.5735	-2.257	-2.6225	-3.012	-3.8995	5.0E-4	-0.707	0.4365	0.3965	0.341	0.2415	-0.9605	-0.71	-0.6355	-1.089	-1.108	-1.589	-2.092	-1.644	-0.867	-1.519	-0.682	-2.749
"YDL148C"	-1.445	-3.372	-2.269	-4.257	-2.168	-4.282	-1.828	-2.056	-2.139	-2.39	-2.527	-2.281	0.079	-1.596	0.503	0.599	0.741	0.598	-1.259	-1.342	-1.421	-0.651	-1.089	-1.649	-2.66	-2.849	-1.971	-1.869	-1.294	-2.934
"YDL167C"	-0.62	-4.321	-3.033	-4.001	-3.298	-3.084	-1.901	-1.572	-2.172	-2.176	-2.332	-2.095	0.017	-1.118	0.041	0.122	-0.017	-0.111	-1.105	-1.305	1.243	1.096	1.126	-2.456	-2.526	-1.796	-1.647	-2.202	-0.723	-1.546
"YDR083W"	-0.896	-3.47	-2.092	-2.922	-2.697	-2.436	-1.715	-1.355	-1.838	-1.676	-2.45	-2.097	-0.056	-1.074	0.429	0.319	0.308	0.329	-1.531	-1.679	-1.394	-1.081	-0.852	-1.658	-2.971	-3.133	-2.902	-2.678	-1.955	-2.089
"YDR091C"	-0.771	-3.288	-3.384	-4.4	-2.925	-2.971	-1.631	-1.728	-2.044	-2.636	-3.222	-3.423	0.006	-0.482	-0.684	-0.444	-0.319	-0.397	-1.228	-1.001	-1.458	-1.18	-1.534	-1.149	-2.823	-2.809	-1.954	-2.542	-1.621	-1.019
"YDR101C"	-0.599	-4.306	-4.145	-4.667	-3.385	-2.52	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	0.113	-1.341	-0.079	0.113	0.039	-0.231	-1.04	-0.703	-1.255	-0.641	-0.515	-1.833	-2.911	-2.551	-2.764	-2.644	-1.66	-3.361
